t,z,y,vz,vy,thrust_z,thrust_y,battery,delta,A,e_R,lf,vy_value,wh_rth,wh_land,crashed,landed,decision
0.28,2.298265,119.63750000000003,1.9884333333333335,-2.4166666666666665,20.0,-10.0,0.09438794530007659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.29,2.318835,119.61250000000003,2.0570000000000004,-2.5,20.0,-10.0,0.09436683996559647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.3,2.3400906666666668,119.58666666666669,2.1255666666666673,-2.5833333333333335,20.0,-10.0,0.09434573463111635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.31,2.362032,119.56000000000002,2.194133333333334,-2.666666666666667,20.0,-10.0,0.09432462929663624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.32,2.384659,119.53250000000001,2.262700000000001,-2.7500000000000004,20.0,-10.0,0.09430352396215612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.33,2.4079716666666666,119.50416666666668,2.331266666666668,-2.833333333333334,20.0,-10.0,0.094282418627676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.34,2.43197,119.47500000000001,2.399833333333335,-2.9166666666666674,20.0,-10.0,0.09426131329319588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.35000000000000003,2.4566540000000003,119.44500000000001,2.4684000000000017,-3.000000000000001,20.0,-10.0,0.09424020795871577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.36,2.482023666666667,119.41416666666667,2.5369666666666686,-3.0833333333333344,20.0,-10.0,0.09421910262423565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.37,2.5,119.38250000000001,-0.7816600000000006,-3.166666666666668,20.0,-10.0,0.09419799728975553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.38,2.4928690666666666,119.35000000000001,-0.7130933333333339,-3.2500000000000013,20.0,-10.0,0.09417689195527541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.39,2.4864238,119.31666666666668,-0.6445266666666672,-3.333333333333335,20.0,-10.0,0.0941557866207953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.4,2.4806641999999997,119.28250000000001,-0.5759600000000006,-3.4166666666666683,20.0,-10.0,0.09413468128631518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.41000000000000003,2.4755902666666665,119.24750000000002,-0.5073933333333339,-3.5000000000000018,20.0,-10.0,0.09411357595183506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
