t,z,vz,thrust,delta,A,e_R,lf
0.0,0.0004342789058558575,0.04342789058558575,16.98334687027029,0.0,1.0,-1.0,0.4114
0.01,0.0012761770011730515,0.0841898095317194,16.663430273536036,45.16500620900917,1.0,-0.0,0.4114
0.02,0.0025172022195044707,0.12410252183314191,16.5615254761707,4.296448397297448,1.0,-0.0,0.4114
0.03,0.004149039412453985,0.16318371929495146,16.461743695417145,2.445715136768032,1.0,-0.0,0.4114
0.04,0.006163546663883719,0.20145072514297332,16.364040701762622,2.39476273808535,1.0,-0.0,0.4114
0.05,0.008552751680908665,0.2389205017024947,16.268373187142565,2.344871847708551,1.0,-0.0,0.4114
0.06,0.011308848260078927,0.2756096579170261,16.17469874574376,2.2960203508813426,1.0,-0.0,0.4114
0.07,0.01442419282718314,0.31153445671042135,16.082975855207437,2.24818659357127,1.0,-0.0,0.4114
0.08,0.01789130104913935,0.3467108221956209,15.993163858223946,2.2013493728719036,1.0,-0.0,0.4114
0.09,0.021702844516471472,0.38115434673321213,15.905222944510948,2.155487927603721,1.0,-0.0,0.4114
0.1,0.02585164749490084,0.4148802978429369,15.81911413316697,2.110581929111932,1.0,-0.0,0.4114
0.11,0.03033068374461293,0.44790362497120906,15.734799255392659,2.066611472255482,1.0,-0.0,0.4114
0.12,0.035133073405789354,0.4802389661176422,15.652240937571978,2.0235570665834857,1.0,-0.0,0.4114
0.13,0.040252079949024605,0.5119006543235247,15.571402584705895,1.9813996276963297,1.0,-0.0,0.4114
0.14,0.04568110718927579,0.542902724025118,15.492248364191187,1.940120468785962,1.0,-0.0,0.4114
0.15,0.051413696362021734,0.5732589172745947,15.414743189937205,1.8997012923529777,1.0,-0.0,0.4114
0.16,0.05744352326033547,0.6029826898313739,15.338852706813514,1.8601241820956238,1.0,-0.0,0.4114
0.17,0.063764395431601,0.6320872171265537,15.264543275421566,1.8213715949685927,1.0,-0.0,0.4114
0.18,0.07037024943263184,0.6605854001030839,15.191781957183617,1.7834263534067007,1.0,-0.0,0.4114
0.19,0.07725514814197454,0.6884898709342696,15.12053649974229,1.7462716377107945,1.0,-0.0,0.4114
0.2,0.08441327812820593,0.715812998623139,15.050775322664325,1.709890978591857,1.0,-0.0,0.4114
0.21,0.09142228040639083,0.7009002278184903,9.982467503442154,1.674268249871167,1.0,-0.0,0.4114
0.22,0.09828526180378022,0.6862981397389384,10.019749430453775,42.832409325704,1.0,-0.0,0.4114
0.23,0.10500526442205732,0.6720002618277106,10.056254650652654,0.8947662482788976,1.0,-0.0,0.4114
0.24,0.11158526698578698,0.6580002563729666,10.091999345430724,0.8761252847731615,1.0,-0.0,0.4114
0.25,0.11802818616277228,0.6442919176985298,10.126999359067584,0.8578726746735876,1.0,-0.0,0.4114
0.26,0.12433687785690371,0.6308691694131437,10.161270205753675,0.8400003272847023,1.0,-0.0,0.4114
0.27,0.1305141384740741,0.6177260617170366,10.19482707646714,0.8225003204661796,1.0,-0.0,0.4114
0.28,0.13656270616172006,0.6048567687645984,10.227684845707408,0.8053648971231597,1.0,-0.0,0.4114
0.29,0.14248526202254008,0.5922555860820026,10.259858078088504,0.7885864617664717,1.0,-0.0,0.4114
0.3,0.14828443130292634,0.5799169280386275,10.291361034794994,0.7721575771462463,1.0,-0.0,0.4114
0.31,0.1539627845566379,0.5678353253711561,10.322207679903432,0.7560709609557215,1.0,-0.0,0.4114
0.32,0.15952283878423046,0.556005422759257,10.35241168657211,0.7403194826025583,1.0,-0.0,0.4114
0.33,0.16496705854874819,0.5444219764517725,10.381986443101859,0.724896160048254,1.0,-0.0,0.4114
0.34,0.1702978570681718,0.5330798519423605,10.410945058870569,0.7097941567139365,1.0,-0.0,0.4114
0.35000000000000003,0.1755175972851074,0.5219740216935613,10.4393003701441,0.6950067784490477,1.0,-0.0,0.4114
0.36,0.1806285929141902,0.5110995629082788,10.467064945766097,0.6805274705647468,1.0,-0.0,0.4114
0.37,0.1856331094676671,0.5004516553476898,10.494251092729304,0.6663498149280045,1.0,-0.0,0.4114
0.38,0.19053336525961323,0.4900255791946129,10.520870861630776,0.6524675271169578,1.0,-0.0,0.4114
0.39,0.19533153238922715,0.47981671296139183,10.546936052013468,0.6388744536353252,1.0,-0.0,0.4114
0.4,0.20002973770364077,0.4698205314413628,10.572458217596521,0.6255645691845868,1.0,-0.0,0.4114
0.41000000000000003,0.20463006374067078,0.4600326037030011,10.597448671396593,0.61253197399324,1.0,-0.0,0.4114
0.42,0.20913454965192932,0.4504485911258552,10.621918490742498,0.5997708912017474,1.0,-0.0,0.4114
0.43,0.2135451921067033,0.4410642454773999,10.645878522185363,0.5872756643017074,1.0,-0.0,0.4114
0.44,0.21786394617700286,0.4318754070299541,10.6693393863065,0.5750407546287684,1.0,-0.0,0.4114
0.45,0.22209272620417117,0.42287800271683007,10.692311482425115,0.5630607389073039,1.0,-0.0,0.4114
0.46,0.22623340664744013,0.4140680443268961,10.714804993207926,0.5513303068467823,1.0,-0.0,0.4114
0.47000000000000003,0.23028782291480765,0.40544162673675244,10.73682988918276,0.539844258787392,1.0,-0.0,0.4114
0.48,0.234257772176605,0.39699492617973675,10.75839593315812,0.5285975033960733,1.0,-0.0,0.4114
0.49,0.23814501416211492,0.3887241985509922,10.779512684550658,0.5175850554085959,1.0,-0.0,0.4114
0.5,0.2419512719395934,0.38062577774784656,10.80018950362252,0.5068020334209322,1.0,-0.0,0.4114
0.51,0.24567823268004108,0.3726960740447664,10.820435555630384,0.49624365772470425,1.0,-0.0,0.4114
0.52,0.24932754840506274,0.3649315725021671,10.840259814888084,0.48590524818870273,1.0,-0.0,0.4114
0.53,0.2529008367191465,0.35732883140837196,10.859671068744582,0.4757822221848529,1.0,-0.0,0.4114
0.54,0.2563996815266868,0.3498844807540309,10.87867792147907,0.46587009255592227,1.0,-0.0,0.4114
0.55,0.25982563373407,0.34259522073832194,10.897288798114923,0.45616446562773527,1.0,-0.0,0.4114
0.56,0.26318021193713276,0.3354578203062736,10.915511948154196,0.4466610392604742,1.0,-0.0,0.4114
0.5700000000000001,0.2664649030942984,0.32846911571655957,10.933355449234316,0.43735560094253056,1.0,-0.0,0.4114
0.58,0.2696811631856897,0.32162600913913125,10.950827210708601,0.4282440259229059,1.0,-0.0,0.4114
0.59,0.27283041785851037,0.31492546728206605,10.967934977152172,0.4193222753828296,1.0,-0.0,0.4114
0.6,0.2759140630589806,0.308364520047023,10.984686331794835,0.4105863946457222,1.0,-0.0,0.4114
0.61,0.27893346565110766,0.30194025921271006,11.001088699882443,0.4020325114238976,1.0,-0.0,0.4114
0.62,0.28188996402256544,0.2956498371457786,11.017149351968225,0.3936568341025759,1.0,-0.0,0.4114
0.63,0.28478486867795116,0.2894904655385749,11.032875407135554,0.38545565005874804,1.0,-0.0,0.4114
0.64,0.28761946281968304,0.28345941417318793,11.048273836153562,0.3774253240159253,1.0,-0.0,0.4114
0.65,0.2903950029167955,0.27755400971124655,11.063351464567031,0.3695622964322265,1.0,-0.0,0.4114
0.66,0.29311271926188476,0.2717716345089289,11.078114975721883,0.36186308192323047,1.0,-0.0,0.4114
0.67,0.29577381651645135,0.26610972545665956,11.092570913727679,0.3543242677164149,1.0,-0.0,0.4114
0.68,0.29837947424488115,0.26056577284297916,11.10672568635835,0.3469425121391212,1.0,-0.0,0.4114
0.6900000000000001,0.300930847437302,0.25513731924208377,11.120585567892553,0.3397145431361337,1.0,-0.0,0.4114
0.7000000000000001,0.30342906702154737,0.24982195842454036,11.13415670189479,0.3326371568208297,1.0,-0.0,0.4114
0.71,0.30587524036445435,0.24461733429069576,11.147445103938649,0.3257072160537122,1.0,-0.0,0.4114
0.72,0.3082704517627174,0.23952113982630627,11.16045666427326,0.3189216490526037,1.0,-0.0,0.4114
0.73,0.3106157629235166,0.23453111607992488,11.173197150434234,0.3122774480306756,1.0,-0.0,0.4114
0.74,0.31291221343513254,0.22964505116159312,11.185672209800188,0.3057716678633693,1.0,-0.0,0.4114
0.75,0.31516082122775646,0.22486077926239326,11.197887372096018,0.2994014247828869,1.0,-0.0,0.4114
0.76,0.3173625830247007,0.2201761796944267,11.209848051844016,0.2931638950999016,1.0,-0.0,0.4114
0.77,0.31951847478420864,0.21558917595079283,11.221559550763933,0.2870563139519755,1.0,-0.0,0.4114
0.78,0.3216294521320602,0.21109773478515131,11.233027060123018,0.2810759740780189,1.0,-0.0,0.4114
0.79,0.3236964507851648,0.20669986531046067,11.244255663037123,0.2752202246180302,1.0,-0.0,0.4114
0.8,0.3257203869663297,0.20239361811649273,11.255250336723849,0.26948646993849246,1.0,-0.0,0.4114
0.81,0.32770215781038703,0.19817708440573248,11.266015954708768,0.26387216848142603,1.0,-0.0,0.4114
0.8200000000000001,0.3296426417618598,0.19404839514727973,11.27655728898567,0.2583748316380974,1.0,-0.0,0.4114
0.8300000000000001,0.3315426989643436,0.19000572024837806,11.2868790121318,0.2529920226456106,1.0,-0.0,0.4114
0.84,0.33340317164177563,0.18604726774320351,11.296985699379055,0.24772135550714558,1.0,-0.0,0.4114
0.85,0.3352248844717612,0.18217128299855345,11.306881830641991,0.24256049393411083,1.0,-0.0,0.4114
0.86,0.33700864495112204,0.17837604793608358,11.316571792503616,0.23750715031048197,1.0,-0.0,0.4114
0.87,0.33875524375382954,0.1746598802707485,11.326059880159791,0.23255908467898712,1.0,-0.0,0.4114
0.88,0.34046545508148063,0.17102113276510789,11.335350299323128,0.2277141037481889,1.0,-0.0,0.4114
0.89,0.34214003700647233,0.16745819249916813,11.34444716808723,0.222970059920099,1.0,-0.0,0.4114
0.9,0.3437797318080267,0.16396948015543547,11.35335451875208,0.21832485033844384,1.0,-0.0,0.4114
0.91,0.3453852663012153,0.1605534493188639,11.362076299611411,0.21377641595640484,1.0,-0.0,0.4114
0.92,0.34695735215912915,0.15720858579138758,11.370616376702841,0.20932274062394507,1.0,-0.0,0.4114
0.93,0.34849668622833646,0.15393340692073368,11.378978535521531,0.2049618501943129,1.0,-0.0,0.4114
0.9400000000000001,0.35000395083776864,0.1507264609432184,11.387166482698166,0.2006918116485723,1.0,-0.0,0.4114
0.9500000000000001,0.35106314743450434,0.10591965967356802,6.395183847641954,0.1965107322392312,1.0,-0.0,0.4114
0.96,0.35168361076880805,0.06204633343036869,6.50720085081608,43.39212734292112,1.0,-0.0,0.4114
0.97,0.3518744811169804,0.019087034817236004,6.616884166424079,2.6884080761790203,1.0,-0.0,0.4114
0.98,0.3516447083328992,-0.02297727840812308,6.72428241295691,2.632399574591961,1.0,-0.0,0.4114
0.99,0.35100305581515295,-0.06416525177462051,6.829443196020309,2.577557916787958,1.0,-0.0,0.4114
1.0,0.34995810439152647,-0.10449514236264926,6.932413129436551,2.5238587935215477,1.0,-0.0,0.4114
1.01,0.34893492278922555,-0.10231816023009406,12.033237855906624,2.4712784019898413,1.0,-0.0,0.4114
1.02,0.3479330574703059,-0.1001865318919671,12.027795400575235,42.59395200588615,1.0,-0.0,0.4114
1.03,0.3469520643455304,-0.09809931247755113,12.022466329729918,0.13061892795332153,1.0,-0.0,0.4114
1.04,0.34599150857752103,-0.09605557680093549,12.017248281193877,0.1278977002876175,1.0,-0.0,0.4114
1.05,0.34505096438801186,-0.09405441895091599,12.01213894200234,0.1252331648649574,1.0,-0.0,0.4114
1.06,0.3441300148691175,-0.09209495188943856,12.00713604737729,0.12262414059692084,1.0,-0.0,0.4114
1.07,0.3432282517985334,-0.09017630705840858,12.002237379723597,0.12006947100117293,1.0,-0.0,0.4114
1.08,0.34234527545858645,-0.08829763399469172,11.997440767646022,0.11756802368864783,1.0,-0.0,0.4114
1.09,0.3414806944590551,-0.08645809995313565,11.992744084986729,0.11511868986179008,1.0,-0.0,0.4114
1.1,0.34063412556368067,-0.08465688953744532,11.98814524988284,0.11272038382303728,1.0,-0.0,0.4114
1.11,0.3398051935202932,-0.08289320433874854,11.983642223843614,0.11037204249335408,1.0,-0.0,0.4114
1.12,0.3389935308944763,-0.08116626258169128,11.97923301084687,0.108072624941416,1.0,-0.0,0.4114
1.1300000000000001,0.3381987779066973,-0.07947529877790603,11.974915656454229,0.10582111192181276,1.0,-0.0,0.4114
1.1400000000000001,0.3374205822728303,-0.07781956338669965,11.970688246944766,0.10361650542341949,1.0,-0.0,0.4114
1.1500000000000001,0.33665859904800216,-0.07619832248281007,11.96654890846675,0.10145782822712723,1.0,-0.0,0.4114
1.16,0.3359124904736913,-0.07461085743108485,11.962495806207025,0.09934412347237742,1.0,-0.0,0.4114
1.17,0.33518192582801193,-0.07305646456793725,11.958527143577712,0.09727445423337533,1.0,-0.0,0.4114
1.18,0.33446658127911755,-0.07153445488943855,11.954641161419843,0.09524790310352471,1.0,-0.0,0.4114
1.19,0.3337661397416585,-0.07004415374590857,11.950836137223597,0.0932635717888386,1.0,-0.0,0.4114
1.2,0.3330802907362298,-0.06858490054286881,11.947110384364771,0.09132058070992655,1.0,-0.0,0.4114
1.21,0.33240873025174755,-0.0671560484482257,11.943462251357172,0.08941806861181012,1.0,-0.0,0.4114
1.22,0.331751160610692,-0.06575696410555434,11.939890121120564,0.0875551921823764,1.0,-0.0,0.4114
1.23,0.3311072903371584,-0.06438702735335529,11.936392410263887,0.08573112567860308,1.0,-0.0,0.4114
1.24,0.3304768340276568,-0.0630456309501604,11.932967568383388,0.0839450605602654,1.0,-0.0,0.4114
1.25,0.3298595122246032,-0.0617321803053654,11.929614077375401,0.08219620513196191,1.0,-0.0,0.4114
1.26,0.3292550512924465,-0.06044609321567027,11.926330450763414,0.08048378419168611,1.0,-0.0,0.4114
1.27,0.3286631832963764,-0.059186799607010475,11.923115233039177,0.07880703868768324,1.0,-0.0,0.4114
1.28,0.32808364588355776,-0.057953741281864424,11.919966999017527,0.07716522538171872,1.0,-0.0,0.4114
1.29,0.32751618216683953,-0.05674637167182557,11.916884353204662,0.0755576165195887,1.0,-0.0,0.4114
1.3,0.32696054061088625,-0.0555641555953292,11.913865929179565,0.07398349950875266,1.0,-0.0,0.4114
