species,lat,lon,eventDate,year,locality,stateProvince,county,country,recordedBy,institutionCode,collectionCode,basisOfRecord,catalogNumber,datasetName,publishingOrgKey,publisher,gbifID,occurrenceID,identifiedBy,coordinateUncertaintyInMeters
Gyriosomus Guérin-Méneville,-29.622281,-71.28576,2024-11-12T16:34:16,2024,,Coquimbo,,Chile,Isabel (AlikantoChile),iNaturalist,Observations,HUMAN_OBSERVATION,252545642,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,4993866325,https://www.inaturalist.org/observations/252545642,Carolina Ignacia Alejandra Millalén,917.0
Gyriosomus Guérin-Méneville,-33.034987,-71.552587,2024-11-16T21:06,2024,,Valparaíso,,Chile,claclale,iNaturalist,Observations,HUMAN_OBSERVATION,251951785,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,5216808523,https://www.inaturalist.org/observations/251951785,Vicente Villablanca-Miranda,122.0
Gyriosomus Guérin-Méneville,-29.26,-71.54,2024,2024,,,,Chile,,,,PRESERVED_SPECIMEN,GyrILC_01,,ada9d123-ddb4-467d-8891-806ea8d94230,,6190217808,PX226499,,
Gyriosomus Guérin-Méneville,-29.26,-71.54,2024,2024,,,,Chile,,,,PRESERVED_SPECIMEN,GyrILC_02,,ada9d123-ddb4-467d-8891-806ea8d94230,,6190726053,PX226500,,
Gyriosomus Guérin-Méneville,-29.26,-71.54,2024,2024,,,,Chile,,,,PRESERVED_SPECIMEN,GyrILC_03,,ada9d123-ddb4-467d-8891-806ea8d94230,,6190756298,PX226501,,
Gyriosomus Guérin-Méneville,-29.125377,-71.458162,2023-01-12T19:31,2023,,Atacama,,Chile,Sebastian K. Herzog,iNaturalist,Observations,HUMAN_OBSERVATION,170636515,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,4145630206,https://www.inaturalist.org/observations/170636515,Camilo Colilaf,61.0
Gyriosomus Guérin-Méneville,-29.178961,-71.486832,2023-01-04T12:17:29,2023,,Coquimbo,,Chile,Samuel Gonzalez Ariztia,iNaturalist,Observations,HUMAN_OBSERVATION,145959999,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,5935649799,https://www.inaturalist.org/observations/145959999,Camilo Colilaf,
Gyriosomus Guérin-Méneville,-33.4308,-70.89394,2023-02-14,2023,Pudahuel,Región Metropolitana De Santiago,Santiago,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699436,KIM753_BBDD_INVERT_1328,AF-FG,
Gyriosomus Guérin-Méneville,-28.06695,-70.38274,2023-02-14,2023,Copiapó,Región De Atacama,Copiapó,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699533,KIM753_BBDD_INVERT_1425,AF-FG,
Gyriosomus Guérin-Méneville,-28.26259,-70.48511,2023-02-14,2023,Vallenar,Región De Atacama,Huasco,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699550,KIM753_BBDD_INVERT_1446,AF-FG,
