especie,voucher,sample_id,localidad,region,lat,lon,alt,anio,fuente
sp,299374104,Bastian Riveros Flores,,Coquimbo,-31.050221,-71.593781,,2025,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,328333808,Sergio,,Antofagasta,-25.276166,-70.429999,,2025,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,321466950,Pablo Silva,,Coquimbo,-29.334175,-71.176561,,2025,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,326467404,Daniel Ape Osorio,,Coquimbo,-29.596234,-71.254281,,2025,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,353857763,Aren Carrasco B.,,Atacama,-29.10427,-71.445396,,2025,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,353902370,Aren Carrasco B.,,Atacama,-29.104145,-71.445302,,2025,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,324687824,Eric Rojas-Abarca,,Atacama,-27.750822,-71.033905,,2025,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,324597806,William O'Mullane,,Coquimbo,-29.962066,-71.356681,,2025,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,328339201,Cochi González,,Antofagasta,-24.940982,-70.556453,,2025,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,361450476,tili_mllr,,Atacama,-27.599619,-70.440518,,2025,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,Cristobal Tello,Las Verbenas,Región de Atacama,-28.68571,-70.65071,,2024,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,Cristobal Tello,Las Verbenas,Región de Atacama,-28.63483,-70.64736,,2024,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,256159133,James Bailey,,Coquimbo,-29.308015,-71.274322,,2024,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,247404795,Jaime Aguilar Ortega,,Coquimbo,-30.212406,-71.373722,,2024,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,248391080,Pablo Silva,,Coquimbo,-29.290818,-71.301303,,2024,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,249300497,Francisco Riquelme Tapia,,Coquimbo,-29.345053,-71.573468,,2024,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,251502299,Carolina Pavez Andrade,,Valparaíso,-32.688914,-70.730042,,2024,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,252545642,Isabel (AlikantoChile),,Coquimbo,-29.622281,-71.28576,,2024,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,251951785,claclale,,Valparaíso,-33.034987,-71.552587,,2024,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,GyrILC_01,,,,-29.26,-71.54,,2024," (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,GyrILC_02,,,,-29.26,-71.54,,2024," (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,GyrILC_03,,,,-29.26,-71.54,,2024," (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,170636515,Sebastian K. Herzog,,Atacama,-29.125377,-71.458162,,2023,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,145959999,Samuel Gonzalez Ariztia,,Coquimbo,-29.178961,-71.486832,,2023,"iNaturalist / Observations (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Pudahuel,Región Metropolitana De Santiago,-33.4308,-70.89394,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Copiapó,Región De Atacama,-28.06695,-70.38274,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Vallenar,Región De Atacama,-28.26259,-70.48511,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Copiapó,Región De Atacama,-28.02331,-70.35709,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Vallenar,Región De Atacama,-28.29438,-70.49999,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Vallenar,Región De Atacama,-28.29438,-70.49999,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Vallenar,Región De Atacama,-28.29438,-70.49999,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Vallenar,Región De Atacama,-28.46151,-70.60439,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Vallenar,Región De Atacama,-28.46693,-70.59701,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Vallenar,Región De Atacama,-28.46693,-70.59701,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Vallenar,Región De Atacama,-28.46693,-70.59701,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Vallenar,Región De Atacama,-28.75851,-70.69289,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Vallenar,Región De Atacama,-28.75851,-70.69289,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Vallenar,Región De Atacama,-28.75851,-70.69289,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Vallenar,Región De Atacama,-28.87525,-70.72023,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,La Serena,Región De Coquimbo,-29.6682,-70.92937,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,La Serena,Región De Coquimbo,-29.67371,-70.9281,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Río Hurtado,Región De Coquimbo,-30.31824,-70.96697,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Río Hurtado,Región De Coquimbo,-30.32127,-70.96799,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
sp,,AF-FG,Canela,Región De Coquimbo,-31.45053,-71.21054,,2023,"CNX (via GBIF.org, taxonKey=4760162, consultado 2026-08-01)"
