especie,voucher,sample_id,localidad,region,lat,lon,alt,anio,fuente
maculatus,s/d,G. maculatus (paratipo),E Totoral,Atacama,-27.8978,-70.8922,300,1997,"Guerrero y Aceituno 2020, Revista Chilena de Entomología 46(2)"
laevis,s/d,G. laevis stat. nov. (paratipo),Tabaqueros,Coquimbo,-30.4681,-71.0222,486,2006,"Guerrero y Aceituno 2020, Revista Chilena de Entomología 46(2)"
