especie,voucher,sample_id,localidad,region,lat,lon,alt,anio,fuente
kingi,GyrB16_02,G. kingi (11),Tres Playitas,III,-28.4389,-71.1836,69,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
planatus,GyrAGLU01,G. plantatus (11),"Agua Luna, Los Toyos",III,-28.326,-71.1687,25,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
atacamensis,GyrG20A_01,G. atacamensis (12),Altos de Freirina,III,-28.4156,-70.9767,517,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
atacamensis,GyrG20A_02,G. atacamensis (12),Altos de Freirina,III,-28.4156,-70.9767,517,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
kingi,GyrB15_02,G. aff. kingi (13),Guacolda,III,-28.4859,-71.2382,101,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
kingi,GyrB15_19,G. aff. kingi (13),Guacolda,III,-28.4859,-71.2382,101,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
kulzeri,GyrB15_01,G. kulzeri (13),Guacolda,III,-28.4859,-71.2382,101,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
kulzeri,GkulB15_01,G. kulzeri (13),Guacolda,III,-28.4859,-71.2382,101,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
kulzeri,GyrARHU1,G. kulzeri (13),Arenales de Huasco,III,-28.4874,-71.2462,58,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
parvus,GyrGUAC1,G. parvus (13),Guacolda,III,-28.4874,-71.2462,58,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
kingi,GyrB13_03,G. aff. kingi (14),"Ruta C494, 4 Km S de Freirina",III,-28.5497,-71.0805,328,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
kingi,GyrQFR1,G. kingi (14),Quebrada Freirina,III,-28.5143,-71.0795,173,2015,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
parvus,GyrB14_01,G. parvus (14),"Ruta C452, 2 Km N de Freirina",III,-28.497,-71.0496,237,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
parvus,GyrB13_02,G. parvus (14),"Ruta C494, 4 Km S de Freirina",III,-28.5497,-71.0805,328,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
gebieni,GyrAGTO1,G. gebieni (15),Aguada Tongoy,III,-28.6105,-71.269,197,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
gebieni,GyrAGTO2,G. gebieni (15),Aguada Tongoy,III,-28.6105,-71.269,197,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
gebieni,GyrS17_01,G. gebieni (15),Aguada Tongoy,III,-28.6144,-71.2722,141,2021,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
planatus,GyrG25_01,G. planatus (15),Caleta los Bronces,III,-28.6457,-71.2382,237,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
planatus,GyrG25_02,G. planatus (15),Caleta los Bronces,III,-28.6457,-71.2382,237,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
confusus,GyrMOR1,G. confusus (16),El Morado,III,-28.9379,-71.256,378,2015,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
confusus,GyrG28_01,G. confusus (16),"Quebrada Chañaral, Domeyko",III,-28.9585,-71.1844,417,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
confusus,GyrG28_02,G. confusus (16),"Quebrada Chañaral, Domeyko",III,-28.9585,-71.1844,417,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
parvus,GyrB11_01,G. parvus (16),"Quebrada el Morado, ruta 494",III,-28.9039,-71.2205,549,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
parvus,GyrB11_02,G. parvus (16),"Quebrada el Morado, ruta 494",III,-28.9039,-71.2205,549,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
whitei,GyrB12_01,G. whitei (17),"Quebrada Chañaral, 17 km W Domeyko",III,-28.9651,-71.0637,560,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
whitei,GyrB12_02,G. whitei (17),"Quebrada Chañaral, 17 km W Domeyko",III,-28.9651,-71.0637,560,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
whitei,GwhiB12_01,G. whitei (17),"Quebrada Chañaral, 17 km W Domeyko",III,-28.9651,-71.0637,560,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
whitei,GyrG29_01,G. whitei (18),Espantajos,III,-28.8551,-71.3942,230,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
whitei,GyrG29_02,G. whitei (18),Espantajos,III,-28.8551,-71.3942,230,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
gebieni,GyrB10_09,G. gebieni (18),Carrizalillo,III,-29.1049,-71.4222,81,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
penai,GyrG30_01,G. penai (18),Carrizalillo,III,-29.0593,-71.3991,154,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
penai,GyrG30_02,G. penai (18),Carrizalillo,III,-29.0593,-71.3991,154,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
penai,GpenCAR1_01,G. penai (18),Carrizalillo,III,-29.1095,-71.4103,111,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
whitei,GyrB10_02,G. whitei (18),Carrizalillo,III,-29.1049,-71.4222,81,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
whitei,GyrB10_01,G. withei (18),Carrizalillo,III,-29.1049,-71.4222,81,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
barriai,GyrCACH2,G. barriai (19),"Ruta D110, 5 km E Los Choros",IV,-29.294,-71.2953,86,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
elongatus,GyrCHO2,G. elongatus (19),Los Choros,IV,-29.2506,-71.4578,23,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
elongatus,GyrB09_01,G. elongatus (19),Punta de Choros,IV,-29.2944,-71.3529,18,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
elongatus,GyrB09_02,G. elongatus (19),Punta de Choros,IV,-29.2944,-71.3529,18,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
elongatus,GeloB09_01,G. elongatus (19),Punta de Choros,IV,-29.2944,-71.3529,18,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
granulipennis,GyrILC_01,G. granulipennis (19),Isla Los Choros,IV,-29.2555,-71.5385,50,2024,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
granulipennis,GyrILC_02,G. granulipennis (19),Isla Los Choros,IV,-29.2555,-71.5385,50,2024,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
granulipennis,GyrILC_03,G. granulipennis (19),Isla Los Choros,IV,-29.2555,-71.5385,50,2024,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
barriai,GyrTRA2,G. aff. barriai (20),El Trapiche,IV,-29.344,-71.1484,242,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
amabilis,GyrTRA5,G. amabilis (20),El Trapiche,IV,-29.344,-71.1484,242,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
amabilis,GyrG06_01,G. amabilis (20),Punta Colorada,IV,-29.3489,-71.0264,392,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
amabilis,GyrG06_02,G. amabilis (20),Punta Colorada,IV,-29.3489,-71.0264,392,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
marmoratus,GyrB08A_03,G. marmoratus (21),La Higuera,IV,-29.5067,-71.2184,492,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
amabilis,GyrLAHIG1,G. amabilis (21),La Higuera,IV,-29.5118,-71.2057,408,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
luczotii,GyrB08B_01,G. luczoti (21),La Higuera,IV,-29.4883,-71.2411,408,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
luczotii,GyrB07_01,G. luczoti (21),Cuesta Buenos Aires,IV,-29.5779,-71.2492,294,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
luczotii,GyrB07_02,G. luczoti (21),Cuesta Buenos Aires,IV,-29.5779,-71.2492,294,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
marmoratus,GyrB08A_01,G. marmoratus (21),La Higuera,IV,-29.5067,-71.2184,492,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
marmoratus,GyrB07_05,G. marmoratus (21),Cuesta Buenos Aires,IV,-29.5779,-71.2492,294,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
marmoratus,GyrB07_06,G. marmoratus (21),Cuesta Buenos Aires,IV,-29.5779,-71.2492,294,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
marmoratus,GmarB07_01,G. marmoratus (21),Cuesta Buenos Aires,IV,-29.5779,-71.2492,294,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
bridgesi,GyrPTEA1,G. bridgesi (22),Punta Teatinos,IV,-29.8174,-71.2803,9,2011,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
luczotii,GyrB06_01,G. luczoti (22),Cuesta Porotitos,IV,-29.7947,-71.2922,117,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
hopei,GyrB05_03,G. hopei (23),Las Tacas,IV,-30.1053,-71.3632,36,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
luczotii,GyrB05_01,G. luczoti (23),Las Tacas,IV,-30.1053,-71.3632,36,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
crispaticollis,GyrG43B_01,G. crispaticollis (24),El Tangue,IV,-30.3457,-71.5677,116,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
hopei,GyrG42_01,G. hopei (24),El Tangue,IV,-30.3542,-71.5754,116,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
