t,ged,var_int,efic,geom,busc,omega,gradE,coh,lf,warmup,asim_geom,baja_geom,alta_geom
0.0000,0.00000235,6.0295e-05,NaN,0.295713,-0.003904,0.000000,0.066683,0.000031,1,1,-0.388006,0.510346,0.122340
0.5000,0.00000241,6.0565e-05,NaN,0.331670,0.017023,0.613790,0.569203,0.000000,1,1,-0.798929,0.798929,0.000000
1.0000,0.00000235,5.9603e-05,NaN,0.380800,0.041297,0.594480,-0.206684,-0.000000,1,1,-0.999959,0.999975,0.000016
1.5000,0.00000218,5.7185e-05,NaN,0.380793,0.052483,0.580606,-0.012532,-0.000000,1,1,-0.999994,0.999991,-0.000004
2.0000,0.00000188,5.3663e-05,NaN,0.382696,0.053783,0.612774,0.057744,0.000000,1,1,-0.990203,0.995780,0.005577
2.5000,0.00000147,4.9626e-05,NaN,0.382277,0.053545,0.591603,-0.487705,-0.000000,1,1,-0.990893,0.995675,0.004783
3.0000,0.00000101,4.4927e-05,NaN,0.380799,0.056902,0.617604,-0.108427,-0.000000,1,1,-0.999715,0.999803,0.000087
3.5000,0.00000069,4.0422e-05,NaN,0.380779,0.057871,0.619718,0.257871,0.000000,1,1,-1.000018,0.999987,-0.000031
4.0000,0.00000066,3.8185e-05,NaN,0.388173,0.050036,0.638328,0.334716,0.000000,1,1,-0.947510,0.973629,0.026119
4.5000,0.00000082,4.1323e-05,NaN,0.391778,0.038530,0.653634,-0.931137,-0.000000,1,1,-0.898151,0.944670,0.046519
5.0000,0.00000089,5.0588e-05,NaN,0.391969,0.026638,0.680753,0.253915,0.000000,1,1,-0.861167,0.920202,0.059035
5.5000,0.00000071,6.7394e-05,NaN,0.383497,0.020533,0.706188,0.220301,0.000000,1,1,-0.883647,0.924647,0.041001
6.0000,0.00000062,9.0472e-05,NaN,0.375183,0.019412,0.712060,-0.782440,-0.000000,1,1,-0.881532,0.912502,0.030970
6.5000,0.00000178,1.1803e-04,0.015123,0.390629,0.010800,0.727985,0.864696,0.000000,1,1,-0.722144,0.828522,0.106378
7.0000,0.00000418,1.4932e-04,0.027974,0.411569,0.005556,0.731289,0.684484,0.000000,1,1,-0.476831,0.703392,0.226561
7.5000,0.00000750,1.8257e-04,0.041079,0.407533,-0.030374,0.767392,-0.376695,-0.000000,1,1,0.563191,0.185345,0.748535
