D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,0.6000,0.0000,4.3462,0.0000,1.9629,0.0000,12.5933,0.00000,0.0000,0.000000,0.5640,0.00000,0.00000,0.07743,1,0.0295,banda<=ruido,1,56.0,1,56,0,350,1,0.017857,1.2418e-31,0.97858
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,0.6136,0.0000,4.3137,0.0000,1.9890,0.0000,12.4150,0.00000,0.0000,0.000000,0.5640,0.00000,0.00000,0.07654,1,0.0295,banda<=ruido,1,56.0,1,56,0,350,1,0.017857,1.2418e-31,0.97858
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,0.6271,0.0000,4.3727,0.0000,1.9867,0.0000,12.3093,0.00000,0.0000,0.000000,0.5640,0.00000,0.00000,0.07759,1,0.0295,banda<=ruido,1,56.0,1,56,0,350,1,0.017857,1.2418e-31,0.97858
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,0.6407,0.0000,4.3205,0.0000,1.9865,0.0000,12.1209,0.00000,0.0000,0.000000,0.5640,0.00000,0.00000,0.07831,1,0.0295,banda<=ruido,1,56.0,1,56,0,350,1,0.017857,1.2418e-31,0.97858
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,0.6542,0.0000,4.3439,0.0000,1.9890,0.0000,12.0054,0.00000,0.0000,0.000000,0.5640,0.00000,0.00000,0.07719,1,0.0295,banda<=ruido,1,56.0,1,56,0,350,1,0.017857,1.2418e-31,0.97858
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,0.6678,0.0000,4.3177,0.0000,1.9765,0.0000,11.8125,0.00000,0.0000,0.000000,0.5640,0.00000,0.00000,0.07768,1,0.0295,banda<=ruido,1,56.0,1,56,0,350,1,0.017857,1.2418e-31,0.97858
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,0.6814,0.0000,4.3208,0.0000,1.9984,0.0000,11.6997,0.00000,0.0000,0.000000,0.5640,0.00000,0.00000,0.07845,1,0.0295,banda<=ruido,1,59.0,1,59,0,350,1,0.016949,1.2418e-31,0.97858
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,0.6949,0.0000,4.3409,0.0000,1.9869,0.0000,11.5664,0.00000,0.0000,0.000000,0.5640,0.00000,0.00000,0.07742,1,0.0295,banda<=ruido,1,103.0,1,103,0,600,1,0.009709,1.2418e-31,0.97858
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,0.7085,0.9413,4.3751,0.0000,1.9895,4.3275,25.2033,19.84853,0.3244,0.001750,0.3168,0.00188,0.00188,0.07650,85,0.0708,banda<=ruido,0,31.0,1,31,0,400,1,0.032258,1.9133e-7,0.97334
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,0.7220,0.7540,4.3556,0.0000,1.9892,4.0121,24.8583,29.36488,0.3746,0.001596,0.3010,0.00175,0.00175,0.07683,77,0.0832,banda<=ruido,0,29.0,1,29,0,400,1,0.034483,1.7689e-7,0.98778
