beta,sigma,potencia_base,semilla,r_real,percentil_r_real_en_nula,media_nula,desviacion_nula
0.8,3,0.3,1,-0.12231096338614715,18.9,-0.004134234749516231,0.1271047044832501
0.8,3,0.47,1,-0.11628406811322337,21.3,-0.003861301021018805,0.12855987426691423
0.8,3,0.65,1,-0.15743546277404213,11.1,-0.004923473881430949,0.12873950794679212
0.8,5,0.3,1,-0.12231096338614715,18.5,-0.0022838191418013292,0.13012963957819695
0.8,5,0.47,1,-0.11628406811322337,20.8,-0.002408709038064073,0.12902077630647188
0.8,5,0.65,1,-0.15743546277404213,11.2,-0.0026076767361018376,0.12711288212447588
0.8,6.8,0.3,1,-0.12231096338614715,17,0.0007972646229933098,0.1330859906641297
0.8,6.8,0.47,1,-0.11628406811322337,20.5,0.0016025212179127982,0.13321964968803787
0.8,6.8,0.65,1,-0.15743546277404213,11.9,-0.002111085398170376,0.12858427698748748
0.8,8,0.3,1,-0.12231096338614715,18.9,-0.0022807074059656395,0.13000122849470372
0.8,8,0.47,1,-0.11628406811322337,19.4,-0.002671050932006205,0.1295345991183873
0.8,8,0.65,1,-0.15743546277404213,10.5,0.004896311338861022,0.13158916980861032
0.88,3,0.3,1,-0.13453393197644906,14.6,0.005523792549599948,0.1291669074688313
0.88,3,0.47,1,-0.13159408716093005,16.2,0.003175555232813378,0.13271653996850238
0.88,3,0.65,1,-0.1669866487960751,11.2,-0.00018669125523779092,0.12801803987747376
0.88,5,0.3,1,-0.13453393197644906,16.5,-0.0014322779481650777,0.13118900386022764
0.88,5,0.47,1,-0.13159408716093005,18.4,-0.00412733432030794,0.1334357579072093
0.88,5,0.65,1,-0.1669866487960751,8.9,0.00492825014035252,0.1281577004515964
0.88,6.8,0.3,1,-0.13453393197644906,15.1,-0.001967487978705551,0.13144703554507556
0.88,6.8,0.47,1,-0.13159408716093005,15.7,0.004834289738079057,0.13084242350522332
0.88,6.8,0.65,1,-0.1669866487960751,10,0.0030743871650384317,0.13145977770391232
0.88,8,0.3,1,-0.13453393197644906,16.8,-0.0005409931036766441,0.13145786203728668
0.88,8,0.47,1,-0.13159408716093005,16.6,-0.0015189180541017905,0.1291359277914301
0.88,8,0.65,1,-0.1669866487960751,9.3,0.007884602983489373,0.1347329366472072
0.94,3,0.3,1,-0.1559661085499091,10.4,0.002406915397198716,0.13034901414555852
0.94,3,0.47,1,-0.15955406633171446,10.2,0.0007329730937358179,0.12754750717605778
0.94,3,0.65,1,-0.1798026135233457,7.2,0.009861583485470027,0.12888437872127578
0.94,5,0.3,1,-0.1559661085499091,10.8,-0.0003693860838262531,0.1274810114378611
0.94,5,0.47,1,-0.15955406633171446,11.2,0.001450160196484852,0.12876809568347425
0.94,5,0.65,1,-0.1798026135233457,8.1,-0.0012257719285862518,0.12722676447282955
0.94,6.8,0.3,1,-0.1559661085499091,12,-0.002583408578679087,0.12985277594485542
0.94,6.8,0.47,1,-0.15955406633171446,10.1,-0.00014739816244657589,0.12766552755507643
0.94,6.8,0.65,1,-0.1798026135233457,8.4,-0.003340492509483,0.13031425060452723
0.94,8,0.3,1,-0.1559661085499091,11.1,0.0026078292302365823,0.13261525614908376
0.94,8,0.47,1,-0.15955406633171446,9.4,0.0018388428928935545,0.12783566162593535
0.94,8,0.65,1,-0.1798026135233457,8.7,-0.003615426322277609,0.12948137120893566
0.98,3,0.3,1,-0.17111394430094384,9.6,0.0018595590860894465,0.1320154588353596
0.98,3,0.47,1,-0.17207512232914043,8.7,-0.0012556827904163439,0.1279534906761085
0.98,3,0.65,1,-0.1809676564567131,9,-0.00035883830102983175,0.13292265631870082
0.98,5,0.3,1,-0.17111394430094384,9.6,0.007706793007143015,0.13445383298310146
0.98,5,0.47,1,-0.17207512232914043,8.5,-0.0039146601296085395,0.12348609341872117
0.98,5,0.65,1,-0.1809676564567131,5.5,0.007355470371569219,0.1271767288616435
0.98,6.8,0.3,1,-0.17111394430094384,9.5,-0.0022931800593932097,0.12785874394199065
0.98,6.8,0.47,1,-0.17207512232914043,7.5,0.005926332743879219,0.12622416430379593
0.98,6.8,0.65,1,-0.1809676564567131,8.3,-0.0076980755460970005,0.12833542481007898
0.98,8,0.3,1,-0.17111394430094384,9.4,0.002467827278720424,0.12950349968457495
0.98,8,0.47,1,-0.17207512232914043,8.6,-0.001840561788913288,0.12283694144007276
0.98,8,0.65,1,-0.1809676564567131,7.3,-0.000970024859689503,0.12791688099547927
0.8,3,0.3,2,-0.14638552546627415,12.1,0.0031007117409136736,0.12930148397166333
0.8,3,0.47,2,-0.2861416373954539,1.1,-0.002290454821483546,0.130903198167763
0.8,3,0.65,2,-0.32581171225054095,0.5,-0.002634090174038973,0.12742418337182904
0.8,5,0.3,2,-0.14638552546627415,12,0.00518383911819143,0.12790124684627455
0.8,5,0.47,2,-0.2861416373954539,1.6,-0.0032734497125789445,0.13210857266892712
0.8,5,0.65,2,-0.32581171225054095,0.4,0.004439324575299664,0.12769935057581527
0.8,6.8,0.3,2,-0.14638552546627415,13,0.0015816504216748348,0.12821557704172928
0.8,6.8,0.47,2,-0.2861416373954539,1,-0.003507510378485683,0.1285101100738114
0.8,6.8,0.65,2,-0.32581171225054095,0.4,0.0006750681075654669,0.13049466211054497
