semilla,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
1,0.3,0.8,3,0.0079,1.105,25,18,4.1,0,0.25,0.8599530497177521,4.304366589929005,0,3.473762330533918,4.321742924719826,3.761017378698608,3.074606675205248,0.4383776609203611,0.0018420896611692987,0.19451255282776322,0.006560112676889607,0.006560112676889607,0.07744837850448677,109,0.03614321000346012,banda<=ruido,0
1,0.3,0.8,3,0.0079,1.105,25,18,4.1,0,0.2788135593220339,1.4805849724220765,4.337857602202637,0,3.480082871511424,4.07560060165103,3.3890868513118586,3.041011615613881,0.463213575469705,0.001816835696396136,0.1900016262680924,0.007921150951480632,0.007921150951480632,0.07762381529668344,105,0.03892696697317262,banda<=ruido,0
1,0.3,0.8,3,0.0079,1.105,25,18,4.1,0,0.3076271186440678,0.7049450065963295,4.235335216074345,0,3.4339487642662485,3.8506182302080347,3.0616327558328935,3.4901268458535393,0.4824704171381492,0.0017203193477682496,0.18315031764126158,0.004431639642324403,0.004431639642324403,0.0778706413549371,98,0.0420263733957711,banda<=ruido,0
1,0.3,0.8,3,0.0079,1.105,25,18,4.1,0,0.33644067796610166,1.9070538719825698,4.3871588268767505,1.1796148526507126,3.564425041457529,4.200629602235543,3.095679099168296,6.764138765902916,0.5329075040380382,0.0015578964767406023,0.16673735339605963,0.012624355548085747,0.012624355548085747,0.07736264732759446,112,0.059996214756701735,banda<=ruido,0
1,0.3,0.8,3,0.0079,1.105,25,18,4.1,0,0.3652542372881356,0.9097361225311662,4.351619972655997,0,3.5644833995553213,3.9895884374255512,4.381906876991625,40.577314666985174,0.6778623404501868,0.0016233541362953065,0.1184005401237525,0.0037939447374968766,0.0037939447374968766,0.07788055470725519,91,0.09444975841463048,banda<=ruido,0
1,0.3,0.8,3,0.0079,1.105,25,18,4.1,0,0.3940677966101695,0.9871377743721863,4.328563378262603,0.9871377743721863,3.5463964381818656,4.292908459675856,4.39703433524379,50.88951021118693,0.7140603804605015,0.0016059191086557727,0.10780137712961778,0.003344645678090216,0.003344645678090216,0.078744203299284,95,0.10209128381545124,banda<=ruido,0
1,0.3,0.8,3,0.0079,1.105,25,18,4.1,0,0.4228813559322034,0.8366407419411672,4.329011276637689,0,3.4914977383466548,4.253667335373879,4.415378957092887,49.05369422398518,0.7333545998275887,0.0018106505653062417,0.09875183604737806,0.0020478295055393197,0.0020478295055393197,0.0781762334683444,93,0.11116542348839861,banda<=ruido,0
1,0.3,0.8,3,0.0079,1.105,25,18,4.1,0,0.45169491525423733,0.9007196798623593,4.377503155416376,0.41381685030363374,3.5627987762726248,4.203703428645896,4.3332753137875635,58.92616091468573,0.7645112278776689,0.0016609182891236757,0.09182504041642128,0.0032102680160082803,0.0032102680160082803,0.07770926918974147,96,0.11631066875942962,banda<=ruido,0
1,0.3,0.8,3,0.0079,1.105,25,18,4.1,0,0.4805084745762712,0.9927744539878083,4.3876652056501015,0.3207930355475232,3.498564265428911,4.301482466772107,4.27839927464222,65.4492868762562,0.7919060961495888,0.0016955918965441627,0.08556583723927091,0.002441708349772767,0.002441708349772767,0.07501255292026326,91,0.1243871782407205,banda<=ruido,0
1,0.3,0.8,3,0.0079,1.105,25,18,4.1,0,0.5093220338983051,0.9182958340544896,4.363642065650224,0.975617030221205,3.4866338766376006,3.8944782830015683,4.164236903619607,107.49101399251329,0.8262895075737614,0.0014989066012771335,0.08007670254272166,0.0027201040599474646,0.0027201040599474646,0.07856742588803178,84,0.1272086732651269,banda<=ruido,0
