semilla,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.25,1.5985336454150527,4.304366589929005,0,3.074476662605051,4.348616957129899,4.489124760412062,9.93510125254075,0.34736423820618006,0.0018416408688136296,0.2631741403783365,0.008447878543455356,0.008447878543455356,0.07744837850448683,113,0.11590097167363915,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.2788135593220339,1.9434976760430858,4.337857602202637,0,3.047855722099055,4.083417770224425,4.109605910863938,9.688381071687811,0.3731486930256951,0.0018162377382174354,0.2576887923817302,0.01055600117025024,0.01055600117025024,0.0776238152966835,113,0.12103836612652304,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.3076271186440678,0.6873150928309273,4.235335216074345,0,3.0293889762805066,3.9670654590317778,3.769527619718931,10.761851470887288,0.39398355915239464,0.0017222024189437548,0.2493460416534531,0.005611494007080109,0.005611494007080109,0.07787064135493715,106,0.1264381491425971,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.33644067796610166,2.248033988293429,4.3871588268767505,1.0368902807106744,3.0632243227911435,4.2066436473554925,3.778455946102582,19.641458928660555,0.4475603981712525,0.001545459378894921,0.22867573786329498,0.01583141285858361,0.01583141285858361,0.07736264732759446,113,0.15779334600935235,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.3652542372881356,0.9097361225311662,4.351619972655997,0.8912402011913028,3.112536048065075,4.0170540870042695,4.97588402965691,91.10264959656637,0.603615196367026,0.0016227372120828985,0.16675470878140564,0.0051969516981614505,0.0051969516981614505,0.0778805547072553,102,0.21416414025418895,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.3940677966101695,0.9871377743721863,4.328563378262603,0,3.0975664672504077,4.330868097692054,4.972671996299212,111.45607780568038,0.6421056728285733,0.0016078338236171616,0.15268640720269402,0.004707763803823262,0.004707763803823262,0.078744203299284,104,0.2265334179422911,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.4228813559322034,0.8112781244591328,4.329011276637689,0.41381685030363374,3.0725614191728967,4.291242659514246,4.978289447176883,105.6958632567694,0.6629907885670885,0.001809443916569395,0.14045796894707258,0.002882982053828781,0.002882982053828781,0.07817623346834446,99,0.2411630381080496,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.45169491525423733,0.9007196798623593,4.377503155416376,0.5197027865043055,3.070335856929565,4.2112985104718605,4.886349906360394,125.91116400196876,0.6953769038060653,0.0016597052785786034,0.13103667296558835,0.004564400707184169,0.004564400707184169,0.07770926918974141,100,0.24939759117443172,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.4805084745762712,0.9927744539878083,4.3876652056501015,0,2.969606829656858,4.29953099536381,4.8261117522427295,138.6238879459344,0.7234420364495258,0.001695512234540035,0.12240995751444612,0.003489467037103025,0.003489467037103025,0.07501255292026332,101,0.2625350086112025,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.5093220338983051,0.9264046681474138,4.363642065650224,0,3.063957301230346,3.9088173638832946,4.706274554452092,230.66149369863933,0.7585348012197013,0.0014968389725115439,0.11482259693658467,0.003850376933358546,0.003850376933358546,0.07856742588803167,90,0.26699065627810414,banda<=ruido,0
