eje_A,eje_B,eje_C,combo,rule_id,clase,pendiente,z_agg,holon_ratio
A1,B0,C2,A1-B0-C2,A1-B0-C2-r4,III,1.3687344685838294,1.507587581766208,2.2740752894668788
A1,B0,C2,A1-B0-C2,A1-B0-C2-r0,III,0.7689776172563869,1.441953701621501,1.9620637007611772
A1,B0,C2,A1-B0-C2,A1-B0-C2-r1,I,0.47332113362268785,0.35355339006827347,2.778840278975875
A1,B0,C2,A1-B0-C2,A1-B0-C2-r2,I,0.32182829834616117,0.8485281356238573,6.214271813258993
A1,B0,C2,A1-B0-C2,A1-B0-C2-r3,I,0.6728478957887525,0.9554326323031119,1.986403167170368
A1,B0,C2,A1-B0-C2,A1-B0-C2-r4,II,0.43642434426987825,0.4242640678119285,3.957799564680559
A1,B1,C0,A1-B1-C0,A1-B1-C0-r0,I,0.32234137710396094,0.7071067796865474,0.9835609260026879
A1,B1,C0,A1-B1-C0,A1-B1-C0-r1,I,0.5621676243532893,0.14142135593730976,0.9923273938675974
A1,B1,C0,A1-B1-C0,A1-B1-C0-r2,I,0.5376165577764482,0.4242640678119288,2.1298723603311505
A1,B1,C0,A1-B1-C0,A1-B1-C0-r3,II,0.4421697513234396,0.14142135593730937,0.7071595475350262
A1,B1,C0,A1-B1-C0,A1-B1-C0-r4,I,0.531031748604167,0.2828427118746191,0.8585878247279781
A1,B1,C0,A1-B1-C0,A1-B1-C0-r0,I,0.3077351552243139,0.7071067796865474,1.158922124473127
A1,B1,C0,A1-B1-C0,A1-B1-C0-r1,II,0.4067279356568393,0.5656854237492382,0.6435360453629575
A1,B1,C0,A1-B1-C0,A1-B1-C0-r2,I,0.4707227395636992,0.848528135623857,1.0534507326557414
A1,B1,C0,A1-B1-C0,A1-B1-C0-r3,I,0.5565827738494437,0.3863703299156272,0.867329981548577
A1,B1,C0,A1-B1-C0,A1-B1-C0-r4,I,0.5273372490905626,0.2449489739783178,0.90530627899964
A1,B1,C1,A1-B1-C1,A1-B1-C1-r0,II,0.42810212487583527,1.272792203435785,0.8991909013425239
A1,B1,C1,A1-B1-C1,A1-B1-C1-r1,II,0.438954991652873,0.9899494915611664,1.094741210223518
A1,B1,C1,A1-B1-C1,A1-B1-C1-r2,II,0.43207223879163537,0.2828427118746191,0.5228726000413764
A1,B1,C1,A1-B1-C1,A1-B1-C1-r3,I,0.3141307003807452,0.28284271187461874,1.163202061156125
A1,B1,C1,A1-B1-C1,A1-B1-C1-r4,I,0.2684166886710425,0.7071067796865474,1.3335270526890106
A1,B1,C1,A1-B1-C1,A1-B1-C1-r0,I,0.47904738891798093,0.7071067796865476,1.2248204982354651
A1,B1,C1,A1-B1-C1,A1-B1-C1-r1,I,0.32002640425595547,0.5656854237492382,0.7283990890843011
A1,B1,C1,A1-B1-C1,A1-B1-C1-r2,I,0.2758817413263904,0.7071067796865478,1.8911939369681559
A1,B1,C1,A1-B1-C1,A1-B1-C1-r3,I,0.46272540871220136,0.5656854238992379,0.8324887580574327
A1,B1,C1,A1-B1-C1,A1-B1-C1-r4,I,0.2823006510045235,1.272792203435786,1.5171388830268413
A1,B1,C2,A1-B1-C2,A1-B1-C2-r0,I,0.5485786794668177,0.0,1.6140853530441788
A1,B1,C2,A1-B1-C2,A1-B1-C2-r1,I,0.27829150526767343,0.8485281356238568,1.7193260948931512
A1,B1,C2,A1-B1-C2,A1-B1-C2-r2,I,0.5034700643615089,0.4242640680119284,0.6500310490513895
A1,B1,C2,A1-B1-C2,A1-B1-C2-r3,II,0.3599076891201685,0.565685423749238,2.7521869684512876
A1,B1,C2,A1-B1-C2,A1-B1-C2-r4,II,0.42651225800062964,0.7071067799865475,1.6038736780462624
A1,B1,C2,A1-B1-C2,A1-B1-C2-r0,I,0.4577824731291876,0.2828427118746191,0.6682319817459073
A1,B1,C2,A1-B1-C2,A1-B1-C2-r1,II,0.3637173142436647,0.14142135593730976,1.0967223819283214
A1,B1,C2,A1-B1-C2,A1-B1-C2-r2,I,0.3055890207886784,0.28284271187461896,0.6821181912790227
A1,B1,C2,A1-B1-C2,A1-B1-C2-r3,I,0.31249278213197607,0.42426406781192816,1.0714645881574725
A1,B1,C2,A1-B1-C2,A1-B1-C2-r4,I,0.31999032630735236,0.14142135593730937,2.071873409952925
A2,B0,C0,A2-B0-C0,A2-B0-C0-r0,I,0.34215134422250193,0.848528135623857,0.8855384910289141
A2,B0,C0,A2-B0-C0,A2-B0-C0-r1,II,0.39641932292327464,0.848528135623857,1.1840187514534843
A2,B0,C0,A2-B0-C0,A2-B0-C0-r2,II,0.3761835852498129,0.2828427118746191,0.8763897129501983
A2,B0,C0,A2-B0-C0,A2-B0-C0-r3,I,0.6472547688928773,2.1213203390596425,1.571854780290852
A2,B0,C0,A2-B0-C0,A2-B0-C0-r4,I,0.45387673716871646,0.5656854238992375,0.9078301901244746
A2,B0,C0,A2-B0-C0,A2-B0-C0-r0,II,0.4255837087831858,0.5656854238992375,1.0285611362055929
A2,B0,C0,A2-B0-C0,A2-B0-C0-r1,II,0.43671523573055504,0.4949747458555834,1.6190821407681728
A2,B0,C0,A2-B0-C0,A2-B0-C0-r2,I,0.3269359051502888,1.272792203435786,0.8336055068633696
A2,B0,C0,A2-B0-C0,A2-B0-C0-r3,I,0.5093607218924938,0.9899494915611662,1.796433638879951
A2,B0,C0,A2-B0-C0,A2-B0-C0-r4,I,0.33809147060029077,0.989949491561166,1.3227512515969333
A2,B0,C1,A2-B0-C1,A2-B0-C1-r0,I,0.3190811108774048,0.565685423749238,2.5746779245920886
A2,B0,C1,A2-B0-C1,A2-B0-C1-r1,I,0.5406176153675916,0.42426406796192817,2.631184412051342
A2,B0,C1,A2-B0-C1,A2-B0-C1-r2,II,0.4093961203247521,0.5656854237492379,3.1978846971697688
A2,B0,C1,A2-B0-C1,A2-B0-C1-r3,I,0.45474854867641046,0.4242640678119288,2.858900377694788
A2,B0,C1,A2-B0-C1,A2-B0-C1-r4,I,0.2606877844442043,0.8485281356238572,3.2606767697571266
A2,B0,C1,A2-B0-C1,A2-B0-C1-r0,I,0.30482542973392635,0.4242640678119285,1.439669662777907
A2,B0,C1,A2-B0-C1,A2-B0-C1-r1,I,0.31190826303204694,0.42426406781192866,1.4726398015510016
A2,B0,C1,A2-B0-C1,A2-B0-C1-r2,I,0.26631770043554875,0.42426406781192816,3.224598284481833
A2,B0,C1,A2-B0-C1,A2-B0-C1-r3,I,0.2533247017772127,0.8485281356238568,1.2339953311737215
A2,B0,C1,A2-B0-C1,A2-B0-C1-r4,II,0.36722150155902394,0.4242640678119285,1.8841804436553349
A2,B0,C2,A2-B0-C2,A2-B0-C2-r0,III,0.722456858582056,0.9209157730450587,1.7673319588526024
A2,B0,C2,A2-B0-C2,A2-B0-C2-r1,III,0.7440775234439412,0.527791685852937,1.3189852950441294
A2,B0,C2,A2-B0-C2,A2-B0-C2-r2,III,0.9127765177222188,2.2525880993490572,4.2276306924893685
A2,B0,C2,A2-B0-C2,A2-B0-C2-r3,I,0.4893766436859014,1.1313708474984758,2.88265213628864
A2,B0,C2,A2-B0-C2,A2-B0-C2-r4,I,0.49104344897799523,1.2727922034357855,2.537253831229356
A2,B0,C2,A2-B0-C2,A2-B0-C2-r0,I,0.6744723292487295,0.6725899207284936,1.5564589072255302
A2,B0,C2,A2-B0-C2,A2-B0-C2-r1,I,0.5734787792188561,0.4242640679619285,1.852094563991677
A2,B0,C2,A2-B0-C2,A2-B0-C2-r2,I,0.5160156391825356,0.5656854237492382,1.8896110963479962
A2,B0,C2,A2-B0-C2,A2-B0-C2-r3,III,0.8271293462076427,0.9848726938122189,0.9335633722232292
A2,B0,C2,A2-B0-C2,A2-B0-C2-r4,III,0.7717505895752674,1.8384776279350237,2.161731275715739
A2,B1,C0,A2-B1-C0,A2-B1-C0-r0,II,0.4464196873021748,0.14142135593730937,1.1194020873139856
A2,B1,C0,A2-B1-C0,A2-B1-C0-r1,I,0.2797723211705921,0.28284271187461874,0.9384276279208155
A2,B1,C0,A2-B1-C0,A2-B1-C0-r2,II,0.44662234648553645,0.669213041790246,0.8202114620125401
A2,B1,C0,A2-B1-C0,A2-B1-C0-r3,I,0.31165490045241523,0.8106343977275559,0.6752082747064041
A2,B1,C0,A2-B1-C0,A2-B1-C0-r4,II,0.3798566055791932,0.2828427118746191,1.020819247761472
A2,B1,C0,A2-B1-C0,A2-B1-C0-r0,I,0.29800095719550296,0.9899494915611665,0.7962380887484793
A2,B1,C0,A2-B1-C0,A2-B1-C0-r1,I,0.3401209063489979,0.5277916858529368,1.028196854969269
A2,B1,C0,A2-B1-C0,A2-B1-C0-r2,I,0.4998945420787043,0.7071067796865472,1.1698105486145591
A2,B1,C0,A2-B1-C0,A2-B1-C0-r3,I,0.4913517761771265,0.5656854237492375,1.0857355139902172
A2,B1,C0,A2-B1-C0,A2-B1-C0-r4,I,0.3407059299582986,0.8485281356238573,0.8557333904696843
A2,B1,C1,A2-B1-C1,A2-B1-C1-r0,II,0.4495869142080478,0.7727406598312544,0.6112652926427204
A2,B1,C1,A2-B1-C1,A2-B1-C1-r1,I,0.45569730829137683,0.14142135593730976,0.7233593741997352
A2,B1,C1,A2-B1-C1,A2-B1-C1-r2,II,0.43957828415147465,0.42426406781192816,1.218066147952182
A2,B1,C1,A2-B1-C1,A2-B1-C1-r3,I,0.5953928856606747,1.131370847498476,2.1729937529292593
A2,B1,C1,A2-B1-C1,A2-B1-C1-r4,II,0.42958152188513943,0.9520557536648655,3.560930537832283
A2,B1,C1,A2-B1-C1,A2-B1-C1-r0,I,0.22305169610236875,0.7071067796865474,0.8001850127021329
