rule_id,seed,escala_b,n_cajas,diam_real_orig,diam_real_corr,diam_null_orig,diam_null_corr,giant_real,n_aristas,holon_real,holon_null_valor,tam_comp_medida,tam_gigante,n_componentes,n_aislados,descarrila
A0-B0-C0-r0,20260812,1,2000,5.0,5.0,4.0,4.0,1.0,14054,1.2028085271014024,1.3967466692556338,2000,2000,1,0,False
A0-B0-C0-r0,20260812,2,1046,4.0,4.0,3.0,3.0,1.0,12926,1.2028085271014024,1.3967466692556338,1046,1046,1,0,False
A0-B0-C0-r0,20260812,4,559,3.0,3.0,3.0,3.0,1.0,11874,1.2028085271014024,1.3967466692556338,559,559,1,0,False
A0-B0-C0-r0,20260812,8,322,3.0,3.0,3.0,3.0,1.0,10025,1.2028085271014024,1.3967466692556338,322,322,1,0,False
A0-B0-C0-r0,20260812,16,183,2.0,2.0,2.0,2.0,1.0,6277,1.2028085271014024,1.3967466692556338,183,183,1,0,False
A0-B0-C0-r1,20260909,1,2000,4.0,4.0,4.0,4.0,1.0,18114,1.9800684697637456,1.571587412965784,2000,2000,1,0,False
A0-B0-C0-r1,20260909,2,1037,3.0,3.0,3.0,3.0,1.0,16893,1.9800684697637456,1.571587412965784,1037,1037,1,0,False
A0-B0-C0-r1,20260909,4,543,3.0,3.0,3.0,3.0,1.0,15608,1.9800684697637456,1.571587412965784,543,543,1,0,False
A0-B0-C0-r1,20260909,8,303,2.0,2.0,2.0,2.0,1.0,12870,1.9800684697637456,1.571587412965784,303,303,1,0,False
A0-B0-C0-r1,20260909,16,179,2.0,2.0,2.0,2.0,1.0,7352,1.9800684697637456,1.571587412965784,179,179,1,0,False
A0-B0-C0-r2,20261006,1,2000,4.0,4.0,4.0,4.0,1.0,15574,1.9012913352558074,1.4964046260988295,2000,2000,1,0,False
A0-B0-C0-r2,20261006,2,1041,4.0,4.0,3.0,3.0,1.0,14405,1.9012913352558074,1.4964046260988295,1041,1041,1,0,False
A0-B0-C0-r2,20261006,4,557,3.0,3.0,3.0,3.0,1.0,13279,1.9012913352558074,1.4964046260988295,557,557,1,0,False
A0-B0-C0-r2,20261006,8,304,3.0,3.0,2.6666666666666665,2.6666666666666665,1.0,10978,1.9012913352558074,1.4964046260988295,304,304,1,0,False
A0-B0-C0-r2,20261006,16,193,2.0,2.0,2.0,2.0,1.0,6806,1.9012913352558074,1.4964046260988295,193,193,1,0,False
A0-B0-C0-r3,20261103,1,2000,4.0,4.0,4.0,4.0,1.0,19894,1.8045209216256086,1.5040541373343506,2000,2000,1,0,False
A0-B0-C0-r3,20261103,2,1033,3.0,3.0,3.0,3.0,1.0,18614,1.8045209216256086,1.5040541373343506,1033,1033,1,0,False
A0-B0-C0-r3,20261103,4,534,3.0,3.0,3.0,3.0,1.0,17207,1.8045209216256086,1.5040541373343506,534,534,1,0,False
