rule_id,clase,kcap,K,J,noise,meandeg,seed,pendiente_corregida,pendiente_null,z_agg,holon_ratio,n_aristas_grafo_final,grado_medio_grafo_final,diam_grafo_final,giant_grafo_final,n_gas_inicial,n_sumideros,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,n_dump_final,t_setup_s,t_run_s,carpeta
A2-B0-C2-kbar-r31,II,7,5,0.756,0.107,4.87,9317167,0.4294906280381833,0.46922869585587773,0.28284271187461874,7.784509397883137,4403,4.403,9.0,0.9865,2000,8,17455.8,1344.2000000000003,18800.0,0.07150000000000001,0.041,1344.2,0.4347826086956523,0.46130952380952395,0,cosmog_00500,3.53,20.04,A2-B0-C2-kbar-r31
A2-B0-C2-kbar-r32,III,4,5,0.683,0.316,6.64,9317264,1.0213591018476165,1.0325651198966928,1.0055080020044929,1.9327420724668642,2340,2.34,19.0,0.8485,2000,8,15942.400000000001,2857.599999999999,18800.0,0.15199999999999994,0.03,2857.6,1.3116883116883118,1.337941919191919,0,cosmog_00500,5.88,34.16,A2-B0-C2-kbar-r32
A2-B0-C2-kbar-r33,I,7,5,0.517,0.186,5.5,9317361,0.5680932702826681,0.46137011905397735,1.979898983122333,2.8030090549320685,4678,4.678,11.0,0.9915,2000,8,17606.2,1193.8000000000002,18800.0,0.06350000000000001,0.063,1193.8,0.4000000000000001,0.44062500000000004,0,cosmog_00500,3.55,19.66,A2-B0-C2-kbar-r33
A2-B0-C2-kbar-r35,I,6,7,0.708,0.318,5.38,9317555,0.6034117120604404,0.504533388088859,0.7071067798365476,2.0224075690193115,4086,4.086,11.0,0.9845,2000,8,17333.600000000002,1466.4000000000005,18800.000000000004,0.07800000000000001,0.046,1466.4,0.32484076433121,0.32658208020050106,0,cosmog_00500,1.44,18.46,A2-B0-C2-kbar-r35
A2-B0-C2-kbar-r36,I,5,7,0.586,0.287,5.09,9317652,0.6107696042462961,0.652776809783079,0.9899494915611664,1.5753526455979403,3316,3.316,13.0,0.9655,2000,8,16985.8,1814.2000000000007,18800.0,0.09650000000000004,0.035,1814.2,0.5156249999999999,0.5022321428571427,0,cosmog_00500,6.41,35.16,A2-B0-C2-kbar-r36
A2-B0-C2-kbar-r4,I,6,7,0.37,0.135,7.7,9314548,0.6325984490066032,0.5693099588910983,0.527791685852937,1.723421421355565,3923,3.923,12.0,0.9725,2000,8,17098.600000000002,1701.4000000000005,18800.000000000004,0.09050000000000001,0.042,1701.4,0.40322580645161293,0.40922619047619047,0,cosmog_00500,3.65,29.98,A2-B0-C2-kbar-r4
A2-B0-C2-kbar-r54,I,6,7,0.534,0.275,5.34,9319398,0.5690912616638331,0.5638794922472584,0.38974720855387446,1.3532054023901572,4093,4.093,11.0,0.9855,2000,8,17380.600000000002,1419.4000000000005,18800.000000000004,0.07550000000000001,0.044,1419.3999999999999,0.3888888888888885,0.40803571428571367,0,cosmog_00500,2.22,19.45,A2-B0-C2-kbar-r54
A2-B0-C2-kbar-r6,III,4,7,0.667,0.159,5.08,9314742,0.8583081296910058,0.9771721100889769,1.555634915310405,2.769011969535513,2556,2.556,18.0,0.909,2000,8,16186.800000000001,2613.2,18800.0,0.13899999999999998,0.023,2613.2000000000003,1.1187214611872143,1.1222011784511783,0,cosmog_00500,6.06,33.76,A2-B0-C2-kbar-r6
A2-B0-C2-kbar-r65,III,4,7,0.349,0.285,6.21,9320465,1.0117671355110578,1.0609802299729312,1.0400019015293933,1.3360604316480325,2372,2.372,20.0,0.859,2000,8,16027.0,2772.999999999999,18800.0,0.14749999999999996,0.028,2773.0,1.3194444444444444,1.3427083333333332,0,cosmog_00500,6.26,34.5,A2-B0-C2-kbar-r65
A2-B0-C2-kbar-r7,III,4,8,0.535,0.335,7.17,9314839,1.2194028495841998,1.1247671027479336,0.6881599114133969,1.8948928817735733,2270,2.27,23.0,0.8255,2000,8,15933.0,2866.999999999999,18800.0,0.15249999999999994,0.022,2867.0,1.3911111111111114,1.4104166666666669,0,cosmog_00500,6.32,33.47,A2-B0-C2-kbar-r7
A2-B0-C2-kbar-r74,III,4,8,0.622,0.157,7.28,9321338,1.1908449679511022,1.1990161801196546,0.6915253095100666,3.255957443528897,2224,2.224,20.0,0.8,2000,8,15895.400000000001,2904.599999999999,18800.0,0.15449999999999994,0.027,2904.6,1.2933884297520657,1.3081080198537092,0,cosmog_00500,7.79,54.22,A2-B0-C2-kbar-r74
A2-B0-C2-kbar-r8,II,7,5,0.722,0.193,5.19,9314936,0.4202349926582744,0.483020610857675,0.6692130417902463,3.644132226273675,4539,4.539,9.0,0.991,2000,8,17531.0,1269.0000000000005,18800.0,0.06750000000000002,0.048,1269.0,0.4444444444444436,0.43958333333333255,0,cosmog_00500,3.91,32.52,A2-B0-C2-kbar-r8
A2-B0-C2-kbar-r9,I,6,5,0.481,0.243,4.8,9315033,0.6090791081700071,0.6037796717199102,0.2828427118746195,1.4884185838504134,3849,3.849,12.0,0.9805,2000,8,17277.2,1522.8000000000004,18800.0,0.08100000000000002,0.039,1522.8,0.36363636363636365,0.3783234126984127,0,cosmog_00500,5.7,30.33,A2-B0-C2-kbar-r9
CONTROL-ER-a2321-s3000001,CONTROL_ER,,,,,,3000001,,,,,2321,2.321,,,2000,8,15961.2,2838.799999999999,18800.0,0.15099999999999994,0.03,2838.8,1.3599999999999999,1.3576388888888888,0,cosmog_00500,3.18,24.86,CONTROL-ER-a2321-s3000001
CONTROL-ER-a2321-s3000002,CONTROL_ER,,,,,,3000002,,,,,2321,2.321,,,2000,9,15970.6,2829.3999999999996,18800.0,0.15049999999999997,0.035,2829.3999999999996,1.1756756756756754,1.190625,1,cosmog_00500,3.74,36.13,CONTROL-ER-a2321-s3000002
CONTROL-ER-a2321-s3000003,CONTROL_ER,,,,,,3000003,,,,,2321,2.321,,,2000,8,15998.800000000001,2801.1999999999994,18800.0,0.14899999999999997,0.029,2801.2000000000003,1.4492753623188404,1.4576388888888885,0,cosmog_00500,4.66,27.81,CONTROL-ER-a2321-s3000003
CONTROL-ER-a4608-s3000011,CONTROL_ER,,,,,,3000011,,,,,4608,4.608,,,2000,8,17493.4,1306.6000000000004,18800.0,0.06950000000000002,0.052,1306.6000000000001,0.3953488372093025,0.4431547619047621,0,cosmog_00500,3.04,21.18,CONTROL-ER-a4608-s3000011
CONTROL-ER-a4608-s3000012,CONTROL_ER,,,,,,3000012,,,,,4608,4.608,,,2000,8,17512.2,1287.8000000000004,18800.0,0.06850000000000002,0.042,1287.8,0.42499999999999993,0.48571428571428554,0,cosmog_00500,2.35,21.35,CONTROL-ER-a4608-s3000012
CONTROL-ER-a4608-s3000013,CONTROL_ER,,,,,,3000013,,,,,4608,4.608,,,2000,8,17427.600000000002,1372.4000000000005,18800.000000000004,0.07300000000000001,0.04,1372.4,0.5641025641025641,0.5827380952380953,0,cosmog_00500,3.02,22.25,CONTROL-ER-a4608-s3000013
