K,metric,exponente,prefactor,null_exp
6,L2,0.027672114697090102,0.2878784625171191,-0.5
6,meff,-0.04694525997911352,0.6664120987153176,0.0
8,L2,-0.0001812733417865321,0.2890791269551465,-0.5
8,meff,0.00014505144424586114,0.5993289494090214,0.0
12,L2,-0.0006312163255890983,0.29008183979927654,-0.5
12,meff,0.0006316454649881098,0.4975737040965303,0.0
