point_id,dim,K,brazo,seed,frame_burgers,long_media,L3,L4,L5,L6,L8
0,d2,3,marco,0,1.17214,13.71,,0.91745,,1.23399,1.06105
1,d2,3,marco,1,1.23068,13.71,,1.15546,,1.23544,1.24769
3,d2,3,marco,3,1.16279,13.71,,1.05911,,1.07013,1.2429
2,d2,3,marco,2,1.18007,13.71,,1.01312,,1.01336,1.48064
5,d2,3,marco,5,1.10053,13.71,,0.83834,,1.01073,1.09171
4,d2,3,marco,4,1.1402,13.71,,0.8376,,1.05119,1.13162
6,d2,3,marco,6,1.07828,13.71,,1.09616,,1.01845,1.23207
7,d2,3,marco,7,1.09771,13.71,,1.01444,,1.0819,1.19163
9,d2,3,marco,9,1.13512,13.71,,0.96236,,1.3582,1.31433
8,d2,3,marco,8,0.9558,13.71,,0.76019,,0.9068,1.15416
10,d2,3,electron,0,0.295,13.71,,0.07049,,0.12163,0.17296
11,d2,3,electron,1,0.3855,13.71,,0.04266,,0.07122,0.09106
12,d2,3,electron,2,0.62783,13.71,,0.22321,,0.3981,0.50466
13,d2,3,electron,3,0.33478,13.71,,0.06905,,0.11361,0.19068
15,d2,3,electron,5,0.34664,13.71,,0.05733,,0.10423,0.21485
14,d2,3,electron,4,0.32916,13.71,,0.04959,,0.10219,0.16782
17,d2,3,electron,7,0.30294,13.71,,0.08278,,0.17018,0.24366
16,d2,3,electron,6,0.21178,13.71,,0.06285,,0.12973,0.17386
18,d2,3,electron,8,0.46722,13.71,,0.13117,,0.2144,0.30083
19,d2,3,electron,9,0.54674,13.71,,0.16853,,0.28668,0.32635
20,d2,3,muon,0,1.12475,13.71,,0.8234,,1.00773,1.04409
22,d2,3,muon,2,1.0341,13.71,,1.03083,,0.99001,1.20828
21,d2,3,muon,1,1.06183,13.71,,1.10742,,1.0743,1.11828
23,d2,3,muon,3,1.2237,13.71,,0.95324,,1.1899,1.20639
24,d2,3,muon,4,1.04494,13.71,,0.97722,,0.97467,0.86339
25,d2,3,muon,5,1.12604,13.71,,1.08896,,1.00445,1.00633
26,d2,3,muon,6,1.05474,13.71,,1.02903,,1.13276,0.97297
27,d2,3,muon,7,1.09626,13.71,,0.91025,,1.00987,1.19086
29,d2,3,muon,9,1.0606,13.71,,1.04213,,0.96849,0.96048
28,d2,3,muon,8,1.09454,13.71,,1.02349,,1.19796,1.155
30,d2,3,tauon,0,0.97346,13.71,,0.80742,,0.93174,1.109
31,d2,3,tauon,1,1.17363,13.71,,1.13848,,1.05977,1.05948
32,d2,3,tauon,2,1.0859,13.71,,1.27237,,0.98083,1.15876
33,d2,3,tauon,3,1.12157,13.71,,0.76821,,1.07697,1.19185
34,d2,3,tauon,4,1.15069,13.71,,0.93389,,1.00545,1.20331
35,d2,3,tauon,5,1.10735,13.71,,0.95643,,1.167,1.12725
36,d2,3,tauon,6,1.12268,13.71,,1.07758,,1.22544,1.03382
37,d2,3,tauon,7,1.17713,13.71,,0.96511,,1.22854,1.33625
40,d2,3,alineado,0,0.26735,13.71,,0.06915,,0.10838,0.1532
41,d2,3,alineado,1,0.38207,13.71,,0.03242,,0.05604,0.07552
38,d2,3,tauon,8,1.17744,13.71,,0.68321,,1.13098,1.14451
39,d2,3,tauon,9,1.21204,13.71,,1.05705,,1.26467,1.42073
50,d2,3,nulo,0,1.10461,13.71,,1.11955,,1.13882,1.27521
51,d2,3,nulo,1,1.05449,13.71,,1.02511,,0.95462,1.16189
42,d2,3,alineado,2,0.60474,13.71,,0.20634,,0.35912,0.44719
44,d2,3,alineado,4,0.326,13.71,,0.05035,,0.08373,0.14258
43,d2,3,alineado,3,0.42438,13.71,,0.14134,,0.16462,0.25178
45,d2,3,alineado,5,0.33044,13.71,,0.04915,,0.08274,0.12869
46,d2,3,alineado,6,0.18129,13.71,,0.04651,,0.10468,0.14849
47,d2,3,alineado,7,0.28158,13.71,,0.07115,,0.15089,0.22653
52,d2,3,nulo,2,1.08576,13.71,,1.13461,,1.23219,1.12354
48,d2,3,alineado,8,0.35953,13.71,,0.10947,,0.19474,0.26902
53,d2,3,nulo,3,1.15314,13.71,,1.09154,,0.92046,1.03147
54,d2,3,nulo,4,1.07402,13.71,,0.95651,,0.89315,1.11848
49,d2,3,alineado,9,0.59079,13.71,,0.16657,,0.29331,0.34272
55,d2,3,nulo,5,1.04561,13.71,,0.94777,,0.82084,0.95524
56,d2,3,nulo,6,1.11769,13.71,,0.89929,,1.05651,1.11396
57,d2,3,nulo,7,1.15052,13.71,,1.12454,,1.09092,1.2465
58,d2,3,nulo,8,1.06769,13.71,,0.87414,,0.96428,1.12056
59,d2,3,nulo,9,1.10492,13.71,,0.74057,,1.1703,1.07091
60,d2,4,marco,0,1.18971,13.71,,1.00535,,1.27757,1.28149
61,d2,4,marco,1,1.23179,13.71,,1.0066,,1.11189,1.17446
62,d2,4,marco,2,1.11297,13.71,,0.94827,,1.09174,0.91874
63,d2,4,marco,3,1.37082,13.71,,1.24085,,1.16748,1.41008
64,d2,4,marco,4,1.21021,13.71,,0.83501,,1.15458,1.15905
65,d2,4,marco,5,1.19985,13.71,,0.95023,,1.20029,1.30584
67,d2,4,marco,7,1.14825,13.71,,0.81368,,0.92995,1.39238
66,d2,4,marco,6,1.22449,13.71,,1.04803,,1.21156,1.14527
68,d2,4,marco,8,1.26687,13.71,,1.08403,,1.33477,1.28359
69,d2,4,marco,9,1.21268,13.71,,0.99248,,1.4634,1.16186
70,d2,4,electron,0,0.39934,13.71,,0.05474,,0.10361,0.14704
71,d2,4,electron,1,0.33848,13.71,,0.07426,,0.14122,0.18383
73,d2,4,electron,3,0.39322,13.71,,0.07395,,0.15385,0.24372
72,d2,4,electron,2,0.32109,13.71,,0.06475,,0.11048,0.1359
74,d2,4,electron,4,0.47331,13.71,,0.08378,,0.17066,0.24891
75,d2,4,electron,5,0.30395,13.71,,0.06818,,0.1315,0.16477
76,d2,4,electron,6,0.16017,13.71,,0.04415,,0.08726,0.1298
77,d2,4,electron,7,0.5288,13.71,,0.12344,,0.28384,0.43037
78,d2,4,electron,8,0.28938,13.71,,0.05486,,0.12042,0.16672
79,d2,4,electron,9,0.42711,13.71,,0.10817,,0.22377,0.32043
82,d2,4,muon,2,1.22924,13.71,,1.15524,,1.26737,1.09747
80,d2,4,muon,0,1.29941,13.71,,1.13315,,1.30256,1.24794
81,d2,4,muon,1,1.24546,13.71,,1.18125,,1.16059,1.22218
83,d2,4,muon,3,1.34053,13.71,,1.05678,,1.17326,1.25761
84,d2,4,muon,4,1.27371,13.71,,0.90058,,1.41216,1.23058
85,d2,4,muon,5,1.23381,13.71,,0.99412,,1.26372,1.21607
87,d2,4,muon,7,1.18545,13.71,,0.96693,,1.08493,1.18346
86,d2,4,muon,6,1.17264,13.71,,0.90732,,1.05589,1.17446
88,d2,4,muon,8,1.34675,13.71,,1.26176,,1.36467,1.3993
89,d2,4,muon,9,1.27835,13.71,,1.14761,,1.38181,1.2355
90,d2,4,tauon,0,1.11466,13.71,,0.85664,,1.09141,1.14811
91,d2,4,tauon,1,1.27862,13.71,,0.92513,,1.37623,1.22755
92,d2,4,tauon,2,1.24994,13.71,,1.08158,,1.21659,1.2331
94,d2,4,tauon,4,1.20991,13.71,,0.96482,,1.07133,1.28781
93,d2,4,tauon,3,1.29346,13.71,,0.94933,,1.20202,1.40558
96,d2,4,tauon,6,1.16985,13.71,,0.82567,,0.98906,0.94861
95,d2,4,tauon,5,1.22374,13.71,,1.03846,,1.20197,1.09238
97,d2,4,tauon,7,1.26502,13.71,,1.08903,,1.1737,1.29039
110,d2,4,nulo,0,1.28372,13.71,,1.3084,,1.39213,1.29566
98,d2,4,tauon,8,1.25133,13.71,,1.11328,,1.20356,1.21124
100,d2,4,alineado,0,0.36275,13.71,,0.04648,,0.09006,0.12852
111,d2,4,nulo,1,1.20876,13.71,,0.83756,,1.16467,1.28894
101,d2,4,alineado,1,0.28875,13.71,,0.07,,0.13151,0.16918
102,d2,4,alineado,2,0.30035,13.71,,0.06018,,0.10186,0.12838
103,d2,4,alineado,3,0.35869,13.71,,0.06606,,0.13453,0.21262
99,d2,4,tauon,9,1.181,13.71,,1.14661,,1.13947,1.04756
104,d2,4,alineado,4,0.43575,13.71,,0.07813,,0.1597,0.22619
108,d2,4,alineado,8,0.27328,13.71,,0.04622,,0.0995,0.14066
105,d2,4,alineado,5,0.26766,13.71,,0.06147,,0.10991,0.13594
106,d2,4,alineado,6,0.14204,13.71,,0.02663,,0.06019,0.09938
107,d2,4,alineado,7,0.5062,13.71,,0.11712,,0.26097,0.40745
109,d2,4,alineado,9,0.39711,13.71,,0.09802,,0.19185,0.26892
112,d2,4,nulo,2,1.19396,13.71,,0.79469,,1.1292,1.30724
113,d2,4,nulo,3,1.31113,13.71,,1.03807,,1.17632,1.47829
116,d2,4,nulo,6,1.10275,13.71,,1.12115,,1.10593,1.28767
114,d2,4,nulo,4,1.1615,13.71,,0.85539,,1.21261,1.33333
117,d2,4,nulo,7,1.14906,13.71,,0.90832,,1.12605,1.18712
115,d2,4,nulo,5,1.24744,13.71,,1.06259,,1.24996,1.15368
118,d2,4,nulo,8,1.21573,13.71,,0.97504,,1.11181,1.038
119,d2,4,nulo,9,1.31537,13.71,,1.09213,,1.13398,1.41779
120,d3,3,marco,0,1.04837,9.12,,0.85418,,0.99075,1.09834
121,d3,3,marco,1,1.18502,9.23,,0.92259,,1.27719,1.24674
122,d3,3,marco,2,1.14555,9.17,,0.84794,,1.25304,1.12302
123,d3,3,marco,3,1.09931,9.23,,0.98677,,1.01736,1.08032
124,d3,3,marco,4,1.08444,9.29,,0.85183,,1.00545,1.09513
125,d3,3,marco,5,1.02298,9.23,,0.96428,,1.07153,1.04926
126,d3,3,marco,6,1.06438,9.16,,0.92653,,0.95751,1.21353
127,d3,3,marco,7,1.07319,9.12,,0.86554,,1.00068,1.20373
128,d3,3,marco,8,1.04541,9.28,,0.93021,,0.93679,1.07806
129,d3,3,marco,9,1.09276,9.18,,1.11697,,1.11151,1.10598
130,d3,3,electron,0,0.44593,9.12,,0.13813,,0.32255,0.43582
131,d3,3,electron,1,0.3319,9.23,,0.07545,,0.17575,0.27802
132,d3,3,electron,2,0.35351,9.17,,0.16379,,0.27064,0.34174
133,d3,3,electron,3,0.27148,9.23,,0.09208,,0.17392,0.27703
135,d3,3,electron,5,0.09775,9.23,,0.02411,,0.0665,0.1065
134,d3,3,electron,4,0.24935,9.29,,0.07725,,0.09956,0.13835
136,d3,3,electron,6,0.16746,9.16,,0.06218,,0.11675,0.19939
137,d3,3,electron,7,0.37543,9.12,,0.07294,,0.18773,0.36216
139,d3,3,electron,9,0.5536,9.18,,0.18485,,0.36752,0.57959
138,d3,3,electron,8,0.10343,9.28,,0.061,,0.09638,0.10324
140,d3,3,muon,0,1.15404,9.12,,0.98458,,1.26835,1.14908
141,d3,3,muon,1,1.06932,9.23,,0.95081,,1.14436,1.02784
