rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio,fuente,paso_phantom
A2-B0-C2-batch4-r129,I,584342,5,0.357,0.106,7.41,7,0.258,0.4606547580115715,0.8485281356238566,2.367075850115983,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r123,I,583760,5,0.322,0.343,6.42,7,0.211,0.46304800944597746,0.5656854237492379,1.3980084686590935,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r14,I,373187,4,0.478,0.201,7.72,7,0.329,0.4674448029502977,0.7778174577302025,2.4770534866763176,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r13,I,473090,6,0.619,0.185,5.79,6,0.156,0.46843938567945353,0.35355339021827364,1.8162260269384896,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r2,I,472023,5,0.653,0.243,6.75,7,0.35,0.46869564411259834,0.5656854237492382,2.4493130221164,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r92,I,580753,6,0.623,0.209,7.92,7,0.168,0.46934784107022376,0.5656854237492382,1.6585255464238202,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r62,I,477843,6,0.699,0.259,5.96,7,0.309,0.47429833415639017,0.5656854237492382,1.0992120317865277,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r133,I,584730,4,0.527,0.214,6.62,6,0.235,0.47504545770770984,0.5277916858529366,2.4370933411962747,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r212,I,592393,5,0.499,0.128,7.71,7,0.213,0.475127289031699,0.8485281356238566,3.620334807059636,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r142,I,485603,7,0.324,0.178,6.11,7,0.348,0.47609011836592696,0.5311685644911839,1.703496660141735,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r9,I,472702,7,0.343,0.205,6.02,6,0.161,0.4789609415912562,0.5656854240492377,1.7200678297848033,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r138,I,585215,8,0.595,0.249,6.44,6,0.223,0.47932223194462364,0.5656854237492382,2.252645725029042,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r101,I,481626,7,0.75,0.164,4.81,7,0.223,0.4794786931242186,0.336294960214247,3.7493147216767673,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r54,I,477067,6,0.518,0.221,6.26,6,0.248,0.4822619228998915,0.5277916858529366,1.344041448449894,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r217,I,592878,8,0.325,0.23,4.9,6,0.179,0.48260473303925716,1.555634915310405,1.983333152831517,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r12,I,272993,5,0.6,0.203,5.75,7,0.254,0.48652418813387427,0.7071067796865472,4.3859536175560345,cs090_fase5_profundizar_a2b0c2_resumen.csv,True
