brazo,N,semilla,alpha,theta_cp,tau_final,n_vivos_fin,n_aristas,t_hat_mod,asimetria,rho,rho_menos_medio,tracking_score,degenerada,tracking_limpio,flujo_neto_suma,flujo_neto_medio,criterio_B,ds_max
REAL,4,11,1.0,0.1,500,2,1,1.1748790460575163,3.2166742950326257e-09,0.9999999946579011,0.4999999946579011,0.8851908095837248,0,1,-2.3327888731827784e-08,-5.831972182956946e-09,evaluable,1.0
REAL,4,12,1.0,0.1,500,2,1,0.1283685043591577,2.0301772845249356e-09,0.9999999817417727,0.49999998174177274,0.9916372532052763,0,1,-8.632645709383269e-09,-2.158161427345817e-09,evaluable,1.0
REAL,4,13,1.0,0.1,500,4,6,1.7587859682230497e+23,0.09301004670191325,1.0,0.5,1.0,0,1,-134217728.0,-33554432.0,evaluable,1.1041691201048052
REAL,4,14,1.0,0.1,190,0,0,1.615860865534254e-14,0.1415388815519561,0.29289321881345065,-0.20710678118654935,,1,0,1.1102230246251565e-16,2.7755575615628914e-17,evaluable,0.0
REAL,4,15,1.0,0.1,500,4,6,618952518379666.6,0.13747245335413208,0.9914171400103496,0.49141714001034964,0.8068031016070794,0,1,0.1875,0.046875,evaluable,1.3715129849763368
REAL,4,16,1.0,0.1,500,3,3,88001324728250.55,0.13896486177475567,0.9999999999999989,0.4999999999999989,0.43096440627115706,0,1,0.03125,0.0078125,evaluable,1.1345321309526677
REAL,4,17,1.0,0.1,500,2,1,19611.708979178675,0.19966683336612673,0.9999644841501545,0.4999644841501545,0.11960886885275894,0,1,-1.0606071576546583e-11,-2.6515178941366457e-12,evaluable,1.3333391362880382
REAL,4,18,1.0,0.1,178,0,0,1.2262814116578437e-15,0.2809748177474619,0.08356561494016768,-0.4164343850598323,,1,0,2.220446049250313e-16,5.551115123125783e-17,evaluable,0.0
REAL,4,19,1.0,0.1,500,3,3,57331267.409837484,0.23911098529837865,0.977071183288569,0.477071183288569,0.9839714760059408,0,1,-1.4673165904532937e-08,-3.668291476133234e-09,evaluable,1.431213562600236
REAL,4,20,1.0,0.1,500,3,3,64451511804949.516,0.12401336150154588,0.9999999999999982,0.4999999999999982,0.5773502691896278,0,1,-0.0625,-0.015625,evaluable,1.1045836651881724
REAL,4,21,1.0,0.1,500,3,3,63598916.126878075,0.23911116210507366,0.977071147300735,0.47707114730073497,0.6312710593699934,0,1,0.0,0.0,evaluable,1.5403720687191655
REAL,4,22,1.0,0.1,190,0,0,1.4218225378524858e-14,0.14153888155195657,0.29289321881345065,-0.20710678118654935,,1,0,1.1102230246251565e-16,2.7755575615628914e-17,evaluable,0.0
REAL,4,23,1.0,0.1,500,3,3,11972593.889793241,0.058124379478966204,0.9802531773550143,0.48025317735501427,0.8458618144564578,0,1,-1.30385160446167e-08,-3.259629011154175e-09,evaluable,1.4703797752218264
REAL,4,24,1.0,0.1,500,3,3,74422452537016.75,0.1389648617750665,0.9999999999999983,0.49999999999999833,0.5773502691896271,0,1,0.01953125,0.0048828125,evaluable,1.0672734985977517
REAL,4,25,1.0,0.1,500,2,1,17488.313007278328,0.19966683337353872,0.9999668416510068,0.4999668416510068,0.27062799403536614,0,1,0.0,0.0,evaluable,1.3333377844122032
REAL,4,26,1.0,0.1,500,2,1,43084.40927803428,0.19966683329971294,0.9999895998942555,0.4999895998942555,0.3826898418396831,0,1,-2.7257529566782068e-11,-6.814382391695517e-12,evaluable,1.0000005022346925
REAL,4,27,1.0,0.1,500,3,3,57331267.40983748,0.23911098529837865,0.977071183288569,0.477071183288569,0.9839714760059408,0,1,-7.450580596923828e-09,-1.862645149230957e-09,evaluable,1.4312135626002358
REAL,4,28,1.0,0.1,500,3,3,63598916.12687807,0.23911116210507366,0.977071147300735,0.47707114730073497,0.6312710593699935,0,1,0.0,0.0,evaluable,1.5403720687191655
REAL,4,29,1.0,0.1,500,2,1,0.24315703777656775,3.1067334392550346e-09,0.9999999591492097,0.4999999591492097,0.9744612315299293,0,1,-4.3041850084080124e-09,-1.0760462521020031e-09,evaluable,1.0
REAL,4,30,1.0,0.1,500,2,1,43084.40927803428,0.19966683329971294,0.9999895998942555,0.4999895998942555,0.38268984183968313,0,1,-2.858735470567808e-11,-7.14683867641952e-12,evaluable,1.0000005022346925
BARAJADO,4,1,1.0,0.1,315,0,0,0.07942962756366133,0.06543220652334364,0.0,-0.5,0.6694321234328138,0,1,1.1102230246251565e-16,2.7755575615628914e-17,evaluable,0.0
BARAJADO,4,2,1.0,0.1,387,0,0,0.03162601614647132,0.06906478751803954,0.0,-0.5,0.22197804263537707,0,1,0.0,0.0,evaluable,0.0
BARAJADO,4,3,1.0,0.1,500,4,6,158.42989645922142,0.0620293494543064,1.0,0.5,0.4283720374443107,0,1,4.547473508864641e-13,1.1368683772161603e-13,evaluable,1.1397263436656457
BARAJADO,4,4,1.0,0.1,500,4,6,0.057273538100952835,0.04858501464602308,0.9999999999999932,0.4999999999999932,0.756212501287611,0,1,0.0,0.0,evaluable,1.0098373335991608
BARAJADO,4,5,1.0,0.1,500,4,6,307964.35607965285,0.04214924568077881,1.0,0.5,-0.7721087191127016,0,0,-9.313225746154785e-10,-2.3283064365386963e-10,evaluable,1.035376303673788
BARAJADO,4,6,1.0,0.1,500,4,6,10382205162817.479,0.050002108644337795,1.0,0.5,0.22499076839754423,0,1,-0.015625,-0.00390625,evaluable,1.069272749531882
BARAJADO,4,7,1.0,0.1,500,4,6,22871000.223247316,0.048707786156643014,1.0,0.5,-0.70357754984783,0,0,-1.7881393432617188e-07,-4.470348358154297e-08,evaluable,1.0052853218981324
BARAJADO,4,8,1.0,0.1,243,0,0,0.06905908450376096,0.10035020051667697,0.0,-0.5,-0.6148141771290283,0,0,0.0,0.0,evaluable,0.0
BARAJADO,4,9,1.0,0.1,190,0,0,1.137640067256873e-15,0.07995850295112639,0.0,-0.5,,1,0,-1.1102230246251565e-16,-2.7755575615628914e-17,evaluable,0.0
BARAJADO,4,10,1.0,0.1,289,0,0,0.038796836948762764,0.07436655593354476,0.0,-0.5,0.3159920394564599,0,1,-1.1102230246251565e-16,-2.7755575615628914e-17,evaluable,0.0
BARAJADO,4,11,1.0,0.1,299,0,0,0.0635125026550441,0.07447685884985408,0.0,-0.5,0.7869553022971164,0,1,1.1102230246251565e-16,2.7755575615628914e-17,evaluable,0.0
BARAJADO,4,12,1.0,0.1,166,0,0,0.013444436560487175,0.031511281000391245,0.0,-0.5,-0.9123567684774342,0,0,0.0,0.0,evaluable,0.0
BARAJADO,4,13,1.0,0.1,500,4,6,1.1771328460337858e+22,0.009580022797604679,1.0,0.5,-0.5788897906424662,0,0,0.0,0.0,evaluable,1.0238119811836017
BARAJADO,4,14,1.0,0.1,190,0,0,5.087681048627601e-16,0.020979857731530674,0.0,-0.5,,1,0,1.1102230246251565e-16,2.7755575615628914e-17,evaluable,0.0
BARAJADO,4,15,1.0,0.1,500,4,6,7427934712631.98,0.03872094072889961,1.0,0.5,0.017827587527824144,0,0,0.0,0.0,evaluable,1.0778354309568658
BARAJADO,4,16,1.0,0.1,500,4,6,301507.68370796874,0.03017222068927775,1.0,0.5,0.5184801484734839,0,1,1.862645149230957e-09,4.656612873077393e-10,evaluable,1.0550761212692528
BARAJADO,4,17,1.0,0.1,364,0,0,0.14085351456178355,0.11923578045300509,0.0,-0.5,0.2731011118634223,0,1,0.0,0.0,evaluable,0.0
BARAJADO,4,18,1.0,0.1,178,0,0,4.965068306494546e-16,0.038941232015380925,0.0,-0.5,,1,0,2.220446049250313e-16,5.551115123125783e-17,evaluable,0.0
BARAJADO,4,19,1.0,0.1,277,0,0,0.031584248343761064,0.13849441269691942,0.0,-0.5,0.90366689232834,0,1,1.1102230246251565e-16,2.7755575615628914e-17,evaluable,0.0
BARAJADO,4,20,1.0,0.1,500,2,1,0.08292318984916226,0.11665990009629526,0.5860285522861749,0.0860285522861749,0.8104975192850726,0,1,5.551115123125783e-17,1.3877787807814457e-17,evaluable,1.005759504595213
BARAJADO,4,21,1.0,0.1,303,0,0,0.22801337592423446,0.20852831191996188,0.25126776405802087,-0.24873223594197913,0.7610586484415195,0,1,5.551115123125783e-17,1.3877787807814457e-17,evaluable,0.0
BARAJADO,4,22,1.0,0.1,190,0,0,3.3306690738754696e-16,0.024029377220710493,0.0,-0.5,,1,0,-1.1102230246251565e-16,-2.7755575615628914e-17,evaluable,0.0
BARAJADO,4,23,1.0,0.1,182,0,0,0.06940606280423968,0.1391606970656539,0.0,-0.5,0.5687510373099642,0,1,2.220446049250313e-16,5.551115123125783e-17,evaluable,0.0
BARAJADO,4,24,1.0,0.1,500,3,3,0.09750320014821051,0.13133427399193068,0.46570452640413357,-0.03429547359586643,-0.3755844061180631,0,0,8.326672684688674e-17,2.0816681711721685e-17,evaluable,1.0569487517638008
BARAJADO,4,25,1.0,0.1,210,0,0,0.04667335024107532,0.061851088319323705,0.0,-0.5,-0.3765035075788643,0,0,0.0,0.0,evaluable,0.0
BARAJADO,4,26,1.0,0.1,243,0,0,0.06107757782540427,0.05731942591804317,0.0,-0.5,-0.27044582488843644,0,0,0.0,0.0,evaluable,0.0
BARAJADO,4,27,1.0,0.1,397,0,0,0.04195051001049107,0.05509077178520224,0.0,-0.5,0.057800245486069844,0,0,-2.220446049250313e-16,-5.551115123125783e-17,evaluable,0.0
BARAJADO,4,28,1.0,0.1,500,2,1,0.09899854740406981,0.13426877061707104,0.011783317598301654,-0.48821668240169835,-0.3597957280728951,0,0,5.551115123125783e-17,1.3877787807814457e-17,evaluable,1.0327500126438098
BARAJADO,4,29,1.0,0.1,258,0,0,0.032000869764546296,0.05095549410083718,0.0,-0.5,0.862037900582845,0,1,-2.220446049250313e-16,-5.551115123125783e-17,evaluable,0.0
BARAJADO,4,30,1.0,0.1,277,0,0,0.07256908828263692,0.118442443609898,0.0,-0.5,0.23062749033689503,0,1,2.220446049250313e-16,5.551115123125783e-17,evaluable,0.0
ALFA_0,4,1,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,2,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,3,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,4,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,5,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,6,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,7,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,8,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,9,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,,1,0,0.0,0.0,evaluable,0.0
ALFA_0,4,10,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,11,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,12,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,13,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,14,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,,1,0,0.0,0.0,evaluable,0.0
ALFA_0,4,15,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,16,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,17,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,18,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,,1,0,0.0,0.0,evaluable,0.0
ALFA_0,4,19,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,20,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,21,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,22,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,,1,0,0.0,0.0,evaluable,0.0
ALFA_0,4,23,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,24,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,25,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,26,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,27,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,28,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,29,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
ALFA_0,4,30,0.0,0.1,0,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0.0,0.0,evaluable,0.0
REAL,4,1,1.0,0.3,500,2,1,40830.56452225079,0.5910404134618087,0.9999580454975188,0.49995804549751877,0.11960813067197602,0,1,2.263744747210694e-12,5.659361868026735e-13,evaluable,1.3333378604389943
REAL,4,2,1.0,0.3,500,3,3,170145.11691394704,0.6880823757534685,0.829336855066775,0.329336855066775,0.8164980399110107,0,1,-1.4551915228366852e-11,-3.637978807091713e-12,evaluable,1.3190480938024443
REAL,4,3,1.0,0.3,500,3,3,16631822778765.582,0.45876565044236994,0.9999999999999368,0.49999999999993683,0.47209785359319734,0,1,0.001953125,0.00048828125,evaluable,1.1514585668564385
REAL,4,4,1.0,0.3,500,2,1,62363.70113074635,0.591040413577285,0.999965532071502,0.49996553207150196,0.16915414722335334,0,1,-1.4551915228366852e-11,-3.637978807091713e-12,evaluable,1.5000046132793576
REAL,4,5,1.0,0.3,500,3,3,32612955153983.805,0.4587656504258653,0.9999999999999911,0.4999999999999911,0.43096440627118326,0,1,0.0,0.0,evaluable,1.2154171006576338
REAL,4,6,1.0,0.3,500,4,6,2484907929568.1445,0.7048042571987732,0.925394993121924,0.42539499312192397,0.9878644728661183,0,1,0.000244140625,6.103515625e-05,evaluable,1.416827823244754
REAL,4,7,1.0,0.3,500,2,1,9.608253458716602,2.12520648909676e-08,0.9999999893739678,0.49999998937396783,0.9999999999999998,0,1,4.0574610338239836e-08,1.0143652584559959e-08,evaluable,1.0
REAL,4,8,1.0,0.3,190,0,0,2.960238824138817,1.1872128870168668,0.3944026941346548,-0.10559730586534521,0.8890779011818344,0,1,-4.440892098500626e-16,-1.1102230246251565e-16,evaluable,0.0
REAL,4,9,1.0,0.3,195,0,0,1.8439731615550814e-14,0.4273634762877565,0.2928932188134506,-0.2071067811865494,,1,0,0.0,0.0,evaluable,0.0
REAL,4,10,1.0,0.3,500,2,1,40830.56452225079,0.5910404134618087,0.9999580454975187,0.49995804549751865,0.11960813067197597,0,1,2.2652990594451694e-12,5.663247648612924e-13,evaluable,1.3333378604389943
REAL,4,11,1.0,0.3,500,2,1,1.333904334288624,1.1055175922483264e-08,0.9999999847208405,0.4999999847208405,0.955157570848674,0,1,-1.2228018375637362e-08,-3.0570045939093404e-09,evaluable,1.0
REAL,4,12,1.0,0.3,500,2,1,0.4577637246573485,1.7958800803353713e-08,0.9999999462547037,0.4999999462547037,0.9286211739337659,0,1,9.782122223356282e-09,2.4455305558390705e-09,evaluable,1.0
REAL,4,13,1.0,0.3,500,4,6,2.0794819540326004e+22,0.23245414871849635,1.0,0.5,1.0000000000000002,0,1,0.0,0.0,evaluable,1.1399282998124005
REAL,4,14,1.0,0.3,195,0,0,2.916317306881066e-15,0.4273634762877563,0.29289321881345065,-0.20710678118654935,,1,0,0.0,0.0,evaluable,0.0
REAL,4,15,1.0,0.3,500,3,3,36527602167782.05,0.3219015780168736,0.9999999999999893,0.49999999999998934,0.5334020967943287,0,1,0.0234375,0.005859375,evaluable,1.1494942158466885
REAL,4,16,1.0,0.3,500,3,3,32612955153983.805,0.4587656504258654,0.9999999999999909,0.4999999999999909,0.4309644062711833,0,1,0.00390625,0.0009765625,evaluable,1.2154171006576338
REAL,4,17,1.0,0.3,500,2,1,40830.56452225079,0.5910404134618087,0.9999580454975188,0.49995804549751877,0.11960813067197593,0,1,2.2652990594451694e-12,5.663247648612924e-13,evaluable,1.3333378604389943
REAL,4,18,1.0,0.3,189,0,0,8.15843973306311e-16,0.8015877140425328,0.19110490217065282,-0.3088950978293472,,1,0,0.0,0.0,evaluable,0.0
REAL,4,19,1.0,0.3,500,3,3,990956.0741986778,0.5987067356336931,0.9770356134351464,0.47703561343514644,0.6739286855259398,0,1,-1.21321064305846e-10,-3.03302660764615e-11,evaluable,1.4311090705720058
REAL,4,20,1.0,0.3,500,3,3,16602101704168.865,0.32190157799534064,0.9999999999999754,0.49999999999997535,0.5773502691896509,0,1,-0.009765625,-0.00244140625,evaluable,1.1494942158644494
REAL,4,21,1.0,0.3,500,3,3,1268734.679581067,0.598734235941663,0.9769996421772802,0.4769996421772802,0.3926575146413393,0,1,2.9103830456733704e-10,7.275957614183426e-11,evaluable,1.462015018075617
REAL,4,22,1.0,0.3,195,0,0,1.8439731615550814e-14,0.4273634762877565,0.2928932188134506,-0.2071067811865494,,1,0,0.0,0.0,evaluable,0.0
REAL,4,23,1.0,0.3,500,3,3,429939.60080030974,0.6855979910269783,0.8298009564162835,0.3298009564162835,0.8458620779605661,0,1,8.731149137020111e-11,2.1827872842550278e-11,evaluable,1.2447032939451694
REAL,4,24,1.0,0.3,500,3,3,26348603233058.914,0.45876565042825806,0.9999999999999855,0.49999999999998546,0.5773502691896362,0,1,0.00390625,0.0009765625,evaluable,1.031606079716961
REAL,4,25,1.0,0.3,190,0,0,2.960238824138817,1.1872128870168668,0.39440269413465473,-0.10559730586534527,0.8890779011818343,0,1,-2.220446049250313e-16,-5.551115123125783e-17,evaluable,0.0
REAL,4,26,1.0,0.3,500,2,1,6590.305900957531,0.591040896684769,0.9990648814157607,0.49906488141576066,0.38360574312812784,0,1,-2.398081733190338e-13,-5.995204332975845e-14,evaluable,1.0000882472283372
REAL,4,27,1.0,0.3,500,3,3,990956.0741986773,0.5987067356336933,0.9770356134351464,0.47703561343514644,0.6739286855259399,0,1,-8.731149137020111e-11,-2.1827872842550278e-11,evaluable,1.4311090705720058
REAL,4,28,1.0,0.3,500,3,3,1268734.679581067,0.5987342359416631,0.9769996421772802,0.4769996421772802,0.39265751464133947,0,1,2.0372681319713593e-10,5.093170329928398e-11,evaluable,1.462015018075617
REAL,4,29,1.0,0.3,500,2,1,0.6445765497133832,1.3080654408682073e-08,0.9999999424461468,0.49999994244614676,0.9738064921499825,0,1,9.488590579920242e-09,2.3721476449800605e-09,evaluable,1.0
REAL,4,30,1.0,0.3,500,2,1,6590.305900957635,0.5910408966847689,0.9990648814157604,0.49906488141576044,0.3836057431281279,0,1,-7.37410132956029e-13,-1.8435253323900724e-13,evaluable,1.0000882472283374
BARAJADO,4,1,1.0,0.3,317,0,0,0.24791330506336873,0.20522905590685392,0.0,-0.5,0.6558287331883399,0,1,1.1102230246251565e-16,2.7755575615628914e-17,evaluable,0.0
BARAJADO,4,2,1.0,0.3,384,0,0,0.09948951975517861,0.20782430665379026,0.0,-0.5,0.21721770203810317,0,1,2.220446049250313e-16,5.551115123125783e-17,evaluable,0.0
BARAJADO,4,3,1.0,0.3,500,4,6,338.7042617772017,0.17684968805419896,1.0,0.5,0.47617609940087235,0,1,4.547473508864641e-13,1.1368683772161603e-13,evaluable,1.0826070797572762
BARAJADO,4,4,1.0,0.3,500,4,6,0.16939676326501196,0.13915605397638875,0.9999999999999925,0.49999999999999245,0.9000615419281512,0,1,0.0,0.0,evaluable,1.024652348665535
BARAJADO,4,5,1.0,0.3,500,4,6,325464.25150236796,0.12347330133110275,1.0,0.5,-0.7929908033028824,0,0,0.0,0.0,evaluable,1.030655585595836
BARAJADO,4,6,1.0,0.3,500,4,6,7568928619466.456,0.1516964979105986,1.0,0.5,0.23091383371050625,0,1,0.00390625,0.0009765625,evaluable,1.040795738797802
BARAJADO,4,7,1.0,0.3,500,4,6,24055632.1248324,0.14512873961718695,1.0,0.5,-0.727912277839561,0,0,0.0,0.0,evaluable,1.0176047619441395
BARAJADO,4,8,1.0,0.3,301,0,0,0.20079991170203315,0.30988167552479723,0.0,-0.5,-0.5982771046378915,0,0,1.1102230246251565e-16,2.7755575615628914e-17,evaluable,0.0
BARAJADO,4,9,1.0,0.3,195,0,0,6.473657049138938e-16,0.23871771475562895,0.0,-0.5,,1,0,-2.220446049250313e-16,-5.551115123125783e-17,evaluable,0.0
BARAJADO,4,10,1.0,0.3,280,0,0,0.12770211715917687,0.23035663705285828,0.0,-0.5,0.3755282646460541,0,1,-1.1102230246251565e-16,-2.7755575615628914e-17,evaluable,0.0
BARAJADO,4,11,1.0,0.3,421,0,0,0.19296528619139375,0.21866508546625527,0.0,-0.5,0.8040460765708205,0,1,-5.551115123125783e-16,-1.3877787807814457e-16,evaluable,0.0
BARAJADO,4,12,1.0,0.3,169,0,0,0.040894931456563664,0.09622414901243352,0.0,-0.5,-0.9032984154376712,0,0,-1.1102230246251565e-16,-2.7755575615628914e-17,evaluable,0.0
BARAJADO,4,13,1.0,0.3,500,4,6,3.7144076072281094e+21,0.030670449706048854,1.0,0.5,-0.6141327192403583,0,0,-16777216.0,-4194304.0,evaluable,1.0341161827795082
BARAJADO,4,14,1.0,0.3,195,0,0,6.377745716588144e-16,0.059207601023081466,0.0,-0.5,,1,0,1.1102230246251565e-16,2.7755575615628914e-17,evaluable,0.0
BARAJADO,4,15,1.0,0.3,500,4,6,4595376087978.581,0.11504981820711184,1.0,0.5,0.030639797149818723,0,0,-0.00390625,-0.0009765625,evaluable,1.040552977743874
BARAJADO,4,16,1.0,0.3,500,4,6,341781.75706271984,0.09283763527136253,1.0,0.5,0.4967528899044875,0,1,-4.656612873077393e-10,-1.1641532182693481e-10,evaluable,1.0628454899131314
BARAJADO,4,17,1.0,0.3,474,0,0,0.4103955055166978,0.35711592020201893,0.0,-0.5,0.22175659663632472,0,1,0.0,0.0,evaluable,0.0
BARAJADO,4,18,1.0,0.3,189,0,0,6.568167990716596e-16,0.11761521354784885,0.0,-0.5,,1,0,1.1102230246251565e-16,2.7755575615628914e-17,evaluable,0.0
BARAJADO,4,19,1.0,0.3,271,0,0,0.09615306520193945,0.411882045287109,0.0,-0.5,0.8805404759812151,0,1,-1.1102230246251565e-16,-2.7755575615628914e-17,evaluable,0.0
BARAJADO,4,20,1.0,0.3,500,2,1,0.2612771466066979,0.365777606768942,0.5589907503981519,0.05899075039815194,0.8467666914093357,0,1,-1.1102230246251565e-16,-2.7755575615628914e-17,evaluable,1.0068324447148786
BARAJADO,4,21,1.0,0.3,317,0,0,0.6864137357189908,0.6248730126618581,0.2803135906610287,-0.21968640933897132,0.7713066420965379,0,1,0.0,0.0,evaluable,0.0
BARAJADO,4,22,1.0,0.3,195,0,0,3.3306690738754696e-16,0.07527634698612223,0.0,-0.5,,1,0,1.1102230246251565e-16,2.7755575615628914e-17,evaluable,0.0
BARAJADO,4,23,1.0,0.3,199,0,0,0.2066419029584712,0.41982741617391744,0.0,-0.5,0.5889410665206616,0,1,2.220446049250313e-16,5.551115123125783e-17,evaluable,0.0
BARAJADO,4,24,1.0,0.3,500,2,1,0.2769455159222168,0.4113967790656101,0.4556454475471325,-0.04435455245286751,-0.37049090384776684,0,0,0.0,0.0,evaluable,1.0548686486416037
BARAJADO,4,25,1.0,0.3,296,0,0,0.13864489961589038,0.18418899133969432,0.0,-0.5,-0.3364583586994283,0,0,3.3306690738754696e-16,8.326672684688674e-17,evaluable,0.0
BARAJADO,4,26,1.0,0.3,212,0,0,0.18404177734068383,0.17631494723071936,0.0,-0.5,-0.2656347918242355,0,0,-1.1102230246251565e-16,-2.7755575615628914e-17,evaluable,0.0
BARAJADO,4,27,1.0,0.3,405,0,0,0.12726652262534696,0.16815482664866424,0.0,-0.5,0.05398134625525046,0,0,0.0,0.0,evaluable,0.0
BARAJADO,4,28,1.0,0.3,500,2,1,0.29543180383876066,0.40875384982048724,0.02870912125445056,-0.4712908787455494,-0.3549069460986875,0,0,-5.551115123125783e-17,-1.3877787807814457e-17,evaluable,1.0213759675585334
BARAJADO,4,29,1.0,0.3,268,0,0,0.09648029344832183,0.15415171420658774,0.0,-0.5,0.869146983702361,0,1,-1.1102230246251565e-16,-2.7755575615628914e-17,evaluable,0.0
