rule_id,seed,clase,nivel,a_pico,carpeta,N,masa_particula,masa_total,n_aristas,grado_medio,grafo_sha256,radio_burbuja,sep_media,n_centros,pico_original,pico_logrado,pico_razon,cv_original,cv_logrado,fof030_original,fof030_logrado,fof030_razon,n_grupos_fof,n_particulas_movidas,frac_movidas,desp_max,desp_medio_movidas,caja_x,caja_y,caja_z,lado_original,ic_ida_vuelta_ok,ic_md5_igual_al_original,frac_masa_historica,kappa_v_historica,ic_original
A2-B0-C2-r2,372023,I,L0,-0.35,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-r2_s372023_f802_L0,2000,9.4,18800.0,4094,4.094,ddce696ffe7d69aea23f43d7f2114e773716b9e07f42a993a43e8099cd058cfa,7.745965025080108,7.745965025080108,30,7.527256426368226,7.824807256554844,1.0395297852673502,4.580536647875594,4.244211544116017,0.5344999999999994,0.5349999999999994,1.0009354536950419,30,625,0.3125,0.7759583326174198,0.4319429773976635,97.70329829400062,97.74630405968765,97.77475539706168,97.59304386847896,True,False,0.076,0.5000000000000001,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r2_I/cosmogenesis_ic.txt
A2-B0-C2-r2,372023,I,L1,0.0,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-r2_s372023_f802_L1,2000,9.4,18800.0,4094,4.094,ddce696ffe7d69aea23f43d7f2114e773716b9e07f42a993a43e8099cd058cfa,7.745965025080108,7.745965025080108,30,7.527256426368226,7.527256426368226,1.0,4.580536647875594,4.580536647875594,0.5344999999999994,0.5344999999999994,1.0,37,625,0.3125,0.0,0.0,97.59296540737448,97.59304386847896,97.59303824883584,97.59304386847896,True,True,0.076,0.5000000000000001,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r2_I/cosmogenesis_ic.txt
A2-B0-C2-r2,372023,I,L2,0.2,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-r2_s372023_f802_L2,2000,9.4,18800.0,4094,4.094,ddce696ffe7d69aea23f43d7f2114e773716b9e07f42a993a43e8099cd058cfa,7.745965025080108,7.745965025080108,30,7.527256426368226,8.8234519448172,1.1722002606299369,4.580536647875594,4.696612917011522,0.5344999999999994,0.5324999999999994,0.9962581852198316,43,625,0.3125,0.4434047614956623,0.24682455851295054,97.59270115219148,97.59304386847896,97.5930284441045,97.59304386847896,True,False,0.076,0.5000000000000001,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r2_I/cosmogenesis_ic.txt
A2-B0-C2-r2,372023,I,L3,0.35,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-r2_s372023_f802_L3,2000,9.4,18800.0,4094,4.094,ddce696ffe7d69aea23f43d7f2114e773716b9e07f42a993a43e8099cd058cfa,7.745965025080108,7.745965025080108,30,7.527256426368226,11.936896738006025,1.5858230491777436,4.580536647875594,4.7631537631334195,0.5344999999999994,0.5299999999999995,0.9915809167446212,48,625,0.3125,0.7759583326174198,0.43194297739766335,97.59270115219148,97.59304386847896,97.5930284441045,97.59304386847896,True,False,0.076,0.5000000000000001,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r2_I/cosmogenesis_ic.txt
A2-B0-C2-r2,372023,I,L4,0.5,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-r2_s372023_f802_L4,2000,9.4,18800.0,4094,4.094,ddce696ffe7d69aea23f43d7f2114e773716b9e07f42a993a43e8099cd058cfa,7.745965025080108,7.745965025080108,30,7.527256426368226,17.31644865332959,2.3004993682252546,4.580536647875594,4.824075571044741,0.5344999999999994,0.5279999999999996,0.987839101964453,53,625,0.3125,1.1085119037391773,0.6170613962823763,97.59270115219148,97.59304386847896,97.5930284441045,97.59304386847896,True,False,0.076,0.5000000000000001,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r2_I/cosmogenesis_ic.txt
A2-B0-C2-r14,273187,III,L0,-0.35,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-r14_s273187_f802_L0,2000,9.4,18800.0,3296,3.296,0c6fc25052dcd04b9ce39c6e385b238d8ccd217f65951236756d4b5e3bb7cd0e,7.745965173279898,7.745965173279898,30,7.870617297086977,6.707357610393728,0.8522022297890424,4.32029404723538,3.9125670500837413,0.6655000000000015,0.6654999999999995,0.999999999999997,12,739,0.3695,0.7759585198956575,0.43228910637638973,97.74808274630286,97.65172808920622,97.85265434001764,97.59304573567931,True,False,0.099,0.5151515151515152,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r14_III/cosmogenesis_ic.txt
A2-B0-C2-r14,273187,III,L1,0.0,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-r14_s273187_f802_L1,2000,9.4,18800.0,3296,3.296,0c6fc25052dcd04b9ce39c6e385b238d8ccd217f65951236756d4b5e3bb7cd0e,7.745965173279898,7.745965173279898,30,7.870617297086977,7.870617297086977,1.0,4.32029404723538,4.32029404723538,0.6655000000000015,0.6655000000000015,1.0,14,739,0.3695,0.0,0.0,97.59294247262025,97.59295382341115,97.59304573567931,97.59304573567931,True,True,0.099,0.5151515151515152,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r14_III/cosmogenesis_ic.txt
A2-B0-C2-r14,273187,III,L2,0.2,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-r14_s273187_f802_L2,2000,9.4,18800.0,3296,3.296,0c6fc25052dcd04b9ce39c6e385b238d8ccd217f65951236756d4b5e3bb7cd0e,7.745965173279898,7.745965173279898,30,7.870617297086977,10.483417564958689,1.3319689128880328,4.32029404723538,4.475047686619982,0.6655000000000015,0.6660000000000009,1.0007513148009006,17,739,0.3695,0.4434048685118042,0.24702234650079427,97.59294247262025,97.59295382341115,97.59304573567931,97.59304573567931,True,False,0.099,0.5151515151515152,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r14_III/cosmogenesis_ic.txt
A2-B0-C2-r14,273187,III,L3,0.35,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-r14_s273187_f802_L3,2000,9.4,18800.0,3296,3.296,0c6fc25052dcd04b9ce39c6e385b238d8ccd217f65951236756d4b5e3bb7cd0e,7.745965173279898,7.745965173279898,30,7.870617297086977,15.116409015479737,1.920612887768603,4.32029404723538,4.569780417819964,0.6655000000000015,0.6660000000000009,1.0007513148009006,19,739,0.3695,0.7759585198956575,0.43228910637638984,97.59294247262025,97.59295382341115,97.59304573567931,97.59304573567931,True,False,0.099,0.5151515151515152,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r14_III/cosmogenesis_ic.txt
A2-B0-C2-r14,273187,III,L4,0.5,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-r14_s273187_f802_L4,2000,9.4,18800.0,3296,3.296,0c6fc25052dcd04b9ce39c6e385b238d8ccd217f65951236756d4b5e3bb7cd0e,7.745965173279898,7.745965173279898,30,7.870617297086977,24.55700772995505,3.1200866212925806,4.32029404723538,4.654838800907945,0.6655000000000015,0.6655,0.9999999999999977,24,739,0.3695,1.1085121712795234,0.6175558662519857,97.59294247262025,97.59295382341115,97.59304573567931,97.59304573567931,True,False,0.099,0.5151515151515152,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r14_III/cosmogenesis_ic.txt
A2-B0-C2-batch4-r31,574836,I,L0,-0.35,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-batch4-r31_s574836_f802_L0,2000,9.4,18800.0,3332,3.332,338fe959f2f1dcedd274b2ebd2c30d0795ca562da2ce0b7f626572b0edbc7a6f,7.745960941246859,7.745960941246859,30,8.16213088034305,6.7313022735036,0.8246991345991118,4.21002939844544,3.7790495959836696,0.6670000000000005,0.6685000000000025,1.0022488755622219,13,750,0.375,0.7759579364620453,0.42668160000357724,97.748214490197,97.7976696875177,97.79816304183974,97.59299241540423,True,False,0.0985,0.523076923076923,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r31_I/cosmogenesis_ic.txt
A2-B0-C2-batch4-r31,574836,I,L1,0.0,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-batch4-r31_s574836_f802_L1,2000,9.4,18800.0,3332,3.332,338fe959f2f1dcedd274b2ebd2c30d0795ca562da2ce0b7f626572b0edbc7a6f,7.745960941246859,7.745960941246859,30,8.16213088034305,8.16213088034305,1.0,4.21002939844544,4.21002939844544,0.6670000000000005,0.6670000000000005,1.0,17,750,0.375,0.0,0.0,97.59280067825324,97.5928889941367,97.59299241540423,97.59299241540423,True,True,0.0985,0.523076923076923,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r31_I/cosmogenesis_ic.txt
A2-B0-C2-batch4-r31,574836,I,L2,0.2,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-batch4-r31_s574836_f802_L2,2000,9.4,18800.0,3332,3.332,338fe959f2f1dcedd274b2ebd2c30d0795ca562da2ce0b7f626572b0edbc7a6f,7.745960941246859,7.745960941246859,30,8.16213088034305,11.749112851193583,1.4394663628206579,4.21002939844544,4.367801243927981,0.6670000000000005,0.6665000000000004,0.9992503748125936,18,750,0.375,0.4434045351211698,0.24381805714490126,97.59275534828778,97.59283997342351,97.59294970411976,97.59299241540423,True,False,0.0985,0.523076923076923,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r31_I/cosmogenesis_ic.txt
A2-B0-C2-batch4-r31,574836,I,L3,0.35,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-batch4-r31_s574836_f802_L3,2000,9.4,18800.0,3332,3.332,338fe959f2f1dcedd274b2ebd2c30d0795ca562da2ce0b7f626572b0edbc7a6f,7.745960941246859,7.745960941246859,30,8.16213088034305,14.8254411653855,1.8163689583917082,4.21002939844544,4.460236715366946,0.6670000000000005,0.6665000000000003,0.9992503748125935,20,750,0.375,0.7759579364620453,0.42668160000357724,97.59275534828778,97.59283997342351,97.59294970411976,97.59299241540423,True,False,0.0985,0.523076923076923,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r31_I/cosmogenesis_ic.txt
A2-B0-C2-batch4-r31,574836,I,L4,0.5,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-batch4-r31_s574836_f802_L4,2000,9.4,18800.0,3332,3.332,338fe959f2f1dcedd274b2ebd2c30d0795ca562da2ce0b7f626572b0edbc7a6f,7.745960941246859,7.745960941246859,30,8.16213088034305,22.76625539558128,2.789253900646154,4.21002939844544,4.539113839770728,0.6670000000000005,0.6670000000000003,0.9999999999999997,22,750,0.375,1.1085113378029208,0.6095451428622533,97.59275534828778,97.59283997342351,97.59294970411976,97.59299241540423,True,False,0.0985,0.523076923076923,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r31_I/cosmogenesis_ic.txt
A2-B0-C2-r39,375612,III,L0,-0.35,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-r39_s375612_f802_L0,2000,9.4,18800.0,4083,4.083,6b73fc02f4e6f5a1661503ea7fc8bb17a6ee9475142da14406cdc21dc19fee2a,7.745959299993383,7.745959299993383,30,8.341468000805753,8.532490705369856,1.0229003701201815,4.576282896001966,4.239185264619257,0.5304999999999996,0.5314999999999994,1.0018850141376057,41,627,0.3135,0.7759536775756506,0.4381930725802455,97.74700971257471,97.78035641469678,97.76255351128863,97.5929717369062,True,False,0.0785,0.4722222222222217,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r39_III/cosmogenesis_ic.txt
A2-B0-C2-r39,375612,III,L1,0.0,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-r39_s375612_f802_L1,2000,9.4,18800.0,4083,4.083,6b73fc02f4e6f5a1661503ea7fc8bb17a6ee9475142da14406cdc21dc19fee2a,7.745959299993383,7.745959299993383,30,8.341468000805753,8.341468000805753,1.0,4.576282896001966,4.576282896001966,0.5304999999999996,0.5304999999999996,1.0,41,627,0.3135,0.0,0.0,97.5929717369062,97.59293764902256,97.59287445432336,97.5929717369062,True,True,0.0785,0.4722222222222217,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r39_III/cosmogenesis_ic.txt
A2-B0-C2-r39,375612,III,L2,0.2,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-r39_s375612_f802_L2,2000,9.4,18800.0,4083,4.083,6b73fc02f4e6f5a1661503ea7fc8bb17a6ee9475142da14406cdc21dc19fee2a,7.745959299993383,7.745959299993383,30,8.341468000805753,9.985230607364642,1.1970591515066782,4.576282896001966,4.70105245349029,0.5304999999999996,0.5314999999999995,1.001885014137606,44,627,0.3135,0.4434021014718044,0.25039604147442596,97.5929717369062,97.59287561375479,97.59275626935113,97.5929717369062,True,False,0.0785,0.4722222222222217,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r39_III/cosmogenesis_ic.txt
A2-B0-C2-r39,375612,III,L3,0.35,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-r39_s375612_f802_L3,2000,9.4,18800.0,4083,4.083,6b73fc02f4e6f5a1661503ea7fc8bb17a6ee9475142da14406cdc21dc19fee2a,7.745959299993383,7.745959299993383,30,8.341468000805753,12.378879510622479,1.4840169031909884,4.576282896001966,4.774263807336491,0.5304999999999996,0.5324999999999993,1.0037700282752113,47,627,0.3135,0.7759536775756506,0.4381930725802455,97.5929717369062,97.59287561375479,97.59275626935113,97.5929717369062,True,False,0.0785,0.4722222222222217,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r39_III/cosmogenesis_ic.txt
