patch,seed,N,arm,regla,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
3,6205,2500,completo,nematico,5.421,0.042,1,5.972,1,0.898,0.906,4,17
3,6205,2500,null_tipos,nematico,5.205,0.043,1,5.48,1,0.994,0.91,3,17
3,6205,2500,null_marco,nematico,5.241,0.043,0,7.973,0,0.894,0.922,4,16
3,6205,2500,null_mediado,nematico,5.012,0.039,1,5.355,1,1.041,0.917,4,17
3,6205,2500,subconjunto,nematico,5.004,0.046,0,7.969,0,0.987,0.91,4,16
5,10333,2500,completo,nematico,4.915,0.044,1,4.224,1,0.981,0.913,1,17
5,10333,2500,null_tipos,nematico,5.431,0.05,3,5.414,1,0.849,0.922,3,17
5,10333,2500,null_marco,nematico,5.233,0.049,0,7.979,0,1.022,0.91,4,17
5,10333,2500,null_mediado,nematico,5.375,0.047,1,5.186,1,0.943,0.921,4,16
5,10333,2500,subconjunto,nematico,5.368,0.05,0,7.983,0,0.884,0.915,4,16
0,13,2500,completo,nematico,5.16,0.048,2,5.658,1,0.871,0.914,4,17
0,13,2500,null_tipos,nematico,5.398,0.051,1,4.783,1,0.937,0.909,4,17
0,13,2500,null_marco,nematico,5.265,0.049,0,7.981,0,1.073,0.912,4,17
0,13,2500,null_mediado,nematico,4.825,0.048,4,5.897,1,1.136,0.91,4,17
0,13,2500,subconjunto,nematico,5.023,0.051,0,7.982,0,0.996,0.914,4,16
1,2077,2500,completo,nematico,5.406,0.048,1,5.592,1,0.919,0.916,3,17
1,2077,2500,null_tipos,nematico,5.397,0.042,1,6.141,1,0.887,0.91,4,17
1,2077,2500,null_marco,nematico,5.228,0.044,0,7.972,0,1.039,0.914,4,17
1,2077,2500,null_mediado,nematico,5.376,0.035,1,4.1,1,0.78,0.915,4,17
1,2077,2500,subconjunto,nematico,5.436,0.048,0,7.972,0,1.048,0.901,4,16
2,4141,2500,completo,nematico,4.649,0.042,1,5.656,1,0.905,0.917,4,17
2,4141,2500,null_tipos,nematico,5.264,0.044,1,4.796,1,0.903,0.897,4,17
2,4141,2500,null_marco,nematico,5.314,0.049,0,7.971,0,1.034,0.916,4,17
2,4141,2500,null_mediado,nematico,5.161,0.044,1,4.938,1,0.878,0.908,4,17
