carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,cond_id,cond_n,rigidez,criterio,brazo_hist,rule_id_historico,idx_lote,pendiente_corregida,pendiente_archivada,dif_vs_archivada,reproduce_archivada,clase_geom,z_agg,giant_grafo_final,grado_medio_grafo_final,diam_b1_corregido,holon_grafo_final
A2-B0-C2-mec-r2__c4-elastico-azar,A2-B0-C2-mec-r2,I,90406,7,0.508,0.259,7.01,5,3867,11.0,2000,cosmog_00500,17211.4,1588.6000000000006,18800.000000000004,0.08450000000000002,8,0.041,1588.6,0.4210526315789474,0.43660714285714286,0,c4-elastico-azar,4,elastico,azar,C2-presupuesto-variable-azar,A2-B0-C2-r2,2,0.5709521805609474,0.5708451955637298,0.00010698499721761845,False,I,0.7071067796865472,0.9785,3.867,11.0,0.6844715358388095
A2-B0-C2-mec-r3__c1-rigido-soporte,A2-B0-C2-mec-r3,II,90503,5,0.66,0.313,5.34,5,4850,9.0,2000,cosmog_00500,17653.2,1146.8000000000002,18800.0,0.06100000000000001,8,0.048,1146.8,0.3240740740740737,0.33472222222222187,0,c1-rigido-soporte,1,rigido,soporte,C2-hibrido,A2-B0-C2-r3,3,0.4329580681962777,0.4329580681962777,0.0,True,II,0.35355338991827345,0.9945,4.85,9.0,0.7547121779961687
A2-B0-C2-mec-r3__c2-rigido-azar,A2-B0-C2-mec-r3,I,90503,5,0.66,0.313,5.34,5,4880,8.0,2000,cosmog_00500,17634.4,1165.6000000000004,18800.0,0.06200000000000002,8,0.064,1165.6,0.5312500000000001,0.5416666666666667,0,c2-rigido-azar,2,rigido,azar,C2-random,A2-B0-C2-r3,3,0.3341480030476639,0.33414800304766373,1.6653345369377348e-16,True,I,0.3863703299156276,0.995,4.88,8.0,1.026012281782906
A2-B0-C2-mec-r3__c3-elastico-soporte,A2-B0-C2-mec-r3,I,90503,5,0.66,0.313,5.34,5,4364,10.0,2000,cosmog_00500,17521.600000000002,1278.4000000000003,18800.000000000004,0.068,8,0.05,1278.3999999999999,0.42857142857142855,0.45386904761904756,0,c3-elastico-soporte,3,elastico,soporte,C2-presupuesto-variable,A2-B0-C2-r3,3,0.5269866731332189,0.5269866731332191,2.220446049250313e-16,True,I,0.5277916858529366,0.9905,4.364,10.0,0.6617112029328829
A2-B0-C2-mec-r3__c4-elastico-azar,A2-B0-C2-mec-r3,I,90503,5,0.66,0.313,5.34,5,4005,11.0,2000,cosmog_00500,17220.8,1579.2000000000005,18800.0,0.08400000000000003,8,0.042,1579.2000000000003,0.3559322033898305,0.35615079365079366,0,c4-elastico-azar,4,elastico,azar,C2-presupuesto-variable-azar,A2-B0-C2-r3,3,0.5757560107051989,0.5757560107051987,2.220446049250313e-16,True,I,0.5656854237492382,0.975,4.005,11.0,0.8327480902731846
A2-B0-C2-mec-r4__c1-rigido-soporte,A2-B0-C2-mec-r4,II,90600,5,0.561,0.109,5.18,7,5068,9.0,2000,cosmog_00500,17634.4,1165.6000000000004,18800.0,0.06200000000000002,8,0.042,1165.6,0.5714285714285713,0.5916666666666666,0,c1-rigido-soporte,1,rigido,soporte,C2-hibrido,A2-B0-C2-r4,4,0.39412532497886815,0.39412532497886704,1.1102230246251565e-15,True,II,0.28284271187461874,0.9965,5.068,9.0,0.3089726246016606
A2-B0-C2-mec-r4__c2-rigido-azar,A2-B0-C2-mec-r4,II,90600,5,0.561,0.109,5.18,7,5054,9.0,2000,cosmog_00500,17634.4,1165.6000000000004,18800.0,0.06200000000000002,8,0.051,1165.6,0.3421052631578948,0.35208333333333336,0,c2-rigido-azar,2,rigido,azar,C2-random,A2-B0-C2-r4,4,0.3986386976167939,0.3986386976167936,2.7755575615628914e-16,True,II,0.4242640678119288,0.9945,5.054,9.0,0.2825557402682
A2-B0-C2-mec-r4__c3-elastico-soporte,A2-B0-C2-mec-r4,I,90600,5,0.561,0.109,5.18,7,5022,9.0,2000,cosmog_00500,17606.2,1193.8000000000002,18800.0,0.06350000000000001,8,0.052,1193.8,0.5,0.50625,0,c3-elastico-soporte,3,elastico,soporte,C2-presupuesto-variable,A2-B0-C2-r4,4,0.4765946201203524,0.4765946201203529,4.996003610813204e-16,True,I,0.5656854237492382,0.991,5.022,9.0,0.39135629064722993
A2-B0-C2-mec-r4__c4-elastico-azar,A2-B0-C2-mec-r4,II,90600,5,0.561,0.109,5.18,7,5012,10.0,2000,cosmog_00500,17568.600000000002,1231.4,18800.000000000004,0.06549999999999999,8,0.042,1231.3999999999999,0.5137614678899074,0.5282308377896605,0,c4-elastico-azar,4,elastico,azar,C2-presupuesto-variable-azar,A2-B0-C2-r4,4,0.446571637995188,0.44657163799518923,1.2212453270876722e-15,True,II,0.9899494915611667,0.991,5.012,10.0,0.3373498495730802
A2-B0-C2-mec-r5__c1-rigido-soporte,A2-B0-C2-mec-r5,II,90697,5,0.769,0.338,4.97,6,4879,9.0,2000,cosmog_00500,17559.2,1240.8000000000002,18800.0,0.066,8,0.064,1240.8000000000002,0.38532110091743155,0.41765350877193,0,c1-rigido-soporte,1,rigido,soporte,C2-hibrido,A2-B0-C2-r5,5,0.4425411119811575,0.4425411119811577,2.220446049250313e-16,True,II,0.28284271187461874,0.991,4.879,9.0,0.7802753422207397
A2-B0-C2-mec-r5__c2-rigido-azar,A2-B0-C2-mec-r5,II,90697,5,0.769,0.338,4.97,6,4869,9.0,2000,cosmog_00500,17596.8,1203.2000000000003,18800.0,0.06400000000000002,8,0.048,1203.1999999999998,0.4571428571428571,0.475,0,c2-rigido-azar,2,rigido,azar,C2-random,A2-B0-C2-r5,5,0.43576054475227327,0.43576054475227366,3.885780586188048e-16,True,II,0.14142135593730937,0.989,4.869,9.0,0.9243433646882145
A2-B0-C2-mec-r5__c3-elastico-soporte,A2-B0-C2-mec-r5,I,90697,5,0.769,0.338,4.97,6,4587,9.0,2000,cosmog_00500,17361.8,1438.2000000000003,18800.0,0.07650000000000001,8,0.043,1438.2,0.3333333333333333,0.3198412698412698,0,c3-elastico-soporte,3,elastico,soporte,C2-presupuesto-variable,A2-B0-C2-r5,5,0.4822499392607442,0.4822499392607439,3.3306690738754696e-16,True,I,0.5656854237492375,0.9635,4.587,9.0,0.8756037345196993
A2-B0-C2-mec-r5__c4-elastico-azar,A2-B0-C2-mec-r5,I,90697,5,0.769,0.338,4.97,6,4697,9.0,2000,cosmog_00500,17399.4,1400.6000000000004,18800.0,0.07450000000000002,8,0.043,1400.6,0.3137254901960784,0.3510912698412698,0,c4-elastico-azar,4,elastico,azar,C2-presupuesto-variable-azar,A2-B0-C2-r5,5,0.47039561505518007,0.47039561505518057,4.996003610813204e-16,True,I,0.7071067796865472,0.97,4.697,9.0,0.8883439577083381
A2-B0-C2-mec-r6__c1-rigido-soporte,A2-B0-C2-mec-r6,III,90794,5,0.407,0.249,7.4,5,3315,14.0,2000,cosmog_00500,16205.6,2594.3999999999996,18800.0,0.13799999999999998,8,0.028,2594.3999999999996,1.0900900900900896,1.0807870370370367,0,c1-rigido-soporte,1,rigido,soporte,C2-hibrido,A2-B0-C2-r6,6,1.000975091739252,1.0009750917392537,1.7763568394002505e-15,True,III,0.38974720855387446,0.8655,3.315,14.0,0.7383637807948664
A2-B0-C2-mec-r6__c2-rigido-azar,A2-B0-C2-mec-r6,I,90794,5,0.407,0.249,7.4,5,4092,10.0,2000,cosmog_00500,17333.600000000002,1466.4000000000005,18800.000000000004,0.07800000000000001,8,0.05,1466.3999999999999,0.44720496894409956,0.4477678571428573,0,c2-rigido-azar,2,rigido,azar,C2-random,A2-B0-C2-r6,6,0.5214097549388371,0.5224555993256516,0.0010458443868144318,False,I,0.7071067796865472,0.9915,4.092,10.0,0.911334414798103
A2-B0-C2-mec-r6__c3-elastico-soporte,A2-B0-C2-mec-r6,I,90794,5,0.407,0.249,7.4,5,4225,11.0,2000,cosmog_00500,17408.8,1391.2000000000003,18800.0,0.07400000000000001,8,0.051,1391.1999999999998,0.31249999999999994,0.3247023809523809,0,c3-elastico-soporte,3,elastico,soporte,C2-presupuesto-variable,A2-B0-C2-r6,6,0.5660027990995847,0.5660027990995847,0.0,True,I,0.4949747458555828,0.987,4.225,11.0,1.0776534724884497
A2-B0-C2-mec-r6__c4-elastico-azar,A2-B0-C2-mec-r6,I,90794,5,0.407,0.249,7.4,5,3751,11.0,2000,cosmog_00500,17183.2,1616.8000000000006,18800.0,0.08600000000000003,8,0.048,1616.8,0.49707602339181234,0.500396825396825,0,c4-elastico-azar,4,elastico,azar,C2-presupuesto-variable-azar,A2-B0-C2-r6,6,0.5863570229908278,0.584836782060546,0.001520240930281802,False,I,0.3863703299156276,0.982,3.751,11.0,0.9357272323744523
