arm,N,seed,K_sorteado,D_embedding,pico_medio,frac_picados,certificado,n_ejes,PR,gap_interno,n_pobl,n_vivos,rango_pleno,peso_semilla,direccion_real,n_ejes_D8,direccion_real_D8,p_ordenado
semilla_barajada,900,71639,8,8,0.44970664309545355,0.022222222222222223,0,0,7.4021,0.0,8,8,1,0.11860420229513158,0,0,0,0.20778;0.13889;0.12889;0.12333;0.11333;0.11111;0.09111;0.08556
semilla_barajada,900,71652,6,6,0.7631538845441374,0.2788888888888889,0,0,5.1389,0.0,6,6,1,0.11846285526118215,0,6,0,0.26000;0.21111;0.19000;0.17444;0.11667;0.04778
semilla_barajada,900,71665,4,4,0.7299471112354515,0.21888888888888888,0,0,3.752,0.0,4,4,1,0.08535241241891213,0,4,0,0.34444;0.25667;0.23444;0.16444
semilla_barajada,900,71678,7,7,0.668724912436381,0.08333333333333333,0,0,4.386,0.0,7,7,1,0.14239210606557523,0,7,0,0.37333;0.18444;0.15667;0.15556;0.05556;0.03778;0.03667
semilla_barajada,900,71691,6,6,0.7230680356221133,0.1711111111111111,0,0,2.8464,0.0,6,6,1,0.06492614780353491,0,1,0,0.54556;0.17667;0.11778;0.05889;0.05444;0.04667
semilla_barajada,1500,71697,7,7,0.7266698156400383,0.07866666666666666,0,0,6.2636,0.0,7,7,1,0.17542019544100773,0,7,0,0.21333;0.18800;0.17867;0.14600;0.10800;0.09067;0.07533
semilla_barajada,1500,71710,7,7,0.722350796506153,0.22,0,0,6.7864,0.0,7,7,1,0.053598591472360214,0,7,0,0.18400;0.15467;0.15400;0.14467;0.14400;0.12133;0.09733
semilla_barajada,1500,71723,8,8,0.8194220792109062,0.46066666666666667,0,0,6.4067,0.0,8,8,1,0.07105831752711927,0,0,0,0.25200;0.17933;0.16333;0.10000;0.09267;0.07667;0.07200;0.06400
semilla_barajada,1500,71736,5,5,0.6694971329896459,0.06466666666666666,0,0,4.1716,0.0,5,5,1,0.16885271900029775,0,5,0,0.33800;0.25267;0.19667;0.11933;0.09333
semilla_barajada,1500,71749,7,7,0.7459180987213937,0.092,0,0,5.5535,0.0,7,7,1,0.19706908573993526,0,7,0,0.27667;0.22000;0.13867;0.12867;0.09133;0.08867;0.05600
