mode,vertex3,N,seed,n_surv,f_surv,tau,orden_color,gluon_frac_surv,n_triplets,coup_higgs,coup_gluon,L2_K8,ratio_L2_K8,phi_peak,phi_final,frac_higgs_surv,mass_ratio,orden_charge,L2_K3,ratio_L2_K3
yukawa,False,500,4,234,0.468,240,0.43817487838590896,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3361823361823361,0.48721697261694347,9.128007056335617
yukawa,True,500,4,273,0.546,240,0.3755784671879219,0.0,400,23.999999999999872,0.0,0.0,0.0,2.8185323783328107,2.8185323783328107,0.002,0.9941801186292265,0.28815628815628813,0.32615134490186176,6.600033299949294
yukawa,False,500,5,239,0.478,240,0.4351866733897837,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3389121338912133,0.4990259707303432,9.448605750459432
yukawa,True,500,5,267,0.534,240,0.38954911962606104,0.0,400,23.999999999999872,0.0,0.0,0.0,2.818722043519605,2.818722043519605,0.002,0.9892058489676353,0.30337078651685395,0.3798498844496809,7.601744329687271
yukawa,False,500,6,240,0.48,240,0.4302373376017784,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34027777777777773,0.49332347963132217,9.360154913247964
yukawa,True,500,6,267,0.534,240,0.38673019110272217,0.0,400,23.999999999999872,0.0,0.0,0.0,2.8191495781283598,2.8191495781283598,0.002,0.9798487282605548,0.3058676654182272,0.37796182206870005,7.56395948865853
yukawa,False,500,7,234,0.468,240,0.5333840103032902,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2264957264957265,0.41110133790824743,7.701981097127725
yukawa,True,500,7,263,0.526,240,0.47456980384399206,0.0,400,23.999999999999872,0.0,0.0,0.0,2.8186199369312113,2.8186199369312113,0.002,1.0060369238352553,0.2015209125475285,0.276566422245594,5.493168934500902
yukawa,False,500,8,236,0.472,240,0.4596237048003113,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3121468926553672,0.47040896308428637,8.85069182395997
yukawa,True,500,8,265,0.53,240,0.40932526163348476,0.0,400,23.999999999999872,0.0,0.0,0.0,2.818965042103628,2.818965042103628,0.002,1.0352780487571465,0.27798742138364774,0.34425905837920406,6.863631251914992
yukawa,False,2000,1,925,0.4625,240,0.31135885876834807,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.430990990990991,0.6319329667057612,23.538972858713336
yukawa,True,2000,1,960,0.48,240,0.3000072337090854,0.0,400,23.999999999999872,0.0,0.0,0.0,2.8180934584559663,2.8180934584559663,0.0005,1.0102534851430363,0.41527777777777775,0.5901002592544949,22.3927304052007
yukawa,False,2000,2,920,0.46,240,0.31087336574143853,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4344202898550725,0.635702009386867,23.61528152995705
yukawa,True,2000,2,951,0.4755,240,0.3007397439349353,0.0,400,23.999999999999872,0.0,0.0,0.0,2.818284135736099,2.818284135736099,0.0005,1.0168868264275888,0.4202593760953383,0.5982353178161963,22.594770618574415
yukawa,False,2000,3,921,0.4605,240,0.3105339286063029,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4364820846905538,0.6370630118297489,23.678698903422834
yukawa,True,2000,3,956,0.478,240,0.2991650086259466,0.0,400,23.999999999999872,0.0,0.0,0.0,2.819094454272535,2.819094454272535,0.0005,1.002625967224736,0.4205020920502092,0.5950261806393071,22.532565925714113
yukawa,False,2000,4,920,0.46,240,0.3086975658238297,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4391304347826087,0.6392438034127811,23.746853338458568
yukawa,True,2000,4,952,0.476,240,0.29832117705664213,0.0,400,23.999999999999872,0.0,0.0,0.0,2.8183088633178155,2.8183088633178155,0.0005,0.9946826570418529,0.42436974789915966,0.6006003320776571,22.696018234427793
yukawa,False,2000,5,922,0.461,240,0.5335255542042099,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12942877801879973,0.4121741438284095,15.32822386497091
yukawa,True,2000,5,956,0.478,240,0.5145507960002945,0.0,400,23.999999999999872,0.0,0.0,0.0,2.8179137200053184,2.8179137200053184,0.0005,0.9838911426058319,0.12482566248256625,0.3687749106558099,13.96483929022005
yukawa,False,2000,6,925,0.4625,240,0.5324156946196108,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23207207207207206,0.41204461475467935,15.348316220706778
yukawa,True,2000,6,955,0.4775,240,0.5156905942650681,0.0,400,23.999999999999872,0.0,0.0,0.0,2.8181206396716525,2.8181206396716525,0.0005,1.013483381002634,0.22478184991273994,0.37370415768958803,14.14409761639812
yukawa,False,2000,7,923,0.4615,240,0.5323249555359139,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2300469483568075,0.41165630519291846,15.317265907669046
yukawa,True,2000,7,924,0.462,240,0.5317488462766758,0.0,400,23.999999999999872,0.0,0.0,0.0,0.0020011630369409614,0.0020011630369409614,0.0005,0.9999978552710893,0.22979797979797978,0.41033446667713125,15.276350451494727
yukawa,False,2000,8,926,0.463,240,0.5325386763365543,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12922966162706984,0.41193384395470595,15.352482017695763
yukawa,True,2000,8,927,0.4635,240,0.5319642009575504,0.0,400,23.999999999999872,0.0,0.0,0.0,0.001489453072681796,0.001489453072681796,0.0005,0.9999996910491231,0.12909025530384752,0.4106165735480125,15.311649223442508
