rule_id,seed,lote,K,kcap,brazo,n_nodos,n_aristas,grado_medio,grados_identicos,n_nodos_grado_distinto,solapamiento_aristas,clustering_local,transitividad,n_triangulos,T_objetivo,dif_max_triangulos,gigante,n_componentes,asortatividad,pendiente_corr,z_agg,diams,n_cajas,clustering_original,transitividad_original,n_triangulos_original,t_piso,t_techo_brazo,t_techo_brazo_sin_restriccion,n_swaps_aceptados,k_elegido,t_swaps_s,acc_baja,t_bajar_s,gigante_original,semilla_base,pendiente_corr_csv_ref,frac_masa_fase5b,n_triangulos_medido,frac_nodos_en_triangulo,frac_aristas_en_triangulo,frac_aristas_multi_tri,tri_por_arista_media,tri_por_nodo_max,gini_tri_nodo,n_comp_tri,tam_mayor_comp_tri,frac_mayor_comp_tri,tam_medio_comp_tri,modularidad_tri,dist_media_tri,dist_media_azar,t_ic_s,carpeta,t_total_grafo_s
A2-B0-C2-batch3-r0,471829,471828,5,4,libre,2000,2308,2.308,True,0,0.002166377816291161,0.03425,0.034524530587522716,57,57,0,1733,7,-0.2784747929797741,1.0241424558496564,0.8813450762212106,"[19.0, 13.0, 11.0, 6.0, 5.0]","[2000, 1349, 891, 675, 546]",0.017,0.01635372501514234,27,0,401,1001,942,57,8.7,11597,0.9,1681,4623924217,1.0889055843285775,0.15049999999999997,57,0.081,0.07235701906412478,0.023952095808383235,1.0239520958083832,2.0,0.9230263157894737,52,2,0.03508771929824561,1.0961538461538463,0.07209818947883781,9.631250000000001,9.19555427251732,187.63,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch3-r0_s471829_f703_libre,1164.8
A2-B0-C2-batch3-r0,471829,471828,5,4,conc,2000,2308,2.308,True,0,0.002166377816291161,0.027916666666666666,0.034524530587522716,57,57,0,1733,7,-0.27411139778189075,1.0282319761226375,0.7399237199839016,"[19.0, 15.0, 9.0, 7.0, 5.0]","[2000, 1343, 882, 663, 551]",0.017,0.01635372501514234,27,0,356,994,926,54,10.8,11597,0.9,1681,4623924217,1.0889055843285775,0.15049999999999997,57,0.0555,0.058925476603119586,0.22058823529411764,1.2573529411764706,4.0,0.9593187134502924,29,6,0.10526315789473684,1.9655172413793103,0.05867992875357807,10.869642857142857,9.139838337182447,175.21,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch3-r0_s471829_f703_conc,1164.8
A2-B0-C2-batch3-r0,471829,471828,5,4,disp,2000,2308,2.308,True,0,0.0017331022530329288,0.03,0.034524530587522716,57,57,0,1733,7,-0.26538460738612457,0.9823305368591656,1.0227664321585204,"[19.0, 13.0, 11.0, 7.0, 5.0]","[2000, 1342, 894, 671, 559]",0.017,0.01635372501514234,27,0,380,793,777,57,15.2,11597,0.9,1681,4623924217,1.0889055843285775,0.15049999999999997,57,0.0855,0.07409012131715771,0.0,1.0,1.0,0.9145,57,1,0.017543859649122806,1.0,0.07381571033163224,9.660714285714285,9.462523619567499,196.29,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch3-r0_s471829_f703_disp,1164.8
A2-B0-C2-batch3-r0,471829,471828,5,4,solap,2000,2308,2.308,True,0,0.0030329289428076256,0.021166666666666667,0.034524530587522716,57,57,0,1706,12,-0.2666936259454894,1.0734480628296532,0.5985023640465912,"[20.0, 13.0, 10.0, 6.0, 5.0]","[2000, 1348, 889, 676, 554]",0.017,0.01635372501514234,27,0,57,57,49,49,9.9,11597,0.9,1681,4623924217,1.0889055843285775,0.15049999999999997,57,0.027,0.037694974003466206,0.6896551724137931,1.9655172413793103,6.0,0.9809444444444444,11,10,0.17543859649122806,5.181818181818182,0.037546434449987835,5.042,8.862805474095797,231.65,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch3-r0_s471829_f703_solap,1164.8
A2-B0-C2-batch3-r0,471829,471828,5,4,disj,2000,2308,2.308,True,0,0.0017331022530329288,0.03191666666666667,0.034524530587522716,57,57,0,1729,9,-0.2623302307476062,1.069929993807504,0.6692130420902463,"[19.0, 15.0, 10.0, 6.0, 5.0]","[2000, 1345, 879, 675, 544]",0.017,0.01635372501514234,27,0,440,539,539,57,19.6,11597,0.9,1681,4623924217,1.0889055843285775,0.15049999999999997,57,0.085,0.07409012131715771,0.0,1.0,2.0,0.9154941520467836,56,2,0.03508771929824561,1.0178571428571428,0.07381289441592652,9.726785714285713,9.496738215488215,300.78,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch3-r0_s471829_f703_disj,1164.8
A2-B0-C2-batch3-r60,477649,471828,6,5,libre,2000,3068,3.068,True,0,0.001303780964797914,0.07603333333333333,0.06251392912859371,187,187,0,1853,1,-0.26071069255198404,0.887782888033521,0.6772962881749995,"[15.0, 11.0, 7.0, 6.0, 4.0]","[2000, 1271, 830, 591, 486]",0.019,0.013706262536215734,41,0,1235,1750,1631,186,45.9,14966,4.7,1837,4680960217,0.9268169943894311,0.12549999999999997,187,0.2575,0.17829204693611472,0.025594149908592323,1.0255941499085923,3.0,0.7620276292335116,155,5,0.026737967914438502,1.206451612903226,0.1775006363793985,7.198118279569893,7.157765560573336,299.06,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch3-r60_s477649_f703_libre,1591.3
A2-B0-C2-batch3-r60,477649,471828,6,5,conc,2000,3068,3.068,True,0,0.001303780964797914,0.06018333333333333,0.06251392912859371,187,187,0,1853,1,-0.2588799273422516,0.6787475458182276,0.6500807762507256,"[12.0, 10.0, 7.0, 5.0, 5.0]","[2000, 1278, 844, 598, 478]",0.019,0.013706262536215734,41,0,1154,1910,1733,176,53.4,14966,4.7,1837,4680960217,0.9268169943894311,0.12549999999999997,187,0.1635,0.14015645371577576,0.2627906976744186,1.3046511627906976,7.0,0.8845374331550803,72,14,0.0748663101604278,2.5972222222222223,0.1393777123148657,7.556451612903226,7.3734046730806995,306.71,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch3-r60_s477649_f703_conc,1591.3
A2-B0-C2-batch3-r60,477649,471828,6,5,disp,2000,3068,3.068,True,0,0.0016297262059973925,0.07968333333333334,0.06251392912859371,187,187,0,1853,1,-0.2543030143179206,0.827342520030118,0.9553227142075624,"[16.0, 12.0, 7.0, 6.0, 5.0]","[2000, 1273, 853, 590, 469]",0.019,0.013706262536215734,41,0,1124,1124,1103,185,36.5,14966,4.7,1837,4680960217,0.9268169943894311,0.12549999999999997,187,0.2795,0.18252933507170796,0.0017857142857142857,1.0017857142857143,2.0,0.7214928698752228,186,2,0.0106951871657754,1.0053763440860215,0.1818199154667179,7.3876344086021515,6.977681785457164,286.72,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch3-r60_s477649_f703_disp,1591.3
A2-B0-C2-batch3-r60,477649,471828,6,5,solap,2000,3068,3.068,True,0,0.0016297262059973925,0.041800000000000004,0.06251392912859371,187,187,0,1819,6,-0.26185492080806677,0.9098342601985704,1.921520530845099,"[17.0, 12.0, 10.0, 5.0, 5.0]","[2000, 1280, 848, 614, 471]",0.019,0.013706262536215734,41,0,187,187,150,150,35.6,14966,4.7,1837,4680960217,0.9268169943894311,0.12549999999999997,187,0.0505,0.06681877444589308,0.9414634146341463,2.7365853658536587,9.0,0.9610204991087344,17,16,0.0855614973262032,11.0,0.06652517937612296,9.452540650406506,6.761976197619762,261.83,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch3-r60_s477649_f703_solap,1591.3
A2-B0-C2-batch3-r60,477649,471828,6,5,disj,2000,3068,3.068,True,0,0.0022816166883963492,0.0691,0.06251392912859371,187,187,0,1851,2,-0.24949725564237288,0.7339393811653802,0.5169395431561162,"[15.0, 10.0, 7.0, 6.0, 5.0]","[2000, 1278, 835, 599, 453]",0.019,0.013706262536215734,41,0,745,745,742,187,54.5,14966,4.7,1837,4680960217,0.9268169943894311,0.12549999999999997,187,0.267,0.18285528031290743,0.0,1.0,2.0,0.7452005347593583,160,3,0.016042780748663103,1.16875,0.18201098864673643,7.158064516129032,7.304279279279281,187.95,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch3-r60_s477649_f703_disj,1591.3
