[verificación] 20 semillas nuevas; ancho de cadena por genealogía = 7761; separación mínima nueva-nueva = 78218; separación mínima nueva-vs-ya_usada = 23267
[verificación] saltos consecutivos entre semillas nuevas, todos distintos = True  -> no hay progresión aritmética
[verificación] OK: ninguna genealogía puede compartir una semilla individual con otra.
[diámetro] MOT._diam sustituido en memoria: _diam -> diam_gigante (medición oficial corregida, ningún archivo tocado en disco)
[shard 0/5] genealogías: ['H00_113477', 'H05_905683', 'H10_2043761', 'H15_3389417']  brazos=['C2-hard', 'C2-hibrido']
[H00_113477] seed_base=113477  admitidas=20/20  descartadas(P1-P5)=0
  [H05_905683] A2-B0-C2-r2      C2-hard     clase=I                          pend=+0.579 diam_b1=11 (2.4s) [t=12s]
  [H05_905683] A2-B0-C2-r2      C2-hibrido  clase=II                         pend=+0.445 diam_b1=9 (2.3s) [t=15s]
  [H05_905683] A2-B0-C2-r3      C2-hard     clase=III                        pend=+0.861 diam_b1=17 (2.0s) [t=17s]
  [H05_905683] A2-B0-C2-r3      C2-hibrido  clase=III                        pend=+0.939 diam_b1=15 (2.1s) [t=19s]
  [H05_905683] A2-B0-C2-r4      C2-hard     clase=III                        pend=+1.013 diam_b1=18 (2.4s) [t=21s]
  [H05_905683] A2-B0-C2-r4      C2-hibrido  clase=III                        pend=+0.814 diam_b1=11 (2.2s) [t=23s]
  [H05_905683] A2-B0-C2-r5      C2-hard     clase=III                        pend=+0.739 diam_b1=14 (2.3s) [t=26s]
  [H05_905683] A2-B0-C2-r5      C2-hibrido  clase=I                          pend=+0.554 diam_b1=10 (2.8s) [t=29s]
  [H05_905683] A2-B0-C2-r6      C2-hard     clase=III                        pend=+0.799 diam_b1=15 (2.5s) [t=31s]
  [H05_905683] A2-B0-C2-r6      C2-hibrido  clase=III                        pend=+0.748 diam_b1=12 (2.7s) [t=34s]
  [H05_905683] A2-B0-C2-r7      C2-hard     clase=III                        pend=+0.818 diam_b1=16 (2.6s) [t=36s]
  [H05_905683] A2-B0-C2-r7      C2-hibrido  clase=I                          pend=+0.500 diam_b1=10 (2.9s) [t=39s]
  [H05_905683] A2-B0-C2-r8      C2-hard     clase=I                          pend=+0.672 diam_b1=12 (2.6s) [t=42s]
  [H05_905683] A2-B0-C2-r8      C2-hibrido  clase=I                          pend=+0.456 diam_b1=9 (3.1s) [t=45s]
  [H05_905683] A2-B0-C2-r9      C2-hard     clase=I                          pend=+0.653 diam_b1=12 (2.5s) [t=47s]
  [H05_905683] A2-B0-C2-r9      C2-hibrido  clase=I                          pend=+0.580 diam_b1=10 (2.9s) [t=50s]
  [H05_905683] A2-B0-C2-r10     C2-hard     clase=I                          pend=+0.507 diam_b1=11 (3.2s) [t=54s]
  [H05_905683] A2-B0-C2-r10     C2-hibrido  clase=II                         pend=+0.379 diam_b1=8 (3.9s) [t=57s]
  [H05_905683] A2-B0-C2-r11     C2-hard     clase=III                        pend=+0.737 diam_b1=13 (3.2s) [t=61s]
  [H05_905683] A2-B0-C2-r11     C2-hibrido  clase=III                        pend=+0.877 diam_b1=13 (3.6s) [t=64s]
  [H05_905683] A2-B0-C2-r12     C2-hard     clase=III                        pend=+0.996 diam_b1=18 (2.9s) [t=67s]
  [H05_905683] A2-B0-C2-r12     C2-hibrido  clase=III                        pend=+1.375 diam_b1=18 (3.1s) [t=70s]
  [H05_905683] A2-B0-C2-r13     C2-hard     clase=III                        pend=+0.984 diam_b1=20 (2.9s) [t=73s]
  [H05_905683] A2-B0-C2-r13     C2-hibrido  clase=III                        pend=+0.947 diam_b1=15 (3.0s) [t=76s]
  [H05_905683] A2-B0-C2-r14     C2-hard     clase=III                        pend=+0.718 diam_b1=13 (3.0s) [t=79s]
  [H05_905683] A2-B0-C2-r14     C2-hibrido  clase=I                          pend=+0.579 diam_b1=10 (3.4s) [t=83s]
  [H05_905683] A2-B0-C2-r15     C2-hard     clase=III                        pend=+0.890 diam_b1=20 (3.1s) [t=86s]
  [H05_905683] A2-B0-C2-r15     C2-hibrido  clase=I                          pend=+0.633 diam_b1=12 (3.5s) [t=89s]
  [H05_905683] A2-B0-C2-r16     C2-hard     clase=I                          pend=+0.519 diam_b1=11 (3.6s) [t=93s]
  [H05_905683] A2-B0-C2-r16     C2-hibrido  clase=II                         pend=+0.362 diam_b1=8 (4.2s) [t=97s]
  [H05_905683] A2-B0-C2-r17     C2-hard     clase=I                          pend=+0.627 diam_b1=12 (3.5s) [t=100s]
  [H05_905683] A2-B0-C2-r17     C2-hibrido  clase=I                          pend=+0.590 diam_b1=11 (4.0s) [t=104s]
  [H05_905683] A2-B0-C2-r18     C2-hard     clase=III                        pend=+0.959 diam_b1=20 (3.2s) [t=108s]
  [H05_905683] A2-B0-C2-r18     C2-hibrido  clase=III                        pend=+1.128 diam_b1=15 (4.3s) [t=112s]
  [H05_905683] A2-B0-C2-r19     C2-hard     clase=II                         pend=+0.381 diam_b1=9 (4.8s) [t=117s]
  [H05_905683] A2-B0-C2-r19     C2-hibrido  clase=I                          pend=+0.288 diam_b1=7 (4.5s) [t=121s]
