rule_id,seed,lote,K,kcap,escalon,n_nodos,n_aristas,grado_medio,grados_identicos,n_nodos_grado_distinto,solapamiento_aristas,clustering_local,transitividad,n_triangulos,gigante,n_componentes,asortatividad,pendiente_corr,z_agg,diams,n_cajas,clustering_original,n_triangulos_original,t_piso,t_techo,t_techo_sin_restriccion,n_fotos,n_fotos_conectadas,acc_baja,acc_sube,t_bajar_s,t_subir_s,seed_escalera,pendiente_corr_csv_ref,frac_masa_fase5b,t_ic_s,carpeta,t_total_grafo_s
A2-B0-C2-r20,373769,371828,5,6,orig,2000,3706,3.706,True,0,1.0,0.0023166666666666665,0.0028945887271850123,12,1968,1,0.037984790117217365,0.7081758225701758,0.3863703299156276,"[14.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1161, 713, 467, 350]",0.0023166666666666665,12,0,1791,2183,55,53,18219,2038,1.5,6.7,3625559313,0.7745872074489132,0.08650000000000002,52.25,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-r20_s373769_f702_orig,509.5
A2-B0-C2-r20,373769,371828,5,6,e0,2000,3706,3.706,True,0,0.0016189962223421479,0.0,0.0,0,1962,4,-0.046373017008326016,0.5697614620780439,1.1313708474984758,"[11.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1171, 724, 470, 356]",0.0023166666666666665,12,0,1791,2183,55,53,18219,2038,1.5,6.7,3625559313,0.7745872074489132,0.08650000000000002,53.18,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-r20_s373769_f702_e0,509.5
A2-B0-C2-r20,373769,371828,5,6,e1,2000,3706,3.706,True,0,0.0016189962223421479,0.038549999999999994,0.024604004181072607,102,1962,4,-0.04026013243401129,0.6462251050999035,0.28284271187461874,"[13.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1166, 714, 474, 346]",0.0023166666666666665,12,0,1791,2183,55,53,18219,2038,1.5,6.7,3625559313,0.7745872074489132,0.08650000000000002,92.55,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-r20_s373769_f702_e1,509.5
A2-B0-C2-r20,373769,371828,5,6,e2,2000,3706,3.706,True,0,0.0018888289260658392,0.11951666666666666,0.07815389563399534,324,1962,4,-0.02757589694230821,0.5372599276602679,0.9520557536648651,"[12.0, 9.0, 7.0, 5.0, 5.0]","[2000, 1169, 706, 470, 351]",0.0023166666666666665,12,0,1791,2183,55,53,18219,2038,1.5,6.7,3625559313,0.7745872074489132,0.08650000000000002,105.96,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-r20_s373769_f702_e2,509.5
A2-B0-C2-r20,373769,371828,5,6,e3,2000,3706,3.706,True,0,0.0024284943335132216,0.27283333333333337,0.19466109190319208,807,1958,6,-0.01565577202239445,0.5700394937849741,1.6869026755998184,"[12.0, 12.0, 7.0, 5.0, 5.0]","[2000, 1173, 708, 463, 317]",0.0023166666666666665,12,0,1791,2183,55,53,18219,2038,1.5,6.7,3625559313,0.7745872074489132,0.08650000000000002,123.9,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-r20_s373769_f702_e3,509.5
A2-B0-C2-r20,373769,371828,5,6,e4,2000,3706,3.706,True,0,0.002698327037236913,0.5161500000000001,0.4320173675323631,1791,1931,15,0.001154660556971071,0.665044912303561,5.005227742302645,"[22.0, 14.0, 12.0, 8.0, 6.0]","[2000, 1149, 731, 439, 301]",0.0023166666666666665,12,0,1791,2183,55,53,18219,2038,1.5,6.7,3625559313,0.7745872074489132,0.08650000000000002,68.81,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-r20_s373769_f702_e4,509.5
A2-B0-C2-r39,375612,371828,5,6,orig,2000,4083,4.083,True,0,1.0,0.0032333333333333333,0.003966417663779996,20,1966,3,0.09231888610434247,0.7408037939170649,3.1112698306208095,"[15.0, 10.0, 6.0, 5.0, 4.0]","[2000, 1156, 689, 458, 328]",0.0032333333333333333,20,0,2721,2721,57,57,19890,2503,1.1,10.0,3643436413,0.7271595357141946,0.07850000000000001,105.95,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-r39_s375612_f702_orig,508.1
A2-B0-C2-r39,375612,371828,5,6,e0,2000,4083,4.083,True,0,0.003428851334802841,0.0,0.0,0,1968,2,-0.10150960852296709,0.5868600595698912,0.8485281356238573,"[11.0, 7.0, 6.0, 4.0, 4.0]","[2000, 1161, 709, 478, 338]",0.0032333333333333333,20,0,2721,2721,57,57,19890,2503,1.1,10.0,3643436413,0.7271595357141946,0.07850000000000001,103.13,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-r39_s375612_f702_e0,508.1
A2-B0-C2-r39,375612,371828,5,6,e1,2000,4083,4.083,True,0,0.0036737692872887582,0.05091666666666667,0.03232630395980697,163,1968,2,-0.08610794403234132,0.5264612195847894,0.7071067796865476,"[11.0, 7.0, 6.0, 5.0, 4.0]","[2000, 1157, 698, 468, 331]",0.0032333333333333333,20,0,2721,2721,57,57,19890,2503,1.1,10.0,3643436413,0.7271595357141946,0.07850000000000001,60.55,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-r39_s375612_f702_e1,508.1
A2-B0-C2-r39,375612,371828,5,6,e2,2000,4083,4.083,True,0,0.003428851334802841,0.14293333333333333,0.1013419713095789,511,1968,2,-0.06780030510952198,0.5575636036493259,0.9899494915611664,"[11.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1161, 704, 442, 313]",0.0032333333333333333,20,0,2721,2721,57,57,19890,2503,1.1,10.0,3643436413,0.7271595357141946,0.07850000000000001,68.0,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-r39_s375612_f702_e2,508.1
A2-B0-C2-r39,375612,371828,5,6,e3,2000,4083,4.083,True,0,0.00440852314474651,0.3369,0.2522641634164077,1272,1968,2,-0.04745848408416717,0.5648066641858083,3.5355338984327376,"[13.0, 11.0, 8.0, 5.0, 5.0]","[2000, 1148, 705, 421, 299]",0.0032333333333333333,20,0,2721,2721,57,57,19890,2503,1.1,10.0,3643436413,0.7271595357141946,0.07850000000000001,82.1,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-r39_s375612_f702_e3,508.1
A2-B0-C2-r39,375612,371828,5,6,e4,2000,4083,4.083,True,0,0.0029390154298310064,0.6049666666666667,0.5396311231572685,2721,1909,16,-0.012150894733015647,0.7322190315972629,24.324473221217236,"[31.0, 26.0, 16.0, 13.0, 7.0]","[2000, 1152, 717, 418, 279]",0.0032333333333333333,20,0,2721,2721,57,57,19890,2503,1.1,10.0,3643436413,0.7271595357141946,0.07850000000000001,72.57,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-r39_s375612_f702_e4,508.1
A2-B0-C2-r28,374545,371828,6,6,orig,2000,3947,3.947,True,0,1.0,0.010516666666666665,0.0076262452765372725,37,1947,3,0.07231552738909473,0.6864755601172486,0.42426406811192885,"[13.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1176, 717, 473, 368]",0.010516666666666665,37,0,2246,2611,57,55,19500,2419,1.0,6.1,3633086513,0.7055880853285688,0.08950000000000002,70.63,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-r28_s374545_f702_orig,431.5
A2-B0-C2-r28,374545,371828,6,6,e0,2000,3947,3.947,True,0,0.002533569799847986,0.0,0.0,0,1951,1,-0.25116364549598386,0.5380839152929832,0.6363961020928924,"[10.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1211, 744, 498, 372]",0.010516666666666665,37,0,2246,2611,57,55,19500,2419,1.0,6.1,3633086513,0.7055880853285688,0.08950000000000002,70.37,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-r28_s374545_f702_e0,431.5
A2-B0-C2-r28,374545,371828,6,6,e1,2000,3947,3.947,True,0,0.002786926779832784,0.0368,0.026588801099278598,129,1951,1,-0.23035338798433996,0.5438476204188192,0.8485281357738567,"[11.0, 7.0, 6.0, 5.0, 4.0]","[2000, 1212, 733, 478, 365]",0.010516666666666665,37,0,2246,2611,57,55,19500,2419,1.0,6.1,3633086513,0.7055880853285688,0.08950000000000002,69.15,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-r28_s374545_f702_e1,431.5
A2-B0-C2-r28,374545,371828,6,6,e2,2000,3947,3.947,True,0,0.00354699771978718,0.11835,0.08388869804191,407,1949,2,-0.1738684033098776,0.5750659217582536,0.42426406796192817,"[11.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1188, 743, 490, 356]",0.010516666666666665,37,0,2246,2611,57,55,19500,2419,1.0,6.1,3633086513,0.7055880853285688,0.08950000000000002,70.08,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-r28_s374545_f702_e2,431.5
