genealogia,seed_base,rule_id,brazo,clase,pendiente,z_agg,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,K,J,noise,meandeg,kcap,seed
G3_156644,156644,A2-B0-C2-r13,C2-hard,III,0.7313119503917505,1.131370848248476,1.6041049405150152,2962,2.962,14.0,0.912,7,0.473,0.284,7.93,5,157906
G3_156644,156644,A2-B0-C2-r13,C2-hibrido,III,1.0101476431123397,0.8451084130799785,1.6904738984275771,3135,3.135,13.0,0.8445,7,0.473,0.284,7.93,5,157906
G3_156644,156644,A2-B0-C2-r14,C2-hard,III,0.8459645579330141,1.5400534451339243,2.1797102282325636,3350,3.35,16.0,0.967,5,0.498,0.322,5.85,5,158003
G3_156644,156644,A2-B0-C2-r14,C2-hibrido,I,0.5710981750512298,0.5656854237492375,2.263801378154599,4131,4.131,10.0,0.9685,5,0.498,0.322,5.85,5,158003
G3_156644,156644,A2-B0-C2-r15,C2-hard,III,0.9696751099760994,1.4798474402678021,2.6465071836033087,2555,2.555,21.0,0.9105,6,0.442,0.253,4.6,4,158100
G3_156644,156644,A2-B0-C2-r15,C2-hibrido,III,0.7411007011238144,0.4242640678119285,1.0409382969026082,3241,3.241,14.0,0.9465,6,0.442,0.253,4.6,4,158100
G3_156644,156644,A2-B0-C2-r16,C2-hard,III,0.7464127290519269,0.24832585261656512,2.691430178193757,3298,3.298,14.0,0.963,4,0.72,0.116,4.19,5,158197
G3_156644,156644,A2-B0-C2-r16,C2-hibrido,I,0.5768321952587171,0.42426406781192816,5.855088398108598,4153,4.153,11.0,0.9795,4,0.72,0.116,4.19,5,158197
G3_156644,156644,A2-B0-C2-r17,C2-hard,I,0.5548976057380703,0.42426406781192816,2.280580559250873,4086,4.086,11.0,0.982,7,0.468,0.126,6.9,6,158294
G3_156644,156644,A2-B0-C2-r17,C2-hibrido,I,0.5270150530913977,0.2828427118746191,1.7589254701271642,4895,4.895,9.0,0.979,7,0.468,0.126,6.9,6,158294
G3_156644,156644,A2-B0-C2-r18,C2-hard,III,1.1446188828624162,0.8865844474423312,3.5418369946777055,2231,2.231,22.0,0.8215,4,0.446,0.181,7.02,4,158391
G3_156644,156644,A2-B0-C2-r18,C2-hibrido,III,1.333690543945085,1.4365028673597626,2.05431930495643,2442,2.442,17.0,0.7815,4,0.446,0.181,7.02,4,158391
G3_156644,156644,A2-B0-C2-r19,C2-hard,I,0.6373562365177194,0.7639129469312687,2.0344345306540905,3589,3.589,12.0,0.973,6,0.409,0.173,4.25,6,158488
G3_156644,156644,A2-B0-C2-r19,C2-hibrido,I,0.6195510311086639,0.2828427118746191,1.1818688976413039,4063,4.063,12.0,0.9785,6,0.409,0.173,4.25,6,158488
