rule_id,seed,kcap,K,J,noise,meandeg,M,grado_medio,t_s
A2-B0-C2-f701-r1019,70799844,5,7,0.585,0.333,4.07,3182,3.182,3.22
A2-B0-C2-f701-r1020,70799941,4,5,0.581,0.259,5.6,2541,2.541,1.5
A2-B0-C2-f701-r1021,70800038,4,8,0.424,0.346,4.57,2530,2.53,1.49
A2-B0-C2-f701-r1022,70800135,5,8,0.595,0.288,4.81,3307,3.307,1.68
A2-B0-C2-f701-r1023,70800232,5,5,0.786,0.308,5.67,3414,3.414,1.92
A2-B0-C2-f701-r1024,70800329,5,8,0.508,0.182,6.78,3243,3.243,2.08
A2-B0-C2-f701-r1025,70800426,6,4,0.582,0.337,5.64,4142,4.142,1.65
A2-B0-C2-f701-r1026,70800523,4,5,0.647,0.235,5.12,2594,2.594,1.38
A2-B0-C2-f701-r1027,70800620,5,8,0.315,0.205,4.36,3148,3.148,1.41
A2-B0-C2-f701-r1028,70800717,6,5,0.546,0.205,5.73,4104,4.104,1.73
A2-B0-C2-f701-r1029,70800814,5,4,0.66,0.234,4.87,3410,3.41,1.43
A2-B0-C2-f701-r1030,70800911,6,6,0.725,0.233,4.3,3703,3.703,1.43
A2-B0-C2-f701-r1031,70801008,4,4,0.517,0.17,5.57,2574,2.574,1.45
A2-B0-C2-f701-r1032,70801105,6,6,0.358,0.193,4.67,3746,3.746,1.64
A2-B0-C2-f701-r1033,70801202,4,5,0.337,0.265,4.42,2584,2.584,1.53
A2-B0-C2-f701-r1034,70801299,5,8,0.386,0.222,6.04,3302,3.302,1.5
A2-B0-C2-f701-r1035,70801396,7,7,0.351,0.119,7.27,4803,4.803,1.81
A2-B0-C2-f701-r1036,70801493,4,5,0.733,0.209,6.56,2369,2.369,1.37
A2-B0-C2-f701-r1037,70801590,4,6,0.366,0.195,4.95,2509,2.509,1.52
A2-B0-C2-f701-r1038,70801687,6,4,0.539,0.247,7.82,4051,4.051,1.64
A2-B0-C2-f701-r1039,70801784,4,5,0.62,0.159,5.83,2469,2.469,1.61
A2-B0-C2-f701-r1040,70801881,5,8,0.503,0.297,6.25,3229,3.229,1.64
A2-B0-C2-f701-r1041,70801978,4,6,0.452,0.133,4.19,2579,2.579,1.52
A2-B0-C2-f701-r1042,70802075,5,8,0.572,0.238,6.97,3191,3.191,1.49
A2-B0-C2-f701-r1043,70802172,5,6,0.646,0.309,7.48,3098,3.098,1.63
A2-B0-C2-f701-r1044,70802269,5,7,0.682,0.292,4.03,3157,3.157,1.49
A2-B0-C2-f701-r1045,70802366,4,7,0.42,0.126,7.2,2240,2.24,1.37
A2-B0-C2-f701-r1046,70802463,4,6,0.406,0.203,4.91,2562,2.562,1.44
A2-B0-C2-f701-r1047,70802560,4,6,0.566,0.311,7.09,2251,2.251,1.6
A2-B0-C2-f701-r1048,70802657,6,8,0.418,0.267,7.16,4044,4.044,1.66
A2-B0-C2-f701-r1049,70802754,5,7,0.52,0.156,5.29,3315,3.315,1.56
A2-B0-C2-f701-r1050,70802851,6,4,0.623,0.299,4.47,3808,3.808,1.44
A2-B0-C2-f701-r1051,70802948,7,7,0.64,0.338,7.2,4869,4.869,1.9
A2-B0-C2-f701-r1052,70803045,4,7,0.307,0.293,7.53,2142,2.142,1.31
