rule_id,seed,kcap,K,J,noise,meandeg,M,grado_medio,t_s
A2-B0-C2-f701-r22,70703135,5,7,0.616,0.237,4.48,3315,3.315,1.3
A2-B0-C2-f701-r23,70703232,5,5,0.757,0.258,5.56,3412,3.412,1.22
A2-B0-C2-f701-r24,70703329,4,8,0.576,0.195,5.37,2550,2.55,1.12
A2-B0-C2-f701-r25,70703426,4,5,0.374,0.324,4.01,2560,2.56,1.19
A2-B0-C2-f701-r26,70703523,7,7,0.455,0.212,6.5,4832,4.832,1.4
A2-B0-C2-f701-r27,70703620,6,4,0.739,0.275,7.73,4076,4.076,1.14
A2-B0-C2-f701-r28,70703717,5,7,0.516,0.147,5.04,3322,3.322,1.14
A2-B0-C2-f701-r29,70703814,5,5,0.387,0.297,5.56,3304,3.304,1.46
A2-B0-C2-f701-r30,70703911,5,7,0.471,0.259,4.15,3148,3.148,1.32
A2-B0-C2-f701-r31,70704008,5,6,0.696,0.349,7.19,3123,3.123,1.04
A2-B0-C2-f701-r32,70704105,5,7,0.644,0.292,5.52,3381,3.381,1.19
A2-B0-C2-f701-r33,70704202,7,7,0.402,0.279,7.72,4775,4.775,1.42
A2-B0-C2-f701-r34,70704299,6,5,0.377,0.237,5.28,3935,3.935,1.28
A2-B0-C2-f701-r35,70704396,5,7,0.689,0.125,5.7,3447,3.447,1.06
A2-B0-C2-f701-r36,70704493,5,5,0.541,0.158,5.47,3369,3.369,1.16
A2-B0-C2-f701-r37,70704590,4,7,0.656,0.158,6.5,2431,2.431,1.31
A2-B0-C2-f701-r38,70704687,4,7,0.324,0.274,5.42,2449,2.449,1.28
A2-B0-C2-f701-r39,70704784,6,6,0.526,0.248,7.44,4090,4.09,1.17
A2-B0-C2-f701-r40,70704881,6,5,0.36,0.318,7.71,3932,3.932,1.27
A2-B0-C2-f701-r41,70704978,5,7,0.402,0.219,6.9,3174,3.174,1.29
A2-B0-C2-f701-r42,70705075,6,8,0.65,0.293,5.04,3938,3.938,1.26
A2-B0-C2-f701-r43,70705172,4,5,0.518,0.219,6.32,2378,2.378,1.0
A2-B0-C2-f701-r44,70705269,6,8,0.521,0.142,5.64,4095,4.095,1.15
A2-B0-C2-f701-r45,70705366,5,6,0.648,0.258,7.76,2983,2.983,1.43
A2-B0-C2-f701-r46,70705463,5,5,0.5,0.239,5.04,3404,3.404,1.34
A2-B0-C2-f701-r47,70705560,6,6,0.671,0.192,6.57,4099,4.099,1.13
A2-B0-C2-f701-r48,70705657,6,5,0.75,0.124,4.92,3999,3.999,1.18
A2-B0-C2-f701-r49,70705754,5,7,0.721,0.187,6.61,3298,3.298,1.28
A2-B0-C2-f701-r50,70705851,6,7,0.542,0.209,5.55,4075,4.075,1.31
A2-B0-C2-f701-r51,70705948,4,5,0.491,0.288,5.5,2525,2.525,1.02
A2-B0-C2-f701-r52,70706045,6,5,0.728,0.336,6.6,4202,4.202,1.25
A2-B0-C2-f701-r53,70706142,6,6,0.45,0.335,4.29,3671,3.671,1.39
A2-B0-C2-f701-r54,70706239,6,4,0.681,0.165,6.07,4171,4.171,1.41
A2-B0-C2-f701-r55,70706336,6,5,0.72,0.16,7.15,4164,4.164,1.21
A2-B0-C2-f701-r56,70706433,6,6,0.635,0.213,7.49,4007,4.007,1.28
A2-B0-C2-f701-r57,70706530,7,6,0.434,0.134,5.89,4626,4.626,1.37
A2-B0-C2-f701-r58,70706627,7,6,0.773,0.259,7.23,4893,4.893,1.37
A2-B0-C2-f701-r59,70706724,6,7,0.615,0.326,4.1,3564,3.564,1.09
A2-B0-C2-f701-r60,70706821,5,4,0.714,0.12,5.12,3408,3.408,1.16
A2-B0-C2-f701-r61,70706918,6,5,0.748,0.301,5.59,4110,4.11,1.49
A2-B0-C2-f701-r62,70707015,5,7,0.46,0.2,5.64,3301,3.301,1.34
A2-B0-C2-f701-r63,70707112,5,6,0.329,0.323,6.68,3150,3.15,1.04
A2-B0-C2-f701-r64,70707209,5,8,0.48,0.251,4.29,3169,3.169,1.03
A2-B0-C2-f701-r65,70707306,5,5,0.659,0.337,7.18,3187,3.187,1.25
A2-B0-C2-f701-r66,70707403,5,5,0.736,0.168,7.02,3237,3.237,1.32
A2-B0-C2-f701-r67,70707500,6,4,0.591,0.34,5.29,4066,4.066,1.28
A2-B0-C2-f701-r68,70707597,6,4,0.67,0.279,6.09,4206,4.206,1.13
A2-B0-C2-f701-r69,70707694,5,5,0.322,0.328,5.47,3273,3.273,1.27
A2-B0-C2-f701-r70,70707791,4,7,0.642,0.282,7.15,2273,2.273,1.16
A2-B0-C2-f701-r71,70707888,6,6,0.385,0.194,4.69,3770,3.77,1.25
A2-B0-C2-f701-r72,70707985,5,5,0.318,0.259,5.94,3271,3.271,1.13
A2-B0-C2-f701-r73,70708082,6,8,0.329,0.297,5.81,4001,4.001,1.34
A2-B0-C2-f701-r74,70708179,6,5,0.527,0.313,6.91,4051,4.051,1.41
A2-B0-C2-f701-r75,70708276,7,4,0.307,0.27,4.11,3798,3.798,1.24
A2-B0-C2-f701-r76,70708373,5,7,0.549,0.115,7.53,3141,3.141,1.06
A2-B0-C2-f701-r77,70708470,6,6,0.542,0.212,6.43,4119,4.119,1.38
A2-B0-C2-f701-r78,70708567,7,5,0.453,0.26,5.54,4572,4.572,1.32
A2-B0-C2-f701-r79,70708664,5,6,0.562,0.263,6.12,3344,3.344,1.3
A2-B0-C2-f701-r80,70708761,5,8,0.354,0.121,4.28,3152,3.152,1.11
A2-B0-C2-f701-r81,70708858,7,5,0.412,0.212,5.56,4616,4.616,1.36
A2-B0-C2-f701-r82,70708955,6,7,0.603,0.114,6.41,4147,4.147,1.38
A2-B0-C2-f701-r83,70709052,5,6,0.423,0.343,5.01,3308,3.308,1.25
A2-B0-C2-f701-r84,70709149,5,7,0.631,0.321,5.71,3363,3.363,1.06
A2-B0-C2-f701-r85,70709246,5,7,0.695,0.244,4.34,3259,3.259,1.35
A2-B0-C2-f701-r86,70709343,7,6,0.305,0.189,5.44,4428,4.428,1.34
A2-B0-C2-f701-r87,70709440,4,6,0.385,0.336,5.21,2492,2.492,1.19
A2-B0-C2-f701-r88,70709537,7,5,0.616,0.32,4.15,3901,3.901,1.14
A2-B0-C2-f701-r89,70709634,6,7,0.66,0.182,7.55,4119,4.119,1.37
A2-B0-C2-f701-r90,70709731,6,7,0.465,0.103,6.56,4116,4.116,1.37
A2-B0-C2-f701-r91,70709828,4,6,0.518,0.103,4.67,2566,2.566,1.19
A2-B0-C2-f701-r92,70709925,5,6,0.609,0.107,5.3,3322,3.322,1.07
A2-B0-C2-f701-r93,70710022,4,7,0.345,0.199,6.62,2346,2.346,1.21
A2-B0-C2-f701-r94,70710119,5,6,0.675,0.14,6.99,3173,3.173,1.3
A2-B0-C2-f701-r95,70710216,5,6,0.751,0.124,7.4,3182,3.182,1.24
A2-B0-C2-f701-r96,70710313,5,8,0.502,0.113,6.96,3200,3.2,1.17
A2-B0-C2-f701-r97,70710410,5,7,0.303,0.334,4.66,3207,3.207,1.27
A2-B0-C2-f701-r98,70710507,6,6,0.562,0.164,6.92,4107,4.107,1.35
A2-B0-C2-f701-r99,70710604,5,6,0.448,0.244,5.64,3266,3.266,1.24
A2-B0-C2-f701-r100,70710701,6,5,0.651,0.243,4.54,3846,3.846,1.05
A2-B0-C2-f701-r101,70710798,6,4,0.465,0.237,4.62,3869,3.869,1.26
A2-B0-C2-f701-r102,70710895,4,6,0.566,0.283,4.33,2581,2.581,1.22
A2-B0-C2-f701-r103,70710992,5,8,0.54,0.261,4.29,3229,3.229,1.22
A2-B0-C2-f701-r104,70711089,4,6,0.729,0.307,7.75,2142,2.142,1.04
A2-B0-C2-f701-r105,70711186,6,6,0.437,0.11,7.26,4026,4.026,1.4
A2-B0-C2-f701-r106,70711283,6,7,0.549,0.158,4.59,3818,3.818,1.28
A2-B0-C2-f701-r107,70711380,7,6,0.449,0.196,5.93,4624,4.624,1.33
A2-B0-C2-f701-r108,70711477,4,7,0.414,0.185,5.93,2388,2.388,0.97
A2-B0-C2-f701-r109,70711574,4,7,0.333,0.2,5.62,2474,2.474,1.2
A2-B0-C2-f701-r110,70711671,7,4,0.769,0.315,5.0,4430,4.43,1.32
A2-B0-C2-f701-r111,70711768,6,8,0.551,0.316,5.76,4093,4.093,1.28
A2-B0-C2-f701-r112,70711865,6,6,0.731,0.346,7.85,3934,3.934,1.27
A2-B0-C2-f701-r113,70711962,6,7,0.371,0.107,7.45,4065,4.065,1.41
A2-B0-C2-f701-r114,70712059,5,7,0.796,0.126,7.41,3176,3.176,1.29
A2-B0-C2-f701-r115,70712156,6,5,0.32,0.119,7.33,3953,3.953,1.25
A2-B0-C2-f701-r116,70712253,5,5,0.558,0.204,7.69,3071,3.071,1.17
A2-B0-C2-f701-r117,70712350,7,5,0.783,0.186,4.95,4414,4.414,1.25
A2-B0-C2-f701-r118,70712447,6,4,0.497,0.258,5.4,4138,4.138,1.33
A2-B0-C2-f701-r119,70712544,7,5,0.695,0.318,5.08,4471,4.471,1.3
A2-B0-C2-f701-r120,70712641,7,6,0.611,0.3,7.33,4912,4.912,1.34
A2-B0-C2-f701-r121,70712738,7,7,0.465,0.129,7.18,4877,4.877,1.44
A2-B0-C2-f701-r122,70712835,4,5,0.667,0.231,6.1,2437,2.437,1.2
A2-B0-C2-f701-r123,70712932,6,6,0.681,0.178,5.01,3945,3.945,1.16
A2-B0-C2-f701-r124,70713029,6,7,0.536,0.312,7.03,4059,4.059,1.29
A2-B0-C2-f701-r125,70713126,7,7,0.421,0.22,6.74,4790,4.79,1.38
A2-B0-C2-f701-r126,70713223,5,5,0.644,0.243,6.43,3257,3.257,1.25
A2-B0-C2-f701-r127,70713320,6,6,0.47,0.29,4.36,3695,3.695,1.24
A2-B0-C2-f701-r128,70713417,5,5,0.314,0.279,6.48,3224,3.224,1.24
A2-B0-C2-f701-r129,70713514,6,5,0.378,0.14,4.71,3867,3.867,1.18
A2-B0-C2-f701-r130,70713611,6,8,0.721,0.138,5.0,4042,4.042,1.19
A2-B0-C2-f701-r131,70713708,4,8,0.354,0.168,4.9,2546,2.546,1.36
A2-B0-C2-f701-r132,70713805,7,5,0.58,0.152,7.18,4934,4.934,1.49
A2-B0-C2-f701-r133,70713902,4,6,0.575,0.252,4.64,2629,2.629,1.18
A2-B0-C2-f701-r134,70713999,5,6,0.322,0.331,6.88,3134,3.134,1.17
A2-B0-C2-f701-r135,70714096,7,4,0.433,0.266,6.74,4965,4.965,1.48
A2-B0-C2-f701-r136,70714193,7,6,0.466,0.342,6.29,4786,4.786,1.26
A2-B0-C2-f701-r137,70714290,4,5,0.612,0.272,5.12,2515,2.515,1.14
A2-B0-C2-f701-r138,70714387,4,6,0.563,0.202,6.09,2476,2.476,1.15
A2-B0-C2-f701-r139,70714484,5,7,0.332,0.334,7.83,2969,2.969,1.41
A2-B0-C2-f701-r140,70714581,6,6,0.723,0.112,4.92,3940,3.94,1.26
A2-B0-C2-f701-r141,70714678,7,6,0.301,0.115,4.72,4162,4.162,1.26
A2-B0-C2-f701-r142,70714775,5,5,0.713,0.15,4.8,3402,3.402,1.13
A2-B0-C2-f701-r143,70714872,4,8,0.334,0.224,7.52,2206,2.206,1.25
A2-B0-C2-f701-r144,70714969,4,4,0.442,0.303,4.29,2600,2.6,1.08
A2-B0-C2-f701-r145,70715066,4,6,0.417,0.153,4.68,2589,2.589,1.16
A2-B0-C2-f701-r146,70715163,5,6,0.514,0.211,5.78,3369,3.369,1.22
A2-B0-C2-f701-r147,70715260,5,7,0.789,0.157,4.66,3329,3.329,1.46
A2-B0-C2-f701-r148,70715357,5,5,0.564,0.25,5.4,3433,3.433,1.31
A2-B0-C2-f701-r149,70715454,5,7,0.656,0.121,5.91,3313,3.313,1.26
A2-B0-C2-f701-r150,70715551,4,5,0.389,0.229,4.31,2558,2.558,1.08
A2-B0-C2-f701-r151,70715648,6,5,0.425,0.147,5.2,4029,4.029,1.41
A2-B0-C2-f701-r152,70715745,7,8,0.327,0.188,6.57,4815,4.815,1.31
A2-B0-C2-f701-r153,70715842,4,7,0.304,0.278,6.08,2348,2.348,1.13
A2-B0-C2-f701-r154,70715939,6,6,0.738,0.292,6.32,4090,4.09,1.35
A2-B0-C2-f701-r155,70716036,5,5,0.384,0.241,5.41,3325,3.325,1.39
A2-B0-C2-f701-r156,70716133,5,7,0.522,0.28,7.88,3001,3.001,1.32
A2-B0-C2-f701-r157,70716230,7,4,0.495,0.198,4.34,4003,4.003,1.25
A2-B0-C2-f701-r158,70716327,5,7,0.76,0.185,7.07,3274,3.274,1.21
A2-B0-C2-f701-r159,70716424,5,5,0.756,0.269,6.46,3360,3.36,1.32
A2-B0-C2-f701-r160,70716521,6,8,0.381,0.246,6.85,3990,3.99,1.28
A2-B0-C2-f701-r161,70716618,7,4,0.409,0.161,6.14,4812,4.812,1.33
A2-B0-C2-f701-r162,70716715,7,4,0.438,0.278,4.25,3940,3.94,1.23
A2-B0-C2-f701-r163,70716812,4,5,0.65,0.14,6.29,2415,2.415,1.3
A2-B0-C2-f701-r164,70716909,5,7,0.662,0.116,5.68,3411,3.411,1.29
A2-B0-C2-f701-r165,70717006,6,7,0.68,0.22,7.26,4131,4.131,1.32
A2-B0-C2-f701-r166,70717103,4,4,0.611,0.338,5.51,2539,2.539,1.15
A2-B0-C2-f701-r167,70717200,4,8,0.318,0.131,5.56,2505,2.505,1.26
A2-B0-C2-f701-r168,70717297,6,4,0.38,0.146,7.12,4094,4.094,1.26
A2-B0-C2-f701-r169,70717394,5,8,0.736,0.126,5.13,3345,3.345,1.21
A2-B0-C2-f701-r170,70717491,6,7,0.344,0.341,7.39,3965,3.965,1.33
A2-B0-C2-f701-r171,70717588,5,5,0.529,0.252,6.63,3265,3.265,1.42
A2-B0-C2-f701-r172,70717685,5,5,0.725,0.138,5.68,3399,3.399,1.29
A2-B0-C2-f701-r173,70717782,6,6,0.504,0.282,5.71,4148,4.148,1.29
A2-B0-C2-f701-r174,70717879,4,8,0.39,0.27,5.39,2511,2.511,1.21
A2-B0-C2-f701-r175,70717976,5,6,0.495,0.208,5.4,3348,3.348,1.28
A2-B0-C2-f701-r176,70718073,5,5,0.511,0.3,5.78,3358,3.358,1.18
A2-B0-C2-f701-r177,70718170,7,6,0.349,0.22,4.33,3920,3.92,1.19
A2-B0-C2-f701-r178,70718267,6,5,0.687,0.105,5.26,4094,4.094,1.32
A2-B0-C2-f701-r179,70718364,5,6,0.381,0.19,7.3,3160,3.16,1.4
A2-B0-C2-f701-r180,70718461,6,5,0.316,0.126,7.92,3951,3.951,1.36
A2-B0-C2-f701-r181,70718558,6,8,0.761,0.271,7.34,4078,4.078,1.26
A2-B0-C2-f701-r182,70718655,5,6,0.651,0.104,5.29,3383,3.383,1.33
A2-B0-C2-f701-r183,70718752,5,5,0.666,0.109,6.7,3261,3.261,1.3
A2-B0-C2-f701-r184,70718849,5,7,0.755,0.185,5.0,3415,3.415,1.18
A2-B0-C2-f701-r185,70718946,7,8,0.709,0.287,6.38,4910,4.91,1.3
A2-B0-C2-f701-r186,70719043,6,5,0.306,0.186,6.96,4028,4.028,1.48
A2-B0-C2-f701-r187,70719140,6,4,0.585,0.235,7.75,4089,4.089,1.4
A2-B0-C2-f701-r188,70719237,6,6,0.336,0.114,4.67,3755,3.755,1.27
A2-B0-C2-f701-r189,70719334,7,5,0.341,0.32,5.66,4557,4.557,1.25
A2-B0-C2-f701-r190,70719431,6,5,0.669,0.216,6.11,4205,4.205,1.38
A2-B0-C2-f701-r191,70719528,4,7,0.484,0.299,7.28,2220,2.22,1.27
A2-B0-C2-f701-r192,70719625,7,7,0.346,0.28,7.51,4708,4.708,1.46
A2-B0-C2-f701-r193,70719722,6,5,0.583,0.102,7.47,4078,4.078,1.44
A2-B0-C2-f701-r194,70719819,4,4,0.545,0.226,6.05,2416,2.416,1.0
A2-B0-C2-f701-r195,70719916,6,6,0.432,0.29,7.32,3936,3.936,1.27
A2-B0-C2-f701-r196,70720013,6,4,0.344,0.111,5.31,4050,4.05,1.42
A2-B0-C2-f701-r197,70720110,5,4,0.445,0.302,5.4,3358,3.358,1.46
A2-B0-C2-f701-r198,70720207,5,5,0.38,0.149,7.64,3049,3.049,1.32
A2-B0-C2-f701-r199,70720304,7,6,0.342,0.299,6.71,4743,4.743,1.38
A2-B0-C2-f701-r200,70720401,6,5,0.77,0.303,7.35,4150,4.15,1.39
A2-B0-C2-f701-r201,70720498,5,6,0.579,0.344,4.34,3264,3.264,1.29
A2-B0-C2-f701-r202,70720595,5,8,0.424,0.332,6.84,3155,3.155,1.12
A2-B0-C2-f701-r203,70720692,6,6,0.491,0.172,4.56,3797,3.797,1.12
A2-B0-C2-f701-r204,70720789,6,5,0.785,0.295,6.87,4179,4.179,1.43
A2-B0-C2-f701-r205,70720886,7,6,0.628,0.329,7.75,4828,4.828,1.65
A2-B0-C2-f701-r206,70720983,7,5,0.795,0.314,6.36,4882,4.882,1.4
A2-B0-C2-f701-r207,70721080,4,6,0.598,0.103,7.25,2246,2.246,1.18
A2-B0-C2-f701-r208,70721177,4,5,0.755,0.251,7.51,2217,2.217,1.17
A2-B0-C2-f701-r209,70721274,5,5,0.425,0.258,7.08,3144,3.144,1.4
A2-B0-C2-f701-r210,70721371,4,5,0.76,0.209,4.99,2586,2.586,1.05
A2-B0-C2-f701-r211,70721468,6,7,0.559,0.169,6.04,4122,4.122,1.2
A2-B0-C2-f701-r212,70721565,6,4,0.721,0.248,4.63,3900,3.9,1.4
A2-B0-C2-f701-r213,70721662,5,6,0.47,0.207,7.3,3106,3.106,1.51
A2-B0-C2-f701-r214,70721759,6,7,0.475,0.196,4.05,3542,3.542,1.3
A2-B0-C2-f701-r215,70721856,5,7,0.742,0.209,6.58,3324,3.324,1.29
A2-B0-C2-f701-r216,70721953,4,8,0.306,0.101,4.7,2507,2.507,1.23
A2-B0-C2-f701-r217,70722050,6,4,0.573,0.194,6.18,4156,4.156,1.36
A2-B0-C2-f701-r218,70722147,6,6,0.712,0.323,4.13,3595,3.595,1.05
A2-B0-C2-f701-r219,70722244,4,5,0.383,0.286,5.18,2530,2.53,1.13
A2-B0-C2-f701-r220,70722341,5,8,0.515,0.293,7.55,3122,3.122,1.43
A2-B0-C2-f701-r221,70722438,7,6,0.483,0.348,6.1,4702,4.702,1.59
A2-B0-C2-f701-r222,70722535,4,7,0.607,0.163,7.43,2198,2.198,1.21
A2-B0-C2-f701-r223,70722632,5,7,0.777,0.109,7.08,3241,3.241,1.3
A2-B0-C2-f701-r224,70722729,5,7,0.425,0.322,5.26,3292,3.292,1.29
A2-B0-C2-f701-r225,70722826,6,5,0.444,0.337,6.23,4069,4.069,1.36
A2-B0-C2-f701-r226,70722923,6,4,0.362,0.172,7.69,4043,4.043,1.12
A2-B0-C2-f701-r227,70723020,6,5,0.65,0.244,7.55,4059,4.059,1.43
A2-B0-C2-f701-r228,70723117,5,4,0.754,0.334,4.2,3220,3.22,1.31
A2-B0-C2-f701-r229,70723214,5,8,0.559,0.184,6.31,3224,3.224,1.39
A2-B0-C2-f701-r230,70723311,4,7,0.359,0.244,4.21,2557,2.557,1.19
A2-B0-C2-f701-r231,70723408,6,5,0.724,0.214,6.87,4232,4.232,1.4
A2-B0-C2-f701-r232,70723505,5,4,0.372,0.282,6.91,3184,3.184,1.36
A2-B0-C2-f701-r233,70723602,6,7,0.585,0.152,6.46,4172,4.172,1.32
A2-B0-C2-f701-r234,70723699,4,6,0.564,0.249,7.74,2142,2.142,0.92
A2-B0-C2-f701-r235,70723796,7,7,0.391,0.179,6.73,4769,4.769,1.52
A2-B0-C2-f701-r236,70723893,4,6,0.566,0.216,4.45,2593,2.593,1.29
A2-B0-C2-f701-r237,70723990,6,6,0.353,0.105,4.1,3491,3.491,1.37
A2-B0-C2-f701-r238,70724087,6,8,0.598,0.289,6.95,4134,4.134,1.3
A2-B0-C2-f701-r239,70724184,6,6,0.449,0.186,6.68,4016,4.016,1.42
A2-B0-C2-f701-r240,70724281,7,6,0.521,0.165,7.39,4879,4.879,1.47
A2-B0-C2-f701-r241,70724378,5,4,0.457,0.142,7.5,3119,3.119,1.15
A2-B0-C2-f701-r242,70724475,6,5,0.489,0.101,4.3,3700,3.7,1.05
A2-B0-C2-f701-r243,70724572,4,5,0.441,0.23,5.11,2546,2.546,1.32
A2-B0-C2-f701-r244,70724669,4,6,0.531,0.143,6.59,2382,2.382,1.34
A2-B0-C2-f701-r245,70724766,4,4,0.737,0.113,6.72,2334,2.334,1.27
A2-B0-C2-f701-r246,70724863,6,7,0.655,0.312,7.98,4006,4.006,1.3
A2-B0-C2-f701-r247,70724960,4,6,0.359,0.191,7.86,2137,2.137,1.17
A2-B0-C2-f701-r248,70725057,5,6,0.497,0.127,7.72,3081,3.081,1.48
A2-B0-C2-f701-r249,70725154,6,8,0.383,0.113,5.16,3992,3.992,1.08
A2-B0-C2-f701-r250,70725251,4,5,0.442,0.32,7.05,2225,2.225,1.1
A2-B0-C2-f701-r251,70725348,4,6,0.712,0.275,5.41,2545,2.545,1.33
A2-B0-C2-f701-r252,70725445,6,8,0.571,0.212,4.17,3615,3.615,1.5
A2-B0-C2-f701-r253,70725542,4,5,0.799,0.301,4.85,2580,2.58,1.21
A2-B0-C2-f701-r254,70725639,4,4,0.542,0.111,7.62,2168,2.168,1.13
A2-B0-C2-f701-r255,70725736,5,4,0.303,0.325,7.24,3094,3.094,1.38
A2-B0-C2-f701-r256,70725833,6,8,0.63,0.111,7.49,3985,3.985,1.42
A2-B0-C2-f701-r257,70725930,6,6,0.786,0.295,7.63,4056,4.056,1.63
A2-B0-C2-f701-r258,70726027,6,5,0.38,0.215,6.87,4087,4.087,1.58
A2-B0-C2-f701-r259,70726124,6,5,0.539,0.35,6.48,4103,4.103,1.97
A2-B0-C2-f701-r260,70726221,7,7,0.429,0.314,6.25,4667,4.667,1.53
A2-B0-C2-f701-r261,70726318,6,6,0.637,0.106,5.26,4008,4.008,1.54
A2-B0-C2-f701-r262,70726415,6,8,0.536,0.165,6.57,4157,4.157,1.38
A2-B0-C2-f701-r263,70726512,4,7,0.726,0.25,6.23,2419,2.419,1.25
A2-B0-C2-f701-r264,70726609,5,6,0.64,0.176,7.31,3143,3.143,1.32
A2-B0-C2-f701-r265,70726706,6,8,0.489,0.207,4.3,3626,3.626,1.5
A2-B0-C2-f701-r266,70726803,6,6,0.606,0.324,4.19,3583,3.583,1.36
A2-B0-C2-f701-r267,70726900,6,7,0.498,0.259,5.99,4089,4.089,1.72
A2-B0-C2-f701-r268,70726997,4,7,0.766,0.11,5.17,2578,2.578,1.58
A2-B0-C2-f701-r269,70727094,5,4,0.417,0.123,5.6,3367,3.367,1.39
A2-B0-C2-f701-r270,70727191,6,7,0.799,0.276,7.79,4042,4.042,1.6
A2-B0-C2-f701-r271,70727288,6,8,0.615,0.183,5.38,4033,4.033,1.22
A2-B0-C2-f701-r272,70727385,7,7,0.441,0.203,6.21,4724,4.724,1.49
A2-B0-C2-f701-r273,70727482,5,4,0.753,0.168,5.75,3415,3.415,1.43
A2-B0-C2-f701-r274,70727579,6,6,0.783,0.205,7.13,4064,4.064,1.58
A2-B0-C2-f701-r275,70727676,4,7,0.347,0.227,7.65,2169,2.169,1.9
A2-B0-C2-f701-r276,70727773,4,6,0.755,0.149,4.82,2606,2.606,1.3
A2-B0-C2-f701-r277,70727870,4,4,0.701,0.158,7.18,2245,2.245,1.32
A2-B0-C2-f701-r278,70727967,5,5,0.41,0.106,7.05,3216,3.216,1.48
A2-B0-C2-f701-r279,70728064,6,6,0.594,0.146,4.1,3568,3.568,1.19
A2-B0-C2-f701-r280,70728161,6,7,0.318,0.192,4.57,3772,3.772,1.42
A2-B0-C2-f701-r281,70728258,6,7,0.346,0.11,7.54,3950,3.95,1.62
A2-B0-C2-f701-r282,70728355,5,5,0.331,0.31,6.1,3229,3.229,1.52
A2-B0-C2-f701-r283,70728452,4,7,0.388,0.306,6.23,2360,2.36,1.78
A2-B0-C2-f701-r284,70728549,4,6,0.427,0.183,4.41,2547,2.547,1.29
A2-B0-C2-f701-r285,70728646,6,7,0.396,0.181,7.35,3941,3.941,1.54
A2-B0-C2-f701-r286,70728743,5,7,0.644,0.329,4.4,3290,3.29,1.39
A2-B0-C2-f701-r287,70728840,5,7,0.572,0.199,4.34,3183,3.183,1.15
A2-B0-C2-f701-r288,70728937,5,7,0.528,0.11,6.71,3306,3.306,1.38
A2-B0-C2-f701-r289,70729034,7,6,0.685,0.318,5.13,4455,4.455,1.55
A2-B0-C2-f701-r290,70729131,5,8,0.602,0.344,4.68,3362,3.362,1.47
A2-B0-C2-f701-r291,70729228,6,8,0.363,0.334,7.26,3885,3.885,1.97
A2-B0-C2-f701-r292,70729325,5,4,0.616,0.318,6.14,3352,3.352,1.34
A2-B0-C2-f701-r293,70729422,7,6,0.75,0.148,6.29,4858,4.858,1.65
A2-B0-C2-f701-r294,70729519,7,6,0.456,0.226,7.19,4752,4.752,1.39
A2-B0-C2-f701-r295,70729616,5,5,0.692,0.299,4.47,3311,3.311,1.33
A2-B0-C2-f701-r296,70729713,6,5,0.404,0.1,6.35,4088,4.088,1.5
A2-B0-C2-f701-r297,70729810,4,6,0.461,0.145,4.5,2609,2.609,1.38
A2-B0-C2-f701-r298,70729907,6,7,0.33,0.248,6.64,3953,3.953,1.61
A2-B0-C2-f701-r299,70730004,4,5,0.625,0.15,4.02,2611,2.611,1.72
A2-B0-C2-f701-r300,70730101,4,6,0.486,0.149,6.18,2450,2.45,1.3
A2-B0-C2-f701-r301,70730198,6,7,0.461,0.315,6.0,3982,3.982,1.62
A2-B0-C2-f701-r302,70730295,6,6,0.424,0.197,5.65,4050,4.05,1.32
A2-B0-C2-f701-r303,70730392,7,5,0.337,0.239,7.97,4746,4.746,1.55
A2-B0-C2-f701-r304,70730489,6,7,0.684,0.1,4.39,3741,3.741,1.43
A2-B0-C2-f701-r305,70730586,5,5,0.797,0.11,4.42,3264,3.264,1.42
A2-B0-C2-f701-r306,70730683,7,7,0.664,0.102,5.3,4586,4.586,1.57
A2-B0-C2-f701-r307,70730780,5,5,0.377,0.35,4.94,3271,3.271,1.74
A2-B0-C2-f701-r308,70730877,7,7,0.591,0.131,4.6,4167,4.167,1.4
A2-B0-C2-f701-r309,70730974,7,6,0.656,0.188,4.86,4279,4.279,1.55
A2-B0-C2-f701-r310,70731071,7,7,0.398,0.115,7.67,4854,4.854,1.44
A2-B0-C2-f701-r311,70731168,4,4,0.632,0.287,7.9,2132,2.132,1.23
A2-B0-C2-f701-r312,70731265,5,5,0.322,0.152,7.95,2963,2.963,1.57
A2-B0-C2-f701-r313,70731362,7,6,0.306,0.302,6.7,4690,4.69,1.57
A2-B0-C2-f701-r314,70731459,5,5,0.584,0.335,4.07,3228,3.228,1.47
A2-B0-C2-f701-r315,70731556,4,4,0.698,0.116,4.56,2655,2.655,1.64
A2-B0-C2-f701-r316,70731653,5,7,0.654,0.295,7.39,3093,3.093,1.42
A2-B0-C2-f701-r317,70731750,5,7,0.386,0.191,6.73,3183,3.183,1.52
A2-B0-C2-f701-r318,70731847,6,7,0.759,0.304,5.89,4110,4.11,1.33
A2-B0-C2-f701-r319,70731944,5,5,0.318,0.112,7.65,3021,3.021,1.52
A2-B0-C2-f701-r320,70732041,4,5,0.559,0.215,7.68,2131,2.131,1.22
A2-B0-C2-f701-r321,70732138,6,6,0.387,0.145,5.78,4082,4.082,1.53
A2-B0-C2-f701-r322,70732235,7,4,0.573,0.179,6.14,4854,4.854,1.51
A2-B0-C2-f701-r323,70732332,7,4,0.708,0.15,6.69,4996,4.996,1.41
A2-B0-C2-f701-r324,70732429,6,6,0.56,0.267,6.08,4023,4.023,1.43
