MU,N,S0,S_final_max,alpha,alpha_c_teorico,barrido,brazo,delta_struct,k_micro,lambda_max_G,lambda_puro,n_aristas,n_vivos_fin,persiste_puro,precision,semilla,sobrevive_finito,sobrevive_ge2,tau_final
0.01,8,1.0,9.956864795866307e-07,1e-05,0.03944689815669394,A_alpha,BARAJADO,0.03918623857422315,1375,5.121320343559643,-0.010050799241978882,0,0,0,float64,8,0,0,136
0.01,8,1.0,9.959585751783043e-07,1e-05,0.05449538250299353,A_alpha,BARAJADO,0.031337158059545914,1375,3.707106781186547,-0.01005062246507964,0,0,0,float64,9,0,0,114
0.01,8,1.0,9.95883967429884e-07,1e-05,0.044098249259232634,A_alpha,BARAJADO,0.03526793967713194,1375,4.581138830084191,-0.010050652795385123,0,0,0,float64,10,0,0,126
0.01,8,1.0,9.98031999389463e-07,1.778279410038923e-05,0.050505050505050504,A_alpha,REAL,0.05853847747676475,1375,4.0,-0.0100505566466479,0,0,0,float64,1,0,0,176
0.01,8,1.0,9.968119314573422e-07,1.778279410038923e-05,0.04576584235575484,A_alpha,REAL,0.05868455148931695,1375,4.414213562373094,-0.010050964055246298,0,0,0,float64,2,0,0,177
0.01,8,1.0,9.976729597687904e-07,1.778279410038923e-05,0.04409824925923263,A_alpha,REAL,0.062428630545692164,1375,4.581138830084192,-0.010050638439469699,0,0,0,float64,3,0,0,183
0.01,8,1.0,9.91182833967533e-07,1.778279410038923e-05,0.03858242537879851,A_alpha,REAL,0.07088187552572557,1376,5.236067977499788,-0.010048331884448578,0,0,0,float64,4,0,0,195
0.01,8,1.0,9.98388866989911e-07,1.778279410038923e-05,0.05449538250299351,A_alpha,REAL,0.05605003679924522,1375,3.7071067811865483,-0.010050399440692477,0,0,0,float64,5,0,0,172
0.01,8,1.0,9.99400014278349e-07,1.778279410038923e-05,0.05449538250299351,A_alpha,REAL,0.05627984342095834,1375,3.7071067811865483,-0.010049824061382759,0,0,0,float64,6,0,0,172
0.01,8,1.0,9.901151474567113e-07,1.778279410038923e-05,0.05449538250299351,A_alpha,REAL,0.056605237626895635,1376,3.707106781186549,-0.010049325213547764,0,0,0,float64,7,0,0,173
0.01,8,1.0,9.959500035894008e-07,1.778279410038923e-05,0.03944689815669394,A_alpha,REAL,0.06968147775769826,1375,5.121320343559643,-0.010051159751335281,0,0,0,float64,8,0,0,194
