par,rule_id,rol,clase,seed,kcap,K,J,noise,meandeg,fraccion_masa_en_sumideros,kappa_v_agregado,kappa_v_medio_valido,n_sumideros,masa_acretada_total,pendiente_vieja,pendiente_corregida,clase_vieja,clase_corregida,diam_viejo_b1,diam_corr_b1,tam_gigante_b1,descarrila_b1,dup
A2-B0-C2-batch3-r44_vs_A2-B0-C2-batch3-r10,A2-B0-C2-batch3-r10,III,III,472799,5,7,0.524,0.164,7.54,0.12,0.8823529411764706,0.8836805555555556,8,2256.0,0.806767442496431,0.806767442496431,III,III,16.0,16.0,1854,False,False
A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12,A2-B0-C2-batch3-r86,I,I,480171,5,5,0.646,0.19,6.06,0.0945,0.5,0.4977678571428572,8,1776.6,0.6846985157255415,0.6846985157255415,I,I,13.0,13.0,1947,False,False
A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12,A2-B0-C2-batch3-r12,III,III,472993,5,5,0.745,0.243,4.61,0.1015,0.5440414507772019,0.5547916666666665,8,1908.2,0.7435032678648847,0.7435032678648847,III,III,15.0,15.0,1931,False,False
A2-B0-C2-batch3-r50_vs_A2-B0-C2-batch3-r21,A2-B0-C2-batch3-r50,I,I,476679,5,6,0.381,0.278,5.64,0.1,0.5340314136125656,0.5321848290598291,8,1880.0,0.6185791830984311,0.6185791830984311,I,I,14.0,14.0,1924,False,False
A2-B0-C2-batch3-r50_vs_A2-B0-C2-batch3-r21,A2-B0-C2-batch3-r21,III,III,473866,5,6,0.346,0.134,5.31,0.0965,0.4838709677419354,0.5052083333333333,8,1814.2,0.7248004383475681,0.7248004383475681,III,III,14.0,14.0,1918,False,False
A2-B0-C2-batch3-r48_vs_A2-B0-C2-batch3-r25,A2-B0-C2-batch3-r48,I,I,476485,5,8,0.487,0.21,4.54,0.099,0.4782608695652173,0.4868551587301586,8,1861.2,0.6705155034604253,0.6705155034604253,I,I,15.0,15.0,1942,False,False
A2-B0-C2-batch3-r48_vs_A2-B0-C2-batch3-r25,A2-B0-C2-batch3-r25,III,III,474254,5,8,0.481,0.207,6.78,0.113,0.6865671641791045,0.6875,8,2124.4,0.7951507684630403,0.7951507684630403,III,III,16.0,16.0,1874,False,False
A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31,A2-B0-C2-batch3-r35,I,I,475224,5,4,0.657,0.303,4.75,0.0975,0.5312499999999999,0.5410714285714285,8,1833.0,0.6334481872632115,0.6334481872632115,I,I,14.0,14.0,1939,False,False
A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31,A2-B0-C2-batch3-r31,III,III,474836,5,4,0.695,0.156,7.18,0.117,0.8095238095238093,0.8106481481481479,8,2199.6,0.8063707776237024,0.8063707776237024,III,III,13.0,13.0,1860,False,False
A2-B0-C2-batch3-r9_vs_A2-B0-C2-batch3-r83,A2-B0-C2-batch3-r9,I,I,472702,6,7,0.343,0.205,6.02,0.0765,0.4130434782608696,0.4232142857142857,8,1438.2,0.4789609415912562,0.4789609415912562,I,I,10.0,10.0,1966,False,False
A2-B0-C2-batch3-r9_vs_A2-B0-C2-batch3-r83,A2-B0-C2-batch3-r83,III,III,479880,6,7,0.752,0.325,4.01,0.087,0.4193548387096775,0.4231150793650795,8,1635.6,0.7218028381417335,0.7218028381417335,III,III,14.0,14.0,1952,False,False
A2-B0-C2-batch3-r53_vs_A2-B0-C2-batch3-r23,A2-B0-C2-batch3-r53,I,I,476970,5,7,0.708,0.308,4.14,0.096,0.4374999999999999,0.4476686507936507,8,1804.8,0.6600094507902553,0.6600094507902553,I,I,14.0,14.0,1927,False,False
A2-B0-C2-batch3-r53_vs_A2-B0-C2-batch3-r23,A2-B0-C2-batch3-r23,III,III,474060,5,7,0.498,0.338,7.03,0.1175,0.7638888888888888,0.751736111111111,8,2209.0,0.7756156905187959,0.7756156905187959,III,III,13.0,13.0,1859,False,False
A2-B0-C2-batch3-r104_vs_A2-B0-C2-batch3-r60,A2-B0-C2-batch3-r104,I,I,481917,5,6,0.41,0.11,5.38,0.0985,0.5230769230769231,0.5210813492063492,8,1851.8,0.6941227678174903,0.6941227678174903,I,I,13.0,13.0,1932,False,False
A2-B0-C2-batch3-r104_vs_A2-B0-C2-batch3-r60,A2-B0-C2-batch3-r60,III,III,477649,5,6,0.456,0.261,7.33,0.1254999999999999,0.91044776119403,0.9079861111111112,8,2359.4,0.9268169943894312,0.9268169943894312,III,III,15.0,15.0,1837,False,False
A2-B0-C2-batch3-r59_vs_A2-B0-C2-batch3-r58,A2-B0-C2-batch3-r59,I,I,477552,5,7,0.545,0.26,4.12,0.1035,0.6063829787234043,0.6009316770186336,8,1945.8,0.697928797897343,0.697928797897343,I,I,14.0,14.0,1929,False,False
A2-B0-C2-batch3-r59_vs_A2-B0-C2-batch3-r58,A2-B0-C2-batch3-r58,III,III,477455,5,7,0.458,0.155,4.11,0.1025,0.5737704918032787,0.5803571428571428,8,1927.0,0.7762844343605745,0.7762844343605745,III,III,15.0,15.0,1908,False,False
A2-B0-C2-batch3-r107_vs_A2-B0-C2-batch3-r71,A2-B0-C2-batch3-r107,I,I,482208,5,6,0.643,0.335,6.46,0.1065,0.618556701030928,0.6229204822954824,8,2002.2,0.6304170393073869,0.6304170393073869,I,I,13.0,13.0,1895,False,False
