rule_id,seed,clase,corrio_phantom,fraccion_masa,pend_orig,pend_corr,giant_b1,n_aristas_b1,K,J,noise,meandeg,kcap,escalas_descarriladas,descarrila_en_b1,n_cajas,diam_orig,diam_gig,tam_comp_src,tam_comp_gigante
A2-B0-C2-r2,372023,I,True,0.07600000000000001,0.5395267020843031,0.5395267020843031,0.9855,4094,5,0.517,0.323,5.74,6,0,False,"[2000, 1149, 691, 437, 323]","[11.0, 8.0, 6.0, 5.0, 4.0]","[11.0, 8.0, 6.0, 5.0, 4.0]","[1971, 1121, 664, 410, 296]","[1971, 1121, 664, 410, 296]"
A2-B0-C2-batch3-r1,471926,I,True,0.078,0.5443072908377857,0.5443072908377857,0.9905,4038,7,0.531,0.171,5.85,6,0,False,"[2000, 1145, 685, 441, 328]","[11.0, 8.0, 6.0, 5.0, 4.0]","[11.0, 8.0, 6.0, 5.0, 4.0]","[1981, 1127, 668, 424, 311]","[1981, 1127, 668, 424, 311]"
A2-B0-C2-batch4-r3,572120,I,True,0.07550000000000001,0.5490358470541343,0.5490358470541343,0.9855,4196,5,0.766,0.205,6.09,6,0,False,"[2000, 1147, 700, 457, 327]","[11.0, 8.0, 6.0, 5.0, 4.0]","[11.0, 8.0, 6.0, 5.0, 4.0]","[1971, 1119, 672, 429, 299]","[1971, 1119, 672, 429, 299]"
A2-B0-C2-r9,272702,I,True,0.08050000000000002,0.5562821419510406,0.5562821419510406,0.9785,3939,5,0.493,0.244,4.25,7,0,False,"[2000, 1154, 736, 483, 352]","[10.0, 9.0, 5.0, 5.0, 4.0]","[10.0, 9.0, 5.0, 5.0, 4.0]","[1957, 1114, 696, 443, 312]","[1957, 1114, 696, 443, 312]"
A2-B0-C2-batch4-r13,573090,I,True,0.07650000000000001,0.5640440295713769,0.5640440295713769,0.9835,4061,6,0.662,0.233,5.58,6,0,False,"[2000, 1149, 707, 457, 329]","[12.0, 7.0, 6.0, 5.0, 4.0]","[12.0, 7.0, 6.0, 5.0, 4.0]","[1967, 1117, 676, 426, 298]","[1967, 1117, 676, 426, 298]"
A2-B0-C2-batch3-r120,483469,I,True,0.09250000000000004,0.5745851449620949,0.5745851449620949,0.9795,3396,6,0.656,0.147,5.38,5,0,False,"[2000, 1173, 704, 487, 364]","[13.0, 10.0, 6.0, 6.0, 5.0]","[13.0, 10.0, 6.0, 6.0, 5.0]","[1959, 1136, 667, 450, 327]","[1959, 1136, 667, 450, 327]"
A2-B0-C2-batch3-r76,479201,I,True,0.10650000000000004,0.5791822134585409,0.5791822134585409,0.9625,3332,8,0.679,0.309,5.83,5,0,False,"[2000, 1181, 714, 495, 372]","[12.0, 10.0, 7.0, 5.0, 5.0]","[12.0, 10.0, 7.0, 5.0, 5.0]","[1925, 1113, 647, 428, 305]","[1925, 1113, 647, 428, 305]"
A2-B0-C2-r12,372993,I,True,0.08200000000000002,0.5795357212376512,0.5795357212376512,0.978,3978,6,0.425,0.148,7.18,6,0,False,"[2000, 1167, 696, 477, 346]","[12.0, 7.0, 6.0, 5.0, 4.0]","[12.0, 7.0, 6.0, 5.0, 4.0]","[1956, 1125, 654, 435, 304]","[1956, 1125, 654, 435, 304]"
A2-B0-C2-r9,372702,I,True,0.07500000000000002,0.5840041792814835,0.5840041792814835,0.986,4138,5,0.548,0.142,5.59,6,0,False,"[2000, 1151, 678, 437, 330]","[12.0, 8.0, 6.0, 5.0, 4.0]","[12.0, 8.0, 6.0, 5.0, 4.0]","[1972, 1123, 650, 409, 302]","[1972, 1123, 650, 409, 302]"
A2-B0-C2-batch4-r11,572896,I,True,0.08600000000000003,0.5873752918624704,0.5873752918624704,0.9665,3920,6,0.336,0.263,7.47,6,0,False,"[2000, 1169, 728, 496, 369]","[11.0, 8.0, 6.0, 5.0, 4.0]","[11.0, 8.0, 6.0, 5.0, 4.0]","[1933, 1106, 665, 433, 306]","[1933, 1106, 665, 433, 306]"
A2-B0-C2-batch4-r38,575515,I,True,0.09950000000000002,0.5931216513801268,0.5931216513801268,0.9665,3296,4,0.397,0.184,4.52,5,0,False,"[2000, 1176, 726, 506, 355]","[13.0, 9.0, 6.0, 5.0, 5.0]","[13.0, 9.0, 6.0, 5.0, 5.0]","[1933, 1113, 664, 444, 293]","[1933, 1113, 664, 444, 293]"
A2-B0-C2-r6,272411,I,True,0.10050000000000002,0.6017022732300973,0.6017022732300973,0.9705,3381,7,0.632,0.119,5.38,5,0,False,"[2000, 1177, 724, 493, 368]","[13.0, 9.0, 6.0, 5.0, 5.0]","[13.0, 9.0, 6.0, 5.0, 5.0]","[1941, 1125, 673, 442, 317]","[1941, 1125, 673, 442, 317]"
A2-B0-C2-batch3-r50,476679,I,True,0.10000000000000003,0.6185791830984311,0.6185791830984311,0.962,3271,6,0.381,0.278,5.64,5,0,False,"[2000, 1178, 741, 500, 380]","[14.0, 8.0, 7.0, 5.0, 5.0]","[14.0, 8.0, 7.0, 5.0, 5.0]","[1924, 1111, 675, 434, 314]","[1924, 1111, 675, 434, 314]"
A2-B0-C2-batch4-r39,575612,I,True,0.10150000000000003,0.6230488869262995,0.6230488869262995,0.9605,3314,5,0.437,0.184,5.2,5,0,False,"[2000, 1189, 739, 515, 381]","[14.0, 10.0, 7.0, 6.0, 5.0]","[14.0, 10.0, 7.0, 6.0, 5.0]","[1921, 1117, 669, 445, 311]","[1921, 1117, 669, 445, 311]"
A2-B0-C2-batch3-r44,476097,I,True,0.10150000000000003,0.623750817921136,0.623750817921136,0.9675,3252,7,0.551,0.138,4.4,5,0,False,"[2000, 1182, 742, 497, 375]","[13.0, 10.0, 7.0, 5.0, 5.0]","[13.0, 10.0, 7.0, 5.0, 5.0]","[1935, 1121, 681, 436, 314]","[1935, 1121, 681, 436, 314]"
A2-B0-C2-batch3-r107,482208,I,True,0.10650000000000004,0.6304170393073869,0.6304170393073869,0.9475,3248,6,0.643,0.335,6.46,5,0,False,"[2000, 1217, 765, 546, 394]","[13.0, 9.0, 6.0, 5.0, 5.0]","[13.0, 9.0, 6.0, 5.0, 5.0]","[1895, 1115, 664, 445, 293]","[1895, 1115, 664, 445, 293]"
A2-B0-C2-batch3-r35,475224,I,True,0.09750000000000003,0.6334481872632115,0.6334481872632115,0.9695,3369,4,0.657,0.303,4.75,5,0,False,"[2000, 1171, 745, 497, 373]","[14.0, 9.0, 8.0, 5.0, 5.0]","[14.0, 9.0, 8.0, 5.0, 5.0]","[1939, 1115, 690, 442, 318]","[1939, 1115, 690, 442, 318]"
A2-B0-C2-batch4-r57,577358,I,True,0.09950000000000002,0.6374065773083801,0.6374065773083801,0.9695,3343,7,0.622,0.284,5.08,5,0,False,"[2000, 1187, 726, 497, 362]","[13.0, 9.0, 7.0, 6.0, 4.0]","[13.0, 9.0, 7.0, 6.0, 4.0]","[1939, 1129, 669, 440, 305]","[1939, 1129, 669, 440, 305]"
A2-B0-C2-batch4-r15,573284,I,True,0.10550000000000002,0.640359694208221,0.640359694208221,0.96,3098,8,0.412,0.302,4.06,5,0,False,"[2000, 1199, 738, 510, 397]","[14.0, 10.0, 6.0, 6.0, 5.0]","[14.0, 10.0, 6.0, 6.0, 5.0]","[1920, 1123, 662, 434, 321]","[1920, 1123, 662, 434, 321]"
A2-B0-C2-batch4-r23,574060,I,True,0.09550000000000002,0.643302727603699,0.643302727603699,0.9655,3393,5,0.684,0.202,5.0,5,0,False,"[2000, 1171, 744, 503, 370]","[14.0, 9.0, 6.0, 5.0, 5.0]","[14.0, 9.0, 6.0, 5.0, 5.0]","[1931, 1104, 677, 436, 303]","[1931, 1104, 677, 436, 303]"
A2-B0-C2-batch3-r112,482693,I,True,0.10150000000000003,0.6476307093914708,0.6476307093914708,0.9695,3233,6,0.64,0.311,4.4,5,0,False,"[2000, 1162, 727, 504, 381]","[14.0, 9.0, 7.0, 5.0, 5.0]","[14.0, 9.0, 7.0, 5.0, 5.0]","[1939, 1108, 675, 452, 329]","[1939, 1108, 675, 452, 329]"
A2-B0-C2-batch3-r53,476970,I,True,0.09600000000000003,0.6600094507902553,0.6600094507902553,0.9635,3204,7,0.708,0.308,4.14,5,0,False,"[2000, 1183, 745, 502, 410]","[14.0, 11.0, 7.0, 6.0, 5.0]","[14.0, 11.0, 7.0, 6.0, 5.0]","[1927, 1114, 678, 435, 343]","[1927, 1114, 678, 435, 343]"
A2-B0-C2-batch3-r5,472314,I,True,0.08100000000000003,0.6602354017251398,0.6602354017251398,0.974,3981,6,0.494,0.283,7.48,6,0,False,"[2000, 1163, 719, 477, 362]","[13.0, 8.0, 6.0, 5.0, 4.0]","[13.0, 8.0, 6.0, 5.0, 4.0]","[1948, 1112, 668, 426, 311]","[1948, 1112, 668, 426, 311]"
A2-B0-C2-batch4-r44,576097,I,True,0.10000000000000003,0.6614363579719142,0.6614363579719142,0.962,3308,6,0.782,0.264,4.77,5,0,False,"[2000, 1174, 727, 494, 367]","[14.0, 10.0, 6.0, 5.0, 5.0]","[14.0, 10.0, 6.0, 5.0, 5.0]","[1924, 1107, 662, 429, 302]","[1924, 1107, 662, 429, 302]"
A2-B0-C2-batch4-r31,574836,I,True,0.09850000000000003,0.6623998404916864,0.6623998404916864,0.974,3332,6,0.549,0.237,5.83,5,0,False,"[2000, 1168, 722, 499, 361]","[13.0, 10.0, 7.0, 6.0, 4.0]","[13.0, 10.0, 7.0, 6.0, 4.0]","[1948, 1120, 674, 451, 313]","[1948, 1120, 674, 451, 313]"
A2-B0-C2-r1,271926,I,True,0.08700000000000002,0.665160093330529,0.665160093330529,0.973,4078,5,0.659,0.234,7.63,6,0,False,"[2000, 1167, 710, 498, 359]","[13.0, 8.0, 6.0, 5.0, 4.0]","[13.0, 8.0, 6.0, 5.0, 4.0]","[1946, 1114, 657, 445, 306]","[1946, 1114, 657, 445, 306]"
A2-B0-C2-batch3-r48,476485,I,True,0.09900000000000003,0.6705155034604253,0.6705155034604253,0.971,3271,8,0.487,0.21,4.54,5,0,False,"[2000, 1189, 723, 487, 368]","[15.0, 9.0, 6.0, 5.0, 5.0]","[15.0, 9.0, 6.0, 5.0, 5.0]","[1942, 1133, 667, 431, 312]","[1942, 1133, 667, 431, 312]"
A2-B0-C2-batch4-r41,575806,I,True,0.09350000000000003,0.6796771214509663,0.6796771214509663,0.976,3391,6,0.582,0.239,4.78,5,0,False,"[2000, 1163, 700, 475, 356]","[13.0, 9.0, 6.0, 5.0, 4.0]","[13.0, 9.0, 6.0, 5.0, 4.0]","[1952, 1115, 652, 427, 308]","[1952, 1115, 652, 427, 308]"
A2-B0-C2-batch3-r86,480171,I,True,0.09450000000000001,0.6846985157255415,0.6846985157255415,0.9735,3407,5,0.646,0.19,6.06,5,0,False,"[2000, 1169, 722, 496, 362]","[13.0, 9.0, 7.0, 5.0, 4.0]","[13.0, 9.0, 7.0, 5.0, 4.0]","[1947, 1117, 670, 444, 310]","[1947, 1117, 670, 444, 310]"
A2-B0-C2-batch4-r70,578619,I,True,0.098,0.686161570810164,0.686161570810164,0.9695,3261,7,0.424,0.348,5.01,5,0,False,"[2000, 1162, 741, 497, 378]","[15.0, 9.0, 6.0, 5.0, 5.0]","[15.0, 9.0, 6.0, 5.0, 5.0]","[1939, 1104, 683, 439, 320]","[1939, 1104, 683, 439, 320]"
A2-B0-C2-batch3-r104,481917,I,True,0.09850000000000003,0.6941227678174903,0.6941227678174903,0.966,3344,6,0.41,0.11,5.38,5,0,False,"[2000, 1165, 716, 474, 376]","[13.0, 9.0, 6.0, 5.0, 4.0]","[13.0, 9.0, 6.0, 5.0, 4.0]","[1932, 1106, 657, 415, 317]","[1932, 1106, 657, 415, 317]"
A2-B0-C2-batch3-r59,477552,I,True,0.10350000000000004,0.697928797897343,0.697928797897343,0.9645,3159,7,0.545,0.26,4.12,5,0,False,"[2000, 1178, 750, 520, 386]","[14.0, 11.0, 7.0, 5.0, 5.0]","[14.0, 11.0, 7.0, 5.0, 5.0]","[1929, 1114, 688, 458, 324]","[1929, 1114, 688, 458, 324]"
A2-B0-C2-r28,374545,III,True,0.08950000000000002,0.7055880853285688,0.7055880853285688,0.9735,3947,6,0.47,0.23,7.76,6,0,False,"[2000, 1168, 716, 489, 383]","[13.0, 9.0, 6.0, 5.0, 4.0]","[13.0, 9.0, 6.0, 5.0, 4.0]","[1947, 1117, 665, 438, 332]","[1947, 1117, 665, 438, 332]"
A2-B0-C2-batch3-r69,478522,III,True,0.08800000000000001,0.7189443036232789,0.7189443036232789,0.981,3678,7,0.753,0.318,4.37,6,0,False,"[2000, 1156, 724, 493, 377]","[13.0, 10.0, 7.0, 5.0, 4.0]","[13.0, 10.0, 7.0, 5.0, 4.0]","[1962, 1119, 687, 456, 340]","[1962, 1119, 687, 456, 340]"
A2-B0-C2-r19,273672,III,True,0.08700000000000001,0.7198659721923732,0.7198659721923732,0.9775,3679,5,0.341,0.326,4.02,7,0,False,"[2000, 1177, 737, 534, 394]","[12.0, 8.0, 6.0, 4.0, 4.0]","[12.0, 8.0, 6.0, 4.0, 4.0]","[1955, 1137, 697, 494, 354]","[1955, 1137, 697, 494, 354]"
A2-B0-C2-batch4-r94,580947,III,True,0.08900000000000004,0.7202626515814934,0.7202626515814934,0.971,3553,6,0.353,0.133,4.18,6,0,False,"[2000, 1161, 738, 497, 368]","[13.0, 10.0, 6.0, 5.0, 4.0]","[13.0, 10.0, 6.0, 5.0, 4.0]","[1942, 1109, 687, 446, 317]","[1942, 1109, 687, 446, 317]"
A2-B0-C2-batch3-r83,479880,III,True,0.08700000000000001,0.7218028381417335,0.7218028381417335,0.976,3567,7,0.752,0.325,4.01,6,0,False,"[2000, 1175, 732, 517, 374]","[14.0, 8.0, 6.0, 5.0, 4.0]","[14.0, 8.0, 6.0, 5.0, 4.0]","[1952, 1128, 686, 471, 328]","[1952, 1128, 686, 471, 328]"
A2-B0-C2-batch3-r21,473866,III,True,0.09650000000000004,0.7248004383475681,0.7248004383475681,0.959,3308,6,0.346,0.134,5.31,5,0,False,"[2000, 1195, 752, 487, 372]","[14.0, 9.0, 7.0, 5.0, 4.0]","[14.0, 9.0, 7.0, 5.0, 4.0]","[1918, 1118, 675, 410, 295]","[1918, 1118, 675, 410, 295]"
