rule_id,seed,clase,corrio_phantom,fraccion_masa,pend_orig,pend_corr,giant_b1,n_aristas_b1,K,J,noise,meandeg,kcap,escalas_descarriladas,descarrila_en_b1,n_cajas,diam_orig,diam_gig,tam_comp_src,tam_comp_gigante
A2-B0-C2-batch4-r28,574545,III,True,0.10650000000000004,0.7633609694507228,0.7633609694507228,0.939,3220,6,0.695,0.101,6.66,5,0,False,"[2000, 1209, 779, 534, 439]","[13.0, 9.0, 6.0, 5.0, 4.0]","[13.0, 9.0, 6.0, 5.0, 4.0]","[1878, 1098, 671, 426, 331]","[1878, 1098, 671, 426, 331]"
A2-B0-C2-batch3-r114,482887,III,True,0.09150000000000004,0.7685330652018251,0.7685330652018251,0.963,3978,6,0.749,0.209,7.44,6,0,False,"[2000, 1178, 736, 501, 382]","[13.0, 9.0, 6.0, 4.0, 4.0]","[13.0, 9.0, 6.0, 4.0, 4.0]","[1926, 1108, 667, 432, 313]","[1926, 1108, 667, 432, 313]"
A2-B0-C2-batch4-r26,574351,III,True,0.10250000000000004,0.7694520367154974,0.7694520367154974,0.9675,3308,5,0.454,0.279,5.94,5,0,False,"[2000, 1187, 734, 489, 383]","[15.0, 9.0, 7.0, 5.0, 4.0]","[15.0, 9.0, 7.0, 5.0, 4.0]","[1935, 1125, 672, 427, 321]","[1935, 1125, 672, 427, 321]"
A2-B0-C2-batch4-r72,578813,III,True,0.10150000000000003,0.772038917687482,0.772038917687482,0.952,3337,4,0.607,0.234,6.39,5,0,False,"[2000, 1186, 744, 509, 409]","[14.0, 9.0, 6.0, 5.0, 4.0]","[14.0, 9.0, 6.0, 5.0, 4.0]","[1904, 1099, 659, 424, 324]","[1904, 1099, 659, 424, 324]"
A2-B0-C2-r14,273187,III,True,0.09900000000000003,0.7728999554058272,0.7728999554058272,0.963,3296,8,0.567,0.198,5.76,5,0,False,"[2000, 1177, 742, 485, 365]","[17.0, 11.0, 6.0, 5.0, 5.0]","[17.0, 11.0, 6.0, 5.0, 5.0]","[1926, 1107, 672, 415, 295]","[1926, 1107, 672, 415, 295]"
A2-B0-C2-r20,373769,III,True,0.08650000000000002,0.7745872074489132,0.7745872074489132,0.984,3706,5,0.302,0.292,4.7,6,0,False,"[2000, 1162, 721, 474, 357]","[14.0, 9.0, 6.0, 4.0, 4.0]","[14.0, 9.0, 6.0, 4.0, 4.0]","[1968, 1130, 689, 442, 325]","[1968, 1130, 689, 442, 325]"
A2-B0-C2-batch3-r23,474060,III,True,0.11750000000000005,0.7756156905187959,0.7756156905187959,0.9295,3169,7,0.498,0.338,7.03,5,0,False,"[2000, 1230, 781, 566, 454]","[13.0, 9.0, 7.0, 5.0, 4.0]","[13.0, 9.0, 7.0, 5.0, 4.0]","[1859, 1100, 654, 439, 327]","[1859, 1100, 654, 439, 327]"
A2-B0-C2-batch3-r58,477455,III,True,0.10250000000000004,0.7762844343605745,0.7762844343605745,0.954,3150,7,0.458,0.155,4.11,5,0,False,"[2000, 1198, 721, 512, 386]","[15.0, 11.0, 7.0, 6.0, 4.0]","[15.0, 11.0, 7.0, 6.0, 4.0]","[1908, 1117, 642, 433, 307]","[1908, 1117, 642, 433, 307]"
A2-B0-C2-batch3-r70,478619,III,True,0.09500000000000004,0.7941435722553284,0.7941435722553284,0.9645,3398,4,0.632,0.249,5.76,5,0,False,"[2000, 1188, 742, 503, 370]","[15.0, 10.0, 6.0, 5.0, 4.0]","[15.0, 10.0, 6.0, 5.0, 4.0]","[1929, 1119, 674, 435, 302]","[1929, 1119, 674, 435, 302]"
A2-B0-C2-batch3-r25,474254,III,True,0.113,0.7951507684630403,0.7951507684630403,0.937,3134,8,0.481,0.207,6.78,5,0,False,"[2000, 1223, 775, 541, 419]","[16.0, 11.0, 8.0, 5.0, 5.0]","[16.0, 11.0, 8.0, 5.0, 5.0]","[1874, 1105, 658, 424, 302]","[1874, 1105, 658, 424, 302]"
A2-B0-C2-batch3-r31,474836,III,True,0.11700000000000002,0.8063707776237024,0.8063707776237024,0.93,3234,4,0.695,0.156,7.18,5,0,False,"[2000, 1223, 799, 571, 454]","[13.0, 10.0, 7.0, 5.0, 4.0]","[13.0, 10.0, 7.0, 5.0, 4.0]","[1860, 1090, 667, 439, 322]","[1860, 1090, 667, 439, 322]"
A2-B0-C2-batch3-r10,472799,III,True,0.12000000000000002,0.806767442496431,0.806767442496431,0.927,3126,7,0.524,0.164,7.54,5,0,False,"[2000, 1231, 794, 566, 462]","[16.0, 11.0, 6.0, 6.0, 5.0]","[16.0, 11.0, 6.0, 6.0, 5.0]","[1854, 1093, 659, 433, 329]","[1854, 1093, 659, 433, 329]"
A2-B0-C2-batch4-r12,572993,III,True,0.1005,0.8174143496432537,0.8174143496432537,0.961,3340,6,0.602,0.21,5.69,5,0,False,"[2000, 1189, 757, 515, 397]","[15.0, 10.0, 7.0, 5.0, 4.0]","[15.0, 10.0, 7.0, 5.0, 4.0]","[1922, 1116, 685, 443, 325]","[1922, 1116, 685, 443, 325]"
A2-B0-C2-batch4-r47,576388,III,True,0.09300000000000001,0.8237120554098382,0.8237120554098382,0.973,3282,7,0.683,0.205,4.26,5,0,False,"[2000, 1181, 728, 495, 369]","[16.0, 10.0, 6.0, 5.0, 4.0]","[16.0, 10.0, 6.0, 5.0, 4.0]","[1946, 1130, 677, 444, 318]","[1946, 1130, 677, 444, 318]"
A2-B0-C2-r2,272023,III,True,0.12150000000000004,0.8536460916512809,0.8536460916512809,0.9195,3057,7,0.351,0.15,7.28,5,0,False,"[2000, 1222, 805, 582, 479]","[16.0, 10.0, 7.0, 5.0, 5.0]","[16.0, 10.0, 7.0, 5.0, 5.0]","[1839, 1068, 652, 429, 326]","[1839, 1068, 652, 429, 326]"
A2-B0-C2-batch4-r62,577843,III,True,0.10250000000000004,0.8791813251603616,0.8791813251603616,0.9575,3299,8,0.672,0.262,5.76,5,0,False,"[2000, 1184, 748, 517, 401]","[17.0, 12.0, 7.0, 6.0, 4.0]","[17.0, 12.0, 7.0, 6.0, 4.0]","[1915, 1103, 667, 436, 320]","[1915, 1103, 667, 436, 320]"
A2-B0-C2-batch3-r71,478716,III,True,0.13,0.89756931877134,0.89756931877134,0.908,3012,6,0.463,0.202,7.98,5,0,False,"[2000, 1257, 811, 575, 502]","[14.0, 11.0, 8.0, 5.0, 4.0]","[14.0, 11.0, 8.0, 5.0, 4.0]","[1816, 1086, 643, 407, 334]","[1816, 1086, 643, 407, 334]"
A2-B0-C2-batch3-r111,482596,III,True,0.12200000000000003,0.9051550092250915,0.9051550092250915,0.9245,3017,6,0.465,0.345,7.52,5,0,False,"[2000, 1218, 797, 577, 436]","[15.0, 12.0, 9.0, 5.0, 4.0]","[15.0, 12.0, 9.0, 5.0, 4.0]","[1849, 1076, 660, 440, 299]","[1849, 1076, 660, 440, 299]"
A2-B0-C2-batch3-r60,477649,III,True,0.12549999999999997,0.9268169943894311,0.9268169943894311,0.9185,3068,6,0.456,0.261,7.33,5,0,False,"[2000, 1229, 814, 577, 476]","[15.0, 11.0, 8.0, 5.0, 4.0]","[15.0, 11.0, 8.0, 5.0, 4.0]","[1837, 1074, 659, 422, 321]","[1837, 1074, 659, 422, 321]"
A2-B0-C2-batch4-r10,572799,III,True,0.12799999999999997,0.9674452669352483,0.9674452669352483,0.9105,2994,5,0.339,0.263,7.64,5,0,False,"[2000, 1252, 842, 605, 494]","[16.0, 12.0, 7.0, 6.0, 4.0]","[16.0, 12.0, 7.0, 6.0, 4.0]","[1821, 1080, 672, 435, 324]","[1821, 1080, 672, 435, 324]"
A2-B0-C2-batch4-r36,575321,III,True,0.15349999999999997,1.0121015869766785,1.0121015869766785,0.854,2343,8,0.543,0.156,6.77,4,0,False,"[2000, 1290, 882, 664, 550]","[19.0, 15.0, 12.0, 7.0, 5.0]","[19.0, 15.0, 12.0, 7.0, 5.0]","[1708, 1023, 622, 404, 290]","[1708, 1023, 622, 404, 290]"
A2-B0-C2-batch3-r0,471829,III,True,0.15049999999999997,1.0889055843285775,1.0889055843285775,0.8405,2308,5,0.413,0.225,6.59,4,0,False,"[2000, 1294, 888, 682, 570]","[19.0, 14.0, 10.0, 6.0, 5.0]","[19.0, 14.0, 10.0, 6.0, 5.0]","[1681, 1005, 609, 403, 291]","[1681, 1005, 609, 403, 291]"
