rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,brazo,clase_final
A2-B0-C2-r0,2000,1,0.02,20.0,0.8455,0.7987973728213689,2347,87,18.666666666666668,0.4714045217910317,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,1294,2,0.06,15.0,0.7828438948995363,0.7987973728213689,1617,87,13.0,1.6329931628554522,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,885,4,0.09,9.0,0.6892655367231638,0.7987973728213689,1204,87,9.333333333333334,1.2472191299246471,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,685,8,0.11,9.0,0.5985401459854015,0.7987973728213689,996,87,7.0,1e-09,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,550,16,0.13,5.0,0.5,0.7987973728213689,823,87,5.0,1e-09,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,2000,1,0.01,16.0,0.7955,0.6619048156313906,2499,87,21.0,2.160246900469287,1.4101289937733326,C2-hibrido,III
A2-B0-C2-r0,1336,2,0.04,12.0,0.7058383233532934,0.6619048156313906,1812,87,14.666666666666666,1.2472191299246471,1.4101289937733326,C2-hibrido,III
A2-B0-C2-r0,990,4,0.07,8.0,0.6070707070707071,0.6619048156313906,1459,87,9.333333333333334,1.2472191299246471,1.4101289937733326,C2-hibrido,III
A2-B0-C2-r0,799,8,0.1,6.0,0.5143929912390488,0.6619048156313906,1241,87,6.666666666666667,0.4714045217910317,1.4101289937733326,C2-hibrido,III
A2-B0-C2-r0,676,16,0.13,4.0,0.4260355029585799,0.6619048156313906,1062,87,5.0,1e-09,1.4101289937733326,C2-hibrido,III
A2-B0-C2-r0,2000,1,0.02,16.0,0.9765,0.7841807226936608,3059,27,15.0,2.160246900469287,1.8878960785073036,C2-presupuesto-variable,III
A2-B0-C2-r0,1184,2,0.06,11.0,0.9611486486486487,0.7841807226936608,2237,27,11.333333333333334,1.2472191299246471,1.8878960785073036,C2-presupuesto-variable,III
A2-B0-C2-r0,761,4,0.11,8.0,0.9395532194480947,0.7841807226936608,1799,27,7.333333333333333,0.4714045217910317,1.8878960785073036,C2-presupuesto-variable,III
A2-B0-C2-r0,513,8,0.15,5.0,0.9103313840155945,0.7841807226936608,1514,27,5.333333333333333,0.4714045217910317,1.8878960785073036,C2-presupuesto-variable,III
A2-B0-C2-r0,383,16,0.18,5.0,0.8798955613577023,0.7841807226936608,1315,27,4.0,1e-09,1.8878960785073036,C2-presupuesto-variable,III
A2-B0-C2-r0,2000,1,0.01,14.0,0.9635,0.5187412202451119,2983,3,15.666666666666666,1.699673172197595,1.7289946295592769,C2-presupuesto-variable-azar,I
A2-B0-C2-r0,1197,2,0.05,10.0,0.9448621553884712,0.5187412202451119,2179,3,11.666666666666666,0.9428090425820633,1.7289946295592769,C2-presupuesto-variable-azar,I
A2-B0-C2-r0,778,4,0.09,7.0,0.9151670951156813,0.5187412202451119,1756,3,7.0,0.816496581927726,1.7289946295592769,C2-presupuesto-variable-azar,I
A2-B0-C2-r0,529,8,0.12,5.0,0.8752362948960303,0.5187412202451119,1481,3,6.0,0.816496581927726,1.7289946295592769,C2-presupuesto-variable-azar,I
A2-B0-C2-r0,402,16,0.16,5.0,0.835820895522388,0.5187412202451119,1287,3,4.0,1e-09,1.7289946295592769,C2-presupuesto-variable-azar,I
A2-B0-C2-r0,2000,1,0.03,7.0,0.9995,1.510436456559732,6830,171,6.333333333333333,0.4714045217910317,1.672291175944438,C0,I
A2-B0-C2-r0,1098,2,0.14,5.0,0.9990892531876139,1.510436456559732,5905,171,5.666666666666667,0.4714045217910317,1.672291175944438,C0,I
A2-B0-C2-r0,639,4,0.2,5.0,0.9984350547730829,1.510436456559732,5364,171,4.333333333333333,0.4714045217910317,1.672291175944438,C0,I
A2-B0-C2-r0,404,8,0.25,3.0,0.9975247524752475,1.510436456559732,4888,171,4.0,1e-09,1.672291175944438,C0,I
A2-B0-C2-r0,278,16,0.3,4.0,0.9964028776978417,1.510436456559732,3970,171,4.0,1e-09,1.672291175944438,C0,I
A2-B0-C2-r1,2000,1,0.01,19.0,0.849,0.9957685280673134,2305,63,13.0,7.118052169020874,1.5200623801323723,C2-hard,III
A2-B0-C2-r1,1288,2,0.04,14.0,0.7864906832298136,0.9957685280673134,1573,63,13.333333333333334,0.4714045217910317,1.5200623801323723,C2-hard,III
A2-B0-C2-r1,866,4,0.08,9.0,0.6986143187066974,0.9957685280673134,1146,63,9.333333333333334,0.4714045217910317,1.5200623801323723,C2-hard,III
A2-B0-C2-r1,676,8,0.12,6.0,0.6198224852071006,0.9957685280673134,948,63,6.333333333333333,0.4714045217910317,1.5200623801323723,C2-hard,III
A2-B0-C2-r1,540,16,0.15,5.0,0.524074074074074,0.9957685280673134,791,63,5.0,1e-09,1.5200623801323723,C2-hard,III
A2-B0-C2-r1,2000,1,0.01,17.0,0.823,1.0610438989428286,2564,66,18.0,0.816496581927726,1.7688243047604735,C2-hibrido,III
A2-B0-C2-r1,1328,2,0.06,13.0,0.7454819277108434,1.0610438989428286,1879,66,12.666666666666666,1.699673172197595,1.7688243047604735,C2-hibrido,III
A2-B0-C2-r1,946,4,0.09,8.0,0.6448202959830867,1.0610438989428286,1485,66,8.0,0.816496581927726,1.7688243047604735,C2-hibrido,III
A2-B0-C2-r1,753,8,0.12,5.0,0.5537848605577689,1.0610438989428286,1265,66,5.666666666666667,0.4714045217910317,1.7688243047604735,C2-hibrido,III
