rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio
A2-B0-C2-batch4-r0,III,571829,6,0.4,0.123,7.95,6,0.291,0.749820839752026,0.10690449667925536,1.8935124698207446
A2-B0-C2-batch4-r1,III,571926,6,0.398,0.285,6.18,5,0.28,0.7579372902210593,1.659162533351413,1.5176020345746304
A2-B0-C2-batch4-r2,I,572023,5,0.638,0.166,5.06,7,0.278,0.5304698681477237,0.42426406796192817,5.1572524473490144
A2-B0-C2-batch4-r3,I,572120,5,0.766,0.205,6.09,6,0.17,0.5490358470541344,0.3863703299156272,3.3851365371602062
A2-B0-C2-batch4-r4,I,572217,8,0.455,0.335,6.86,7,0.221,0.5212310066822438,0.6692130417902463,0.9180544345926901
A2-B0-C2-batch4-r5,I,572314,8,0.523,0.244,4.34,7,0.251,0.6191094861351111,0.4898979479566356,2.109483759187346
A2-B0-C2-batch4-r6,III,572411,6,0.485,0.226,4.6,4,0.318,0.8838686993534043,0.3897472087038745,2.3852530163021366
A2-B0-C2-batch4-r7,III,572508,4,0.741,0.249,4.98,4,0.192,0.8868589739436875,0.3863703299156276,2.6756378118656454
A2-B0-C2-batch4-r8,I,572605,6,0.33,0.289,7.13,7,0.154,0.48823433629471374,0.05345224833962783,1.1836267176591901
A2-B0-C2-batch4-r9,III,572702,5,0.351,0.296,4.64,6,0.281,0.750656276796281,0.5088448171297865,1.9319591933901754
A2-B0-C2-batch4-r10,III,572799,5,0.339,0.263,7.64,5,0.233,0.9674452669352479,0.5666957390439644,1.6486870595873413
A2-B0-C2-batch4-r11,I,572896,6,0.336,0.263,7.47,6,0.228,0.5873752918624702,0.494974745855583,1.6151203055895658
A2-B0-C2-batch4-r12,III,572993,6,0.602,0.21,5.69,5,0.195,0.8174143496432545,1.659162533351413,1.6711812706213869
A2-B0-C2-batch4-r13,I,573090,6,0.662,0.233,5.58,6,0.255,0.5911652970991822,0.9899494915611667,2.805547254996298
A2-B0-C2-batch4-r14,I,573187,7,0.501,0.253,6.51,6,0.234,0.5109000649121194,0.14142135593730976,1.6522460828924117
A2-B0-C2-batch4-r15,I,573284,8,0.412,0.302,4.06,5,0.173,0.6403596942082215,0.6363961017928931,1.3130585752437975
A2-B0-C2-batch4-r16,I,573381,6,0.729,0.166,7.17,6,0.194,0.6806942227496239,0.6692130419402463,2.6796423531037172
A2-B0-C2-batch4-r17,I,573478,4,0.735,0.128,7.15,7,0.172,0.5535046077461179,0.9520557536648651,3.7565285703419384
A2-B0-C2-batch4-r18,I,573575,5,0.364,0.321,6.05,6,0.325,0.5348611955256036,0.9899494915611664,1.6409366421090614
A2-B0-C2-batch4-r19,III,573672,5,0.529,0.309,4.04,6,0.277,0.7607797813332537,0.7071067796865472,1.1168762631396227
A2-B0-C2-batch4-r20,I,573769,6,0.615,0.308,5.56,6,0.193,0.626356282241272,0.8485281356238573,1.829877541290044
A2-B0-C2-batch4-r21,II,573866,7,0.461,0.186,5.77,7,0.177,0.42725673350912463,0.7071067796865472,1.5013278142481976
A2-B0-C2-batch4-r22,I,573963,8,0.459,0.129,4.95,5,0.311,0.6994921025673034,0.2449489739783178,1.9895466379901514
A2-B0-C2-batch4-r23,I,574060,5,0.684,0.202,5.0,5,0.151,0.6433027276036999,0.40531719893877804,3.663656028872542
A2-B0-C2-batch4-r24,I,574157,7,0.308,0.167,5.58,6,0.197,0.594794134669785,0.42426406796192834,1.8872973027940265
A2-B0-C2-batch4-r25,I,574254,5,0.329,0.152,5.53,6,0.259,0.4994540416655394,0.4086825976354479,1.6250350986613475
A2-B0-C2-batch4-r26,III,574351,5,0.454,0.279,5.94,5,0.272,0.7694520367154973,0.3863703299156272,1.7385428897078437
A2-B0-C2-batch4-r27,I,574448,8,0.656,0.23,4.37,6,0.317,0.6061962585055974,0.5656854237492386,1.583609036482027
A2-B0-C2-batch4-r28,III,574545,6,0.695,0.101,6.66,5,0.298,0.7633609694507231,0.5843602283238603,3.050183998754211
