point_id,g_level,acople,seed,dim,viable,expande,estable,diam_fin,gig_fin,corr_masa_grado_ok
19,0.3,grado,9,d4,0,0,1,4,1.0,1
19,0.3,grado,9,curv,0,0,1,4,0.967,1
15,0.3,grado,5,d1,0,0,0,1,0.09,1
15,0.3,grado,5,d2,0,0,1,6,0.962,1
15,0.3,grado,5,d3,0,0,1,5,0.991,1
15,0.3,grado,5,d4,0,0,1,4,0.996,1
15,0.3,grado,5,curv,0,0,1,5,0.983,1
18,0.3,grado,8,d1,0,0,0,3,0.09,1
18,0.3,grado,8,d2,0,0,1,6,0.955,1
18,0.3,grado,8,d3,0,0,1,4,1.0,1
18,0.3,grado,8,d4,0,0,1,3,1.0,1
18,0.3,grado,8,curv,0,0,1,5,0.978,1
25,0.3,null,5,d1,0,0,0,1,0.102,1
25,0.3,null,5,d2,0,0,1,7,0.958,1
25,0.3,null,5,d3,0,0,1,5,0.985,1
25,0.3,null,5,d4,0,0,1,4,1.0,1
25,0.3,null,5,curv,0,0,1,7,0.986,1
23,0.3,null,3,d1,0,0,0,6,0.055,1
23,0.3,null,3,d2,0,0,1,7,0.945,1
23,0.3,null,3,d3,0,0,1,5,1.0,1
23,0.3,null,3,d4,0,0,1,5,1.0,1
23,0.3,null,3,curv,0,0,1,7,0.986,1
21,0.3,null,1,d1,0,0,0,1,0.086,1
21,0.3,null,1,d2,0,0,1,8,0.965,1
21,0.3,null,1,d3,0,0,1,5,0.985,1
21,0.3,null,1,d4,0,0,1,4,0.996,1
21,0.3,null,1,curv,0,0,1,8,0.975,1
27,0.3,null,7,d1,0,0,0,3,0.074,1
27,0.3,null,7,d2,0,0,1,8,0.952,1
27,0.3,null,7,d3,0,0,1,5,0.983,1
27,0.3,null,7,d4,0,0,1,5,0.992,1
27,0.3,null,7,curv,0,0,1,6,0.978,1
22,0.3,null,2,d1,0,0,0,2,0.113,1
22,0.3,null,2,d2,0,0,1,8,0.969,1
22,0.3,null,2,d3,0,0,1,5,0.994,1
22,0.3,null,2,d4,0,0,1,4,1.0,1
22,0.3,null,2,curv,0,0,1,6,0.975,1
26,0.3,null,6,d1,0,0,0,3,0.082,1
26,0.3,null,6,d2,0,0,1,7,0.948,1
26,0.3,null,6,d3,0,0,1,5,0.994,1
26,0.3,null,6,d4,0,0,1,4,0.996,1
26,0.3,null,6,curv,0,0,1,5,0.972,1
28,0.3,null,8,d1,0,0,0,5,0.109,1
28,0.3,null,8,d2,0,0,1,8,0.976,1
28,0.3,null,8,d3,0,0,1,5,0.985,1
28,0.3,null,8,d4,0,0,1,4,1.0,1
28,0.3,null,8,curv,0,0,1,5,0.964,1
29,0.3,null,9,d1,0,0,0,3,0.082,1
29,0.3,null,9,d2,0,0,1,8,0.965,1
29,0.3,null,9,d3,0,0,1,5,0.991,1
29,0.3,null,9,d4,0,0,1,4,0.996,1
29,0.3,null,9,curv,0,0,1,6,0.975,1
35,0.6,masa,5,d1,0,0,0,5,0.195,1
35,0.6,masa,5,d2,0,0,0,1,0.99,1
35,0.6,masa,5,d3,0,0,1,3,0.997,1
35,0.6,masa,5,d4,0,0,1,4,0.996,1
