patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
1,66103,1500,local,5,8,2.653,0.044,2,6.553,1,0.797,0.883,13.059,0.4722,12,20
1,66103,1500,sin_local,-1,8,4.761,0.049,1,3.283,1,0.68,0.925,52.611,0.0969,4,17
1,66103,1500,local_barajado,5,8,2.935,0.054,1,4.507,1,1.105,0.918,12.757,0.1087,6,20
1,66103,1500,local_marco_congelado,5,8,2.684,0.028,0,7.968,0,1.07,0.913,13.125,0.448,15,20
5,66115,1500,local,6,8,3.891,0.023,1,5.569,1,0.912,0.913,15.864,0.3441,7,20
5,66115,1500,sin_local,-1,8,4.905,0.052,1,4.923,1,1.093,0.907,52.293,0.0908,4,17
5,66115,1500,local_barajado,6,8,3.244,0.056,3,5.228,1,1.228,0.923,15.155,0.0873,6,20
5,66115,1500,local_marco_congelado,6,8,4.118,0.024,0,7.952,0,1.021,0.896,15.123,0.3479,7,20
2,66106,1500,local,8,8,5.26,0.033,2,6.354,1,0.835,0.914,21.277,0.22,5,20
2,66106,1500,sin_local,-1,8,4.982,0.051,1,4.175,1,1.058,0.921,48.152,0.0989,4,16
2,66106,1500,local_barajado,8,8,3.777,0.055,1,4.225,1,1.067,0.921,20.051,0.0642,5,20
2,66106,1500,local_marco_congelado,8,8,4.845,0.04,0,7.961,0,1.141,0.906,20.933,0.2445,5,20
6,66118,1500,local,6,8,3.49,0.03,1,4.976,1,0.901,0.919,15.883,0.3518,7,20
6,66118,1500,sin_local,-1,8,5.042,0.053,1,3.093,1,0.931,0.9,51.104,0.0821,4,17
6,66118,1500,local_barajado,6,8,3.266,0.055,1,4.707,1,1.101,0.917,15.203,0.0974,6,20
6,66118,1500,local_marco_congelado,6,8,3.787,0.027,0,7.973,0,0.978,0.917,15.952,0.3456,6,20
4,66112,1500,local,13,8,5.518,0.04,2,3.515,1,0.764,0.911,33.253,0.1549,4,20
4,66112,1500,sin_local,-1,8,4.894,0.053,1,5.279,1,0.77,0.911,52.357,0.0861,3,17
4,66112,1500,local_barajado,13,8,4.072,0.043,1,2.431,1,1.109,0.899,31.304,0.0443,4,20
4,66112,1500,local_marco_congelado,13,8,5.516,0.035,0,7.96,0,0.902,0.907,33.277,0.1472,3,20
3,66109,1500,local,13,8,5.574,0.035,1,1.905,1,0.736,0.909,33.691,0.1543,3,20
3,66109,1500,sin_local,-1,8,4.248,0.051,1,3.083,1,0.929,0.912,52.411,0.1036,3,17
3,66109,1500,local_barajado,13,8,4.0,0.049,1,3.255,1,1.004,0.897,31.077,0.0588,4,20
3,66109,1500,local_marco_congelado,13,8,4.908,0.04,0,7.947,0,0.871,0.922,34.339,0.1378,4,20
0,66100,1500,local,14,8,5.278,0.042,1,2.365,1,0.662,0.909,35.672,0.1295,4,20
0,66100,1500,sin_local,-1,8,nan,0.053,1,3.135,1,0.884,0.917,52.443,0.0981,3,17
0,66100,1500,local_barajado,14,8,4.011,0.048,1,3.249,1,0.956,0.918,34.349,0.0414,4,20
0,66100,1500,local_marco_congelado,14,8,5.317,0.042,0,7.957,0,0.92,0.908,35.525,0.1336,4,20
8,66124,1500,local,8,8,4.658,0.042,1,4.865,1,1.037,0.91,20.925,0.2344,5,20
8,66124,1500,sin_local,-1,8,4.685,0.055,1,4.363,1,0.924,0.907,52.187,0.0935,3,17
8,66124,1500,local_barajado,8,8,3.729,0.055,2,4.099,1,0.962,0.91,19.715,0.0657,5,20
8,66124,1500,local_marco_congelado,8,8,5.043,0.031,0,7.96,0,0.963,0.916,21.344,0.2295,4,20
7,66121,1500,local,14,8,5.447,0.042,1,2.382,1,0.827,0.904,35.139,0.1468,3,20
7,66121,1500,sin_local,-1,8,4.922,0.052,1,3.981,1,1.006,0.911,52.133,0.0987,3,17
7,66121,1500,local_barajado,14,8,4.098,0.042,1,2.658,1,1.173,0.905,33.893,0.044,4,20
7,66121,1500,local_marco_congelado,14,8,5.378,0.041,0,7.955,0,0.897,0.911,35.827,0.1351,4,20
10,66130,1500,local,8,8,4.691,0.047,1,4.884,1,0.933,0.908,20.68,0.2283,5,20
10,66130,1500,sin_local,-1,8,4.956,0.046,1,4.044,1,0.874,0.915,52.352,0.0899,3,17
10,66130,1500,local_barajado,8,8,3.756,0.055,1,4.179,1,1.024,0.922,20.093,0.0689,5,20
10,66130,1500,local_marco_congelado,8,8,4.961,0.026,0,7.962,0,0.929,0.926,21.165,0.241,5,20
12,66136,1500,local,8,8,4.784,0.029,1,4.432,1,0.829,0.907,21.037,0.2424,5,20
12,66136,1500,sin_local,-1,8,5.106,0.045,1,4.218,1,0.819,0.901,49.704,0.0973,4,17
12,66136,1500,local_barajado,8,8,3.734,0.06,1,3.794,1,1.085,0.902,19.669,0.0606,5,20
12,66136,1500,local_marco_congelado,8,8,5.558,0.029,0,7.966,0,0.992,0.905,21.184,0.2369,4,20
9,66127,1500,local,14,8,5.211,0.043,1,3.23,1,0.95,0.911,35.541,0.1442,3,20
9,66127,1500,sin_local,-1,8,4.817,0.047,1,3.467,1,0.802,0.912,51.043,0.0913,3,17
9,66127,1500,local_barajado,14,8,4.111,0.051,1,2.873,1,1.015,0.911,33.923,0.0392,4,20
9,66127,1500,local_marco_congelado,14,8,5.394,0.038,0,7.959,0,0.862,0.909,35.896,0.1341,4,20
11,66133,1500,local,12,8,5.414,0.044,1,3.236,1,0.795,0.917,31.392,0.1574,3,20
