rule_id,seed,lote,K,kcap,brazo,n_nodos,n_aristas,grado_medio,grados_identicos,n_nodos_grado_distinto,solapamiento_aristas,clustering_local,transitividad,n_triangulos,T_objetivo,dif_max_triangulos,gigante,n_componentes,asortatividad,pendiente_corr,z_agg,diams,n_cajas,clustering_original,transitividad_original,n_triangulos_original,t_piso,t_techo_brazo,t_techo_brazo_sin_restriccion,n_swaps_aceptados,k_elegido,t_swaps_s,acc_baja,t_bajar_s,gigante_original,semilla_base,pendiente_corr_csv_ref,frac_masa_fase5b,n_triangulos_medido,frac_nodos_en_triangulo,frac_aristas_en_triangulo,frac_aristas_multi_tri,tri_por_arista_media,tri_por_nodo_max,gini_tri_nodo,n_comp_tri,tam_mayor_comp_tri,frac_mayor_comp_tri,tam_medio_comp_tri,modularidad_tri,dist_media_tri,dist_media_azar,t_total_grafo_s
A2-B0-C2-r14,273187,271828,8,5,libre,2000,3296,3.296,True,0,0.0027305825242718447,0.016016666666666665,0.011825726141078838,38,38,0,1932,2,-0.1833801800476665,0.7088194262151231,0.631319303893945,"[13.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1234, 749, 519, 382]",0.004966666666666667,0.005912863070539419,19,0,1337,1898,1776,37,7.5,16309,0.6,1926,2677232617,0.7728999554058272,0.09900000000000003,38,0.056,0.03428398058252427,0.008849557522123894,1.008849557522124,2.0,0.9449649122807018,37,2,0.05263157894736842,1.027027027027027,0.034160817171740986,7.070270270270269,6.681684791990334,29.3
A2-B0-C2-r14,273187,271828,8,5,conc,2000,3296,3.296,True,0,0.0027305825242718447,0.009983333333333334,0.011825726141078838,38,38,0,1926,3,-0.18598413723520887,0.7626793814578008,0.631319303893945,"[13.0, 11.0, 7.0, 5.0, 4.0]","[2000, 1234, 742, 527, 398]",0.004966666666666667,0.005912863070539419,19,0,38,38,29,29,1.8,16309,0.6,1926,2677232617,0.7728999554058272,0.09900000000000003,38,0.0175,0.016383495145631068,0.6296296296296297,2.111111111111111,8.0,0.9899385964912281,8,14,0.3684210526315789,4.75,0.01631298455320954,5.046538461538462,6.807229437229438,29.3
A2-B0-C2-r14,273187,271828,8,5,disp,2000,3296,3.296,True,0,0.0027305825242718447,0.014483333333333332,0.011825726141078838,38,38,0,1932,2,-0.18693103075795156,0.7872015143580641,0.3863703299156272,"[13.0, 10.0, 7.0, 4.0, 4.0]","[2000, 1226, 751, 518, 385]",0.004966666666666667,0.005912863070539419,19,0,1043,1043,1024,38,4.2,16309,0.6,1926,2677232617,0.7728999554058272,0.09900000000000003,38,0.057,0.0345873786407767,0.0,1.0,1.0,0.943,38,1,0.02631578947368421,1.0,0.03445981982426478,6.763513513513513,6.780942516830657,29.3
A2-B0-C2-r14,273187,271828,8,5,solap,2000,3296,3.296,True,0,0.0027305825242718447,0.012116666666666668,0.011825726141078838,38,38,0,1932,2,-0.1836169034283521,0.6905874119935803,0.631319303893945,"[12.0, 10.0, 8.0, 5.0, 4.0]","[2000, 1232, 761, 526, 394]",0.004966666666666667,0.005912863070539419,19,0,237,237,199,34,4.2,16309,0.6,1926,2677232617,0.7728999554058272,0.09900000000000003,38,0.0235,0.022148058252427185,0.5205479452054794,1.5616438356164384,5.0,0.982561403508772,8,8,0.21052631578947367,4.75,0.022047217059218586,7.874324324324323,6.551009839461418,29.3
A2-B0-C2-r14,273187,271828,8,5,disj,2000,3296,3.296,True,0,0.0024271844660194173,0.015783333333333333,0.011825726141078838,38,38,0,1932,2,-0.17817226567258185,0.7163409438644994,0.631319303893945,"[13.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1234, 756, 535, 384]",0.004966666666666667,0.005912863070539419,19,0,807,807,805,38,8.4,16309,0.6,1926,2677232617,0.7728999554058272,0.09900000000000003,38,0.057,0.0345873786407767,0.0,1.0,1.0,0.943,38,1,0.02631578947368421,1.0,0.034466309376178256,7.1310810810810805,6.696918694976696,29.3
