n_componentes,giant_frac,lambda2,lambda_max,std_eig,mean_eig,d_s_t0.05,d_s_t0.2,d_s_t1.0,d_s_t5.0,H,N,seed_orden,n_reorganizaciones,t_s
1,1.0,0.019923009247368898,11.580984745384695,2.4505050499845944,4.945,0.4873642999989585,1.5509128055599959,1.9626468329741869,2.2031319460647367,1,2000,777,0,3.61
1,1.0,0.019923009247368898,11.580984745384695,2.4505050499845944,4.945,0.4873642999989585,1.5509128055599959,1.9626468329741869,2.2031319460647367,1,2000,778,0,3.47
1,1.0,0.019923009247368898,11.580984745384695,2.4505050499845944,4.945,0.4873642999989585,1.5509128055599959,1.9626468329741869,2.2031319460647367,1,2000,779,0,3.52
1,1.0,0.019923009247368898,11.580984745384695,2.4505050499845944,4.945,0.4873642999989585,1.5509128055599959,1.9626468329741869,2.2031319460647367,1,2000,780,0,3.49
1,1.0,0.019923009247368898,11.580984745384695,2.4505050499845944,4.945,0.4873642999989585,1.5509128055599959,1.9626468329741869,2.2031319460647367,1,2000,781,0,3.4
1,1.0,0.03214647030950843,13.58181866686037,2.9659393115841057,5.698,0.5522641381547473,1.6949004148123095,2.317379306107309,2.4395429102999593,2,2000,777,5,3.71
1,1.0,0.03575258545458924,14.441513235432065,3.0035811958393897,5.75,0.5566474390310674,1.7062212770417844,2.391245194926139,2.5487539486880024,2,2000,778,8,3.62
1,1.0,0.035012281306202805,14.26944902314805,2.9821542548969533,5.734,0.5555788084070699,1.7051496658857417,2.366728941797536,2.499310599525959,2,2000,779,4,3.38
1,1.0,0.03383360829452841,14.594147756240044,2.964888530788299,5.706,0.5531114216628126,1.6983075008881414,2.358577823122303,2.487862407167711,2,2000,780,7,3.8
1,1.0,0.03322486809774222,14.317013143408367,2.944724774915306,5.686,0.5516224198847794,1.6968829617506387,2.348564943359225,2.4876887027266505,2,2000,781,6,3.86
1,1.0,0.04989463648141909,18.377678194759426,3.4686883688218444,6.399,0.6100249887775036,1.814915505317643,2.64726878505358,2.604050210104731,4,2000,777,32,4.55
1,1.0,0.051804234224523425,17.421004496989383,3.509269867080612,6.445,0.6134805641907235,1.8213026269237886,2.692986259128009,2.6093468210533874,4,2000,778,30,4.63
1,1.0,0.04931971635919626,17.381825896481683,3.4725746932211576,6.414999999999999,0.6114973896363693,1.817930328252622,2.654432829598335,2.6052217458440605,4,2000,779,25,4.31
1,1.0,0.04916176298666387,16.920052152743622,3.462681619785452,6.406,0.6108106386295091,1.8162657509538533,2.67838959088904,2.5918260898718746,4,2000,780,30,4.27
1,1.0,0.04894331034947551,16.646098914935937,3.4707911201914783,6.397000000000001,0.6096967589176359,1.8127312134899682,2.643235933641005,2.5931239442451446,4,2000,781,29,3.86
1,1.0,0.06708175176056802,19.504121552452965,3.8514619302285706,6.921,0.6513693882637099,1.8949355069973919,2.8868234000956434,2.643165362909121,8,2000,777,127,5.67
1,1.0,0.06685896921923988,21.31038602980533,3.9654758856914016,6.999,0.6555964736119151,1.8957020941572225,2.91575361824615,2.6235550764243243,8,2000,778,128,5.81
1,1.0,0.06546157720125463,20.264774475982975,3.90173756165122,6.9620000000000015,0.6539273201327944,1.8974590107658855,2.89101014244212,2.6220273022553755,8,2000,779,108,6.11
1,1.0,0.06360881936371524,20.01903360172843,3.8901772453192924,6.961,0.6542248602170204,1.8995408395104576,2.8834968280854163,2.614725330343221,8,2000,780,121,5.87
1,1.0,0.06428541964404914,20.767521151409348,3.916288932139714,6.959,0.6530957071551668,1.8924093396982045,2.8855941818736284,2.6008385075833083,8,2000,781,108,5.72
1,1.0,0.07917346243307975,22.5574701492527,4.18737435632402,7.336,0.6824371988233153,1.9488767011687074,3.031974743116166,2.6136455607069884,16,2000,777,309,11.26
1,1.0,0.07822401883415861,24.425597981176132,4.2638714802395254,7.379999999999999,0.6842034730072584,1.9462540179467709,3.0458577405712965,2.590127323383685,16,2000,778,338,10.25
1,1.0,0.07458713984053396,22.352792922850547,4.195899903477205,7.368,0.6852383346232358,1.9543043391712658,3.0406152151243298,2.5616844594433186,16,2000,779,353,10.7
1,1.0,0.07364499566921492,23.31441831455371,4.16944648604584,7.346,0.6840588751876808,1.9559292032907152,3.0310371663774163,2.57975092794071,16,2000,780,306,10.23
1,1.0,0.07474692513997873,20.840872623502342,4.2280386705894735,7.367,0.6839694659133002,1.9470634047942283,3.0356443488198224,2.565945146754771,16,2000,781,343,10.18
