patch,seed,N,arm,lam,frac_ferm,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
0,11,3500,excl,0.972,0.558,5.661,0.044,1,2.448,1,0.965,0.889,4,17
0,11,3500,sin_excl,0.972,0.558,5.712,0.045,1,5.303,1,0.959,0.911,4,17
0,11,3500,excl_barajada,0.972,0.558,5.133,0.043,1,2.869,1,0.697,0.898,4,17
0,11,3500,excl_bosones,0.972,0.558,5.243,0.044,1,5.046,1,0.989,0.899,4,17
0,11,3500,marco_congelado,0.972,0.558,5.525,0.041,0,7.978,0,0.932,0.905,4,17
1,2076,3500,excl,0.171,0.561,5.713,0.04,0,7.317,0,0.939,0.903,4,17
1,2076,3500,sin_excl,0.171,0.561,5.823,0.04,1,5.823,1,1.138,0.905,4,17
1,2076,3500,excl_barajada,0.171,0.561,5.579,0.044,1,7.06,1,0.998,0.903,4,17
1,2076,3500,excl_bosones,0.171,0.561,5.312,0.045,1,6.295,1,0.957,0.899,4,17
1,2076,3500,marco_congelado,0.171,0.561,5.617,0.043,0,7.986,0,0.944,0.903,4,17
3,6206,3500,excl,0.164,0.899,5.784,0.045,0,7.956,0,0.882,0.911,4,17
3,6206,3500,sin_excl,0.164,0.899,5.745,0.042,3,5.755,1,0.881,0.898,4,17
3,6206,3500,excl_barajada,0.164,0.899,5.878,0.045,0,7.938,0,0.962,0.913,4,17
3,6206,3500,excl_bosones,0.164,0.899,5.3,0.046,1,5.953,1,1.028,0.919,4,17
3,6206,3500,marco_congelado,0.164,0.899,5.721,0.04,0,7.981,0,0.81,0.903,4,17
2,4141,3500,excl,0.197,0.63,4.76,0.043,0,7.551,0,0.899,0.902,4,17
2,4141,3500,sin_excl,0.197,0.63,4.328,0.051,1,4.973,1,0.776,0.903,4,17
2,4141,3500,excl_barajada,0.197,0.63,5.382,0.049,0,7.499,0,0.901,0.917,4,17
2,4141,3500,excl_bosones,0.197,0.63,6.004,0.044,1,6.206,1,0.9,0.909,4,17
2,4141,3500,marco_congelado,0.197,0.63,5.79,0.043,0,7.976,0,0.939,0.899,4,17
4,8271,3500,excl,1.012,0.612,5.14,0.041,1,1.569,1,0.828,0.9,3,17
4,8271,3500,sin_excl,1.012,0.612,4.371,0.044,1,5.467,1,0.872,0.91,4,17
4,8271,3500,excl_barajada,1.012,0.612,5.678,0.045,2,2.479,1,0.9,0.898,4,17
4,8271,3500,excl_bosones,1.012,0.612,5.612,0.041,2,5.54,1,0.826,0.899,4,17
4,8271,3500,marco_congelado,1.012,0.612,5.933,0.034,0,7.989,0,0.986,0.907,4,17
5,10336,3500,excl,0.416,0.57,5.74,0.043,0,7.741,0,1.027,0.913,4,17
5,10336,3500,sin_excl,0.416,0.57,5.577,0.045,1,5.721,1,0.95,0.904,4,17
