genealogia,seed_base,rule_id,brazo,clase,es_clase_III,es_clase_III_o_IV,pendiente,z_agg,holon_ratio,diam_b1,giant_b1,grado_medio_b1,n_aristas_b1,diams_por_escala,K,J,noise,meandeg,kcap,seed,seg
H02_344251,344251,A2-B0-C2-r13,C2-hibrido,II,0,0,0.441463,0.0,2.1156,9.0,0.9915,4.844,4844,9|7|5|5|4,7,0.732,0.305,5.09,5,345513,2.89
H02_344251,344251,A2-B0-C2-r14,C2-hard,III,1,1,0.995447,0.1718,2.1675,19.0,0.8895,2.487,2487,19|14|8|6|5,7,0.344,0.109,5.39,4,345610,1.95
H02_344251,344251,A2-B0-C2-r14,C2-hibrido,III,1,1,1.06568,0.5657,1.8146,16.0,0.875,2.83,2830,16|11|7|6|4,7,0.344,0.109,5.39,4,345610,2.33
H02_344251,344251,A2-B0-C2-r15,C2-hard,I,0,0,0.466897,0.1414,2.2398,9.0,0.9965,4.868,4868,9|7|5|4|4,7,0.703,0.223,6.31,7,345707,3.05
H02_344251,344251,A2-B0-C2-r15,C2-hibrido,I,0,0,0.286286,0.5657,2.9632,7.0,0.9985,6.124,6124,7|5|5|4|4,7,0.703,0.223,6.31,7,345707,3.25
H02_344251,344251,A2-B0-C2-r16,C2-hard,III,1,1,0.768929,0.7071,1.4565,14.0,0.95,3.266,3266,14|9|6|5|4,5,0.486,0.343,6.25,5,345804,2.77
H02_344251,344251,A2-B0-C2-r16,C2-hibrido,III,1,1,0.714123,0.3864,1.8225,12.0,0.9405,3.955,3955,12|8|6|5|4,5,0.486,0.343,6.25,5,345804,3.23
H02_344251,344251,A2-B0-C2-r17,C2-hard,I,0,0,0.594998,0.0707,1.6461,12.0,0.985,3.919,3919,12|8|6|5|4,5,0.375,0.151,5.26,6,345901,3.23
H02_344251,344251,A2-B0-C2-r17,C2-hibrido,II,0,0,0.414059,0.495,2.5235,9.0,0.9905,5.022,5022,9|6|5|5|4,5,0.375,0.151,5.26,6,345901,2.79
H02_344251,344251,A2-B0-C2-r18,C2-hard,I,0,0,0.647152,0.5657,3.3941,12.0,0.9775,3.728,3728,12|9|6|5|4,4,0.771,0.228,4.16,6,345998,2.68
H02_344251,344251,A2-B0-C2-r18,C2-hibrido,I,0,0,0.564326,0.4243,2.8568,11.0,0.9815,4.115,4115,11|7|5|5|4,4,0.771,0.228,4.16,6,345998,2.35
H02_344251,344251,A2-B0-C2-r19,C2-hard,I,0,0,0.591652,0.4567,1.9689,12.0,0.979,4.04,4040,12|8|6|5|4,6,0.574,0.299,7.63,6,346095,2.97
H02_344251,344251,A2-B0-C2-r19,C2-hibrido,I,0,0,0.521693,0.2828,1.5068,10.0,0.9555,4.617,4617,10|6|5|5|4,6,0.574,0.299,7.63,6,346095,2.54
H07_1357061,1357061,A2-B0-C2-r0,C2-hard,III,1,1,0.71129,0.4596,3.0852,15.0,0.955,3.337,3337,15|9|6|5|5,7,0.776,0.183,6.13,5,1357062,2.29
H07_1357061,1357061,A2-B0-C2-r0,C2-hibrido,I,0,0,0.594501,0.6692,4.3565,10.0,0.957,4.09,4090,10|8|6|5|4,7,0.776,0.183,6.13,5,1357062,2.58
H07_1357061,1357061,A2-B0-C2-r1,C2-hard,III,1,1,0.877267,0.9142,2.0627,14.0,0.9055,3.1,3100,14|9|7|5|4,5,0.57,0.286,7.77,5,1357159,2.38
