rule_id,seed,lote,K,kcap,brazo,n_nodos,n_aristas,grado_medio,grados_identicos,n_nodos_grado_distinto,solapamiento_aristas,clustering_local,transitividad,n_triangulos,T_objetivo,dif_max_triangulos,gigante,n_componentes,asortatividad,pendiente_corr,z_agg,diams,n_cajas,clustering_original,transitividad_original,n_triangulos_original,t_piso,t_techo_brazo,t_techo_brazo_sin_restriccion,n_swaps_aceptados,k_elegido,t_swaps_s,acc_baja,t_bajar_s,gigante_original,semilla_base,pendiente_corr_csv_ref,frac_masa_fase5b,n_triangulos_medido,frac_nodos_en_triangulo,frac_aristas_en_triangulo,frac_aristas_multi_tri,tri_por_arista_media,tri_por_nodo_max,gini_tri_nodo,n_comp_tri,tam_mayor_comp_tri,frac_mayor_comp_tri,tam_medio_comp_tri,modularidad_tri,dist_media_tri,dist_media_azar,n_aristas_soporte,suma_carga,tri_por_arista_max,tri_por_arista_p90,tri_por_arista_p99,gini_tri_arista,frac_carga_en_top1pct,frac_aristas_carga3mas,identidad_A_D_resid,t_total_grafo_s
A2-B0-C2-r39,375612,371828,5,6,abanico,2000,4083,4.083,True,0,0.0031839333823169237,0.11764999999999999,0.0947973821643419,478,478,0,1970,1,-0.08000539772473492,0.5087321067292803,0.7071067796865469,"[10.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1161, 698, 452, 340]",0.0032333333333333333,0.003966417663779996,20,0,1103,1103,1103,478,124.8,19969,7.7,1966,3868803617,0.7271595357141946,0.07850000000000001,478,0.453,0.35121234386480527,0.0,1.0,3.0,0.6405453277545328,2,477,0.997907949790795,239.0,0.13974005825364197,5.9555,5.908583037074656,1434,1434.0,1.0,1.0,1.0,0.0,0.010460251046025104,0.0,0.0,439.7
A2-B0-C2-r39,375612,371828,5,6,disp,2000,4083,4.083,True,0,0.0026940974773450896,0.15381666666666666,0.0947973821643419,478,478,0,1970,1,-0.05544991377269948,0.4997949304246737,0.7071067796865469,"[10.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1149, 690, 449, 324]",0.0032333333333333333,0.003966417663779996,20,0,1446,1446,1412,474,72.3,19969,7.7,1966,3868803617,0.7271595357141946,0.07850000000000001,478,0.714,0.35072250795983345,0.0013966480446927375,1.0013966480446927,2.0,0.28897489539748955,474,2,0.0041841004184100415,1.0084388185654007,0.34935522934619706,6.1485,5.983875063484002,1432,1434.0,2.0,1.0,1.0,0.0013927522342472905,0.011854951185495118,0.0,0.0,439.7
A2-B0-C2-r39,375612,371828,5,6,libro,2000,4083,4.083,True,0,0.0024491795248591723,0.07408333333333333,0.0947973821643419,478,478,0,1949,4,-0.07535583863322523,0.7499181863311963,5.232590169680451,"[15.0, 11.0, 10.0, 5.0, 4.0]","[2000, 1158, 707, 457, 337]",0.0032333333333333333,0.003966417663779996,20,0,478,478,370,370,54.7,19969,7.7,1966,3868803617,0.7271595357141946,0.07850000000000001,478,0.093,0.10751898114131767,0.9134396355353075,3.266514806378132,14.0,0.9303458856345885,23,33,0.06903765690376569,20.782608695652176,0.10691883318280147,7.843447024941821,6.07537645448323,439,1434.0,5.0,5.0,5.0,0.17915701654895905,0.017433751743375175,0.7927107061503417,2.2737367544323206e-13,439.7
A2-B0-C2-r39,375612,371828,5,6,malla,2000,4083,4.083,True,0,0.0029390154298310064,0.09548333333333334,0.0947973821643419,478,478,0,1970,1,-0.0818942811056607,0.5217142702443478,2.404163050934261,"[10.0, 9.0, 9.0, 5.0, 4.0]","[2000, 1152, 700, 466, 341]",0.0032333333333333333,0.003966417663779996,20,0,745,745,680,433,94.3,19969,7.7,1966,3868803617,0.7271595357141946,0.07850000000000001,478,0.2195,0.20377173646828312,0.6670673076923077,1.7235576923076923,7.0,0.830744769874477,30,64,0.13389121338912133,15.933333333333334,0.19995158926437573,6.815499999999998,6.157524970374133,832,1434.0,4.0,2.0,3.0,0.15985576923076922,0.019525801952580194,0.055288461538461536,0.0,439.7
A2-B0-C2-r39,375612,371828,5,6,solap,2000,4083,4.083,True,0,0.003428851334802841,0.0848,0.0947973821643419,478,478,0,1961,2,-0.08262077471370913,0.6665618539021216,3.5355338984327376,"[13.0, 10.0, 9.0, 5.0, 4.0]","[2000, 1157, 712, 442, 344]",0.0032333333333333333,0.003966417663779996,20,0,1053,1458,1203,394,63.9,19969,7.7,1966,3868803617,0.7271595357141946,0.07850000000000001,478,0.1345,0.13592946362968406,0.7945945945945946,2.5837837837837836,12.0,0.9112866108786611,35,24,0.0502092050209205,13.657142857142857,0.13515285537561916,8.663641943059021,5.9696428571428575,555,1434.0,5.0,4.0,5.0,0.23809164813348913,0.02092050209205021,0.5351351351351351,0.0,439.7
