umbral,n_alto,n_bajo,media_alto,media_bajo,dif_medias,auc,p_mannwhitney,cohen_d,r_pb,p_r_pb,t,p_welch
0.58,65,11,0.10311538461538461,0.08072727272727273,0.022388111888111878,0.8895104895104895,4.034143378802457e-05,1.3813597503774089,0.4418482056756476,6.447581703095523e-05,5.644329579254565,2.0244892948762348e-05
0.6,62,14,0.10390322580645159,0.0820357142857143,0.021867511520737293,0.8876728110599078,6.682652449256699e-06,1.3758959038653205,0.47551238478401997,1.4190938258425348e-05,5.948692082817982,2.1621375961418154e-06
0.62,60,16,0.10402499999999998,0.0843125,0.01971249999999998,0.8364583333333333,3.952021599729007e-05,1.2223537690965751,0.4507958703883323,4.378708645478446e-05,5.257661359786774,9.049700662310858e-06
0.64,55,21,0.10427272727272725,0.08835714285714286,0.015915584415584397,0.7432900432900433,0.0011170684752608829,0.9608328797893325,0.3992235834882611,0.0003536855432325101,4.2980031268577505,8.08663415376425e-05
0.66,52,24,0.10447115384615381,0.08991666666666666,0.014554487179487152,0.7071314102564102,0.003927161227276623,0.8707421900862344,0.37949565394981644,0.000722339525600348,3.993913786057664,0.000176623432070637
0.68,45,31,0.10616666666666662,0.09074193548387095,0.015424731182795665,0.7290322580645161,0.0007443126643263091,0.9432996693992948,0.42521376390527316,0.00012871648966446917,4.382697344222948,3.836346433008855e-05
0.7,41,35,0.10690243902439023,0.09164285714285715,0.015259581881533077,0.7198606271777004,0.001024620421900571,0.9338973493566461,0.4266494504461841,0.0001214313154886516,4.220091595296642,7.61568307767611e-05
0.72,38,38,0.1083815789473684,0.09136842105263158,0.017013157894736813,0.7590027700831025,0.00010387776762073757,1.0715541361641878,0.47716780677005727,1.3118001169697272e-05,4.670796192072717,1.809200331727544e-05
0.74,32,44,0.11046874999999998,0.09217045454545453,0.01829829545454545,0.7826704545454546,2.873966509840718e-05,1.1748676406310747,0.5067742845232703,2.9942501453254404e-06,4.688188701805422,2.3945778621623802e-05
0.76,26,50,0.11403846153846152,0.09251,0.021528461538461524,0.8261538461538461,3.513080875123195e-06,1.4538749267977742,0.5729111541645279,6.36773852691558e-08,5.126769617582372,1.1704542956947027e-05
0.78,16,60,0.12293749999999995,0.09372499999999999,0.02921249999999996,0.8973958333333333,1.1987134471100917e-06,2.1729587916651036,0.6680468922622267,4.3228094498992815e-11,5.72166012697263,2.0942003742270356e-05
0.8,14,62,0.1256428571428571,0.09405645161290321,0.0315864055299539,0.9210829493087558,9.968813590479679e-07,2.4055352124833522,0.6868512224658062,7.369322492264143e-12,5.942627950422515,2.576395405258336e-05
0.82,11,65,0.12922727272727266,0.0949076923076923,0.03431958041958036,0.9258741258741259,7.139573912132516e-06,2.5821197442532493,0.6773257657330541,1.8351769961352274e-11,5.6078699569553825,0.00014401896500546108
0.84,10,66,0.13284999999999994,0.09487878787878787,0.03797121212121207,0.9803030303030303,1.144904137677543e-06,3.02853612138143,0.7199942611460352,2.3069779748897946e-13,7.029533809781185,2.8199721658932667e-05
0.86,9,67,0.13411111111111104,0.09527611940298505,0.03883499170812599,0.9767827529021559,3.925435703400821e-06,3.026085646927054,0.7038570726159707,1.3222329880740672e-12,6.656008454981445,8.574250681641247e-05
0.88,8,68,0.13806249999999992,0.09538235294117646,0.04268014705882346,1.0,4.292319425541041e-06,3.4825020357393277,0.734730321561027,4.197670138279939e-14,8.89940013559671,1.326356814448149e-05
