par,estrato,d_sumideros_phantom,d_fofcomun_phantom,d_fofcomun_nbody,d_fofcomun_IC,coincide_ph_vs_nb,coincide_sumideros_vs_nb,coincide_IC_vs_sumideros
PAR_piloto_B_r1_r17,fuerte,0.034,0.17150000000000004,0.16049999999999998,0.14949999999999997,True,True,True
A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,fuerte,0.0325,0.0625,0.09350000000000008,0.05899999999999994,True,True,True
A2-B0-C2-batch3-r120_vs_A2-B0-C2-batch3-r111,fuerte,0.0295,0.04600000000000004,0.06900000000000006,0.038000000000000034,True,True,True
A2-B0-C2-batch3-r104_vs_A2-B0-C2-batch3-r60,fuerte,0.027,0.041000000000000036,0.050000000000000044,0.03850000000000009,True,True,True
PAR_v2_G_r12v1fix_r19,fuerte,0.025,0.22799999999999992,0.22500000000000003,0.22799999999999998,True,True,True
A2-B0-C2-batch3-r59_vs_A2-B0-C2-batch3-r58,empate,-0.001,0.0030000000000000027,-0.00649999999999995,0.0010000000000000009,False,True,False
A2-B0-C2-batch4-r39_vs_A2-B0-C2-batch4-r26,empate,0.001,-0.0045000000000000595,-0.0025000000000000577,-0.01749999999999996,True,False,False
PAR_piloto_C_r6_r14,empate,-0.0015,0.015499999999999958,-0.02100000000000002,0.0004999999999999449,False,True,False
A2-B0-C2-batch4-r38_vs_A2-B0-C2-batch4-r72,empate,0.002,-0.031000000000000028,-0.040999999999999925,-0.02100000000000002,True,False,False
PAR_v2_H_r9_r39,empate,-0.002,-0.034999999999999976,-0.05349999999999999,-0.045500000000000096,True,True,True
