cfg_id,familia,ndim,L,seed,n_pasos,K,J,noise,vecindad,F,kmata,Du,Dv,dt,siembra,k_pico_real,prominencia_pico_real,nitidez_pico_real,entropia_espectral_real,exponente_ley_potencias_real,anisotropia_real,aniso_maxmin_real,ang_pico_real,boxdim_occ5_real,boxdim_occ10_real,boxdim_occ25_real,boxdim_occ50_real,entropia_bloques_real,masa_radio_alfa_real,xi_real,xi_saturada_real,std_valores_real,k_pico_null,prominencia_pico_null,nitidez_pico_null,entropia_espectral_null,exponente_ley_potencias_null,anisotropia_null,aniso_maxmin_null,ang_pico_null,boxdim_occ5_null,boxdim_occ10_null,boxdim_occ25_null,boxdim_occ50_null,entropia_bloques_null,masa_radio_alfa_null,xi_null,xi_saturada_null,std_valores_null,qc_real,qc_null,auc_gigante_real,auc_gigante_null,max_dif_gigante,q_max_dif,entropia_traj,entropia_inicio,entropia_final,entropia_delta
F3D00,FASE,3,48,1472,250,6,0.8,0.05,6,,,,,,,1.0,214.06882493425834,1.0,0.3518567936477116,-1.7655110779146692,nan,nan,nan,1.9599350151582853,2.2351334451150584,2.570646404095656,2.7960323782608376,0.9740668962562541,2.903518167451587,1.0,False,0.06106669403259443,1.0,1.195072764570151,23.0,0.9994471481456219,0.015216668153486539,nan,nan,nan,1.978385937715828,2.2546543018861556,2.585024472722069,2.799561013993562,0.9982241180836988,2.9765408607028556,1.0,False,0.06106669403259444,0.3,0.35,0.6505279665739656,0.5989126588146167,0.5734824281150159,0.3,"{""5"": 0.83646, ""25"": 0.78191, ""62"": 0.91682, ""125"": 0.95771, ""250"": 0.97407}",0.83646,0.97407,0.1376
F3D00,FASE,3,48,2472,250,6,0.8,0.05,6,,,,,,,1.0,242.78469225121754,1.0,0.3233962610517231,-1.7081986609275692,nan,nan,nan,1.959121429921587,2.233363244941712,2.570812591128622,2.79641803989595,0.9741570049894697,2.9249375182919617,1.0,False,0.06082111048047193,3.0,1.3754813460484974,7.666666666666667,0.998758052188216,-0.12918861299402967,nan,nan,nan,1.978850773809362,2.2546908860131647,2.5841884619887567,2.799487719618241,0.9983033286567273,2.9808970893279354,1.0,False,0.06082111048047193,0.3,0.35,0.6583156965523713,0.5993134114495396,0.554554222677678,0.3,"{""5"": 0.83375, ""25"": 0.76835, ""62"": 0.89113, ""125"": 0.9489, ""250"": 0.97416}",0.83375,0.97416,0.14041
F3D00,FASE,3,48,3472,250,6,0.8,0.05,6,,,,,,,1.0,301.4883551369622,1.0,0.30691596042829206,-1.9255365765361627,nan,nan,nan,1.9583389011071077,2.2304070625863996,2.5679480099505456,2.794988073719912,0.9679641221030683,2.9210973879825417,1.0,False,0.061920710199479354,1.0,1.341776000088881,23.0,0.9989271365330851,0.09237179752555233,nan,nan,nan,1.9789744775717897,2.2551656373726443,2.5851402031182085,2.7994458203936428,0.9983888196698306,2.9836481828600547,1.0,False,0.061920710199479354,0.3,0.35,0.6661666476769805,0.5996365146740968,0.6126650189884864,0.3,"{""5"": 0.82702, ""25"": 0.75514, ""62"": 0.88385, ""125"": 0.94058, ""250"": 0.96796}",0.82702,0.96796,0.14095
F3D01,FASE,3,48,1861,250,6,0.5,0.2,6,,,,,,,1.0,36.65974409133425,2.0,0.6588786840629488,-1.8440730944690917,nan,nan,nan,1.9562552913751081,2.2298432549988036,2.5686111398376856,2.7956779471400885,0.9668717842940817,2.869647339927951,1.0,False,0.25423393917357406,4.0,1.0609545038686743,5.75,0.9995514543068285,-0.03243798440326099,nan,nan,nan,1.977670267404477,2.2547457448150507,2.5848970619679332,2.7994772459528345,0.9981797719254374,2.97061507580941,1.0,False,0.254233939173574,0.25,0.35,0.6718976127190653,0.599739533842763,0.6761709566580264,0.3,"{""5"": 0.93675, ""25"": 0.96684, ""62"": 0.97061, ""125"": 0.97042, ""250"": 0.96687}",0.93675,0.96687,0.03012
F3D01,FASE,3,48,2861,250,6,0.5,0.2,6,,,,,,,1.0,56.35133324436089,1.0,0.6203068874491282,-1.7981012002465155,nan,nan,nan,1.9570131816948944,2.231528110398823,2.567386522281957,2.7954734850480802,0.9671036989658569,2.8874164268416136,1.0,False,0.2539092499379453,6.0,1.151116034346127,3.8333333333333335,0.9993101142384061,0.06579558090052567,nan,nan,nan,1.9780752128399746,2.254361294414859,2.58447929284177,2.7994143879876736,0.9983931415386527,2.9659411903081225,1.0,False,0.2539092499379453,0.3,0.35,0.6705180285055757,0.6007201577214704,0.606335523539695,0.3,"{""5"": 0.93761, ""25"": 0.9677, ""62"": 0.97, ""125"": 0.96896, ""250"": 0.9671}",0.93761,0.9671,0.0295
F3D01,FASE,3,48,3861,250,6,0.5,0.2,6,,,,,,,1.0,24.854643444451813,2.0,0.7141027587093851,-1.7733515145998968,nan,nan,nan,1.9570491725904517,2.229908422283246,2.5688444598412428,2.7958499012773568,0.969476722553303,2.8569959069300035,1.0,False,0.2560326682425153,3.0,1.2522217160434848,7.666666666666667,0.9993501000928965,-0.017587492186007296,nan,nan,nan,1.9776702674044782,2.2541411476212425,2.5846883286244244,2.7994981925233384,0.9984060038354463,2.9714118372412317,1.0,False,0.2560326682425153,0.3,0.35,0.6701032094032672,0.6008251780097044,0.7089034902646333,0.3,"{""5"": 0.93856, ""25"": 0.96675, ""62"": 0.96937, ""125"": 0.9698, ""250"": 0.96948}",0.93856,0.96948,0.03092
F3D02,FASE,3,48,1482,250,6,0.3,0.35,6,,,,,,,2.0,11.925761710865421,2.0,0.8164590123593803,-1.3920405256563826,nan,nan,nan,1.9586951222858373,2.2338923642324198,2.570351911107305,2.7961824803148994,0.9710900210661183,2.8136243411965545,1.0,False,0.43454388358570634,3.0,1.242051218159641,7.666666666666667,0.9987065559231336,0.11242002371600585,nan,nan,nan,1.9783548953264456,2.254690886013165,2.5845257714195196,2.7993410190639656,0.9982295130673732,2.941054168198036,1.0,False,0.43454388358570634,0.3,0.35,0.6648061473759602,0.5995165903511519,0.7010669720899391,0.3,"{""5"": 0.99264, ""25"": 0.97672, ""62"": 0.97357, ""125"": 0.97141, ""250"": 0.97109}",0.99264,0.97109,-0.02155
F3D02,FASE,3,48,2482,250,6,0.3,0.35,6,,,,,,,1.0,16.63260127437101,3.0,0.7720001392689266,-1.439675797521456,nan,nan,nan,1.9592632529893752,2.2337444063367142,2.569992584634906,2.7963645373905766,0.9713519862141803,2.9279561273905617,1.0,False,0.43294193723263585,4.0,1.1193682372621652,5.75,0.999529550117003,0.011585596054881443,nan,nan,nan,1.9768569506133675,2.253349518164076,2.5849202359305714,2.799466771527006,0.9983971691305826,2.9979313347433663,1.0,False,0.43294193723263596,0.3,0.35,0.663845744706764,0.600564065519531,0.6638133703056243,0.3,"{""5"": 0.9931, ""25"": 0.97609, ""62"": 0.97418, ""125"": 0.97222, ""250"": 0.97135}",0.9931,0.97135,-0.02175
F3D02,FASE,3,48,3482,250,6,0.3,0.35,6,,,,,,,1.0,13.900073881006119,3.0,0.8029197301128986,-1.3428616987884783,nan,nan,nan,1.9600407975196823,2.2328534581777455,2.5699411791456432,2.7963752394790844,0.9707306953098772,2.7948083185446304,1.0,False,0.4331900583882034,8.0,1.0849213130722304,2.875,0.9973405170819839,0.026660657992097613,nan,nan,nan,1.9795914103232752,2.2539941962420085,2.584514153178798,2.7993934292451224,0.9984049047715229,2.9742788814653593,1.0,False,0.43319005838820346,0.3,0.35,0.6691660509621316,0.5997610042148773,0.7095967207185484,0.3,"{""5"": 0.9931, ""25"": 0.97744, ""62"": 0.97271, ""125"": 0.97239, ""250"": 0.97073}",0.9931,0.97073,-0.02237
R3D01,RD,3,48,1555,4000,,,0.0,6,0.03,0.062,0.16,0.08,1.0,0.3,24.0,nan,0.041666666666666664,2.269026300718578e-94,-1.0843050676771102e-13,nan,nan,nan,nan,nan,nan,2.8000000000000003,-0.0,2.954359769256143,1.0,False,0.13269230769230766,2.0,1.1718702034412565,11.5,0.9985744292737377,-0.024657218864743324,nan,nan,nan,nan,nan,nan,2.7993410190639656,0.9981589404245196,3.00529350851823,1.0,False,0.13269230769230766,nan,0.5,8.59013310185185e-06,0.461599392361111,-0.9717701099537037,0.5,"{""80"": 0.33738, ""400"": 0.24681, ""1000"": -0.0, ""2000"": -0.0, ""4000"": -0.0}",0.33738,-0.0,-0.33738
