carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,brazo,brazo_origen,diluido,lote,n_aristas_brazo,grado_medio,clustering_local,transitividad,pendiente_corregida,cupo_cv,rho_cupo_grado,n_quitadas_al_azar
A2-B0-C2-batch3-r9_f706_permutado,A2-B0-C2-batch3-r9,,472702,7,0.343,0.205,6.02,6,3519,,2000,cosmog_00500,17023.4,1776.6000000000006,18800.000000000004,0.09450000000000001,8,0.037,1776.6,0.5172413793103448,0.5200892857142857,0,permutado,permutado,False,471828,3519,3.519,0.008875,0.005656665027053615,0.7316897158262821,0.40140109235221255,-0.0036661084186674978,0
A2-B0-C2-batch4-r18_f706_alin_dil,A2-B0-C2-batch4-r18,,573575,5,0.364,0.321,6.05,6,2717,,2000,cosmog_00500,16393.600000000002,2406.4,18800.000000000004,0.12799999999999997,8,0.032,2406.3999999999996,0.9004329004329,0.8999999999999995,0,alin_dil,alineado,True,571828,2717,2.717,0.0,0.0,0.8373050382369214,0.41723245790458924,0.9999989822040939,2763
A2-B0-C2-batch4-r18_f706_alineado,A2-B0-C2-batch4-r18,,573575,5,0.364,0.321,6.05,6,5480,,2000,cosmog_00500,17794.2,1005.8000000000002,18800.0,0.05350000000000001,8,0.075,1005.8,0.41772151898734156,0.42172619047618964,0,alineado,alineado,False,571828,5480,5.48,0.0017635531135531135,0.0010760401721664275,0.42738050165704483,0.41723245790458924,0.9999989822040939,0
A2-B0-C2-batch4-r18_f706_anti,A2-B0-C2-batch4-r18,,573575,5,0.364,0.321,6.05,6,2717,,2000,cosmog_00500,16459.4,2340.6000000000004,18800.0,0.12450000000000001,8,0.028,2340.6000000000004,0.8935185185185178,0.9017361111111106,0,anti,anti,False,571828,2717,2.717,0.004933333333333334,0.004047976011994003,0.90774563741719,0.41723245790458924,-0.983532481463062,0
A2-B0-C2-batch4-r18_f706_perm_dil,A2-B0-C2-batch4-r18,,573575,5,0.364,0.321,6.05,6,2717,,2000,cosmog_00500,16346.6,2453.4,18800.0,0.1305,8,0.031,2453.4,1.0285714285714285,1.0347222222222219,0,perm_dil,permutado,True,571828,2717,2.717,0.005001190476190476,0.0032926327342570998,0.7618038710660378,0.4172324579045891,-0.03756383813461247,720
A2-B0-C2-batch4-r18_f706_permutado,A2-B0-C2-batch4-r18,,573575,5,0.364,0.321,6.05,6,3437,,2000,cosmog_00500,16985.8,1814.2000000000007,18800.0,0.09650000000000004,8,0.037,1814.1999999999998,0.5322580645161291,0.5367063492063492,0,permutado,permutado,False,571828,3437,3.437,0.00771547619047619,0.0041254834550923936,0.7814888828378025,0.4172324579045891,-0.03756383813461247,0
A2-B0-C2-batch4-r43_f706_alin_dil,A2-B0-C2-batch4-r43,,576000,7,0.422,0.258,4.53,5,1906,,2000,cosmog_00500,15895.400000000001,2904.599999999999,18800.0,0.15449999999999994,8,0.02,2904.6,1.3215859030837005,1.3351404671717169,0,alin_dil,alineado,True,571828,1906,1.906,0.0002833333333333333,0.0007874015748031496,1.2038643844650736,0.4978792789082837,0.9999643993937578,2329
A2-B0-C2-batch4-r43_f706_alineado,A2-B0-C2-batch4-r43,,576000,7,0.422,0.258,4.53,5,4235,,2000,cosmog_00500,17399.4,1400.6000000000004,18800.0,0.07450000000000002,8,0.051,1400.6000000000001,0.36956521739130443,0.3779761904761906,0,alineado,alineado,False,571828,4235,4.235,0.001131013431013431,0.001681708615953809,0.5847280864923076,0.4978792789082837,0.9999643993937578,0
A2-B0-C2-batch4-r43_f706_anti,A2-B0-C2-batch4-r43,,576000,7,0.422,0.258,4.53,5,1906,,2000,cosmog_00500,15914.2,2885.799999999999,18800.0,0.15349999999999994,8,0.02,2885.8,1.465753424657534,1.4774305555555554,0,anti,anti,False,571828,1906,1.906,0.005,0.004961958319550115,1.15361224368173,0.4978792789082837,-0.981542430920081,0
A2-B0-C2-batch4-r43_f706_perm_dil,A2-B0-C2-batch4-r43,,576000,7,0.422,0.258,4.53,5,1906,,2000,cosmog_00500,15933.0,2866.999999999999,18800.0,0.15249999999999994,8,0.028,2866.9999999999995,1.282051282051282,1.3098484848484846,0,perm_dil,permutado,True,571828,1906,1.906,0.0010833333333333333,0.0016863406408094434,1.2176659001570926,0.4978792789082837,0.01038162920086988,722
A2-B0-C2-batch4-r43_f706_permutado,A2-B0-C2-batch4-r43,,576000,7,0.422,0.258,4.53,5,2628,,2000,cosmog_00500,16403.0,2397.0,18800.0,0.1275,8,0.035,2397.0,0.9705882352941175,0.9732638888888887,0,permutado,permutado,False,571828,2628,2.628,0.004183333333333333,0.0031088082901554403,0.9140538413108851,0.4978792789082837,0.01038162920086988,0
A2-B0-C2-batch4-r51_f706_alin_dil,A2-B0-C2-batch4-r51,,576776,8,0.449,0.196,5.29,4,1848,,2000,cosmog_00500,15801.400000000001,2998.5999999999985,18800.0,0.15949999999999992,8,0.026,2998.6,1.384615384615384,1.3943602693602686,0,alin_dil,alineado,True,571828,1848,1.848,0.004473809523809523,0.006734006734006734,1.2972354842523235,0.4158062398200958,0.9891246829869885,1253
A2-B0-C2-batch4-r51_f706_alineado,A2-B0-C2-batch4-r51,,576776,8,0.449,0.196,5.29,4,3101,,2000,cosmog_00500,16544.0,2256.0000000000005,18800.0,0.12000000000000002,8,0.032,2256.0,0.8142857142857141,0.8145833333333332,0,alineado,alineado,False,571828,3101,3.101,0.0070734126984126995,0.005087789305666401,0.8068187202661815,0.4158062398200958,0.9891246829869885,0
A2-B0-C2-batch4-r51_f706_anti,A2-B0-C2-batch4-r51,,576776,8,0.449,0.196,5.29,4,1848,,2000,cosmog_00500,15857.800000000001,2942.199999999999,18800.0,0.15649999999999994,9,0.035,2942.2000000000003,1.3376623376623376,1.351388888888889,1,anti,anti,False,571828,1848,1.848,0.012083333333333331,0.012133468149646108,1.4142646100381469,0.4158062398200958,-0.9640426911189194,0
A2-B0-C2-batch4-r51_f706_perm_dil,A2-B0-C2-batch4-r51,,576776,8,0.449,0.196,5.29,4,1848,,2000,cosmog_00500,15839.0,2960.999999999999,18800.0,0.15749999999999995,8,0.029,2961.0,1.4736842105263155,1.4722222222222219,0,perm_dil,permutado,True,571828,1848,1.848,0.007966666666666667,0.008976660682226212,1.2428174424567775,0.4158062398200958,0.001657476375939289,511
A2-B0-C2-batch4-r51_f706_permutado,A2-B0-C2-batch4-r51,,576776,8,0.449,0.196,5.29,4,2359,,2000,cosmog_00500,16074.0,2725.999999999999,18800.0,0.14499999999999996,8,0.03,2726.0,1.2453703703703698,1.2520833333333328,0,permutado,permutado,False,571828,2359,2.359,0.011523809523809523,0.009387078961899503,1.0987568051426821,0.4158062398200958,0.001657476375939289,0
A2-B0-C2-r14_f706_alin_dil,A2-B0-C2-r14,,273187,8,0.567,0.198,5.76,5,2161,,2000,cosmog_00500,15914.2,2885.7999999999993,18800.0,0.15349999999999997,8,0.034,2885.8000000000006,1.2927927927927918,1.288773148148147,0,alin_dil,alineado,True,271828,2161,2.161,0.0013095238095238095,0.002390438247011952,1.052261188836643,0.4412167772265046,0.9938864299250392,1927
A2-B0-C2-r14_f706_alineado,A2-B0-C2-r14,,273187,8,0.567,0.198,5.76,5,4088,,2000,cosmog_00500,17108.0,1692.0000000000007,18800.0,0.09000000000000004,8,0.038,1691.9999999999998,0.44262295081967207,0.4404761904761905,0,alineado,alineado,False,271828,4088,4.088,0.003915512265512265,0.0034119988626670457,0.5652439313592793,0.4412167772265046,0.9938864299250392,0
A2-B0-C2-r14_f706_anti,A2-B0-C2-r14,,273187,8,0.567,0.198,5.76,5,2161,,2000,cosmog_00500,16008.2,2791.7999999999993,18800.0,0.14849999999999997,8,0.027,2791.7999999999993,1.32,1.3222853535353534,0,anti,anti,False,271828,2161,2.161,0.015483333333333335,0.013071895424836602,1.1461044888843657,0.4412167772265046,-0.9784987443226699,0
A2-B0-C2-r14_f706_perm_dil,A2-B0-C2-r14,,273187,8,0.567,0.198,5.76,5,2161,,2000,cosmog_00500,15961.2,2838.7999999999993,18800.0,0.15099999999999997,8,0.028,2838.7999999999997,1.273504273504273,1.2826599326599322,0,perm_dil,permutado,True,271828,2161,2.161,0.0074142857142857135,0.007116670260944576,1.0254928059436847,0.4412167772265046,-0.012088463426829356,683
A2-B0-C2-r14_f706_permutado,A2-B0-C2-r14,,273187,8,0.567,0.198,5.76,5,2844,,2000,cosmog_00500,16487.600000000002,2312.4000000000005,18800.000000000004,0.12300000000000001,8,0.033,2312.4,0.8823529411764707,0.8722222222222225,0,permutado,permutado,False,271828,2844,2.844,0.011794047619047619,0.00856398163087998,1.032569513813001,0.4412167772265046,-0.012088463426829356,0
A2-B0-C2-r19_f706_alin_dil,A2-B0-C2-r19,,273672,5,0.341,0.326,4.02,7,2237,,2000,cosmog_00500,16008.2,2791.7999999999993,18800.0,0.14849999999999997,8,0.033,2791.8,1.2077922077922079,1.218213383838384,0,alin_dil,alineado,True,271828,2237,2.237,0.0,0.0,1.0522156530727316,0.5023951467213184,1.0,1620
