rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio
A2-B0-C2-r0,I,371829,5,0.562,0.195,4.95,5,0.335,0.6406294831032585,1.055583371705874,4.141557905033317
A2-B0-C2-r1,III,371926,6,0.482,0.213,7.71,4,0.3,1.367982416489653,0.7828483362628423,2.2548169434099576
A2-B0-C2-r2,I,372023,5,0.517,0.323,5.74,6,0.281,0.5395267020843031,0.14142135593730937,1.8338645608752409
A2-B0-C2-r3,III,372120,6,0.661,0.238,6.24,5,0.257,0.8716450240633112,1.2761461223408788,1.4692108310479608
A2-B0-C2-r4,I,372217,8,0.636,0.123,5.45,6,0.179,0.5356282559053122,0.5656854237492382,4.983216012836148
A2-B0-C2-r5,I,372314,7,0.49,0.238,4.04,7,0.281,0.6384959578648743,0.2449489739783178,1.633262027409741
A2-B0-C2-r6,II,372411,8,0.601,0.179,7.46,7,0.296,0.3733201254483976,0.8485281356238566,2.6345160851894063
A2-B0-C2-r7,I,372508,8,0.538,0.116,7.06,6,0.158,0.563695465358207,0.5656854240492383,3.472186455635176
A2-B0-C2-r8,III,372605,6,0.628,0.324,6.35,5,0.197,0.8409884204370881,0.8794712397857165,1.783676035029837
A2-B0-C2-r9,I,372702,5,0.548,0.142,5.59,6,0.29,0.584004179281483,0.5656854240492379,3.2181475999093556
A2-B0-C2-r10,III,372799,8,0.731,0.328,6.15,4,0.189,1.0857820975252357,0.7225783317674777,2.3586039268577457
A2-B0-C2-r11,III,372896,7,0.413,0.246,6.13,5,0.244,0.7460077853714272,0.9899494915611664,1.5025534240825806
A2-B0-C2-r12,I,372993,6,0.425,0.148,7.18,6,0.199,0.5795357212376513,0.42426406781192816,1.5842806535414165
A2-B0-C2-r13,I,373090,6,0.461,0.317,5.28,7,0.272,0.5390696970712208,0.989949491561166,1.1462216678613746
A2-B0-C2-r14,I,373187,4,0.478,0.201,7.72,7,0.329,0.4674448029502977,0.7778174577302025,2.4770534866763176
A2-B0-C2-r15,III,373284,6,0.412,0.326,6.15,5,0.268,0.786308962149017,0.7071067796865472,1.8227581036280687
A2-B0-C2-r16,III,373381,5,0.447,0.219,4.89,4,0.308,0.8871675421201632,0.7148425561020131,3.78780693509227
A2-B0-C2-r17,I,373478,5,0.79,0.243,6.14,6,0.218,0.519109953359425,0.5656854237492379,3.140978765455817
A2-B0-C2-r18,II,373575,8,0.707,0.303,6.77,7,0.186,0.4148901443251834,0.5656854237492382,2.1452293675939793
A2-B0-C2-r19,III,373672,6,0.361,0.115,6.55,5,0.295,0.7148902094039754,0.9899494920111664,2.2284364344910905
A2-B0-C2-r20,III,373769,5,0.302,0.292,4.7,6,0.166,0.7745872074489137,0.3863703299156276,1.940631596626358
A2-B0-C2-r21,I,373866,7,0.794,0.315,7.78,6,0.274,0.6364177880538278,0.10690449667925536,1.8645606599098614
A2-B0-C2-r22,I,373963,8,0.748,0.242,7.44,6,0.336,0.572776990823049,0.6313193040439452,2.6749241626890568
A2-B0-C2-r23,III,374060,5,0.312,0.171,7.93,4,0.294,1.1377904095105915,2.5946580413308786,2.570782908995553
A2-B0-C2-r24,III,374157,8,0.534,0.328,7.11,5,0.276,0.8300815667255897,1.1313708474984758,1.795436416675269
A2-B0-C2-r25,I,374254,8,0.445,0.342,4.47,6,0.348,0.5721382213633024,1.395266690499944,1.836850687201149
A2-B0-C2-r26,III,374351,4,0.471,0.343,6.39,5,0.349,0.7613155370004009,0.3863703299156272,1.3688419543757595
A2-B0-C2-r27,III,374448,8,0.692,0.344,5.26,4,0.257,0.9576053779064811,0.9865496531897655,2.7936231158838636
A2-B0-C2-r28,III,374545,6,0.47,0.23,7.76,6,0.216,0.7055880853285693,0.42426406811192885,1.6371449085202088
A2-B0-C2-r29,II,374642,5,0.391,0.17,6.61,7,0.261,0.44719855118235147,0.848528135623857,2.1696216341181023
A2-B0-C2-r30,I,374739,8,0.699,0.124,7.69,6,0.313,0.6726450383749847,0.2449489739783178,5.246710038901559
A2-B0-C2-r31,III,374836,4,0.662,0.187,5.32,5,0.192,0.7086371351187031,2.4041630509342617,3.4634438913130454
A2-B0-C2-r32,III,374933,6,0.356,0.304,7.4,5,0.254,0.8734946091751468,1.0434017405007943,1.83437144310668
A2-B0-C2-r33,III,375030,7,0.339,0.304,7.24,5,0.301,0.8961652696536239,1.1481718888376649,1.1775816904281835
A2-B0-C2-r34,I,375127,5,0.618,0.178,5.61,6,0.296,0.5127744610260139,0.5656854238992377,2.7096593192518528
A2-B0-C2-r35,I,375224,6,0.56,0.332,5.3,6,0.216,0.5710631942154135,0.5656854240492379,2.349076627455966
A2-B0-C2-r36,III,375321,8,0.605,0.306,6.89,5,0.154,0.7485671074712171,0.14142135593730937,2.198147758715286
A2-B0-C2-r37,III,375418,7,0.358,0.325,5.44,4,0.187,1.0079433801247755,3.5355338994827377,1.7573935957974445
A2-B0-C2-r38,III,375515,6,0.329,0.283,7.22,4,0.179,1.2040725853096548,0.4966517052331299,1.5683557300532815
A2-B0-C2-r39,III,375612,5,0.526,0.152,5.7,6,0.217,0.7271595357141946,3.1112698306208095,3.4424599537648084
