kcap,M_objetivo,n,M_real,grado_medio,meandeg_ER,clustering,pendiente,frac_masa,frac_masa_ee,kappa_v,n_sinks,t_1er_sink
6,3800,6,3801.0,3.801,4.614999999999999,0.0015956666666666669,0.5831413923855601,0.08516666666666667,0.0008724168218868246,0.44029662745758436,8.0,0.04083333333333333
6,4000,6,3999.3333333333335,3.999333333333334,5.8566666666666665,0.003835166666666667,0.5507684010518463,0.07833333333333332,0.0006666666666666674,0.3992895075360117,8.0,0.041666666666666664
6,4200,6,4198.833333333333,4.198833333333334,6.371666666666666,0.004802333333333333,0.543486167376897,0.07441666666666667,0.0009867173410410466,0.40359172510611785,8.0,0.04566666666666667
7,3800,6,3812.0,3.812,4.138333333333334,0.00126,0.6395927027058123,0.08683333333333333,0.0013207741837439283,0.42667955713932715,8.0,0.042833333333333334
7,4000,6,4013.1666666666665,4.013166666666667,4.383333333333334,0.001016,0.5741365956595582,0.07808333333333334,0.000810521094385856,0.41078903772142983,8.0,0.04133333333333333
7,4200,6,4181.833333333333,4.1818333333333335,4.648333333333333,0.0015993333333333335,0.5793891860596249,0.0745,0.0008850612031567845,0.40004035975590546,8.0,0.04616666666666667
