rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,brazo,clase_final
A2-B0-C2-r0,2000,1,0.06,20.0,0.8455,0.7987973728213689,2347,87,18.666666666666668,0.4714045217910317,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,1294,2,0.13,15.0,0.7828438948995363,0.7987973728213689,1617,87,13.0,1.6329931628554522,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,885,4,0.18,9.0,0.6892655367231638,0.7987973728213689,1204,87,9.333333333333334,1.2472191299246471,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,685,8,0.21,9.0,0.5985401459854015,0.7987973728213689,996,87,7.0,1e-09,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,550,16,0.24,5.0,0.5,0.7987973728213689,823,87,5.0,1e-09,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,2000,1,0.03,15.0,0.9925,0.7628882886409383,3228,9,13.333333333333334,0.4714045217910317,2.638807424339509,C2-budget-original,III
A2-B0-C2-r0,1144,2,0.09,11.0,0.9868881118881119,0.7628882886409383,2369,9,10.0,1e-09,2.638807424339509,C2-budget-original,III
A2-B0-C2-r0,673,4,0.15,7.0,0.9777117384843982,0.7628882886409383,1886,9,6.666666666666667,0.4714045217910317,2.638807424339509,C2-budget-original,III
A2-B0-C2-r0,428,8,0.19,5.0,0.9649532710280374,0.7628882886409383,1601,9,5.333333333333333,0.4714045217910317,2.638807424339509,C2-budget-original,III
A2-B0-C2-r0,301,16,0.22,4.0,0.9501661129568106,0.7628882886409383,1399,9,4.333333333333333,0.4714045217910317,2.638807424339509,C2-budget-original,III
A2-B0-C2-r0,2000,1,0.04,23.0,0.9875,0.7398633251060235,2624,15,18.0,2.160246900469287,1.561494913376641,C2-budget-soporte,III
A2-B0-C2-r0,1151,2,0.12,16.0,0.9800173761946134,0.7398633251060235,1771,15,12.333333333333334,0.9428090425820633,1.561494913376641,C2-budget-soporte,III
A2-B0-C2-r0,686,4,0.18,11.0,0.9664723032069971,0.7398633251060235,1299,15,8.333333333333334,0.4714045217910317,1.561494913376641,C2-budget-soporte,III
A2-B0-C2-r0,430,8,0.22,6.0,0.9465116279069767,0.7398633251060235,1023,15,6.333333333333333,0.4714045217910317,1.561494913376641,C2-budget-soporte,III
A2-B0-C2-r0,286,16,0.26,5.0,0.9195804195804196,0.7398633251060235,847,15,4.666666666666667,0.4714045217910317,1.561494913376641,C2-budget-soporte,III
A2-B0-C2-r0,2000,1,0.02,17.0,0.9745,0.6550823941523047,2743,3,17.0,1.4142135633730952,1.1153236137798732,C2-random,I
A2-B0-C2-r0,1173,2,0.07,11.0,0.9607843137254902,0.6550823941523047,1914,3,12.0,1.4142135633730952,1.1153236137798732,C2-random,I
A2-B0-C2-r0,721,4,0.12,8.0,0.9389736477115118,0.6550823941523047,1461,3,7.666666666666667,0.9428090425820633,1.1153236137798732,C2-random,I
A2-B0-C2-r0,490,8,0.16,6.0,0.9102040816326531,0.6550823941523047,1214,3,6.333333333333333,1.2472191299246471,1.1153236137798732,C2-random,I
A2-B0-C2-r0,332,16,0.2,5.0,0.8674698795180723,0.6550823941523047,1032,3,4.666666666666667,0.4714045217910317,1.1153236137798732,C2-random,I
A2-B0-C2-r0,2000,1,0.03,7.0,0.9995,1.510436456559732,6830,171,6.333333333333333,0.4714045217910317,1.672291175944438,C0,I
A2-B0-C2-r0,1098,2,0.11,5.0,0.9990892531876139,1.510436456559732,5905,171,5.666666666666667,0.4714045217910317,1.672291175944438,C0,I
A2-B0-C2-r0,639,4,0.18,5.0,0.9984350547730829,1.510436456559732,5364,171,4.333333333333333,0.4714045217910317,1.672291175944438,C0,I
A2-B0-C2-r0,404,8,0.23,3.0,0.9975247524752475,1.510436456559732,4888,171,4.0,1e-09,1.672291175944438,C0,I
