rule_id,clase,par,N,n_aristas,variante,t_s,t_original_s,aceleracion,rms,max_abs,fof_b0.20,d_fof_b0.20,fof_b0.30,d_fof_b0.30,fof_b0.50,d_fof_b0.50,dens_k8_cv,d_dens_k8_cv,ngrupos_b0.20,d_ngrupos_b0.20,ngrupos_b0.30,d_ngrupos_b0.30,ngrupos_b0.50,d_ngrupos_b0.50
A2-B0-C2-batch3-r76,I,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,2000,3332,bh_theta1.0,21.97,186.22,8.48,1.5317824434670297,12.524353787641317,0.6209999999999993,0.015499999999999958,0.6810000000000022,0.010000000000000342,0.6964999999999828,0.015999999999999348,4.245366118430929,0.04828571424983252,59,-10,10,-6,2,0
A2-B0-C2-batch4-r13,I,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,2000,4061,control_redondeo,190.69,186.41,0.98,0.3158986737529652,3.7709757039872187,0.4204999999999997,0.03199999999999992,0.5414999999999994,0.007499999999999951,0.5659999999999972,0.0005000000000074944,4.617281447048978,-0.026789578209939435,68,3,46,6,4,1
A2-B0-C2-batch4-r13,I,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,2000,4061,bh_theta0.3,120.99,186.41,1.54,1.125721159804994,12.309605732513596,0.4299999999999997,0.041499999999999926,0.5379999999999993,0.0039999999999997815,0.5694999999999905,0.004000000000000781,4.634086740426745,-0.009984284832172285,74,9,40,0,4,1
A2-B0-C2-batch4-r13,I,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,2000,4061,bh_theta0.5,71.08,186.41,2.62,1.020227546429866,10.660478080692027,0.40249999999999964,0.013999999999999846,0.5435,0.009500000000000508,0.577999999999988,0.01249999999999829,4.783365184262072,0.13929415900315512,61,-4,31,-9,5,2
A2-B0-C2-batch4-r13,I,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,2000,4061,bh_theta0.7,36.03,186.41,5.17,1.2923048876118322,9.17794397269001,0.41249999999999976,0.023999999999999966,0.5549999999999996,0.02100000000000013,0.5809999999999875,0.015499999999997849,4.884500945076445,0.2404299198175277,64,-1,44,4,3,0
A2-B0-C2-batch4-r13,I,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,2000,4061,bh_theta1.0,20.14,186.41,9.26,1.3509271618212222,12.59381831653536,0.4294999999999997,0.040999999999999925,0.5549999999999993,0.020999999999999797,0.5794999999999874,0.013999999999997681,4.759121842282383,0.11505081702346587,71,6,33,-7,2,-1
A2-B0-C2-batch4-r18,I,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,2000,3986,control_redondeo,189.68,185.81,0.98,0.26537170194637777,2.1936154396353844,0.39949999999999974,-0.008500000000000008,0.5404999999999995,-0.000500000000000056,0.5694999999999882,0.001000000000000445,4.730011092810625,0.15857018722264105,70,-1,38,1,2,1
A2-B0-C2-batch4-r18,I,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,2000,3986,bh_theta0.3,120.63,185.81,1.54,1.3487321633068212,12.589349674543737,0.4244999999999997,0.01649999999999996,0.5534999999999993,0.012499999999999734,0.5774999999999877,0.008999999999999897,4.547325014200172,-0.024115891387811672,71,0,42,5,4,3
A2-B0-C2-batch4-r18,I,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,2000,3986,bh_theta0.5,71.9,185.81,2.58,1.4483106120371618,11.479804607636014,0.44799999999999973,0.03999999999999998,0.5499999999999995,0.008999999999999897,0.5889999999999916,0.02050000000000385,4.432818238190399,-0.138622667397585,73,2,39,2,8,7
A2-B0-C2-batch4-r18,I,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,2000,3986,bh_theta0.7,36.58,185.81,5.08,1.4876678290031067,12.329836833785972,0.4214999999999997,0.013499999999999956,0.5519999999999993,0.010999999999999677,0.5949999999999872,0.026499999999999413,4.533832698271055,-0.03760820731692949,70,-1,38,1,5,4
A2-B0-C2-batch4-r18,I,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,2000,3986,bh_theta1.0,20.55,185.81,9.04,1.6995005471178408,11.35183831013182,0.44749999999999984,0.03950000000000009,0.5484999999999998,0.007500000000000173,0.5909999999999901,0.022500000000002296,4.486588429469538,-0.08485247611844571,80,9,31,-6,5,4
A2-B0-C2-batch4-r19,III,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,2000,3498,control_redondeo,191.17,185.93,0.97,0.3544667706076142,2.9149486438394714,0.5759999999999994,-0.0035000000000000586,0.6435000000000005,0.0029999999999997806,0.6574999999999845,0.001000000000000223,4.341267739218514,-0.08850820964564132,67,-3,18,-4,4,3
A2-B0-C2-batch4-r19,III,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,2000,3498,bh_theta0.3,112.18,185.93,1.66,1.3918804384882566,12.587382334645316,0.5789999999999995,-0.0004999999999999449,0.6470000000000015,0.006500000000000727,0.6574999999999843,0.0010000000000000009,4.39599912136404,-0.033776827500115125,68,-2,14,-8,2,1
A2-B0-C2-batch4-r19,III,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,2000,3498,bh_theta0.5,67.9,185.93,2.74,1.2611490451302259,12.597006765732786,0.5539999999999995,-0.025499999999999967,0.6435000000000016,0.003000000000000891,0.6549999999999844,-0.0014999999999999458,4.385155738794858,-0.04462021006929717,69,-1,17,-5,1,0
A2-B0-C2-batch4-r19,III,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,2000,3498,bh_theta0.7,36.52,185.93,5.09,1.2943590069715654,10.599669818006754,0.5754999999999993,-0.004000000000000115,0.6495000000000015,0.009000000000000785,0.664999999999984,0.00849999999999973,4.369173678084295,-0.060602270779860135,63,-7,15,-7,2,1
A2-B0-C2-batch4-r19,III,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,2000,3498,bh_theta1.0,21.42,185.93,8.68,1.6443826518001803,12.59772480279019,0.5969999999999995,0.01750000000000007,0.6570000000000024,0.016500000000001624,0.6749999999999837,0.018499999999999406,4.272624183684911,-0.15715176517924423,62,-8,16,-6,3,2
A2-B0-C2-batch4-r43,III,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,2000,3269,control_redondeo,187.28,184.25,0.98,0.37471184329742696,3.3989777452763317,0.6299999999999994,0.01100000000000001,0.6819999999999995,-0.0024999999999980593,0.691999999999983,-0.0040000000000000036,4.144344776370215,-0.17899575634363796,66,0,18,11,1,-2
A2-B0-C2-batch4-r43,III,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,2000,3269,bh_theta0.0,505.12,184.25,0.36,0.33277446534359834,2.612861619353912,0.6179999999999993,-0.001000000000000112,0.6760000000000025,-0.008499999999995067,0.689999999999983,-0.006000000000000005,4.1717741759664,-0.15156635674745278,68,2,14,7,1,-2
A2-B0-C2-batch4-r43,III,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,2000,3269,bh_theta0.3,144.17,184.25,1.28,1.312337393557907,12.588340389488181,0.6229999999999996,0.004000000000000115,0.6839999999999906,-0.0005000000000069393,0.692999999999983,-0.0030000000000000027,4.254467291917582,-0.06887324079627088,69,3,8,1,2,-1
A2-B0-C2-batch4-r43,III,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,2000,3269,bh_theta0.5,67.98,184.25,2.71,1.7064654752891486,12.598973031451276,0.6279999999999993,0.008999999999999897,0.6849999999999925,0.0004999999999949489,0.7004999999999826,0.004499999999999615,4.182233882732885,-0.14110664998096745,75,9,13,6,1,-2
A2-B0-C2-batch4-r43,III,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,2000,3269,bh_theta0.7,37.69,184.25,4.89,1.706851495641692,12.589003137969296,0.6299999999999994,0.01100000000000001,0.6935000000000023,0.009000000000004782,0.7019999999999825,0.005999999999999561,4.246470893050458,-0.07686963966339455,75,9,9,2,1,-2
A2-B0-C2-batch4-r43,III,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,2000,3269,bh_theta1.0,27.6,184.25,6.68,1.8780503100370036,12.591012228419377,0.6319999999999993,0.0129999999999999,0.6955000000000026,0.011000000000005006,0.7104999999999823,0.014499999999999291,4.345752444320006,0.02241191160615319,69,3,13,6,2,-1
A2-B0-C2-batch4-r57,I,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,2000,3343,control_redondeo,191.38,186.98,0.98,0.3332186493982597,3.0898199587014776,0.5884999999999995,-0.0039999999999998925,0.6585000000000016,0.00400000000000067,0.6724999999999837,-0.0029999999999998916,4.269773738787245,-0.05475940291278025,63,-4,17,4,1,0
A2-B0-C2-batch4-r57,I,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,2000,3343,bh_theta0.0,510.51,186.98,0.37,0.29176649226345247,2.6325719289258585,0.6104999999999995,0.018000000000000127,0.6615000000000019,0.007000000000000894,0.6764999999999836,0.0010000000000000009,4.282641759493559,-0.04189138220646704,64,-3,15,2,1,0
A2-B0-C2-batch4-r57,I,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,2000,3343,bh_theta0.3,145.73,186.98,1.28,1.2078519629588862,12.59166385806925,0.6109999999999994,0.018500000000000072,0.6660000000000004,0.0114999999999994,0.6819999999999834,0.006499999999999839,4.348064830405969,0.023531688705943132,69,2,15,2,2,1
A2-B0-C2-batch4-r57,I,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,2000,3343,bh_theta0.5,67.31,186.98,2.78,1.3962725897426438,12.383398430196175,0.6009999999999993,0.008499999999999952,0.6645000000000009,0.009999999999999898,0.6819999999999834,0.006499999999999839,4.325264076097528,0.0007309343975023808,63,-4,19,6,2,1
A2-B0-C2-batch4-r57,I,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,2000,3343,bh_theta0.7,38.75,186.98,4.83,1.5027032808443526,12.591382655775966,0.6234999999999994,0.031000000000000028,0.6810000000000015,0.026500000000000523,0.6874999999999831,0.011999999999999567,4.2683515926225635,-0.0561815490774622,65,-2,15,2,1,0
A2-B0-C2-batch4-r57,I,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,2000,3343,bh_theta1.0,27.28,186.98,6.85,1.911047011231383,12.593071275464355,0.6219999999999994,0.02950000000000008,0.6859999999999987,0.03149999999999775,0.6984999999999828,0.022999999999999243,4.479058969261946,0.1545258275619199,68,1,16,3,2,1
A2-B0-C2-batch4-r94,III,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,2000,3553,control_redondeo,190.46,185.8,0.98,0.346099039056565,4.6984849697536575,0.5639999999999995,0.015000000000000013,0.6270000000000008,0.006500000000000505,0.6429999999999849,0.004999999999999893,4.309958425566488,-0.03158866669169402,69,4,19,-1,2,1
A2-B0-C2-batch4-r94,III,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,2000,3553,bh_theta0.3,116.46,185.8,1.6,1.1806110557948888,10.358490934614164,0.5524999999999995,0.0035000000000000586,0.6199999999999999,-0.000500000000000389,0.636999999999985,-0.0010000000000000009,4.3098861194645295,-0.03166097279365232,71,6,28,8,1,0
A2-B0-C2-batch4-r94,III,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,2000,3553,bh_theta0.5,69.84,185.8,2.66,1.2148739485046673,12.357823836607803,0.5399999999999994,-0.009000000000000119,0.6290000000000006,0.008500000000000285,0.640499999999985,0.0024999999999999467,4.415292059076934,0.07374496681875176,58,-7,24,4,1,0
A2-B0-C2-batch4-r94,III,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,2000,3553,bh_theta0.7,36.59,185.8,5.08,1.350287399881357,12.586727064695966,0.5534999999999993,0.0044999999999998375,0.6360000000000009,0.015500000000000624,0.6504999999999849,0.012499999999999845,4.392366173852285,0.050819081594102755,68,3,18,-2,2,1
A2-B0-C2-batch4-r94,III,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,2000,3553,bh_theta1.0,22.22,185.8,8.36,1.5878115093446967,12.358798369781216,0.5734999999999995,0.024499999999999966,0.6385000000000006,0.01800000000000035,0.6589999999999844,0.020999999999999353,4.316657221326952,-0.024889870931230185,68,3,21,1,3,2
A2-B0-C2-r12v1fix,I,PAR_v2_G_r12v1fix_r19,2000,4777,control_redondeo,191.53,186.84,0.98,0.1995776680426131,1.6511868424621525,0.23399999999999985,-0.012000000000000066,0.38899999999999973,-0.0010000000000000009,0.46350000000000063,0.0019999999999992246,4.827674819604057,-0.22864434079483775,43,-7,53,2,18,7
A2-B0-C2-r12v1fix,I,PAR_v2_G_r12v1fix_r19,2000,4777,bh_theta0.3,139.44,186.84,1.34,0.8039465429299838,5.289470069406198,0.2434999999999999,-0.0025000000000000022,0.39949999999999974,0.009500000000000008,0.4585000000000006,-0.0030000000000008353,4.7976235434545655,-0.25869561694432885,46,-4,55,4,17,6
A2-B0-C2-r12v1fix,I,PAR_v2_G_r12v1fix_r19,2000,4777,bh_theta0.5,76.97,186.84,2.43,1.1441923918273849,12.589421149154964,0.21249999999999997,-0.033499999999999946,0.3944999999999997,0.0044999999999999485,0.46300000000000135,0.0014999999999999458,4.75522106969846,-0.30109809070043436,38,-12,51,0,11,0
A2-B0-C2-r12v1fix,I,PAR_v2_G_r12v1fix_r19,2000,4777,bh_theta0.7,34.97,186.84,5.34,1.1567542708510452,12.593252905921643,0.24899999999999983,0.0029999999999999194,0.39799999999999974,0.008000000000000007,0.4775000000000011,0.01599999999999968,4.74346015378191,-0.31285900661698474,41,-9,48,-3,19,8
A2-B0-C2-r12v1fix,I,PAR_v2_G_r12v1fix_r19,2000,4777,bh_theta1.0,18.67,186.84,10.01,1.4171157770851133,12.583057555638266,0.24099999999999988,-0.005000000000000032,0.39649999999999963,0.006499999999999895,0.4665000000000008,0.004999999999999394,4.811873195734094,-0.24444596466480029,41,-9,51,0,11,0
A2-B0-C2-r19,III,PAR_v2_G_r12v1fix_r19,2000,3679,control_redondeo,191.7,187.19,0.98,0.2853483892575318,2.3847814037639576,0.5164999999999994,0.0239999999999998,0.604,-0.0024999999999993916,0.6189999999999858,-0.0010000000000000009,4.518849873068734,0.09823579345565303,71,6,30,1,1,-1
A2-B0-C2-r19,III,PAR_v2_G_r12v1fix_r19,2000,3679,bh_theta0.3,117.07,187.19,1.6,1.12665129599018,12.304332545465957,0.5034999999999996,0.01100000000000001,0.5999999999999995,-0.006499999999999839,0.6269999999999857,0.006999999999999895,4.398843970561421,-0.021770109051660214,70,5,30,1,3,1
A2-B0-C2-r19,III,PAR_v2_G_r12v1fix_r19,2000,3679,bh_theta0.5,70.12,187.19,2.67,1.3529097422684835,11.967741118089988,0.5034999999999996,0.01100000000000001,0.6015000000000004,-0.004999999999999005,0.6234999999999857,0.0034999999999999476,4.506531179384022,0.08591709977094109,69,4,27,-2,3,1
A2-B0-C2-r19,III,PAR_v2_G_r12v1fix_r19,2000,3679,bh_theta0.7,35.98,187.19,5.2,1.6226852350867582,12.588253147724524,0.5019999999999996,0.009499999999999953,0.6109999999999999,0.004500000000000504,0.6299999999999855,0.009999999999999676,4.5197093943839715,0.0990953147708904,61,-4,27,-2,2,0
A2-B0-C2-r19,III,PAR_v2_G_r12v1fix_r19,2000,3679,bh_theta1.0,21.17,187.19,8.84,1.6693876036005169,12.585324764946092,0.5344999999999993,0.041999999999999704,0.6285000000000003,0.022000000000000908,0.6399999999999849,0.01999999999999913,4.542881034431727,0.12226695481864613,63,-2,24,-5,1,-1
