rule_id,clase,par,N,n_aristas,variante,t_s,t_original_s,aceleracion,rms,max_abs,fof_b0.20,d_fof_b0.20,fof_b0.30,d_fof_b0.30,fof_b0.50,d_fof_b0.50,dens_k8_cv,d_dens_k8_cv,ngrupos_b0.20,d_ngrupos_b0.20,ngrupos_b0.30,d_ngrupos_b0.30,ngrupos_b0.50,d_ngrupos_b0.50
A2-B0-C2-batch3-r0,III,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,2000,2308,control_redondeo,187.41,183.75,0.98,0.3906619153691616,3.3207906029054386,0.7945000000000005,-0.0014999999999995017,0.8134999999999788,0.0014999999999915081,0.8204999999999779,0.0014999999999999458,3.843345919826199,-0.12330572067993462,39,-6,2,-2,1,0
A2-B0-C2-batch3-r0,III,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,2000,2308,bh_theta0.3,93.81,183.75,1.96,1.4025981947836013,12.595631021606822,0.7970000000000004,0.001000000000000334,0.8174999999999785,0.005499999999991179,0.8244999999999778,0.005499999999999838,3.989975665907693,0.0233240254015592,45,0,2,-2,2,1
A2-B0-C2-batch3-r0,III,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,2000,2308,bh_theta0.5,57.73,183.75,3.18,1.556973355005649,12.592384337031993,0.8054999999999999,0.009499999999999842,0.8179999999999933,0.0060000000000060005,0.8229999999999777,0.0039999999999997815,4.212909751875526,0.24625811136939246,53,8,5,1,1,0
A2-B0-C2-batch3-r0,III,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,2000,2308,bh_theta0.7,35.3,183.75,5.21,1.7126522373255824,12.203646550004223,0.7965,0.0004999999999999449,0.823499999999984,0.011499999999996735,0.8284999999999776,0.00949999999999962,3.938340784505787,-0.02831085600034644,42,-3,6,2,1,0
A2-B0-C2-batch3-r0,III,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,2000,2308,bh_theta1.0,25.32,183.75,7.26,1.878798424968632,12.59167524401388,0.798,0.0020000000000000018,0.8244999999999829,0.012499999999995626,0.8299999999999775,0.010999999999999566,3.935695757684578,-0.03095588282155548,44,-1,6,2,1,0
A2-B0-C2-batch3-r100,I,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,2000,2374,control_redondeo,191.03,186.58,0.98,0.369926669905376,4.42369814782938,0.7695000000000002,-0.00949999999999962,0.8034999999999786,0.0029999999999893445,0.8094999999999785,0.0030000000000000027,3.968998373845564,-0.022866585048679333,41,-8,1,-4,2,1
A2-B0-C2-batch3-r100,I,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,2000,2374,bh_theta0.3,96.97,186.58,1.92,1.342251101339678,12.590239860888376,0.7824999999999999,0.0035000000000000586,0.8024999999999927,0.0020000000000034435,0.8109999999999783,0.0044999999999998375,3.918349066246891,-0.07351589264735203,48,-1,4,-1,1,0
A2-B0-C2-batch3-r100,I,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,2000,2374,bh_theta0.5,60.8,186.58,3.07,1.478231768954793,12.061321263310617,0.7940000000000004,0.015000000000000568,0.8139999999999782,0.013499999999988965,0.8149999999999781,0.008499999999999619,3.944942118410327,-0.04692284048391615,38,-11,1,-4,1,0
A2-B0-C2-batch3-r100,I,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,2000,2374,bh_theta0.7,36.78,186.58,5.07,1.7190002241549118,12.593355399950585,0.7870000000000001,0.00800000000000034,0.8069999999999827,0.006499999999993511,0.8114999999999782,0.004999999999999782,4.130658488184157,0.1387935292899134,43,-6,5,0,1,0
A2-B0-C2-batch3-r100,I,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,2000,2374,bh_theta1.0,24.1,186.58,7.74,1.8675978378064766,12.594895307394166,0.7974999999999999,0.018500000000000072,0.8129999999999912,0.012500000000001954,0.817999999999978,0.01149999999999951,3.896605865588582,-0.0952590933056614,45,-4,3,-2,1,0
A2-B0-C2-batch3-r26,III,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,2000,3258,control_redondeo,191.03,185.77,0.97,0.257195887356974,2.113369261240587,0.6029999999999994,0.0025000000000000577,0.664000000000001,0.0050000000000005596,0.6789999999999836,0.0015000000000000568,4.481785146237628,0.19806793233414766,63,-1,23,2,3,1
A2-B0-C2-batch3-r26,III,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,2000,3258,bh_theta0.3,109.41,185.77,1.7,1.3530915181627963,12.04979950297225,0.5889999999999994,-0.011499999999999955,0.6655000000000009,0.006500000000000394,0.6774999999999834,-1.1102230246251565e-16,4.223092463644308,-0.06062475025917191,70,6,17,-4,1,-1
A2-B0-C2-batch3-r26,III,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,2000,3258,bh_theta0.5,66.05,185.77,2.81,1.4120587017262092,12.590802497057762,0.5944999999999995,-0.005999999999999894,0.6705000000000009,0.011500000000000399,0.6814999999999835,0.0039999999999998925,4.248496824530799,-0.03522038937268146,72,8,22,1,2,0
A2-B0-C2-batch3-r26,III,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,2000,3258,bh_theta0.7,36.4,185.77,5.1,1.47261021877939,12.591093330240696,0.6199999999999993,0.019499999999999962,0.6755000000000013,0.016500000000000847,0.691499999999983,0.013999999999999457,4.227239658039368,-0.05647755586411218,68,4,19,-2,2,0
A2-B0-C2-batch3-r26,III,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,2000,3258,bh_theta1.0,21.82,185.77,8.51,1.511845562981793,12.596586031131158,0.6154999999999993,0.014999999999999902,0.6815000000000011,0.02250000000000063,0.693999999999983,0.016499999999999404,4.303606262508685,0.01988904860520524,62,-2,16,-5,2,0
A2-B0-C2-batch3-r76,I,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,2000,3332,control_redondeo,190.87,186.22,0.98,0.3651658222932136,3.3813562356004887,0.5949999999999994,-0.010499999999999954,0.6645000000000009,-0.0065000000000009495,0.6809999999999835,0.000500000000000056,4.294757442022727,0.09767703784163029,72,3,16,0,3,1
A2-B0-C2-batch3-r76,I,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,2000,3332,bh_theta0.3,112.87,186.22,1.65,1.173100532635699,12.587133204655553,0.6054999999999994,0.0,0.666000000000001,-0.005000000000000782,0.6784999999999834,-0.0020000000000000018,4.192379819939412,-0.004700584241684069,63,-6,17,1,1,-1
A2-B0-C2-batch3-r76,I,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,2000,3332,bh_theta0.5,67.81,186.22,2.75,1.2781422020353261,10.793223906514097,0.6174999999999993,0.0119999999999999,0.6734999999999985,0.002499999999996727,0.6849999999999832,0.0044999999999997264,4.1971107688289875,3.036464789119009e-05,62,-7,13,-3,1,-1
A2-B0-C2-batch3-r76,I,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,2000,3332,bh_theta0.7,37.0,186.22,5.03,1.4281877697590413,12.596062204068113,0.6154999999999993,0.009999999999999898,0.6820000000000012,0.010999999999999344,0.6869999999999831,0.006499999999999617,4.233297818447685,0.036217414266588754,54,-15,9,-7,1,-1
