R2,aporte_H_pct,aporte_M_pct,coef_N,coef_clase,d_logBtau,d_logH,d_logM,delta_mediana,metrica,n_III_mayor,n_pares,p_clase,p_permutacion,p_signos,p_wilcoxon,prueba,umbral
,,,,,,,,-1.0,n_fil_c1.5,,,,0.7316268373162683,,,permutacion_pareada,C_N1000_fijo
,,,,,,,,,,24,37,,,,0.012696660051005892,sensibilidad_37pares,A_P50_abs
,,,,,,,,,,27,40,,,,0.004244452147759148,sensibilidad_40pares,A_P50_abs
,,,,,,,,,,24,37,,,,0.011586945489398204,sensibilidad_37pares,A_P75_abs
,,,,,,,,,,26,40,,,,0.010628069954691455,sensibilidad_40pares,A_P75_abs
,,,,,,,,,,28,37,,,,0.0003790962655330077,sensibilidad_37pares,A_P90_abs
,,,,,,,,,,30,40,,,,0.0004022172452096129,sensibilidad_40pares,A_P90_abs
,,,,,,,,,,14,37,,,,0.0800417212449247,sensibilidad_37pares,B_IC_k1
,,,,,,,,,,15,40,,,,0.08171383123044507,sensibilidad_40pares,B_IC_k1
,,,,,,,,,,20,37,,,,0.5405446684744675,sensibilidad_37pares,B_IC_k3
,,,,,,,,,,22,40,,,,0.5536995567435952,sensibilidad_40pares,B_IC_k3
,,,,,,,,,,16,37,,,,0.14906434384465683,sensibilidad_37pares,C_N1000_fijo
,,,,,,,,,,18,40,,,,0.19685455255421402,sensibilidad_40pares,C_N1000_fijo
