patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
1,66103,3500,local,5,8,2.73,0.031,0,7.24,0,0.949,0.894,12.83,0.4593,16,20
1,66103,3500,sin_local,-1,8,5.789,0.046,1,5.181,1,0.898,0.909,52.085,0.082,4,17
1,66103,3500,local_barajado,5,8,3.005,0.058,2,6.4,1,1.143,0.905,12.553,0.1071,7,20
1,66103,3500,local_marco_congelado,5,8,2.792,0.033,0,7.988,0,1.01,0.877,12.962,0.4712,13,20
5,66115,3500,local,6,8,3.216,0.032,0,7.123,0,1.002,0.908,15.64,0.3388,8,20
5,66115,3500,sin_local,-1,8,5.719,0.043,1,5.77,1,0.975,0.912,52.387,0.0801,4,17
5,66115,3500,local_barajado,6,8,3.355,0.058,2,6.912,1,1.105,0.904,14.799,0.082,6,20
5,66115,3500,local_marco_congelado,6,8,3.717,0.038,0,7.98,0,1.044,0.91,15.512,0.3322,8,20
2,66106,3500,local,8,8,6.583,0.033,2,5.286,1,0.838,0.91,21.059,0.2244,5,20
2,66106,3500,sin_local,-1,8,5.774,0.042,1,5.357,1,0.959,0.917,52.553,0.0824,4,17
2,66106,3500,local_barajado,8,8,3.962,0.042,1,4.932,1,1.102,0.913,19.857,0.0643,5,20
2,66106,3500,local_marco_congelado,8,8,5.825,0.036,0,7.983,0,1.129,0.905,20.849,0.2269,5,20
6,66118,3500,local,6,8,4.031,0.017,1,6.797,1,0.949,0.901,15.611,0.3453,8,20
6,66118,3500,sin_local,-1,8,5.815,0.048,1,5.843,1,1.195,0.908,51.985,0.0863,4,17
6,66118,3500,local_barajado,6,8,3.386,0.056,1,5.807,1,1.148,0.914,15.109,0.086,6,20
6,66118,3500,local_marco_congelado,6,8,3.748,0.04,0,7.984,0,1.035,0.915,15.722,0.3479,9,20
4,66112,3500,local,13,8,5.953,0.034,1,4.719,1,0.885,0.909,33.538,0.1339,4,20
4,66112,3500,sin_local,-1,8,5.071,0.041,1,5.603,1,1.023,0.919,48.19,0.0894,4,16
4,66112,3500,local_barajado,13,8,4.42,0.066,1,4.169,1,1.101,0.919,31.951,0.0424,4,20
4,66112,3500,local_marco_congelado,13,8,6.436,0.037,0,7.983,0,0.852,0.914,34.061,0.1492,4,20
3,66109,3500,local,13,8,5.918,0.04,1,3.673,1,0.922,0.905,33.149,0.1309,4,20
3,66109,3500,sin_local,-1,8,5.781,0.045,1,5.445,1,0.855,0.915,52.551,0.0836,3,17
3,66109,3500,local_barajado,13,8,4.137,0.067,1,3.634,1,1.14,0.919,31.994,0.0404,4,20
3,66109,3500,local_marco_congelado,13,8,5.839,0.038,0,7.987,0,0.878,0.912,33.359,0.1378,4,20
0,66100,3500,local,14,8,6.084,0.04,1,2.729,1,0.731,0.914,36.066,0.1293,4,20
0,66100,3500,sin_local,-1,8,5.434,0.033,1,5.595,1,0.962,0.903,51.545,0.0785,4,17
0,66100,3500,local_barajado,14,8,4.191,0.066,1,4.434,1,1.082,0.919,34.403,0.0413,4,20
0,66100,3500,local_marco_congelado,14,8,6.375,0.038,0,7.991,0,0.942,0.911,36.039,0.1291,4,20
8,66124,3500,local,8,8,4.787,0.036,1,5.454,1,0.965,0.911,20.802,0.2198,5,20
8,66124,3500,sin_local,-1,8,5.514,0.042,1,3.834,1,0.902,0.916,52.855,0.0823,4,17
8,66124,3500,local_barajado,8,8,3.972,0.055,1,6.159,1,1.043,0.915,19.811,0.0628,5,20
8,66124,3500,local_marco_congelado,8,8,5.72,0.026,0,7.984,0,1.13,0.915,21.401,0.2135,6,20
7,66121,3500,local,14,8,5.881,0.036,3,5.77,1,0.909,0.915,35.931,0.1251,4,20
7,66121,3500,sin_local,-1,8,5.547,0.037,1,6.156,1,0.859,0.902,51.128,0.0832,5,17
7,66121,3500,local_barajado,14,8,4.284,0.055,1,4.097,1,1.021,0.909,33.898,0.0412,4,20
7,66121,3500,local_marco_congelado,14,8,6.043,0.038,0,7.987,0,0.968,0.909,35.847,0.1145,4,20
10,66130,3500,local,8,8,6.43,0.024,1,5.031,1,0.889,0.911,20.99,0.2334,5,20
