rule_id,brazo,clase,pendiente,z_agg,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,holon_b1,K,J,noise,meandeg,kcap,seed
A2-B0-C2-r6,C2-hard,III,0.8784150429557251,1.376319821476794,2.6009121314250687,3067,3.067,14.0,0.927,0.667708810951657,5,0.407,0.249,7.4,5,90794
A2-B0-C2-r6,C2-hibrido,III,1.000975091739252,0.38974720855387446,1.7805278388138503,3315,3.315,14.0,0.8655,0.7383637807948664,5,0.407,0.249,7.4,5,90794
A2-B0-C2-r6,C2-budget-soporte,I,0.5679146303667837,0.28284271187461874,1.6044778961417354,3860,3.86,12.0,0.9925,0.8269520176454571,5,0.407,0.249,7.4,5,90794
A2-B0-C2-r6,C2-random,I,0.5214097549388371,0.7071067796865472,1.8269851044277985,4092,4.092,10.0,0.9915,0.911334414798103,5,0.407,0.249,7.4,5,90794
A2-B0-C2-r6,C0,I,0.3277944297417056,1.2727922034357857,1.3668710946460765,7400,7.4,7.0,0.999,1.2886810810608644,5,0.407,0.249,7.4,5,90794
A2-B0-C2-r7,C2-hard,III,0.7476117537081425,1.4798474395178025,1.5517141062920128,3134,3.134,15.0,0.9305,0.8334436192558315,7,0.503,0.225,7.25,5,90891
A2-B0-C2-r7,C2-hibrido,III,0.7962155657562038,0.9899494915611664,1.9954008087350776,3460,3.46,11.0,0.8935,0.8162432815096313,7,0.503,0.225,7.25,5,90891
A2-B0-C2-r7,C2-budget-soporte,I,0.5573055855702322,0.14142135593730937,1.834136870760252,3844,3.844,13.0,0.9965,0.9536124392965758,7,0.503,0.225,7.25,5,90891
A2-B0-C2-r7,C2-random,I,0.5297787105010381,0.5656854237492375,2.070735465039152,4260,4.26,11.0,0.991,0.47054140670656913,7,0.503,0.225,7.25,5,90891
A2-B0-C2-r7,C0,I,0.32623858987295884,1.1313708474984756,1.2418667996891868,7250,7.25,8.0,0.9995,1.0763466800165118,7,0.503,0.225,7.25,5,90891
A2-B0-C2-r8,C2-hard,I,0.5933308031518034,0.4949747461555834,2.0381520669350754,3619,3.619,11.0,0.981,0.6947648859673987,6,0.544,0.107,4.18,6,90988
A2-B0-C2-r8,C2-hibrido,I,0.6090941397177595,0.2828427118746191,3.2089930360764805,4054,4.054,11.0,0.985,0.410721590925289,6,0.544,0.107,4.18,6,90988
A2-B0-C2-r8,C2-budget-soporte,I,0.6678870319664597,0.2828427118746191,2.202056567383507,3541,3.541,13.0,0.987,0.5446664449034486,6,0.544,0.107,4.18,6,90988
A2-B0-C2-r8,C2-random,I,0.613323820439828,0.2828427118746191,2.6089667382768322,4043,4.043,11.0,0.983,0.4368657013529627,6,0.544,0.107,4.18,6,90988
A2-B0-C2-r8,C0,I,0.5987272765765709,0.4242640678119285,1.019647000039827,4180,4.18,11.0,0.989,1.2139429478408668,6,0.544,0.107,4.18,6,90988
A2-B0-C2-r9,C2-hard,I,0.5068368336856607,0.527791685852937,2.9025578195497155,4533,4.533,11.0,0.9955,0.5497491449782462,5,0.397,0.121,5.37,7,91085
