point_id,dim,K,brazo,seed,frame_burgers,m_media,m_max,espectro_razon,frac_sin_masa,L3,L4,L5,L6,L8
1,d2,3,2punto,1,1.23068,0.8188,1.8798,2.215,0.007,,1.15546,,1.23544,1.24769
2,d2,3,2punto,2,1.18007,0.8074,2.4408,2.321,0.024,,1.01312,,1.01336,1.48064
0,d2,3,2punto,0,1.17214,0.7868,2.0142,2.125,0.01,,0.91745,,1.23399,1.06105
3,d2,3,2punto,3,1.16279,0.8035,2.2679,2.35,0.024,,1.05911,,1.07013,1.2429
4,d2,3,2punto,4,1.1402,0.7936,2.1197,2.589,0.021,,0.8376,,1.05119,1.13162
6,d2,3,2punto,6,1.07828,0.775,2.0602,2.431,0.017,,1.09616,,1.01845,1.23207
7,d2,3,2punto,7,1.09771,0.8317,2.2638,2.233,0.035,,1.01444,,1.0819,1.19163
8,d2,3,2punto,8,0.9558,0.714,1.9391,2.56,0.024,,0.76019,,0.9068,1.15416
9,d2,3,2punto,9,1.13512,0.7852,2.1323,2.533,0.014,,0.96236,,1.3582,1.31433
5,d2,3,2punto,5,1.10053,0.7515,1.7896,2.261,0.014,,0.83834,,1.01073,1.09171
10,d2,3,3punto,0,0.61825,0.7868,2.0142,2.125,0.01,,0.22773,,0.32194,0.37348
11,d2,3,3punto,1,0.82523,0.8188,1.8798,2.215,0.007,,0.22689,,0.29562,0.46098
13,d2,3,3punto,3,0.68534,0.8035,2.2679,2.35,0.024,,0.27273,,0.38677,0.44355
12,d2,3,3punto,2,0.73808,0.8074,2.4408,2.321,0.024,,0.49323,,0.66921,0.75468
14,d2,3,3punto,4,0.88315,0.7936,2.1197,2.589,0.021,,0.18786,,0.45269,0.63523
16,d2,3,3punto,6,0.7317,0.775,2.0602,2.431,0.017,,0.24637,,0.32754,0.43141
15,d2,3,3punto,5,0.78926,0.7515,1.7896,2.261,0.014,,0.21085,,0.38879,0.59687
17,d2,3,3punto,7,0.58404,0.8317,2.2638,2.233,0.035,,0.21172,,0.43939,0.52003
18,d2,3,3punto,8,1.04466,0.714,1.9391,2.56,0.024,,0.37591,,0.50827,0.69407
21,d2,3,null_campo,1,0.84134,0.8188,1.8798,2.215,0.007,,0.23623,,0.31205,0.49713
22,d2,3,null_campo,2,0.94891,0.8074,2.4408,2.321,0.024,,0.38067,,0.57386,0.82267
19,d2,3,3punto,9,0.78256,0.7852,2.1323,2.533,0.014,,0.27204,,0.50078,0.60325
20,d2,3,null_campo,0,0.71005,0.7868,2.0142,2.125,0.01,,0.18357,,0.41706,0.45847
23,d2,3,null_campo,3,0.85703,0.8035,2.2679,2.35,0.024,,0.23371,,0.5283,0.59631
24,d2,3,null_campo,4,0.70236,0.7936,2.1197,2.589,0.021,,0.13735,,0.34285,0.50483
25,d2,3,null_campo,5,0.62526,0.7515,1.7896,2.261,0.014,,0.19151,,0.37012,0.49546
26,d2,3,null_campo,6,0.73108,0.775,2.0602,2.431,0.017,,0.25399,,0.5305,0.59038
27,d2,3,null_campo,7,0.8186,0.8317,2.2638,2.233,0.035,,0.34439,,0.49243,0.65193
28,d2,3,null_campo,8,0.96598,0.714,1.9391,2.56,0.024,,0.38918,,0.56575,0.87755
29,d2,3,null_campo,9,0.77169,0.7852,2.1323,2.533,0.014,,0.28688,,0.51873,0.6259
40,d2,4,2punto,0,1.18971,0.8392,2.1392,2.365,0.0,,1.00535,,1.27757,1.28149
41,d2,4,2punto,1,1.23179,0.8449,1.8165,2.118,0.0,,1.0066,,1.11189,1.17446
30,d2,3,null_vertice,0,0.68161,0.7733,1.8319,2.342,0.007,,0.20369,,0.41635,0.50524
31,d2,3,null_vertice,1,0.6957,0.8174,2.8667,2.446,0.038,,0.22608,,0.30652,0.49735
35,d2,3,null_vertice,5,0.64779,0.7896,1.8415,2.297,0.01,,0.21197,,0.35906,0.48247
32,d2,3,null_vertice,2,0.90755,0.8433,2.2629,2.274,0.014,,0.39028,,0.71049,0.86076
34,d2,3,null_vertice,4,0.73465,0.8009,2.1421,2.611,0.024,,0.21731,,0.44772,0.59572
33,d2,3,null_vertice,3,0.79239,0.8528,2.41,2.341,0.014,,0.22424,,0.44348,0.55083
37,d2,3,null_vertice,7,0.79226,0.8382,2.3412,2.385,0.024,,0.26534,,0.49657,0.54379
36,d2,3,null_vertice,6,0.73609,0.8479,2.102,2.198,0.01,,0.21554,,0.40735,0.50538
42,d2,4,2punto,2,1.11297,0.8221,2.0476,2.027,0.003,,0.94827,,1.09174,0.91874
39,d2,3,null_vertice,9,0.78337,0.8055,2.5337,2.293,0.021,,0.34006,,0.39424,0.41965
