carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,brazo,lote,M_pre_poda,n_cut,n_aristas_brazo,grado_medio,clustering_local,transitividad,pendiente_corregida
A2-B0-C2-batch4-r18_f704_antisoporte,A2-B0-C2-batch4-r18,,573575,5,0.364,0.321,6.05,6,3986,,2000,cosmog_00500,17352.4,1447.6000000000004,18800.0,0.07700000000000001,8,0.036,1447.6,0.4315068493150683,0.4434523809523806,0,antisoporte,571828,4191,205,3986,3.986,0.0,0.0,0.5901467511577816
A2-B0-C2-batch4-r18_f704_azar,A2-B0-C2-batch4-r18,,573575,5,0.364,0.321,6.05,6,3986,,2000,cosmog_00500,17333.600000000002,1466.4000000000005,18800.000000000004,0.07800000000000001,8,0.047,1466.3999999999999,0.4807692307692307,0.4828869047619047,0,azar,571828,4191,205,3986,3.986,0.005716666666666667,0.005263157894736842,0.5948013757290326
A2-B0-C2-batch4-r18_f704_c2,A2-B0-C2-batch4-r18,,573575,5,0.364,0.321,6.05,6,3986,,2000,cosmog_00500,17258.4,1541.6000000000004,18800.0,0.08200000000000002,8,0.038,1541.6,0.3773584905660377,0.3840773809523809,0,c2,571828,4191,205,3986,3.986,0.0029500000000000004,0.002729181245626312,0.562515762560359
A2-B0-C2-batch4-r18_f704_soporte,A2-B0-C2-batch4-r18,,573575,5,0.364,0.321,6.05,6,3986,,2000,cosmog_00500,17324.2,1475.8000000000004,18800.0,0.07850000000000003,8,0.035,1475.8,0.44594594594594594,0.4519188596491228,0,soporte,571828,4191,205,3986,3.986,0.005833333333333333,0.005692199578355587,0.5791661019482962
A2-B0-C2-batch4-r43_f704_anticosto,A2-B0-C2-batch4-r43,,576000,7,0.422,0.258,4.53,5,3269,,2000,cosmog_00500,17051.600000000002,1748.4000000000005,18800.000000000004,0.09300000000000001,8,0.037,1748.4,0.5000000000000001,0.5044642857142858,0,anticosto,571828,3388,119,3269,3.269,0.002433333333333333,0.0032310177705977385,0.7401566902083312
A2-B0-C2-batch4-r43_f704_antisoporte,A2-B0-C2-batch4-r43,,576000,7,0.422,0.258,4.53,5,3269,,2000,cosmog_00500,17145.600000000002,1654.4000000000005,18800.000000000004,0.08800000000000001,8,0.043,1654.4,0.4098360655737705,0.4250496031746032,0,antisoporte,571828,3388,119,3269,3.269,0.0,0.0,0.7494517436982963
A2-B0-C2-batch4-r43_f704_azar,A2-B0-C2-batch4-r43,,576000,7,0.422,0.258,4.53,5,3269,,2000,cosmog_00500,16957.600000000002,1842.4000000000005,18800.000000000004,0.098,8,0.036,1842.4,0.6174863387978138,0.6118551587301584,0,azar,571828,3388,119,3269,3.269,0.0044666666666666665,0.0061468780329990294,0.620931557411937
A2-B0-C2-batch4-r43_f704_c2,A2-B0-C2-batch4-r43,,576000,7,0.422,0.258,4.53,5,3269,,2000,cosmog_00500,17070.4,1729.6000000000004,18800.0,0.09200000000000003,8,0.038,1729.6000000000001,0.42187500000000006,0.4267857142857143,0,c2,571828,3388,119,3269,3.269,0.0020499999999999997,0.00258732212160414,0.7393344988081424
A2-B0-C2-batch4-r43_f704_soporte,A2-B0-C2-batch4-r43,,576000,7,0.422,0.258,4.53,5,3269,,2000,cosmog_00500,16995.2,1804.8000000000006,18800.0,0.09600000000000003,8,0.039,1804.8,0.5762711864406779,0.5766369047619047,0,soporte,571828,3388,119,3269,3.269,0.0045,0.006158167675021608,0.7538732943544552
A2-B0-C2-batch4-r51_f704_anticosto,A2-B0-C2-batch4-r51,,576776,8,0.449,0.196,5.29,4,2483,,2000,cosmog_00500,16083.400000000001,2716.5999999999995,18800.0,0.14449999999999996,8,0.029,2716.6,1.3428571428571427,1.353472222222222,0,anticosto,571828,2592,109,2483,2.483,0.009166666666666667,0.007879924953095686,1.0081947288932736
A2-B0-C2-batch4-r51_f704_antisoporte,A2-B0-C2-batch4-r51,,576776,8,0.449,0.196,5.29,4,2483,,2000,cosmog_00500,16092.800000000001,2707.1999999999994,18800.0,0.14399999999999996,8,0.029,2707.2000000000003,1.365,1.3753760240655404,0,antisoporte,571828,2592,109,2483,2.483,0.0,0.0,1.056481234539111
A2-B0-C2-batch4-r51_f704_azar,A2-B0-C2-batch4-r51,,576776,8,0.449,0.196,5.29,4,2483,,2000,cosmog_00500,16064.6,2735.3999999999996,18800.0,0.1455,9,0.032,2735.4,1.0952380952380942,0.9994618550174095,0,azar,571828,2592,109,2483,2.483,0.015416666666666667,0.013521126760563381,0.9886449397802648
A2-B0-C2-batch4-r51_f704_c2,A2-B0-C2-batch4-r51,,576776,8,0.449,0.196,5.29,4,2483,,2000,cosmog_00500,16196.2,2603.7999999999997,18800.0,0.13849999999999998,8,0.034,2603.7999999999997,1.1927083333333324,1.2067625661375654,0,c2,571828,2592,109,2483,2.483,0.009083333333333332,0.007846067625630488,1.0059268047621233
A2-B0-C2-batch4-r51_f704_soporte,A2-B0-C2-batch4-r51,,576776,8,0.449,0.196,5.29,4,2483,,2000,cosmog_00500,16092.800000000001,2707.1999999999994,18800.0,0.14399999999999996,9,0.033,2707.2000000000003,1.1936936936936933,1.197569444444444,1,soporte,571828,2592,109,2483,2.483,0.017583333333333333,0.015742128935532233,1.084996828831628
A2-B0-C2-r14_f704_anticosto,A2-B0-C2-r14,,273187,8,0.567,0.198,5.76,5,3296,,2000,cosmog_00500,16929.4,1870.6000000000008,18800.000000000004,0.09950000000000002,8,0.037,1870.6000000000001,0.5161290322580644,0.5298115079365079,0,anticosto,271828,3418,122,3296,3.296,0.004416666666666666,0.0049849413230865095,0.7125942848853738
A2-B0-C2-r14_f704_antisoporte,A2-B0-C2-r14,,273187,8,0.567,0.198,5.76,5,3296,,2000,cosmog_00500,16938.8,1861.2000000000007,18800.0,0.09900000000000003,8,0.04,1861.2000000000003,0.5230769230769229,0.5275297619047618,0,antisoporte,271828,3418,122,3296,3.296,0.0,0.0,0.8031233278768639
A2-B0-C2-r14_f704_azar,A2-B0-C2-r14,,273187,8,0.567,0.198,5.76,5,3296,,2000,cosmog_00500,16929.4,1870.6000000000006,18800.000000000004,0.09950000000000002,8,0.04,1870.6,0.5047619047619042,0.49803240740740684,0,azar,271828,3418,122,3296,3.296,0.010116666666666668,0.010573235202653675,0.6963511795654602
A2-B0-C2-r14_f704_c2,A2-B0-C2-r14,,273187,8,0.567,0.198,5.76,5,3296,,2000,cosmog_00500,16967.0,1833.0000000000007,18800.0,0.09750000000000003,8,0.033,1833.0,0.5156249999999999,0.5285714285714285,0,c2,271828,3418,122,3296,3.296,0.004966666666666667,0.005912863070539419,0.7893306509717354
A2-B0-C2-r14_f704_soporte,A2-B0-C2-r14,,273187,8,0.567,0.198,5.76,5,3296,,2000,cosmog_00500,16920.0,1880.0000000000007,18800.0,0.10000000000000003,8,0.042,1880.0000000000002,0.5409836065573771,0.5550595238095238,0,soporte,271828,3418,122,3296,3.296,0.009883333333333333,0.011206807097644496,0.7409624642244185
A2-B0-C2-r19_f704_anticosto,A2-B0-C2-r19,,273672,5,0.341,0.326,4.02,7,3679,,2000,cosmog_00500,17173.8,1626.2000000000005,18800.0,0.08650000000000002,8,0.041,1626.2,0.30481283422459876,0.3120490620490619,0,anticosto,271828,3835,156,3679,3.679,0.0011119047619047619,0.0013999066728884741,0.7405283731594052
A2-B0-C2-r19_f704_antisoporte,A2-B0-C2-r19,,273672,5,0.341,0.326,4.02,7,3679,,2000,cosmog_00500,17126.8,1673.2000000000007,18800.0,0.08900000000000004,8,0.041,1673.1999999999998,0.39285714285714285,0.3943452380952381,0,antisoporte,271828,3835,156,3679,3.679,0.0,0.0,0.7142348481979849
A2-B0-C2-r19_f704_azar,A2-B0-C2-r19,,273672,5,0.341,0.326,4.02,7,3679,,2000,cosmog_00500,17126.8,1673.2000000000005,18800.0,0.08900000000000002,8,0.036,1673.2,0.3709677419354839,0.3695436507936508,0,azar,271828,3835,156,3679,3.679,0.0015547619047619045,0.0023320895522388058,0.6582689913862282
A2-B0-C2-r19_f704_c2,A2-B0-C2-r19,,273672,5,0.341,0.326,4.02,7,3679,,2000,cosmog_00500,17136.2,1663.8000000000006,18800.0,0.08850000000000004,8,0.044,1663.8,0.3898305084745762,0.3921130952380951,0,c2,271828,3835,156,3679,3.679,0.0010047619047619048,0.001393512425485794,0.6730652317833353
A2-B0-C2-r19_f704_soporte,A2-B0-C2-r19,,273672,5,0.341,0.326,4.02,7,3679,,2000,cosmog_00500,17098.600000000002,1701.4000000000005,18800.000000000004,0.09050000000000001,8,0.044,1701.4,0.5084745762711865,0.5141369047619047,0,soporte,271828,3835,156,3679,3.679,0.001988095238095238,0.002793512842399317,0.6991179853957847
