genealogia,seed_base,rule_id,brazo,clase,es_clase_III,es_clase_III_o_IV,pendiente,z_agg,holon_ratio,diam_b1,giant_b1,grado_medio_b1,n_aristas_b1,diams_por_escala,K,J,noise,meandeg,kcap,seed,seg
H04_741037,741037,A2-B0-C2-r0,C2-hard,I,0,0,0.517009,0.5657,2.1268,11.0,0.989,4.091,4091,11|7|6|5|4,7,0.738,0.23,5.12,6,741038,2.09
H04_741037,741037,A2-B0-C2-r0,C2-hibrido,II,0,0,0.449527,0.6692,1.336,10.0,0.992,5.0,5000,10|6|5|5|4,7,0.738,0.23,5.12,6,741038,2.73
H04_741037,741037,A2-B0-C2-r1,C2-hard,I,0,0,0.626759,0.4053,1.3189,11.0,0.9835,3.793,3793,11|9|6|5|4,5,0.695,0.317,4.03,7,741135,2.32
H04_741037,741037,A2-B0-C2-r1,C2-hibrido,I,0,0,0.672304,0.5657,4.0757,12.0,0.9845,3.961,3961,12|7|6|4|4,5,0.695,0.317,4.03,7,741135,2.3
H04_741037,741037,A2-B0-C2-r2,C2-hard,III,1,1,1.108147,1.7627,3.168,23.0,0.881,2.461,2461,23|15|9|7|5,4,0.596,0.192,5.89,4,741232,1.86
H04_741037,741037,A2-B0-C2-r2,C2-hibrido,III,1,1,1.064682,0.5657,4.2788,16.0,0.845,2.698,2698,16|11|8|5|5,4,0.596,0.192,5.89,4,741232,1.99
H04_741037,741037,A2-B0-C2-r3,C2-hard,II,0,0,0.387303,0.5657,2.0064,9.0,0.9945,4.72,4720,9|6|5|5|4,6,0.592,0.222,6.01,7,741329,2.41
H04_741037,741037,A2-B0-C2-r3,C2-hibrido,II,0,0,0.396306,0.3864,1.5576,9.0,0.998,5.689,5689,9|6|5|5|4,6,0.592,0.222,6.01,7,741329,2.79
H04_741037,741037,A2-B0-C2-r4,C2-hard,II,0,0,0.436029,1.1314,1.4077,9.0,0.9925,4.524,4524,9|8|6|5|4,6,0.473,0.274,5.48,7,741426,2.52
H04_741037,741037,A2-B0-C2-r4,C2-hibrido,I,0,0,0.456012,0.2449,2.7905,9.0,0.9925,5.213,5213,9|6|5|4|4,6,0.473,0.274,5.48,7,741426,2.69
H04_741037,741037,A2-B0-C2-r5,C2-hard,I,0,0,0.557738,0.2828,1.7043,11.0,0.976,4.041,4041,11|8|6|5|4,7,0.463,0.28,5.87,6,741523,2.55
H04_741037,741037,A2-B0-C2-r5,C2-hibrido,II,0,0,0.409993,0.2828,1.6025,8.0,0.993,5.336,5336,8|6|5|4|4,7,0.463,0.28,5.87,6,741523,2.61
H04_741037,741037,A2-B0-C2-r6,C2-hard,III,1,1,0.743363,0.7071,3.1203,14.0,0.9705,3.368,3368,14|10|6|5|4,5,0.543,0.196,5.83,5,741620,2.33
H04_741037,741037,A2-B0-C2-r6,C2-hibrido,I,0,0,0.656219,0.9899,3.3332,12.0,0.973,4.174,4174,12|8|6|5|4,5,0.543,0.196,5.83,5,741620,2.84
H04_741037,741037,A2-B0-C2-r7,C2-hard,I,0,0,0.527861,0.2828,4.4549,11.0,0.9835,4.132,4132,11|7|5|5|4,8,0.751,0.235,5.5,6,741717,2.65
H04_741037,741037,A2-B0-C2-r7,C2-hibrido,I,0,0,0.487275,0.2828,3.818,9.0,0.992,5.351,5351,9|7|5|4|4,8,0.751,0.235,5.5,6,741717,2.8
H04_741037,741037,A2-B0-C2-r8,C2-hard,I,0,0,0.606486,0.369,3.0914,13.0,0.9575,3.353,3353,13|9|6|5|5,5,0.775,0.208,6.38,5,741814,2.27
H04_741037,741037,A2-B0-C2-r8,C2-hibrido,I,0,0,0.631127,1.0209,2.5183,10.0,0.941,3.857,3857,10|9|6|5|4,5,0.775,0.208,6.38,5,741814,2.28
H04_741037,741037,A2-B0-C2-r9,C2-hard,I,0,0,0.648417,1.1314,1.5218,14.0,0.9735,3.315,3315,14|11|7|5|5,6,0.36,0.251,4.7,5,741911,2.34
H04_741037,741037,A2-B0-C2-r9,C2-hibrido,I,0,0,0.543178,0.2828,0.6729,11.0,0.989,4.283,4283,11|7|6|5|4,6,0.36,0.251,4.7,5,741911,2.45
H04_741037,741037,A2-B0-C2-r10,C2-hard,III,1,1,0.868689,1.6213,3.063,16.0,0.949,3.257,3257,16|10|8|5|4,8,0.741,0.181,6.74,5,742008,2.55
H04_741037,741037,A2-B0-C2-r10,C2-hibrido,III,1,1,0.713869,0.0,3.6399,11.0,0.9125,3.637,3637,11|8|6|5|4,8,0.741,0.181,6.74,5,742008,2.5
H04_741037,741037,A2-B0-C2-r11,C2-hard,I,0,0,0.595336,0.5501,2.0523,12.0,0.986,4.181,4181,12|8|5|5|4,6,0.605,0.299,6.2,6,742105,2.6
H04_741037,741037,A2-B0-C2-r11,C2-hibrido,I,0,0,0.314023,0.2828,1.7766,7.0,0.997,5.723,5723,7|6|5|4|4,6,0.605,0.299,6.2,6,742105,3.02
H04_741037,741037,A2-B0-C2-r12,C2-hard,I,0,0,0.655376,0.8485,3.9123,13.0,0.988,4.106,4106,13|9|6|5|4,8,0.566,0.172,5.87,6,742202,2.61
H04_741037,741037,A2-B0-C2-r12,C2-hibrido,II,0,0,0.354263,0.2828,4.3489,8.0,0.996,5.482,5482,8|5|5|4|4,8,0.566,0.172,5.87,6,742202,3.6
H04_741037,741037,A2-B0-C2-r13,C2-hard,I,0,0,0.477841,0.9209,2.6967,10.0,0.974,4.148,4148,10|7|6|5|4,4,0.791,0.329,7.1,6,742299,2.99
H04_741037,741037,A2-B0-C2-r13,C2-hibrido,I,0,0,0.473736,1.1314,2.3281,10.0,0.9775,5.033,5033,10|6|6|5|4,4,0.791,0.329,7.1,6,742299,2.77
H04_741037,741037,A2-B0-C2-r14,C2-hard,I,0,0,0.463697,0.5657,1.6867,10.0,0.9935,4.801,4801,10|7|5|5|4,6,0.526,0.282,6.14,7,742396,2.7
H04_741037,741037,A2-B0-C2-r14,C2-hibrido,II,0,0,0.421714,0.4243,1.8649,9.0,0.997,5.846,5846,9|6|5|4|4,6,0.526,0.282,6.14,7,742396,3.05
H04_741037,741037,A2-B0-C2-r15,C2-hard,I,0,0,0.575671,0.8485,2.5242,12.0,0.9815,4.021,4021,12|7|6|5|4,6,0.75,0.107,5.25,6,742493,3.02
H04_741037,741037,A2-B0-C2-r15,C2-hibrido,I,0,0,0.619222,1.6971,2.4478,11.0,0.989,5.063,5063,11|7|5|4|4,6,0.75,0.107,5.25,6,742493,3.01
H04_741037,741037,A2-B0-C2-r16,C2-hard,III,1,1,1.156159,1.9041,2.5569,21.0,0.8425,2.352,2352,21|15|10|6|5,7,0.52,0.196,6.4,4,742590,2.73
H04_741037,741037,A2-B0-C2-r16,C2-hibrido,III,1,1,1.07505,0.5278,2.8508,16.0,0.8135,2.517,2517,16|11|7|6|5,7,0.52,0.196,6.4,4,742590,3.13
H04_741037,741037,A2-B0-C2-r17,C2-hard,III,1,1,0.79486,1.8713,3.8863,17.0,0.9515,3.303,3303,17|10|8|5|5,5,0.647,0.179,6.71,5,742687,2.57
H04_741037,741037,A2-B0-C2-r17,C2-hibrido,III,1,1,0.787818,0.3536,2.3827,12.0,0.918,3.617,3617,12|9|7|5|4,5,0.647,0.179,6.71,5,742687,2.51
H04_741037,741037,A2-B0-C2-r18,C2-hard,I,0,0,0.571733,0.5278,1.1311,11.0,0.9885,4.142,4142,11|8|6|5|4,7,0.476,0.26,4.74,7,742784,2.69
H04_741037,741037,A2-B0-C2-r18,C2-hibrido,I,0,0,0.644583,1.4142,1.2031,11.0,0.9865,4.533,4533,11|8|6|4|4,7,0.476,0.26,4.74,7,742784,2.63
H04_741037,741037,A2-B0-C2-r19,C2-hard,I,0,0,0.650824,1.1314,1.9376,14.0,0.9595,3.331,3331,14|9|7|5|5,7,0.708,0.287,6.15,5,742881,2.39
H04_741037,741037,A2-B0-C2-r19,C2-hibrido,I,0,0,0.636148,0.1414,2.0592,11.0,0.9515,4.085,4085,11|8|6|5|4,7,0.708,0.287,6.15,5,742881,2.35
H09_1889347,1889347,A2-B0-C2-r0,C2-hard,I,0,0,0.586995,0.9899,2.6822,12.0,0.966,3.364,3364,12|8|6|6|4,4,0.347,0.198,5.29,5,1889348,2.43
H09_1889347,1889347,A2-B0-C2-r0,C2-hibrido,II,0,0,0.407948,0.9521,3.254,9.0,0.991,4.964,4964,9|6|6|5|4,4,0.347,0.198,5.29,5,1889348,2.73
H09_1889347,1889347,A2-B0-C2-r1,C2-hard,I,0,0,0.509733,0.4243,2.8285,11.0,0.991,4.203,4203,11|7|6|5|4,5,0.771,0.201,5.71,6,1889445,2.53
H09_1889347,1889347,A2-B0-C2-r1,C2-hibrido,II,0,0,0.413534,0.4243,3.2307,8.0,0.998,5.551,5551,8|7|5|4|4,5,0.771,0.201,5.71,6,1889445,2.69
H09_1889347,1889347,A2-B0-C2-r2,C2-hard,I,0,0,0.577708,0.7071,4.3081,11.0,0.9815,3.988,3988,11|8|6|5|4,5,0.593,0.171,4.92,6,1889542,2.21
H09_1889347,1889347,A2-B0-C2-r2,C2-hibrido,II,0,0,0.388325,0.5657,3.6795,8.0,0.9905,4.822,4822,8|7|5|5|4,5,0.593,0.171,4.92,6,1889542,2.36
H09_1889347,1889347,A2-B0-C2-r3,C2-hard,I,0,0,0.511648,0.5657,6.3243,10.0,0.9745,4.03,4030,10|7|6|5|4,8,0.666,0.109,7.65,6,1889639,2.71
H09_1889347,1889347,A2-B0-C2-r3,C2-hibrido,I,0,0,0.649801,1.2728,6.3612,11.0,0.945,4.573,4573,11|7|5|5|4,8,0.666,0.109,7.65,6,1889639,2.59
H09_1889347,1889347,A2-B0-C2-r4,C2-hard,I,0,0,0.506927,0.5278,1.7132,11.0,0.9925,4.884,4884,11|7|5|5|4,5,0.523,0.323,7.36,7,1889736,2.59
H09_1889347,1889347,A2-B0-C2-r4,C2-hibrido,I,0,0,0.308663,0.1414,1.8371,7.0,0.999,6.661,6661,7|6|5|4|4,5,0.523,0.323,7.36,7,1889736,3.4
H09_1889347,1889347,A2-B0-C2-r5,C2-hard,I,0,0,0.635395,0.7606,1.598,13.0,0.9815,3.958,3958,13|7|6|5|4,4,0.318,0.313,4.44,7,1889833,2.59
H09_1889347,1889347,A2-B0-C2-r5,C2-hibrido,I,0,0,0.463452,0.8262,1.3422,9.0,0.986,4.249,4249,9|7|6|5|4,4,0.318,0.313,4.44,7,1889833,2.67
H09_1889347,1889347,A2-B0-C2-r6,C2-hard,I,0,0,0.521999,0.1414,2.0958,11.0,0.986,4.029,4029,11|7|6|5|4,7,0.545,0.34,5.66,6,1889930,2.83
H09_1889347,1889347,A2-B0-C2-r6,C2-hibrido,I,0,0,0.453978,0.7071,1.2011,10.0,0.991,5.209,5209,10|6|5|5|4,7,0.545,0.34,5.66,6,1889930,3.42
