patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
0,66100,1500,local,5,8,2.516,0.035,3,6.46,1,0.797,0.9,12.976,0.4682,10,20
0,66100,1500,sin_local,-1,8,4.881,0.056,1,5.202,1,0.816,0.921,48.832,0.099,4,16
0,66100,1500,local_barajado,5,8,2.931,0.06,1,5.118,1,1.105,0.914,12.699,0.1041,7,20
0,66100,1500,local_marco_congelado,5,8,2.579,0.032,0,7.969,0,0.996,0.891,12.787,0.4888,14,20
4,66112,1500,local,5,8,2.854,0.032,2,6.788,1,0.957,0.907,13.019,0.4554,13,20
4,66112,1500,sin_local,-1,8,4.823,0.051,1,3.411,1,0.988,0.917,53.165,0.0906,4,17
4,66112,1500,local_barajado,5,8,2.986,0.063,2,5.566,1,1.179,0.912,12.544,0.1098,6,20
4,66112,1500,local_marco_congelado,5,8,2.349,0.039,0,7.965,0,0.982,0.89,13.037,0.4578,16,20
3,66109,1500,local,5,8,2.762,0.023,1,6.027,1,0.799,0.899,12.88,0.4614,15,20
3,66109,1500,sin_local,-1,8,4.905,0.048,1,2.928,1,0.814,0.911,51.835,0.0899,3,17
3,66109,1500,local_barajado,5,8,2.898,0.051,2,5.895,1,0.977,0.905,12.448,0.1094,6,20
3,66109,1500,local_marco_congelado,5,8,2.741,0.017,0,7.968,0,1.007,0.895,12.789,0.464,13,20
5,66115,1500,local,5,8,2.995,0.026,1,6.12,1,0.802,0.879,13.251,0.4576,12,20
5,66115,1500,sin_local,-1,8,4.101,0.051,1,4.776,1,0.842,0.919,53.037,0.0906,3,17
5,66115,1500,local_barajado,5,8,2.926,0.06,1,5.443,1,1.201,0.905,12.531,0.1084,6,20
5,66115,1500,local_marco_congelado,5,8,2.709,0.038,0,7.963,0,1.033,0.903,12.869,0.4392,12,20
1,66103,1500,local,5,8,2.825,0.033,1,5.885,1,0.853,0.914,13.109,0.4576,12,20
1,66103,1500,sin_local,-1,8,4.917,0.046,1,3.479,1,0.737,0.909,51.805,0.0895,3,17
1,66103,1500,local_barajado,5,8,2.957,0.063,1,6.083,1,1.126,0.905,12.472,0.1105,6,20
1,66103,1500,local_marco_congelado,5,8,2.762,0.023,0,7.953,0,0.978,0.901,12.941,0.4428,18,20
2,66106,1500,local,5,8,2.557,0.03,1,6.564,1,0.91,0.921,13.392,0.4317,15,20
2,66106,1500,sin_local,-1,8,nan,0.047,1,4.262,1,0.86,0.905,51.496,0.0919,3,17
2,66106,1500,local_barajado,5,8,2.885,0.053,1,6.022,1,1.067,0.904,12.533,0.1099,1,20
2,66106,1500,local_marco_congelado,5,8,2.444,0.023,0,7.964,0,0.973,0.896,13.149,0.4484,16,20
6,66118,1500,local,5,8,2.546,0.031,0,6.867,0,0.891,0.909,13.192,0.4791,13,20
6,66118,1500,sin_local,-1,8,4.727,0.05,1,3.615,1,0.804,0.907,51.325,0.1055,4,17
6,66118,1500,local_barajado,5,8,2.989,0.049,3,5.812,1,1.196,0.908,12.613,0.1215,6,20
6,66118,1500,local_marco_congelado,5,8,2.861,0.025,0,7.977,0,1.096,0.905,12.973,0.4491,13,20
8,66124,1500,local,5,8,2.49,0.032,7,6.974,1,0.792,0.904,12.888,0.4365,11,20
8,66124,1500,sin_local,-1,8,nan,0.049,1,2.794,1,0.718,0.916,52.715,0.0893,3,17
8,66124,1500,local_barajado,5,8,2.951,0.051,1,5.242,1,1.126,0.919,12.736,0.1052,6,20
8,66124,1500,local_marco_congelado,5,8,2.34,0.038,0,7.96,0,1.044,0.903,12.792,0.4613,15,20
7,66121,1500,local,5,8,2.379,0.036,3,6.388,1,0.825,0.916,12.941,0.4786,14,20
7,66121,1500,sin_local,-1,8,5.009,0.047,1,2.844,1,0.627,0.915,52.915,0.0965,4,17
7,66121,1500,local_barajado,5,8,2.919,0.054,1,5.331,1,1.203,0.909,12.621,0.1117,6,20
7,66121,1500,local_marco_congelado,5,8,2.545,0.029,0,7.951,0,1.066,0.917,13.104,0.4603,12,20
9,66127,1500,local,5,8,2.434,0.027,1,6.448,1,0.889,0.886,13.0,0.4622,18,20
9,66127,1500,sin_local,-1,8,4.727,0.055,1,3.946,1,0.877,0.907,51.683,0.0875,3,17
9,66127,1500,local_barajado,5,8,3.0,0.062,1,6.01,1,1.205,0.906,12.637,0.1182,6,20
9,66127,1500,local_marco_congelado,5,8,2.771,0.016,0,7.96,0,0.964,0.898,13.155,0.472,15,20
