patch,seed,N,arm,D_max,frac_ferm,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
2,20656,1500,excl_orto,8,0.769,4.988,0.055,2,5.692,1,0.859,0.913,3,17
2,20656,1500,sin_excl,8,0.769,4.886,0.052,1,3.726,1,0.882,0.913,3,17
2,20656,1500,excl_orto_barajada,8,0.769,nan,0.051,2,5.907,1,0.834,0.92,3,17
2,20656,1500,excl_orto_bosones,8,0.769,4.807,0.056,1,5.729,1,0.944,0.915,4,16
2,20656,1500,marco_congelado,8,0.769,4.973,0.053,0,7.976,0,1.009,0.905,3,17
0,20650,1500,excl_orto,8,0.735,4.075,0.058,2,6.381,1,0.881,0.897,3,17
0,20650,1500,sin_excl,8,0.735,4.73,0.049,1,4.727,1,0.897,0.906,3,17
0,20650,1500,excl_orto_barajada,8,0.735,4.793,0.051,4,6.025,1,0.903,0.907,4,17
0,20650,1500,excl_orto_bosones,8,0.735,4.922,0.054,1,5.099,1,0.8,0.906,3,17
0,20650,1500,marco_congelado,8,0.735,4.947,0.044,0,7.962,0,0.951,0.887,4,17
1,20653,1500,excl_orto,8,0.654,nan,0.047,3,6.255,1,1.134,0.911,3,17
1,20653,1500,sin_excl,8,0.654,4.745,0.051,1,5.337,1,0.788,0.888,4,17
1,20653,1500,excl_orto_barajada,8,0.654,nan,0.047,1,5.413,1,0.985,0.906,4,17
1,20653,1500,excl_orto_bosones,8,0.654,4.874,0.053,1,5.307,1,0.954,0.904,3,17
1,20653,1500,marco_congelado,8,0.654,4.771,0.049,0,7.966,0,0.908,0.898,4,17
5,20665,1500,excl_orto,8,0.569,4.865,0.043,2,5.628,1,0.954,0.903,3,17
5,20665,1500,sin_excl,8,0.569,4.991,0.05,1,4.018,1,0.969,0.913,3,17
5,20665,1500,excl_orto_barajada,8,0.569,4.933,0.052,1,5.98,1,1.014,0.895,3,17
5,20665,1500,excl_orto_bosones,8,0.569,nan,0.047,1,5.165,1,0.926,0.906,4,17
5,20665,1500,marco_congelado,8,0.569,5.077,0.042,0,7.953,0,0.909,0.911,3,17
4,20662,1500,excl_orto,8,0.623,4.726,0.048,1,5.77,1,0.987,0.926,3,16
4,20662,1500,sin_excl,8,0.623,4.99,0.049,1,3.589,1,0.944,0.903,3,17
4,20662,1500,excl_orto_barajada,8,0.623,nan,0.045,1,5.675,1,1.051,0.903,3,17
4,20662,1500,excl_orto_bosones,8,0.623,nan,0.033,1,3.574,1,0.813,0.909,3,17
4,20662,1500,marco_congelado,8,0.623,5.012,0.056,0,7.963,0,1.192,0.905,4,17
3,20659,1500,excl_orto,8,0.893,4.78,0.042,1,6.385,1,1.038,0.901,3,17
3,20659,1500,sin_excl,8,0.893,4.61,0.054,1,4.088,1,0.848,0.904,3,17
3,20659,1500,excl_orto_barajada,8,0.893,4.817,0.057,1,6.137,1,1.013,0.904,3,17
3,20659,1500,excl_orto_bosones,8,0.893,4.954,0.057,1,4.558,1,0.945,0.911,3,17
3,20659,1500,marco_congelado,8,0.893,nan,0.046,0,7.94,0,0.891,0.905,3,17
6,20668,1500,excl_orto,8,0.624,5.007,0.053,1,5.594,1,0.921,0.904,1,17
6,20668,1500,sin_excl,8,0.624,nan,0.036,1,3.636,1,0.909,0.906,3,17
6,20668,1500,excl_orto_barajada,8,0.624,5.067,0.049,1,5.45,1,0.862,0.909,3,17
6,20668,1500,excl_orto_bosones,8,0.624,4.884,0.053,1,4.867,1,0.921,0.901,3,17
6,20668,1500,marco_congelado,8,0.624,4.812,0.05,0,7.953,0,0.932,0.905,3,17
9,20677,1500,excl_orto,8,0.814,4.833,0.053,2,6.078,1,1.232,0.909,4,17
9,20677,1500,sin_excl,8,0.814,5.083,0.038,1,4.043,1,0.87,0.91,5,17
9,20677,1500,excl_orto_barajada,8,0.814,4.815,0.05,2,6.23,1,0.954,0.919,4,16
9,20677,1500,excl_orto_bosones,8,0.814,4.833,0.05,1,5.009,1,0.925,0.891,4,17
9,20677,1500,marco_congelado,8,0.814,nan,0.048,0,7.946,0,0.957,0.905,3,17
8,20674,1500,excl_orto,8,0.703,4.962,0.054,1,6.101,1,0.956,0.923,3,16
8,20674,1500,sin_excl,8,0.703,4.685,0.05,1,3.659,1,0.826,0.91,4,17
8,20674,1500,excl_orto_barajada,8,0.703,4.94,0.052,2,6.007,1,0.99,0.915,4,17
8,20674,1500,excl_orto_bosones,8,0.703,5.125,0.05,1,5.2,1,0.883,0.913,3,17
8,20674,1500,marco_congelado,8,0.703,4.951,0.048,0,7.961,0,1.055,0.918,3,17
7,20671,1500,excl_orto,8,0.732,4.832,0.049,1,5.908,1,0.821,0.911,3,17
7,20671,1500,sin_excl,8,0.732,4.731,0.047,1,3.443,1,0.89,0.913,4,17
7,20671,1500,excl_orto_barajada,8,0.732,4.865,0.043,1,5.994,1,0.898,0.896,3,17
7,20671,1500,excl_orto_bosones,8,0.732,4.889,0.048,1,3.841,1,0.787,0.892,3,17
7,20671,1500,marco_congelado,8,0.732,4.853,0.046,0,7.974,0,1.054,0.905,2,17
11,20683,1500,excl_orto,8,0.735,4.942,0.056,1,6.198,1,0.819,0.918,4,17
11,20683,1500,sin_excl,8,0.735,4.979,0.047,1,4.254,1,0.935,0.907,3,17
11,20683,1500,excl_orto_barajada,8,0.735,4.429,0.047,1,5.679,1,1.094,0.902,4,17
11,20683,1500,excl_orto_bosones,8,0.735,5.042,0.051,2,5.139,1,0.942,0.913,3,17
11,20683,1500,marco_congelado,8,0.735,4.719,0.053,0,7.967,0,1.016,0.9,3,17
10,20680,1500,excl_orto,8,0.541,4.998,0.039,1,5.792,1,0.96,0.91,2,17
10,20680,1500,sin_excl,8,0.541,nan,0.047,1,3.51,1,1.028,0.916,3,17
10,20680,1500,excl_orto_barajada,8,0.541,nan,0.045,1,4.231,1,1.04,0.9,3,18
10,20680,1500,excl_orto_bosones,8,0.541,5.099,0.054,1,4.799,1,0.845,0.921,3,17
10,20680,1500,marco_congelado,8,0.541,4.942,0.047,0,7.968,0,0.908,0.911,1,17
13,20689,1500,excl_orto,8,0.739,4.84,0.056,3,6.772,1,1.216,0.923,3,16
13,20689,1500,sin_excl,8,0.739,4.12,0.053,1,4.083,1,0.93,0.903,3,17
13,20689,1500,excl_orto_barajada,8,0.739,4.939,0.053,1,5.788,1,1.002,0.894,4,17
13,20689,1500,excl_orto_bosones,8,0.739,5.102,0.045,1,4.403,1,0.823,0.904,3,17
13,20689,1500,marco_congelado,8,0.739,4.777,0.053,0,7.959,0,0.991,0.913,3,17
12,20686,1500,excl_orto,8,0.745,nan,0.05,1,6.269,1,0.887,0.912,4,17
12,20686,1500,sin_excl,8,0.745,4.875,0.053,2,4.342,1,0.728,0.907,3,17
12,20686,1500,excl_orto_barajada,8,0.745,4.705,0.053,1,5.645,1,0.949,0.895,3,17
12,20686,1500,excl_orto_bosones,8,0.745,5.053,0.047,1,5.379,1,0.856,0.906,3,17
12,20686,1500,marco_congelado,8,0.745,4.802,0.046,0,7.956,0,1.055,0.903,4,17
14,20692,1500,excl_orto,8,0.632,4.488,0.041,1,5.008,1,0.828,0.895,3,17
14,20692,1500,sin_excl,8,0.632,5.169,0.044,1,4.822,1,0.843,0.893,3,17
14,20692,1500,excl_orto_barajada,8,0.632,4.94,0.049,1,5.743,1,0.893,0.902,4,17
14,20692,1500,excl_orto_bosones,8,0.632,nan,0.056,2,5.206,1,0.977,0.906,3,17
14,20692,1500,marco_congelado,8,0.632,nan,0.043,0,7.969,0,0.966,0.916,3,17
16,20698,1500,excl_orto,8,0.784,nan,0.051,1,5.856,1,0.834,0.901,4,17
16,20698,1500,sin_excl,8,0.784,5.063,0.049,1,3.575,1,0.873,0.907,3,17
16,20698,1500,excl_orto_barajada,8,0.784,4.848,0.055,2,5.794,1,0.836,0.907,3,17
16,20698,1500,excl_orto_bosones,8,0.784,5.135,0.053,1,4.799,1,1.007,0.904,4,17
16,20698,1500,marco_congelado,8,0.784,4.787,0.05,0,7.952,0,0.959,0.908,4,17
15,20695,1500,excl_orto,8,0.764,4.756,0.053,1,5.822,1,0.96,0.914,3,17
15,20695,1500,sin_excl,8,0.764,4.762,0.054,3,5.06,1,0.783,0.899,3,17
15,20695,1500,excl_orto_barajada,8,0.764,5.177,0.046,2,6.602,1,0.9,0.909,3,17
15,20695,1500,excl_orto_bosones,8,0.764,4.9,0.048,1,4.997,1,0.888,0.912,3,17
15,20695,1500,marco_congelado,8,0.764,4.222,0.047,0,7.949,0,0.845,0.901,3,17
17,20701,1500,excl_orto,8,0.54,4.646,0.047,3,5.514,1,0.95,0.912,4,17
17,20701,1500,sin_excl,8,0.54,4.789,0.052,1,4.885,1,0.872,0.926,3,16
17,20701,1500,excl_orto_barajada,8,0.54,4.805,0.045,2,5.54,1,0.82,0.901,3,17
17,20701,1500,excl_orto_bosones,8,0.54,4.942,0.057,1,4.7,1,1.027,0.902,3,17
17,20701,1500,marco_congelado,8,0.54,4.758,0.051,0,7.967,0,0.877,0.893,4,17
19,20707,1500,excl_orto,8,0.873,4.603,0.053,3,6.458,1,0.959,0.903,3,17
19,20707,1500,sin_excl,8,0.873,4.672,0.051,2,3.71,1,0.81,0.914,3,17
19,20707,1500,excl_orto_barajada,8,0.873,4.857,0.055,1,6.172,1,0.811,0.914,4,17
19,20707,1500,excl_orto_bosones,8,0.873,4.702,0.049,2,3.969,1,0.905,0.902,3,17
19,20707,1500,marco_congelado,8,0.873,4.826,0.053,0,7.959,0,0.911,0.915,3,17
18,20704,1500,excl_orto,8,0.875,5.167,0.049,2,6.568,1,0.892,0.915,3,17
18,20704,1500,sin_excl,8,0.875,4.8,0.056,2,4.12,1,0.801,0.903,3,17
18,20704,1500,excl_orto_barajada,8,0.875,4.915,0.054,1,6.113,1,0.842,0.913,4,17
18,20704,1500,excl_orto_bosones,8,0.875,4.878,0.041,1,4.18,1,1.151,0.905,4,17
18,20704,1500,marco_congelado,8,0.875,4.87,0.049,0,7.964,0,0.993,0.905,3,17
20,20710,1500,excl_orto,8,0.566,4.861,0.049,1,5.015,1,0.868,0.912,3,17
20,20710,1500,sin_excl,8,0.566,nan,0.045,1,3.954,1,0.797,0.9,3,17
20,20710,1500,excl_orto_barajada,8,0.566,4.939,0.047,2,5.763,1,0.96,0.904,4,17
20,20710,1500,excl_orto_bosones,8,0.566,4.991,0.049,1,4.667,1,0.985,0.911,4,17
