rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,brazo,clase_final
A2-B0-C2-r0,2000,1,0.03,17.0,0.9175,0.6367081080691963,3099,93,15.666666666666666,1.699673172197595,1.3585550397933892,C2-hard,III
A2-B0-C2-r0,1236,2,0.11,11.0,0.8762135922330098,0.6367081080691963,2315,93,10.0,0.816496581927726,1.3585550397933892,C2-hard,III
A2-B0-C2-r0,818,4,0.15,7.0,0.815403422982885,0.6367081080691963,1880,93,7.666666666666667,0.4714045217910317,1.3585550397933892,C2-hard,III
A2-B0-C2-r0,600,8,0.2,5.0,0.7483333333333333,0.6367081080691963,1635,93,5.0,1e-09,1.3585550397933892,C2-hard,III
A2-B0-C2-r0,476,16,0.24,4.0,0.6827731092436975,0.6367081080691963,1418,93,4.0,1e-09,1.3585550397933892,C2-hard,III
A2-B0-C2-r0,2000,1,0.03,12.0,0.99,0.5142228342431476,3969,3,12.0,0.816496581927726,0.11907384073968459,C2-budget-original,I
A2-B0-C2-r0,1140,2,0.11,7.0,0.9824561403508771,0.5142228342431476,3108,3,8.666666666666666,1.2472191299246471,0.11907384073968459,C2-budget-original,I
A2-B0-C2-r0,679,4,0.17,6.0,0.9705449189985272,0.5142228342431476,2638,3,6.666666666666667,0.9428090425820633,0.11907384073968459,C2-budget-original,I
A2-B0-C2-r0,430,8,0.22,5.0,0.9534883720930233,0.5142228342431476,2322,3,5.0,1e-09,0.11907384073968459,C2-budget-original,I
A2-B0-C2-r0,302,16,0.26,4.0,0.9337748344370861,0.5142228342431476,2015,3,4.0,1e-09,0.11907384073968459,C2-budget-original,I
A2-B0-C2-r0,2000,1,0.03,12.0,0.9875,0.44226999113974064,3816,21,13.666666666666666,2.6246692923372703,1.6705473997920253,C2-budget-soporte,I
A2-B0-C2-r0,1136,2,0.13,9.0,0.9788732394366197,0.44226999113974064,2943,21,9.0,1.4142135633730952,1.6705473997920253,C2-budget-soporte,I
A2-B0-C2-r0,666,4,0.19,6.0,0.963963963963964,0.44226999113974064,2453,21,6.0,1e-09,1.6705473997920253,C2-budget-soporte,I
A2-B0-C2-r0,428,8,0.24,5.0,0.9439252336448598,0.44226999113974064,2167,21,5.0,1e-09,1.6705473997920253,C2-budget-soporte,I
A2-B0-C2-r0,307,16,0.28,4.0,0.9218241042345277,0.44226999113974064,1914,21,4.0,1e-09,1.6705473997920253,C2-budget-soporte,I
A2-B0-C2-r0,2000,1,0.04,11.0,0.981,0.6694246822085844,3503,15,14.0,0.816496581927726,0.9063880083190501,C2-random,I
A2-B0-C2-r0,1151,2,0.1,8.0,0.9687228496959166,0.6694246822085844,2652,15,10.0,1e-09,0.9063880083190501,C2-random,I
A2-B0-C2-r0,695,4,0.15,7.0,0.9496402877697842,0.6694246822085844,2186,15,6.333333333333333,0.4714045217910317,0.9063880083190501,C2-random,I
A2-B0-C2-r0,444,8,0.21,5.0,0.9211711711711712,0.6694246822085844,1904,15,5.0,1e-09,0.9063880083190501,C2-random,I
A2-B0-C2-r0,318,16,0.25,4.0,0.889937106918239,0.6694246822085844,1679,15,4.0,1e-09,0.9063880083190501,C2-random,I
A2-B0-C2-r0,2000,1,0.04,6.0,0.998,1.0936901508300565,7640,183,6.666666666666667,0.4714045217910317,1.1090644631974935,C0,I
A2-B0-C2-r0,1086,2,0.15,5.0,0.996316758747698,1.0936901508300565,6703,183,5.0,0.816496581927726,1.1090644631974935,C0,I
A2-B0-C2-r0,623,4,0.25,4.0,0.9935794542536116,1.0936901508300565,6144,183,4.666666666666667,0.4714045217910317,1.1090644631974935,C0,I
A2-B0-C2-r0,387,8,0.32,3.0,0.9896640826873385,1.0936901508300565,5558,183,4.0,1e-09,1.1090644631974935,C0,I
A2-B0-C2-r0,260,16,0.38,4.0,0.9846153846153847,1.0936901508300565,4328,183,3.0,1e-09,1.1090644631974935,C0,I
A2-B0-C2-r1,2000,1,0.03,10.0,0.9915,0.7026597621415233,4663,48,10.666666666666666,0.4714045217910317,1.7326508376738872,C2-hard,I
A2-B0-C2-r1,1135,2,0.11,7.0,0.9859030837004406,0.7026597621415233,3784,48,7.0,1e-09,1.7326508376738872,C2-hard,I
A2-B0-C2-r1,667,4,0.17,6.0,0.9760119940029985,0.7026597621415233,3289,48,5.333333333333333,0.4714045217910317,1.7326508376738872,C2-hard,I
A2-B0-C2-r1,433,8,0.23,5.0,0.9630484988452656,0.7026597621415233,2967,48,5.0,1e-09,1.7326508376738872,C2-hard,I
A2-B0-C2-r1,299,16,0.29,4.0,0.9464882943143813,0.7026597621415233,2544,48,4.0,1e-09,1.7326508376738872,C2-hard,I
A2-B0-C2-r1,2000,1,0.04,10.0,0.995,0.6322304007045024,4693,24,10.666666666666666,0.4714045217910317,0.9632051932393546,C2-budget-original,II
A2-B0-C2-r1,1136,2,0.14,6.0,0.9920774647887324,0.6322304007045024,3824,24,7.0,1e-09,0.9632051932393546,C2-budget-original,II
A2-B0-C2-r1,677,4,0.21,5.0,0.9867060561299852,0.6322304007045024,3331,24,5.0,1e-09,0.9632051932393546,C2-budget-original,II
A2-B0-C2-r1,441,8,0.27,5.0,0.9795918367346939,0.6322304007045024,2998,24,5.0,1e-09,0.9632051932393546,C2-budget-original,II
A2-B0-C2-r1,311,16,0.33,4.0,0.9710610932475884,0.6322304007045024,2591,24,4.0,1e-09,0.9632051932393546,C2-budget-original,II
A2-B0-C2-r1,2000,1,0.03,9.0,0.995,0.6935380246396008,4663,30,10.666666666666666,0.4714045217910317,1.3022549305559432,C2-budget-soporte,II
A2-B0-C2-r1,1138,2,0.11,7.0,0.992091388400703,0.6935380246396008,3797,30,7.0,1e-09,1.3022549305559432,C2-budget-soporte,II
A2-B0-C2-r1,678,4,0.16,6.0,0.9867256637168141,0.6935380246396008,3299,30,5.333333333333333,0.4714045217910317,1.3022549305559432,C2-budget-soporte,II
A2-B0-C2-r1,450,8,0.22,5.0,0.98,0.6935380246396008,2976,30,5.0,1e-09,1.3022549305559432,C2-budget-soporte,II
A2-B0-C2-r1,322,16,0.26,4.0,0.9720496894409938,0.6935380246396008,2577,30,4.0,1e-09,1.3022549305559432,C2-budget-soporte,II
A2-B0-C2-r1,2000,1,0.03,9.0,0.9835,0.6518952357563222,4459,27,10.666666666666666,0.4714045217910317,1.359568245421632,C2-random,II
A2-B0-C2-r1,1154,2,0.09,7.0,0.9731369150779896,0.6518952357563222,3608,27,7.0,1e-09,1.359568245421632,C2-random,II
A2-B0-C2-r1,691,4,0.16,5.0,0.9551374819102749,0.6518952357563222,3117,27,6.0,1e-09,1.359568245421632,C2-random,II
A2-B0-C2-r1,448,8,0.21,5.0,0.9308035714285714,0.6518952357563222,2802,27,5.0,1e-09,1.359568245421632,C2-random,II
A2-B0-C2-r1,316,16,0.28,4.0,0.9018987341772152,0.6518952357563222,2386,27,4.0,1e-09,1.359568245421632,C2-random,II
