par,N,rid_I,rid_III,K,kcap,fm_I,fm_III,d_fraccion_masa,kv_I,kv_III,d_kappa_v,nsink_I,nsink_III,abortado_I,abortado_III,dump_I,dump_III,aristas_I,aristas_III,diam_I,diam_III
A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,2000,A2-B0-C2-batch4-r57,A2-B0-C2-batch4-r43,7,5,0.0995,0.0935,-0.006000000000000005,0.4927536231884055,0.5052631578947369,0.012509534706331371,8,8,False,False,,,,,,
A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,4000,A2-B0-C2-batch4-r57,A2-B0-C2-batch4-r43,7,5,0.1252499999999999,0.1672499999999999,0.04200000000000001,0.4383301707779885,0.426944971537002,-0.011385199240986521,16,36,False,False,cosmog_00500,cosmog_00500,6715.0,6451.0,17.0,14.0
A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108,2000,A2-B0-C2-batch3-r112,A2-B0-C2-batch3-r108,6,5,0.1015,0.098,-0.003500000000000003,0.5606060606060604,0.4972375690607732,-0.06336849154528723,8,8,False,False,,,,,,
A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108,4000,A2-B0-C2-batch3-r112,A2-B0-C2-batch3-r108,6,5,0.1517499999999998,0.1404999999999998,-0.01125000000000001,0.4914285714285712,0.3540145985401459,-0.13741397288842533,30,24,False,False,cosmog_00500,cosmog_00500,6574.0,6448.0,15.0,17.0
A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,2000,A2-B0-C2-batch3-r100,A2-B0-C2-batch3-r0,5,4,0.1499999999999999,0.1504999999999999,0.0005000000000000004,1.3287671232876717,1.2938596491228065,-0.03490747416486517,8,8,False,False,,,,,,
A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,4000,A2-B0-C2-batch3-r100,A2-B0-C2-batch3-r0,5,4,0.2624999999999999,0.2582499999999998,-0.004250000000000087,0.3241296518607443,0.2464698331193838,-0.07765981874136046,64,68,False,False,cosmog_00500,cosmog_00500,4723.0,4714.0,22.0,20.0
A2-B0-C2-r9v2fix_vs_A2-B0-C2-r39,2000,A2-B0-C2-r9v2fix,A2-B0-C2-r39,5,6,0.075,0.0785,0.003500000000000003,0.4255319148936167,0.4722222222222217,0.04669030732860502,8,8,False,False,,,,,,
A2-B0-C2-r9v2fix_vs_A2-B0-C2-r39,4000,A2-B0-C2-r9v2fix,A2-B0-C2-r39,5,6,0.0997499999999999,0.1009999999999999,0.0012500000000000011,0.6228070175438594,0.546218487394958,-0.07658853014890132,16,17,False,False,cosmog_00500,cosmog_00500,8233.0,8289.0,15.0,11.0
A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,2000,A2-B0-C2-batch3-r76,A2-B0-C2-batch3-r26,8,5,0.1065,0.1115,0.0050000000000000044,0.6825396825396828,0.7205882352941176,0.03804855275443486,8,8,False,False,,,,,,
A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,4000,A2-B0-C2-batch3-r76,A2-B0-C2-batch3-r26,8,5,0.1294999999999999,0.1569999999999999,0.027499999999999997,0.352212389380531,0.4497257769652646,0.0975133875847336,16,30,False,False,cosmog_00500,cosmog_00500,6692.0,6621.0,16.0,15.0
A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12,2000,A2-B0-C2-batch3-r86,A2-B0-C2-batch3-r12,5,5,0.0945,0.1015,0.007000000000000006,0.5,0.5440414507772019,0.044041450777201896,8,8,False,False,,,,,,
A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12,4000,A2-B0-C2-batch3-r86,A2-B0-C2-batch3-r12,5,5,0.1554999999999999,0.1337499999999999,-0.02174999999999999,0.4999999999999999,0.4154488517745304,-0.0845511482254695,27,24,False,False,cosmog_00500,cosmog_00500,6686.0,6713.0,15.0,16.0
A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,2000,A2-B0-C2-batch4-r18,A2-B0-C2-batch4-r19,5,6,0.082,0.0905,0.008499999999999994,0.5510204081632653,0.4761904761904759,-0.07482993197278937,8,8,False,False,,,,,,
A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,4000,A2-B0-C2-batch4-r18,A2-B0-C2-batch4-r19,5,6,0.0939999999999999,0.1277499999999999,0.03374999999999999,0.4945054945054944,0.4758220502901352,-0.018683444215359224,14,20,False,False,cosmog_00500,cosmog_00500,8079.0,7159.0,12.0,13.0
A2-B0-C2-batch3-r5_vs_A2-B0-C2-batch3-r114,2000,A2-B0-C2-batch3-r5,A2-B0-C2-batch3-r114,6,6,0.081,0.0915,0.010499999999999995,0.3571428571428572,0.4411764705882354,0.08403361344537819,8,8,False,False,,,,,,
A2-B0-C2-batch3-r5_vs_A2-B0-C2-batch3-r114,4000,A2-B0-C2-batch3-r5,A2-B0-C2-batch3-r114,6,6,0.1022499999999999,0.0982499999999999,-0.00399999999999999,0.4436619718309857,0.4392764857881135,-0.0043854860428722,13,12,False,False,cosmog_00500,cosmog_00500,7936.0,8138.0,15.0,16.0
A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,2000,A2-B0-C2-batch4-r13,A2-B0-C2-batch4-r94,6,6,0.0765,0.089,0.012499999999999997,0.4680851063829786,0.398936170212766,-0.06914893617021262,8,8,False,False,,,,,,
A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,4000,A2-B0-C2-batch4-r13,A2-B0-C2-batch4-r94,6,6,0.0859999999999999,0.1304999999999999,0.0445,0.7352941176470594,0.451546391752577,-0.28374772589448244,10,24,False,False,cosmog_00500,cosmog_00500,8185.0,7150.0,11.0,13.0
A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31,2000,A2-B0-C2-batch3-r35,A2-B0-C2-batch3-r31,4,5,0.0975,0.117,0.019500000000000003,0.5312499999999999,0.8095238095238093,0.2782738095238094,8,8,False,False,,,,,,
A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31,4000,A2-B0-C2-batch3-r35,A2-B0-C2-batch3-r31,4,5,0.1462499999999999,0.1607499999999998,0.014499999999999902,0.4230019493177389,0.4511784511784513,0.02817650186071241,26,25,False,False,cosmog_00500,cosmog_00500,6721.0,6445.0,15.0,17.0
PAR_v2_G_r12v1fix_r19,2000,A2-B0-C2-r12v1fix,A2-B0-C2-r19,5,7,0.062,0.087,0.024999999999999994,0.3440860215053776,0.4363636363636363,0.0922776148582587,8,8,False,False,,,,,,
PAR_v2_G_r12v1fix_r19,4000,A2-B0-C2-r12v1fix,A2-B0-C2-r19,5,7,0.07025,0.1284999999999999,0.058249999999999885,0.5468164794007488,0.4503311258278146,-0.09648535357293425,10,24,False,False,cosmog_00500,cosmog_00500,9458.0,7337.0,11.0,14.0
A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,2000,A2-B0-C2-batch4-r23,A2-B0-C2-batch4-r10,5,5,0.0955,0.1279999999999999,0.03249999999999989,0.5081967213114754,0.9027777777777776,0.39458105646630215,8,8,False,False,,,,,,
A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,4000,A2-B0-C2-batch4-r23,A2-B0-C2-batch4-r10,5,5,0.1579999999999999,0.1847499999999998,0.026749999999999913,0.4818355640535373,0.4794303797468353,-0.002405184306702002,33,29,False,False,cosmog_00500,cosmog_00500,6724.0,6087.0,15.0,18.0
A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36,2000,A2-B0-C2-batch4-r51,A2-B0-C2-batch4-r36,8,4,0.1449999999999999,0.1534999999999999,0.00849999999999998,1.3424657534246576,1.407894736842105,0.06542898341744752,8,8,False,False,,,,,,
A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36,4000,A2-B0-C2-batch4-r51,A2-B0-C2-batch4-r36,8,4,0.2537499999999999,0.2742499999999999,0.020499999999999963,0.3922470433639948,0.2550655542312278,-0.137181489132767,65,72,False,False,cosmog_00500,cosmog_00500,5006.0,4586.0,22.0,22.0
