patch,seed,N,arm,regla,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
5,10333,3000,completo,nematico,-0.512,0.048,1,1.383,1,0.94,0.931,4,12
5,10333,3000,null_tipos,nematico,-0.179,0.043,1,1.302,1,0.828,0.933,4,12
5,10333,3000,null_marco,nematico,-0.017,0.047,0,7.98,0,1.021,0.931,4,12
5,10333,3000,null_mediado,nematico,-0.493,0.046,1,1.57,1,1.015,0.93,4,12
5,10333,3000,subconjunto,nematico,-1.328,0.042,0,7.986,0,1.063,0.937,4,11
0,13,3000,completo,nematico,-0.551,0.046,1,1.343,1,0.67,0.942,4,12
0,13,3000,null_tipos,nematico,1.362,0.049,1,1.359,1,0.524,0.931,4,11
0,13,3000,null_marco,nematico,-0.154,0.047,0,7.981,0,0.985,0.929,4,12
0,13,3000,null_mediado,nematico,-0.0,0.047,1,1.303,1,1.148,0.936,4,12
0,13,3000,subconjunto,nematico,-0.245,0.046,0,7.979,0,1.079,0.937,4,12
1,2077,3000,completo,nematico,1.379,0.041,1,1.255,1,0.832,0.929,4,12
1,2077,3000,null_tipos,nematico,-0.293,0.047,1,1.313,1,0.977,0.929,4,12
1,2077,3000,null_marco,nematico,-0.085,0.044,0,7.985,0,0.937,0.936,4,12
1,2077,3000,null_mediado,nematico,0.2,0.047,1,1.315,1,1.074,0.93,4,12
1,2077,3000,subconjunto,nematico,0.347,0.049,0,7.977,0,1.219,0.93,4,11
2,4141,3000,completo,nematico,0.785,0.043,1,1.218,1,0.986,0.942,4,12
2,4141,3000,null_tipos,nematico,-1.275,0.043,1,1.265,1,0.626,0.933,4,12
2,4141,3000,null_marco,nematico,0.0,0.048,0,7.981,0,1.054,0.934,4,12
2,4141,3000,null_mediado,nematico,0.728,0.042,1,1.572,1,0.99,0.935,4,11
2,4141,3000,subconjunto,nematico,-0.132,0.041,0,7.984,0,1.053,0.941,4,12
3,6205,3000,completo,nematico,1.058,0.045,1,1.389,1,1.057,0.926,4,12
3,6205,3000,null_tipos,nematico,-0.168,0.046,1,1.288,1,0.971,0.933,4,12
3,6205,3000,null_marco,nematico,0.243,0.045,0,7.984,0,0.978,0.935,4,12
3,6205,3000,null_mediado,nematico,-0.694,0.047,1,1.325,1,1.228,0.932,4,12
3,6205,3000,subconjunto,nematico,-0.002,0.047,0,7.982,0,0.949,0.941,4,12
4,8269,3000,completo,nematico,0.746,0.046,1,1.629,1,0.883,0.933,4,11
4,8269,3000,null_tipos,nematico,0.359,0.043,1,1.281,1,0.889,0.933,4,12
4,8269,3000,null_marco,nematico,-0.219,0.047,0,7.979,0,0.868,0.934,4,11
4,8269,3000,null_mediado,nematico,0.253,0.038,1,1.269,1,0.827,0.928,4,12
4,8269,3000,subconjunto,nematico,0.28,0.047,0,7.982,0,0.907,0.938,4,11
8,16525,3000,completo,nematico,0.056,0.048,1,1.369,1,0.472,0.929,4,12
8,16525,3000,null_tipos,nematico,0.959,0.048,1,1.381,1,0.708,0.939,4,12
8,16525,3000,null_marco,nematico,-0.127,0.048,0,7.975,0,0.9,0.936,4,11
8,16525,3000,null_mediado,nematico,-0.904,0.048,1,1.304,1,1.101,0.928,3,12
8,16525,3000,subconjunto,nematico,0.194,0.041,0,7.985,0,0.936,0.945,4,11
7,14461,3000,completo,nematico,0.483,0.047,1,1.277,1,0.837,0.93,4,12
7,14461,3000,null_tipos,nematico,1.157,0.049,1,1.367,1,0.907,0.929,4,12
7,14461,3000,null_marco,nematico,-0.92,0.035,0,7.974,0,0.9,0.93,4,11
7,14461,3000,null_mediado,nematico,-0.009,0.046,1,1.232,1,0.912,0.94,4,12
7,14461,3000,subconjunto,nematico,-0.588,0.041,0,7.985,0,1.06,0.927,4,12
9,18589,3000,completo,nematico,0.619,0.046,1,1.402,1,0.943,0.929,4,12
9,18589,3000,null_tipos,nematico,-0.341,0.045,1,1.28,1,0.836,0.928,3,12
9,18589,3000,null_marco,nematico,0.365,0.047,0,7.982,0,0.97,0.931,4,11
9,18589,3000,null_mediado,nematico,0.114,0.05,1,1.202,1,0.557,0.934,4,13
9,18589,3000,subconjunto,nematico,0.506,0.042,0,7.983,0,0.87,0.939,4,11
11,22717,3000,completo,nematico,0.271,0.037,1,1.401,1,0.833,0.932,4,12
11,22717,3000,null_tipos,nematico,0.434,0.049,1,1.323,1,0.752,0.938,4,11
11,22717,3000,null_marco,nematico,0.252,0.047,0,7.973,0,1.015,0.93,4,11
