sustrato,familia,N,E,r,S_r,B_r,pi_r,pi_mediana,pi_q1,pi_q3,b_r,n_fuentes
BARAJADO:A2-B0-C2-batch3-r107,null_barajado,2000,3248,3,30.47,45.295,5.078333333333333,5.166666666666667,3.3333333333333335,6.833333333333333,2.955383123181377,200
BARAJADO:A2-B0-C2-batch3-r107,null_barajado,2000,3248,4,86.325,131.62,10.790625,11.3125,6.75,14.28125,2.833114538890712,200
BARAJADO:A2-B0-C2-batch3-r107,null_barajado,2000,3248,5,224.375,355.995,22.4375,23.75,14.7,29.424999999999997,2.5991891109180423,200
BARAJADO:A2-B0-C2-batch3-r107,null_barajado,2000,3248,6,459.08,815.075,38.25666666666667,42.25,29.6875,46.770833333333336,2.0460389972144846,200
BARAJADO:A2-B0-C2-batch3-r107,null_barajado,2000,3248,7,578.26,1393.335,41.30428571428571,42.89285714285714,39.464285714285715,44.57142857142857,1.259606168859458,200
BARAJADO:A2-B0-C2-batch3-r107,null_barajado,2000,3248,8,354.785,1748.1200000000001,22.1740625,18.875,14.03125,31.375,0.6135388925396881,200
BARAJADO:A2-B0-C2-batch3-r107,null_barajado,2000,3248,9,111.96,1860.0800000000002,6.22,3.361111111111111,2.1666666666666665,8.152777777777779,0.31557140239863574,200
BARAJADO:A2-B0-C2-batch3-r107,null_barajado,2000,3248,10,23.385,1883.4650000000001,1.1692500000000001,0.5,0.3,1.1749999999999998,0.20886923901393356,200
BARAJADO:A2-B0-C2-batch3-r107,null_barajado,2000,3248,11,3.825,1887.2900000000002,0.17386363636363636,0.09090909090909091,0.045454545454545456,0.18181818181818182,0.163566388710712,200
BARAJADO:A2-B0-C2-batch3-r107,null_barajado,2000,3248,12,0.63,1887.9200000000003,0.02625,0.0,0.0,0.041666666666666664,0.16470588235294117,200
ER:A2-B0-C2-batch3-r107,null_er,2000,3248,1,3.43,4.43,1.715,1.5,1.0,2.0,3.43,200
ER:A2-B0-C2-batch3-r107,null_er,2000,3248,2,11.175,15.605,2.79375,2.5,1.5,3.75,3.2580174927113705,200
ER:A2-B0-C2-batch3-r107,null_er,2000,3248,3,34.715,50.32000000000001,5.785833333333334,5.25,3.3333333333333335,7.833333333333333,3.1064876957494407,200
ER:A2-B0-C2-batch3-r107,null_er,2000,3248,4,104.055,154.375,13.006875,11.9375,7.46875,17.65625,2.997407460751836,200
ER:A2-B0-C2-batch3-r107,null_er,2000,3248,5,273.055,427.43,27.305500000000002,26.6,17.975,36.325,2.6241410792369417,200
ER:A2-B0-C2-batch3-r107,null_er,2000,3248,6,513.525,940.9549999999999,42.793749999999996,46.333333333333336,35.770833333333336,52.333333333333336,1.880665067477248,200
ER:A2-B0-C2-batch3-r107,null_er,2000,3248,7,547.04,1487.995,39.074285714285715,41.14285714285714,35.0,45.0,1.065264592765688,200
ER:A2-B0-C2-batch3-r107,null_er,2000,3248,8,298.1,1786.0949999999998,18.63125,16.1875,10.34375,26.25,0.5449327288680902,200
ER:A2-B0-C2-batch3-r107,null_er,2000,3248,9,94.775,1880.87,5.265277777777778,2.9722222222222223,1.6111111111111112,6.069444444444445,0.317930224756793,200
ER:A2-B0-C2-batch3-r107,null_er,2000,3248,10,23.225,1904.0949999999998,1.1612500000000001,0.475,0.2,1.05,0.24505407544183594,200
ER:A2-B0-C2-batch3-r107,null_er,2000,3248,11,4.985,1909.0799999999997,0.2265909090909091,0.09090909090909091,0.045454545454545456,0.18181818181818182,0.21463939720129172,200
ER:A2-B0-C2-batch3-r107,null_er,2000,3248,12,0.83,1909.9099999999996,0.034583333333333334,0.0,0.0,0.0,0.16649949849548645,200
REAL:A2-B0-C2-batch3-r108,real_corpus,2000,3245,1,3.26,4.26,1.63,1.5,1.0,2.0,3.26,200
REAL:A2-B0-C2-batch3-r108,real_corpus,2000,3245,2,9.415,13.674999999999999,2.35375,2.25,1.5,3.25,2.888036809815951,200
REAL:A2-B0-C2-batch3-r108,real_corpus,2000,3245,3,26.825,40.5,4.470833333333333,4.333333333333333,3.0,6.0,2.8491768454593736,200
REAL:A2-B0-C2-batch3-r108,real_corpus,2000,3245,4,73.99,114.49,9.24875,8.6875,5.875,12.5,2.758247903075489,200
REAL:A2-B0-C2-batch3-r108,real_corpus,2000,3245,5,188.52,303.01,18.852,18.15,12.575,25.525,2.547911879983782,200
REAL:A2-B0-C2-batch3-r108,real_corpus,2000,3245,6,396.985,699.995,33.08208333333334,33.958333333333336,25.645833333333336,42.291666666666664,2.105797793337577,200
REAL:A2-B0-C2-batch3-r108,real_corpus,2000,3245,7,555.93,1255.925,39.70928571428571,42.285714285714285,38.80357142857143,44.089285714285715,1.400380367016386,200
REAL:A2-B0-C2-batch3-r108,real_corpus,2000,3245,8,428.855,1684.78,26.8034375,27.875,19.59375,34.140625,0.7714190635511666,200
REAL:A2-B0-C2-batch3-r108,real_corpus,2000,3245,9,183.685,1868.465,10.204722222222223,7.416666666666667,4.111111111111111,12.875,0.4283149316202446,200
REAL:A2-B0-C2-batch3-r108,real_corpus,2000,3245,10,54.535,1923.0,2.72675,1.2,0.6,2.425,0.2968941394234695,200
REAL:A2-B0-C2-batch3-r108,real_corpus,2000,3245,11,12.375,1935.375,0.5625,0.22727272727272727,0.13636363636363635,0.375,0.22691849271110298,200
REAL:A2-B0-C2-batch3-r108,real_corpus,2000,3245,12,2.82,1938.195,0.1175,0.041666666666666664,0.041666666666666664,0.125,0.22787878787878788,200
BARAJADO:A2-B0-C2-batch3-r108,null_barajado,2000,3245,1,3.39,4.390000000000001,1.695,1.5,1.0,2.5,3.39,200
BARAJADO:A2-B0-C2-batch3-r108,null_barajado,2000,3245,2,9.565,13.955,2.39125,2.25,1.75,3.25,2.8215339233038343,200
BARAJADO:A2-B0-C2-batch3-r108,null_barajado,2000,3245,3,26.715,40.67,4.4525,4.333333333333333,2.8333333333333335,5.833333333333333,2.792995295347622,200
BARAJADO:A2-B0-C2-batch3-r108,null_barajado,2000,3245,4,73.22,113.89,9.1525,9.1875,5.71875,12.28125,2.740782332023208,200
BARAJADO:A2-B0-C2-batch3-r108,null_barajado,2000,3245,5,187.585,301.475,18.7585,18.95,12.575,24.650000000000002,2.561936629336247,200
BARAJADO:A2-B0-C2-batch3-r108,null_barajado,2000,3245,6,403.245,704.72,33.60375,35.583333333333336,25.791666666666668,42.270833333333336,2.1496654849801424,200
BARAJADO:A2-B0-C2-batch3-r108,null_barajado,2000,3245,7,579.13,1283.85,41.36642857142857,43.5,40.142857142857146,45.01785714285714,1.4361740381157857,200
BARAJADO:A2-B0-C2-batch3-r108,null_barajado,2000,3245,8,440.655,1724.5049999999999,27.5409375,27.3125,20.25,35.59375,0.7608913370055083,200
BARAJADO:A2-B0-C2-batch3-r108,null_barajado,2000,3245,9,167.795,1892.3,9.321944444444444,6.416666666666667,3.875,12.527777777777779,0.38078542170178487,200
BARAJADO:A2-B0-C2-batch3-r108,null_barajado,2000,3245,10,38.455,1930.7549999999999,1.92275,0.9,0.5,2.1625,0.22917846181352247,200
BARAJADO:A2-B0-C2-batch3-r108,null_barajado,2000,3245,11,6.53,1937.2849999999999,0.2968181818181818,0.09090909090909091,0.045454545454545456,0.2727272727272727,0.16980886750747629,200
BARAJADO:A2-B0-C2-batch3-r108,null_barajado,2000,3245,12,0.69,1937.975,0.028749999999999998,0.0,0.0,0.041666666666666664,0.10566615620214394,200
ER:A2-B0-C2-batch3-r108,null_er,2000,3245,1,3.43,4.43,1.715,1.5,1.0,2.0,3.43,200
ER:A2-B0-C2-batch3-r108,null_er,2000,3245,2,11.075,15.504999999999999,2.76875,2.5,1.5,3.5,3.2288629737609327,200
ER:A2-B0-C2-batch3-r108,null_er,2000,3245,3,34.225,49.730000000000004,5.704166666666667,5.166666666666667,3.3333333333333335,7.708333333333334,3.0902934537246054,200
ER:A2-B0-C2-batch3-r108,null_er,2000,3245,4,103.485,153.215,12.935625,11.9375,7.6875,17.65625,3.0236669101533966,200
ER:A2-B0-C2-batch3-r108,null_er,2000,3245,5,272.155,425.37,27.2155,26.4,18.1,36.45,2.629898052857902,200
ER:A2-B0-C2-batch3-r108,null_er,2000,3245,6,513.5,938.87,42.791666666666664,46.0,36.125,52.416666666666664,1.886792452830189,200
ER:A2-B0-C2-batch3-r108,null_er,2000,3245,7,548.16,1487.03,39.15428571428571,40.857142857142854,35.214285714285715,45.089285714285715,1.0674975657254138,200
ER:A2-B0-C2-batch3-r108,null_er,2000,3245,8,298.355,1785.385,18.6471875,16.5,10.484375,25.875,0.5442845154699358,200
ER:A2-B0-C2-batch3-r108,null_er,2000,3245,9,95.285,1880.67,5.293611111111111,3.1666666666666665,1.6666666666666667,5.972222222222222,0.31936786713814075,200
ER:A2-B0-C2-batch3-r108,null_er,2000,3245,10,23.43,1904.1000000000001,1.1715,0.5,0.2,1.0125,0.24589389725560162,200
ER:A2-B0-C2-batch3-r108,null_er,2000,3245,11,4.98,1909.0800000000002,0.22636363636363638,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.2125480153649168,200
ER:A2-B0-C2-batch3-r108,null_er,2000,3245,12,0.845,1909.9250000000002,0.035208333333333335,0.0,0.0,0.0,0.16967871485943772,200
REAL:A2-B0-C2-batch3-r0,real_corpus,4000,4714,1,2.7,3.7,1.35,1.5,1.0,2.0,2.7,200
REAL:A2-B0-C2-batch3-r0,real_corpus,4000,4714,2,6.03,9.73,1.5075,1.5,0.75,2.0,2.2333333333333334,200
REAL:A2-B0-C2-batch3-r0,real_corpus,4000,4714,3,13.41,23.14,2.235,2.1666666666666665,1.0,3.208333333333333,2.2238805970149254,200
REAL:A2-B0-C2-batch3-r0,real_corpus,4000,4714,4,30.145,53.285,3.768125,3.4375,1.75,5.75,2.2479492915734527,200
REAL:A2-B0-C2-batch3-r0,real_corpus,4000,4714,5,65.925,119.21,6.592499999999999,6.1,3.075,10.2,2.1869298391109635,200
REAL:A2-B0-C2-batch3-r0,real_corpus,4000,4714,6,139.31,258.52,11.609166666666667,10.958333333333332,5.583333333333334,17.270833333333332,2.113158892681077,200
REAL:A2-B0-C2-batch3-r0,real_corpus,4000,4714,7,276.13,534.65,19.72357142857143,19.67857142857143,10.214285714285714,28.982142857142858,1.9821261933816667,200
REAL:A2-B0-C2-batch3-r0,real_corpus,4000,4714,8,469.795,1004.4449999999999,29.3621875,31.375,17.96875,41.53125,1.7013544345054867,200
REAL:A2-B0-C2-batch3-r0,real_corpus,4000,4714,9,637.41,1641.855,35.41166666666666,40.66666666666667,29.208333333333332,43.40277777777777,1.356783277812663,200
REAL:A2-B0-C2-batch3-r0,real_corpus,4000,4714,10,648.895,2290.75,32.44475,33.875,28.3875,38.35,1.018018230024631,200
REAL:A2-B0-C2-batch3-r0,real_corpus,4000,4714,11,503.925,2794.675,22.90568181818182,22.18181818181818,14.488636363636363,31.55681818181818,0.7765894328049993,200
REAL:A2-B0-C2-batch3-r0,real_corpus,4000,4714,12,317.345,3112.0200000000004,13.222708333333335,9.75,5.510416666666667,19.46875,0.6297464900530834,200
BARAJADO:A2-B0-C2-batch3-r0,null_barajado,4000,4714,1,2.72,3.72,1.36,1.5,1.0,2.0,2.72,200
BARAJADO:A2-B0-C2-batch3-r0,null_barajado,4000,4714,2,6.05,9.77,1.5125,1.5,0.75,2.0,2.224264705882353,200
BARAJADO:A2-B0-C2-batch3-r0,null_barajado,4000,4714,3,13.2,22.97,2.1999999999999997,2.25,1.3333333333333333,3.0,2.1818181818181817,200
BARAJADO:A2-B0-C2-batch3-r0,null_barajado,4000,4714,4,29.05,52.019999999999996,3.63125,3.625,2.125,4.875,2.200757575757576,200
BARAJADO:A2-B0-C2-batch3-r0,null_barajado,4000,4714,5,62.73,114.75,6.273,6.15,3.85,8.425,2.1593803786574868,200
BARAJADO:A2-B0-C2-batch3-r0,null_barajado,4000,4714,6,130.585,245.335,10.882083333333334,10.791666666666668,6.645833333333334,14.604166666666666,2.081699346405229,200
BARAJADO:A2-B0-C2-batch3-r0,null_barajado,4000,4714,7,259.71,505.04499999999996,18.550714285714285,18.535714285714285,12.125,25.142857142857142,1.9888195428265112,200
BARAJADO:A2-B0-C2-batch3-r0,null_barajado,4000,4714,8,460.335,965.3799999999999,28.7709375,30.09375,21.109375,37.984375,1.7724962458126372,200
BARAJADO:A2-B0-C2-batch3-r0,null_barajado,4000,4714,9,667.255,1632.6349999999998,37.069722222222225,40.91666666666667,32.44444444444444,45.0,1.449498734617181,200
BARAJADO:A2-B0-C2-batch3-r0,null_barajado,4000,4714,10,716.87,2349.5049999999997,35.8435,37.650000000000006,33.075,40.9,1.074356880053353,200
BARAJADO:A2-B0-C2-batch3-r0,null_barajado,4000,4714,11,548.3,2897.8049999999994,24.922727272727272,24.727272727272727,17.988636363636363,31.738636363636363,0.764852762704535,200
BARAJADO:A2-B0-C2-batch3-r0,null_barajado,4000,4714,12,311.775,3209.5799999999995,12.990625,9.729166666666668,6.28125,17.479166666666668,0.5686211927776764,200
ER:A2-B0-C2-batch3-r0,null_er,4000,4714,1,2.775,3.775,1.3875,1.5,1.0,2.0,2.775,200
ER:A2-B0-C2-batch3-r0,null_er,4000,4714,2,6.635,10.41,1.65875,1.5,1.0,2.5,2.390990990990991,200
ER:A2-B0-C2-batch3-r0,null_er,4000,4714,3,15.695,26.105,2.6158333333333332,2.3333333333333335,1.3333333333333333,3.6666666666666665,2.3654860587792013,200
ER:A2-B0-C2-batch3-r0,null_er,4000,4714,4,36.265,62.370000000000005,4.533125,4.0,2.25,6.5,2.310608474036317,200
ER:A2-B0-C2-batch3-r0,null_er,4000,4714,5,82.14,144.51,8.214,7.4,4.275,11.425,2.264993795670757,200
ER:A2-B0-C2-batch3-r0,null_er,4000,4714,6,178.97,323.48,14.914166666666667,13.708333333333334,7.75,20.145833333333332,2.1788410031653274,200
ER:A2-B0-C2-batch3-r0,null_er,4000,4714,7,349.82,673.3,24.987142857142857,24.5,14.535714285714285,33.607142857142854,1.9546292674749959,200
ER:A2-B0-C2-batch3-r0,null_er,4000,4714,8,574.175,1247.475,35.8859375,39.0625,25.75,47.140625,1.641344119833057,200
ER:A2-B0-C2-batch3-r0,null_er,4000,4714,9,717.145,1964.62,39.841388888888886,43.66666666666667,37.66666666666667,46.166666666666664,1.24900074019245,200
ER:A2-B0-C2-batch3-r0,null_er,4000,4714,10,647.15,2611.77,32.3575,34.400000000000006,26.8,39.5625,0.9023977019988983,200
ER:A2-B0-C2-batch3-r0,null_er,4000,4714,11,434.055,3045.825,19.729772727272728,17.454545454545453,11.636363636363637,27.261363636363637,0.6707177624971027,200
ER:A2-B0-C2-batch3-r0,null_er,4000,4714,12,233.745,3279.5699999999997,9.739375,6.416666666666667,3.8645833333333335,13.375,0.5385147043577427,200
REAL:A2-B0-C2-batch3-r100,real_corpus,4000,4723,1,2.68,3.68,1.34,1.5,1.0,2.0,2.68,200
REAL:A2-B0-C2-batch3-r100,real_corpus,4000,4723,2,5.84,9.52,1.46,1.25,0.75,2.0,2.17910447761194,200
REAL:A2-B0-C2-batch3-r100,real_corpus,4000,4723,3,12.915,22.435,2.1525,2.0,1.1666666666666667,3.0,2.211472602739726,200
REAL:A2-B0-C2-batch3-r100,real_corpus,4000,4723,4,28.905,51.34,3.613125,3.0,2.0,5.0,2.238095238095238,200
REAL:A2-B0-C2-batch3-r100,real_corpus,4000,4723,5,64.52,115.86,6.452,5.6,3.4,8.95,2.2321397682061925,200
REAL:A2-B0-C2-batch3-r100,real_corpus,4000,4723,6,137.04,252.89999999999998,11.42,9.916666666666666,6.166666666666667,15.75,2.123992560446373,200
REAL:A2-B0-C2-batch3-r100,real_corpus,4000,4723,7,272.53,525.43,19.46642857142857,18.0,11.482142857142858,26.767857142857142,1.9886894337419732,200
REAL:A2-B0-C2-batch3-r100,real_corpus,4000,4723,8,470.565,995.9949999999999,29.4103125,29.15625,20.796875,40.328125,1.7266539463545298,200
REAL:A2-B0-C2-batch3-r100,real_corpus,4000,4723,9,647.395,1643.3899999999999,35.966388888888886,39.72222222222222,31.833333333333332,42.833333333333336,1.3757823042512725,200
REAL:A2-B0-C2-batch3-r100,real_corpus,4000,4723,10,668.085,2311.475,33.404250000000005,34.9,29.5,38.375,1.0319588504699604,200
REAL:A2-B0-C2-batch3-r100,real_corpus,4000,4723,11,516.19,2827.665,23.46318181818182,24.795454545454547,15.681818181818182,30.840909090909093,0.772641205834587,200
REAL:A2-B0-C2-batch3-r100,real_corpus,4000,4723,12,307.52,3135.185,12.813333333333333,10.5625,5.770833333333334,17.625,0.5957496270753017,200
BARAJADO:A2-B0-C2-batch3-r100,null_barajado,4000,4723,1,2.76,3.76,1.38,1.5,1.0,2.0,2.76,200
BARAJADO:A2-B0-C2-batch3-r100,null_barajado,4000,4723,2,6.155,9.915,1.53875,1.5,0.75,2.25,2.230072463768116,200
BARAJADO:A2-B0-C2-batch3-r100,null_barajado,4000,4723,3,13.335,23.25,2.2225,2.1666666666666665,1.3333333333333333,3.1666666666666665,2.166531275385865,200
BARAJADO:A2-B0-C2-batch3-r100,null_barajado,4000,4723,4,28.75,52.0,3.59375,3.375,2.0,4.875,2.1559805024371954,200
BARAJADO:A2-B0-C2-batch3-r100,null_barajado,4000,4723,5,61.17,113.17,6.117,5.85,3.3,8.5,2.1276521739130434,200
BARAJADO:A2-B0-C2-batch3-r100,null_barajado,4000,4723,6,126.565,239.735,10.547083333333333,10.25,5.833333333333333,14.770833333333334,2.0690698054601926,200
BARAJADO:A2-B0-C2-batch3-r100,null_barajado,4000,4723,7,248.715,488.45000000000005,17.765357142857145,17.785714285714285,10.857142857142858,24.732142857142858,1.9651167384347965,200
BARAJADO:A2-B0-C2-batch3-r100,null_barajado,4000,4723,8,440.77,929.22,27.548125,28.625,18.734375,37.0,1.772189051725871,200
BARAJADO:A2-B0-C2-batch3-r100,null_barajado,4000,4723,9,648.17,1577.3899999999999,36.00944444444444,39.47222222222222,29.63888888888889,44.416666666666664,1.470540191029335,200
BARAJADO:A2-B0-C2-batch3-r100,null_barajado,4000,4723,10,720.575,2297.965,36.02875,37.675,34.0875,40.3625,1.111706805313421,200
BARAJADO:A2-B0-C2-batch3-r100,null_barajado,4000,4723,11,571.31,2869.275,25.96863636363636,26.18181818181818,18.738636363636363,33.76136363636364,0.7928529299517745,200
BARAJADO:A2-B0-C2-batch3-r100,null_barajado,4000,4723,12,334.765,3204.04,13.948541666666666,10.916666666666668,6.15625,20.697916666666668,0.5859603367698798,200
ER:A2-B0-C2-batch3-r100,null_er,4000,4723,1,2.66,3.66,1.33,1.5,1.0,2.0,2.66,200
ER:A2-B0-C2-batch3-r100,null_er,4000,4723,2,6.345,10.004999999999999,1.58625,1.25,0.75,2.25,2.3853383458646613,200
ER:A2-B0-C2-batch3-r100,null_er,4000,4723,3,15.405,25.409999999999997,2.5675,2.25,1.1666666666666667,3.3333333333333335,2.4278959810874703,200
ER:A2-B0-C2-batch3-r100,null_er,4000,4723,4,36.3,61.709999999999994,4.5375,3.8125,2.125,5.75,2.356377799415774,200
ER:A2-B0-C2-batch3-r100,null_er,4000,4723,5,82.84,144.55,8.284,7.2,3.9,10.925,2.282093663911846,200
ER:A2-B0-C2-batch3-r100,null_er,4000,4723,6,179.43,323.98,14.9525,13.666666666666668,7.5,19.791666666666668,2.1659826170931917,200
ER:A2-B0-C2-batch3-r100,null_er,4000,4723,7,348.985,672.965,24.927500000000002,24.714285714285715,14.089285714285714,33.69642857142857,1.9449646101543778,200
ER:A2-B0-C2-batch3-r100,null_er,4000,4723,8,566.705,1239.67,35.4190625,38.125,25.109375,46.9375,1.6238663552874766,200
ER:A2-B0-C2-batch3-r100,null_er,4000,4723,9,705.72,1945.39,39.20666666666667,43.111111111111114,35.31944444444444,46.388888888888886,1.2453039941415727,200
ER:A2-B0-C2-batch3-r100,null_er,4000,4723,10,647.97,2593.36,32.3985,34.275,27.725,40.475,0.9181686787961231,200
ER:A2-B0-C2-batch3-r100,null_er,4000,4723,11,440.535,3033.895,20.024318181818185,17.75,11.71590909090909,29.113636363636363,0.679869438399926,200
ER:A2-B0-C2-batch3-r100,null_er,4000,4723,12,239.83,3273.725,9.992916666666668,6.541666666666666,3.947916666666667,13.635416666666666,0.5444062333299284,200
