carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,grado_medio_grafo_final
ic_masaFija_N2000_s1,CONTROL-ER-HIST-ic_masaFija_N2000_s1,CONTROL_ER_HIST,,,,,,,4945,,2000,cosmog_00500,17634.4,1165.6000000000004,18800.0,0.06200000000000002,8,0.058,1165.6,0.5333333333333334,0.6020833333333334,0,4.945
ic_masaFija_N2000_s2,CONTROL-ER-HIST-ic_masaFija_N2000_s2,CONTROL_ER_HIST,,,,,,,4945,,2000,cosmog_00500,17690.8,1109.2000000000003,18800.0,0.05900000000000002,8,0.05,1109.1999999999998,0.3157894736842105,0.3458333333333334,0,4.945
